f	type
25	l-a
15	l-e
14	t'-i
12	l-i
12	n-i
10	r-a
10	m-o
10	r-i
10	tː-u
9	m-a
9	l-o
8	k-u
7	č-i
7	d-u
7	g-i
7	a
7	d-a
6	q'-a
6	χ-a
6	k'-a
6	č'-i
6	tː-u-r
6	tː-i
6	d-i
6	t-u
6	n-e
6	b-u
6	c'-i
6	ɬː-a-n
5	n-a
5	g-a
5	j-a
5	l-u
5	c'-a
5	b-a
5	m-u
5	s-i
5	k'-i
4	n-o
4	l-i-n
4	s-o-t
4	kː-i
4	q-a
4	č-a
4	ž-a
4	m-u-l
4	z-i
4	i
4	č'-o-r
4	χː-ə
4	š-e
4	k-e-r
4	m-e-ʟ
4	č'-e
4	c-i
4	qˤ-i
4	b-ə
4	š-i
4	b-aˤ
3	k-a-r
3	d-o
3	c-a-l
3	m-u-č
3	k'ʷ-e-t'
3	gʷ-a-r
3	g-aˤ-n
3	χ-o-l
3	n-o-ʟ'
3	χˤ-u
3	b-a-r
3	q'-a-m
3	b-i
3	m-a-j
3	ɬː-e-n
3	b-o
3	tː-ə
3	aˤ
3	gʷ-a
3	k'-o-n
3	ʜ-e
3	šː-i
3	h-u
3	k'-a-n
3	k'-u-r
3	kː-u
3	m-i
3	z-u
3	p-a
3	χː-u
3	t-i
3	tː-u-q'
3	b-u-q'
3	k'-u-n
3	q'ˤ-a
3	t-ə
3	h-aˤ-n
3	kː-u-r
3	n-a-t
3	q'-u-l
3	tː-a-qˤ
2	sː-o-b
2	č-a-r-χ
2	s-a
2	ž-i
2	q'-ə
2	q'ˤ-i
2	oˤ
2	χː-i
2	sː-o-n
2	t-u-m
2	m-a-m
2	d-i-č'
2	q'-u
2	č'-o-t
2	χː-a-t
2	a-q
2	ɬː-o-l
2	ʟ'-o-n
2	t'-o-l
2	t-e-n
2	d-aˤ
2	tː-e-n
2	sː-a-n
2	b-a-t
2	ɬː-e
2	r-u-n
2	k'-u-l
2	ɬːʷ-i-n
2	sː-a-m
2	c-o-r
2	a-b
2	e-j
2	h-a-n
2	h-a-l
2	χːˤ-e
2	ʁ-a
2	r-e-n
2	χˤ-o-r
2	χːˤ-i
2	n-oˤ-š
2	q'-o-n
2	t-o-l
2	š-u
2	χː-a-l
2	c-a-c
2	t'-u
2	qˤ-a-n
2	s-u
2	χˤ-i
2	šː-ə
2	j-aˤ
2	χʷ-a-r
2	h-i
2	ʟ'-u
2	z-i-m
2	qʷˤ-e
2	m-a-r
2	p-i-c'
2	ʟ'-o-r
