f	type
16	ʕ-a
14	r-a
13	r-i
12	m-a
11	b-u
9	č-u
9	t'-a
9	r-u
9	b-o
9	n-i
8	k-u
8	l-i
8	h-o
7	n-o
7	m-i
7	b-i
7	r-o
7	ʜ-u
7	b-a
7	š-a
7	l-o
6	l-a
6	n-a
6	t'-u
6	t'-i
6	č'-a
5	h-u
5	d-a
5	q'-a
5	c'-i
5	m-e
5	ʕ-u
5	d-e
5	k'-i
5	t-i
5	ʁʷ-e-t'
5	č'-o
5	d-i
4	b-e
4	ʕ-i-n
4	g-o
4	l-u
4	g-u
4	x-i
4	b-i-l
4	d-u-l
4	n-u
4	k'-u
4	k-o
4	č'-i
4	l-i-ž
4	ʜ-a-l
4	š-u
4	m-u
3	d-o
3	b-e-r
3	t-i-r
3	m-e-r
3	k'-a-l
3	t-o
3	d-a-b
3	š-i
3	d-u
3	g-i
3	r-o-q'
3	ʟ'-a
3	t-a
3	w-a-c
3	j-a-c
3	q-i
3	h-i-n
3	ʜ-a
3	k'-o
3	ʟ'-u
3	m-o
3	k-i
3	x-u
3	k'-a
3	t'-o
3	c'-a
3	ʜ-a-n
3	m-a-χ
3	t-e-n
3	ʕ-i
3	s-i
2	t'-e-r
2	ž-o
2	m-u-q'
2	g-u-ʜ
2	b-u-r
2	q'-a-r
2	r-u-ʟ'
2	ʟ'-e-l
2	kʷ-a-č'
2	q-a-t
2	d-a-n
2	ʁ-u-r
2	o
2	ʁ-o-b
2	c-a
2	m-a-t
2	s-a-k'
2	c'-o
2	t'-o-m
2	r-a-š
2	s-a-b
2	ʕ-a-r
2	r-e
2	ʜ-e-c'
2	c-i
2	w-a
2	j-a
2	č-i
2	p-a-r
2	c-a-ʜ
2	b-o-l
2	ʕ-o-r
2	k'-e-n
2	ʜ-o-r
2	ž-u
2	k-a
2	o-š
2	h-i
2	c'-e
2	ʕ-e-n
2	c'-e-l
2	t'-e-n-č'
2	č-a
2	g-a
2	t-u
2	ʜ-e
2	q-i-r
2	ʁ-o
2	r-u-x
2	c'-u
2	n-i-k'
2	n-a-ʜ
2	r-e-q
2	č'-i-l
2	ʟ'-i
2	p-i
2	g-e
2	š-o
2	ʜ-o
2	p-e-r
2	ž-i
2	ʟ'-o
2	ʁ-u
2	č-e-d
2	r-a-x
2	g-u-r
2	b-a-r
2	q'ʷ-a-l
2	ʕ-u-č'
2	ʕ-i-r
2	χ-a-š
2	č'-u
2	t'-e-b
2	q'-u
2	k'-u-r
2	č'-o-r
2	h-i-r
2	h-o-r
2	c'ʷ-i
