f	type
33	l-a
18	r-a
17	g-a
16	l-e
16	tː-a
16	r-e
13	t'-a
13	n-e
12	q'-a
12	kː-a
11	m-u
11	b-u
11	k'-a
11	d-a
10	z-a
10	qː-a
10	b-a
9	n-a
9	m-a
8	q-a
8	c'-a
8	m-e
8	n-i
8	u-r
7	m-i
7	pː-a
7	k'-u
7	r-u
7	cː-a
7	χ-a
6	q'-a-r
6	ʕ-a
6	č'-a
6	q-u
6	m-a-r
6	a
6	cː-e
5	xː-a-r
5	h-a
5	z-u
5	t-a
5	č'-aˤ
5	d-u
5	q'-u
5	d-i
5	sː-i
5	sː-a
5	w-a
5	qːˤ-a
5	t'-u
5	ʁˤ-a
4	b-e-k'
4	a-l
4	č-a
4	k-a
4	s-a
4	d-a-r
4	z-e
4	k-u
4	q-e
4	p-a
4	tː-e
4	sː-e
4	x-a
4	j-a
4	šː-a
4	a-m
4	qˤ-a-r
4	a-r
4	b-a-r
3	χː-a
3	č-i
3	č'-i
3	n-a-qːˤ
3	m-u-l
3	z-i
3	t-u-m
3	u
3	c'-i
3	ʁ-u
3	cː-i
3	d-e
3	r-i
3	i
3	ʕ-i-n
3	č-u
3	š-a-m
3	ʁ-a
3	k'-a-m
3	č-e
3	čː-a
3	ʕ-aˤ-r
3	kː-u-r
3	gʷ-a
3	w-a-r
3	t-a-χ
3	čː-e
3	k'-a-n
3	š-a
3	g-i
3	m-e-χ
2	ʕ-u
2	x-a-m
2	c'-u-r
2	d-i-g
2	c-u
2	χʷˤ-a
2	g-a-n
2	qː-u-m
2	ž-a-n
2	q-i
2	t'-e
2	χˤ-u-χˤ
2	tː-u
2	m-u-ž
2	č-a-n-g
2	q'ˤ-u-šː
2	t'-uˤ-r
2	č'-e
2	b-aːˤ
2	k'ʷ-a
2	d-e-r-z
2	b-i-r
2	b-a-n
2	b-i
2	qˤ-a
2	x-i-r
2	q'ˤ-a-n
2	z-a-j
2	u̥
2	g-a-l
2	χːˤ-u-l
2	šː-e
2	ʁ-u-r
2	χˤ-a
2	ʕ-aˤ
2	c-a
2	ž-a
2	qː-u-l
2	q-u-l
2	l-a-qːʷˤ
2	č'-a-k
2	qːʷ-a
2	sː-a-p'
2	ʜ-a
2	ž-i-n
2	c'-u
2	d-e-r
2	q'ʷˤ-a
2	sː-u
2	c'-a-l
2	s-e
2	χːʷ-a
2	pː-u-l
2	s-i
2	s-i-n
2	h-a-m
2	χː-a-b
2	χ-i-l
2	l-a-j
2	k-a-l
2	ʕ-i-n-cː
2	χːʷ-a-r
2	xː-u
2	čː-i
2	l-aˤ-m
1	l-aːˤ
1	d-aːˤ
1	qːˤ-u-qːˤ
1	ʕ-u-l
1	d-e-m
1	χː-i-n
1	m-e-cː
1	c-u-l
1	ž-e
1	q'-u-n
1	s-u-s
1	č-a-r-χː
1	χː-a-m
1	k'-u-n
1	č'-l-a
1	šː-i
1	b-u-r
1	qː-e
1	p-u
1	č-u-n
1	d-u-k
1	l-u-š
1	l-u-g
1	b-a-r-kːʷ
1	m-aˤ
1	č'-i-m
1	r-u-k'
1	k-aː
1	tː-u-r
1	p'-u-l
1	t'-u-l
1	qː-u-cː
1	u̥-r
1	l-a-k'
1	l-a-z
1	t'-u-m
1	k'-u-l
1	kʷ-m-a-χː
1	r-u-tː
1	d-e-r-g
1	r-i-c'
1	d-i-k'
1	q'-a-m-sː
1	kː-u
1	m-aˤ-g
1	ʕ-aˤ-m
1	ʕ-a-m
1	k-u-r
1	p-i-l
1	x-u
1	čː-ḁ
1	t-u
1	qːˤ-u-n-t'
1	r-a-q'ˤ
1	cː-a-j
1	b-a-j
1	r-u̥
1	k'-e-l
1	a-d
1	ḁ-s
1	k-a-r
