f	type
15	m-u
15	l-i
13	g-u
12	k'-a
11	d-u
11	a
11	d-a
10	r-i
10	m-a
10	r-u
9	ǯ-i
9	g-a
9	s-i
8	š-a-r
8	χ-u
8	q'-u
8	r-a
8	ʒ-a
7	t'-u
7	b-i
7	q'-i
7	c'-i
7	m-i
7	ɢ-a
7	č'-i
6	ɣ-a-r
6	u
6	j-i
6	χ-i
6	q'-a
6	k'-u
6	k'-i
6	k-u
6	s̊-u
6	z-i
6	ɢ-i
6	l-u
6	j-a
6	n-i
6	ǯ-a
6	tː-u
6	t-a
5	k'-u-l
5	χ-a
5	l-i-n
5	m-u-r
5	c'-a
5	č-i
5	s-u
5	ʁ-a
5	m-i-r
5	χ-a-l
4	u-l
4	u-r
4	ʒ-u
4	ʒ-i
4	d-ü
4	ǯ-a-n
4	q'ˤ-u
4	g-u-r
4	ʁ-u-r
4	kː-i
4	c'-u
4	ɢˤ-a
4	cː-i
4	ž-i
4	m-a-r
4	w-a
4	d-u-r
4	b-a
4	ʔ-e
4	g-e
4	t'-i
4	d-i-n
4	cː-a
4	g-ü
4	ɢ-a-n
3	k'-a-n
3	m-i-l
3	qː-u
3	s-i-l
3	čː-a
3	č-a
3	n-e
3	b-i-l
3	ʔ-i
3	w-u
3	n-i-n
3	s-u-m
3	a-m
3	r-u-w
3	c̊-u
3	ɢ-i-l
3	š-i
3	z̊-i
3	d-a-χ
3	χ-a-r
3	k-u-r
3	n-u
3	s-u-l
3	s̊-u-m
3	h-a-r
3	č-u
3	kː-a
3	χ-i-n
3	q'ˤ-a-m
3	k'-a-r
3	kː-u
2	p-i-s
2	t'-a
2	x-a-l
2	ʁˤ-a
2	t'-ü
2	g-a-r
2	d-a-k
2	q'ˤ-a-l
2	χˤ-a-w
2	b-aˤ
2	ʒ̊-i
2	l-u-r
2	čː-u
2	č'-e-w
2	l-i-k
2	r-i-n
2	d-i-l
2	j-i-r
2	x-a-j
2	č'-a-r
2	a-r
2	k'-a-r-č
2	h-aˤ-j
2	t'-u-r
2	ʔ-a
2	χˤ-u-l
2	i
2	b-u-l
2	s-i-w
2	qːˤ-u-r
2	b-a-j
2	tː-u-l
2	d-u-l
2	š-i-w
2	q-a-n
2	š-u-m
2	č-a-r
2	qː-a
2	ǯ-a-l
2	w-a-n
2	d-e-j
2	c'-i-h
2	q'-u-n
2	χ-u-j
2	w-u-n
2	w-a-r
2	c'-u-r
2	h-e-r
2	ž-i-l
2	q'ˤ-u-r
2	č'-a
