f	type
26	n-a
21	r-a
15	g-a
15	m-a
14	w-a
13	j-ä
12	a
12	d-a
12	b-a
10	χ-a
8	l-e
8	l-i
8	s-i
8	l-a
7	k-a
7	m-ɨ
7	w-ɨ
7	k-u
6	q'-a
6	c'-a
6	x-ɨ
6	ɢ-a
6	χˤ-a
5	k'-ɨ
5	r-ɨ
5	n-e
5	χ-ɨ
5	u
5	x-a
5	i
5	s-ɨ
5	n-i
4	w-u
4	d-a-n
4	m-i
4	p-a
4	č-a
4	g-ɨ
4	ʁ-a
4	c-a
4	l-ä
4	m-a-š
4	j-a
4	g-u
4	d-e
4	t'-a
4	ǯ-i
3	č-e
3	z-a
3	b-u
3	χˤ-ɨ
3	r-a-k
3	b-ɨ
3	č'-a
3	č'-e
3	m-a-n
3	s-a
3	r-u
3	b-i
3	ɢ-u
3	aˤ
3	k'-a
3	w-a-r
3	b-e
3	q'ˤ-ɨ
3	t'-o-t'
3	č-a-k
3	n-ä
3	l-u
3	ʁ-u
3	t-a
3	č'-i
3	j-i
3	q'-u
3	k-u-r
3	š-a
3	j-u
2	q'-u-lʲ
2	k-i-r
2	p-i-kʲ
2	q'ʷ-a
2	b-o-k'
2	z-u
2	g-a-r
2	ǯ-a-n
2	m-u
2	k-o-k
2	č-u-k
2	ǯ-ɨ-k'
2	χ-ɨ-lʲ
2	t-a-qˤ
2	nʲ-a-k
2	ʁ-e
2	k-ɨ
2	j-i-k'ʲ
2	q'-a-m
2	k'-u
2	l-a-t
2	m-a-r
2	kʷ-a
2	t'-u-r
2	e
2	tʲ-u
2	qˤ-ɨ
2	m-ɨ-t'
2	x-i-d
2	č-i
2	l-a-j
2	d-ɨ-lʲ
2	l-i-ʁˤ
2	šː-e
2	i-s
2	t-a-ʁ
2	m-i-h
2	k-a-r
2	š-i-n
2	k'-i
2	n-u
2	q'-ɨ
2	k-a-n
2	j-a-n
2	a-j
2	t-i-r
2	χʷ-a
2	k'-o-n
2	ʁˤ-ɨ
2	č'-ɨ
2	b-a-j
2	č-ä
2	b-ɨ-r
2	kː-a
2	g-e
2	l-a-g
2	t'-ɨ
2	m-ɨ-lʲ
2	k'-a-š
2	a-r
2	ɣ-a-r
2	w-ɨ-n
2	g-i
2	t-e
2	w-a-lʲ
2	g-ɨ-r-c
2	ž-i
2	z-ɨ-n
2	ǯ-i-r
2	l-ɨ-n-g
2	r-a-b
2	d-a-χ
2	č-u-j
2	k'-o-r
2	z-a-g
2	w-a-z
2	ɢ-i
2	χ-a-lʲ
2	r-ɨ-s
2	k'-u-m
2	b-a-r
2	k'-a-n
2	d-ɨ
2	x-o
2	ɢ-ɨ
2	nʲ-a-q'ʷ
1	k-a-l
1	u-lʲ
1	k'-a-k'
