f	type
22	a
19	l-i
16	r-e
15	r-o
14	m-o
13	m-a
13	m-e
13	b-u
13	b-o
12	m-u
11	i
11	č'-i
11	n-a
11	h-i
11	r-u
11	ʟ-u
11	n-i
10	l-u
10	l-a
10	k-u
10	χ-u
10	b-a
9	k'-e
9	š-u
9	č-i
9	b-i
9	b-e
9	š-i
9	r-a
9	c-e
9	d-a
8	m-i
8	t'-e
8	c'-u
8	ž-i
8	q'-u
8	k-i
7	q'-i
7	g-a
7	k-o
7	r-i
7	t'-u
7	č-a
6	ʟ'-o
6	h-a
6	n-u
6	χ-e
6	t'-o
6	ʟ-e
6	n-e
5	χ-a
5	ʟ'-u
5	ʟ'-e
5	q-a
5	q-o
5	h-o
5	t'-i
5	h-u
5	ɬ-i
5	ʟ'-i
5	c'-e
5	e
5	χ-i
5	ʕ-a-l
5	u
5	q-i
5	ʁʷ-e
5	s-a
4	a-χ
4	ž-u
4	q'ʷ-a
4	k-e
4	kʷ-e
4	c-u
4	d-u
4	j-u
4	q'-a
4	t-a
4	j-o
4	s-e
4	o
4	c-i
4	g-u
4	k-a
4	k'-u
4	z-e
4	z-o
4	n-o
4	k'-o
4	ʁ-e
3	ʟ'-a
3	ʁ-o
3	t'-a
3	ʁ-u
3	t-u
3	š-e
3	ɬ-a
3	ʟ-a
3	s-u
3	k-e-d
3	ʜ-a
3	k'-i
3	g-e
3	ʟ-i
3	č'-u
3	c-e-n
3	p-a
3	χ-o
3	d-e
3	d-i
3	č'-a
3	ɬ-e
3	č'-e
3	ž-o
2	q'-o
2	ž-e-j
2	c'-e-c'
2	χ-u-χ
2	q-u
2	p-u
2	s-o
2	č-u
2	b-i-ʟ
2	z-e-j
2	q'-o-n
2	ɬ-u
2	ž-e
2	k'-a
2	k'ʷ-a
2	d-o
2	χ-e-l
2	e-s
2	ž-i-š
2	d-e-s
2	k'ʷ-e
2	ʟ-e-r
2	b-e-ʟ'
2	š-o
2	gʷ-e
2	č'-i-l
2	q'ʷ-i
2	z-a
2	m-i-h
2	ʟ-o
2	g-o
2	t'-u-t'
2	r-o-q'
2	č-e-q
2	ʁ-a-n
2	a-k'
2	ʕ-i
2	a-t'
2	t-o
2	a-k
2	k-e-r
2	h-e
2	ʁ-a
2	c-a
2	g-i
2	r-a-ʟ'
2	q-e
2	l-a-χ
2	ɬ-a-d
2	a-s
2	n-a-w
2	j-a-w
1	h-u-t'
1	m-e-c
1	k'-e-s
1	qʷ-a-q
1	qʷ-e-q
1	m-o-c'
1	r-i-s
1	q'ʷ-a-r
1	t'-u-m
1	k'-o-n
1	o-ʁ
1	b-e-č
1	q'-e-r
1	š-a
1	ž-i-b
1	k'-e-l
1	k'-e-r
1	χʷ-i
1	b-i-k
1	ɬ-u-s
1	l-o-n
1	m-u-s
1	č-u-d
1	č-o
1	b-a-b
1	š-o-l
1	b-u-m
1	l-a-q
1	m-a-d
1	r-e-ʜ
1	iː
1	ʁʷ-a
1	c-i-m
1	qʷ-e
1	p'-o
1	w-a-c
1	j-a-c
1	χ-o-d
1	r-a-j
1	r-a-w
1	ü-z
1	k-u-j
1	kʷ-i
1	r-i-š
1	i-š
1	h-u-r
1	c'-u-m
1	c-a-n
1	ʔ-o
1	ɬ-i-d
1	q-iː
1	k'-u-ʁ
1	q'ʷ-e
1	ʕ-u-ž
1	r-u-q'
1	c-o-j
1	k-u-r
1	ʁʷ-a-d
1	q-o-q
1	ʁ-o-ʁ
1	o-l
1	š-o-t
1	r-o-z
1	w-a-z
1	r-a-s
1	j-a
1	t-a-w
1	ʁ-i-l
1	q'-u-l
1	q'ʷ-i-l
1	q'-i-n
1	z-u
1	q'-o-t
1	m-iː
