f	type
20	m-u
17	l-a
15	b-a
14	b-u
14	l-o
13	m-a
12	k-o
12	r-a
11	ʁ-o
11	ã
10	d-u
10	k'-a
10	ʟ-u
9	b-e
9	h-u
9	ẽ
9	d-o
9	a
9	b-o
8	e
8	ʟ'-u
8	m-i
8	h-e
8	r-o
8	k-a
7	n-e
7	ʁ-a
7	m-o
7	l-i
7	n-u
7	k'-o
7	č'-i
7	c-u
7	t-a
7	χ-a
7	u
7	k'-u
7	k-u
6	h-a
6	č'-e
6	t'-a
6	t'-u
6	h-i
6	t'-o
6	q-a
5	m-aˤ
5	ž-u
5	q'-u
5	l-u
5	s-o
5	d-e
5	q'-i
5	c'-i
5	š-e
5	č-a
5	q'-a
5	i
5	ž-e
5	l-e
5	r-u
5	ʁ-o-n
5	n-o
5	s-a
4	ʟ'-o
4	q'ʷ-a
4	n-i
4	c-e
4	k'-e
4	š-a
4	š-u
4	ʟ'-a
4	š-o
4	b-i
4	k'ʷ-a
4	χ-e
4	o
4	q'-o
4	d-a
4	c-a
4	s-e
4	k-a-n
4	r-e
4	c'-u
4	č-i
4	z-i
4	k-e
4	k'-i
4	ž-i
4	n-a
3	z-ɨ
3	z-e
3	ʁ-u
3	t'-o-n
3	g-e
3	l-ɨ
3	t'-i
3	t-u
3	χ-ɨ
3	j-õ
3	s-i
3	m-e
3	k-a-d
3	h-o
3	ʟ'-e
3	j-e
3	q'-u-r
3	t'-ɨ
3	č-a-r
3	c-o
3	j-a
3	χ-u
3	r-i
3	χ-a-n
3	q-i
3	b-ɨ
3	b-e-r
3	ã-q
3	χ-u-n
2	q'ˤ-o
2	z-o-l
2	k-õ
2	χˤ-u-χˤ
2	s-ɨ-l
2	q'-i-r
2	q-o-r
2	č-i-n
2	g-a
2	g-u
2	c'-e
2	c'-a
2	ʟ'-i
2	χ-i
2	kʷ-a
2	q-o
2	ʟ-o
2	h-ẽ
2	qˤ-o
2	h-õ-s
2	m-o-n
2	χ-o
2	ḁ
2	b-aˤ
2	č'-a
2	t-i
2	ɨ-s
2	h-a-w
2	h-a-j
2	ž-a-s
2	d-ɨ-s
2	ʜ-a
2	ʟ-a-r
2	b-ɨ-ʟ'
2	q'ˤ-e
2	õ
2	č-u
2	ɬ-e
2	b-o-l
2	c'-o
2	ʟ-a
2	k'-ɨ
2	k-o-l
2	h-õ
2	m-a-č'
2	ʟ-i-b
2	q-u-r
2	z-o-n
2	z-u
2	j-o
2	ʁ-ɨ
2	r-a-n
2	q'-u-n
2	k-i
2	χˤ-u
2	ʜ-o
2	ʟ'-e-l
2	ɬ-a
2	d-i
2	h-u-n
2	q-u
1	q'-l-e-m
1	z-a-s
1	e-s
1	s-e-r
1	ãˤ
1	č'-e-n
1	m-ɨ-c
1	m-o-r
1	ʁʷ-l-ẽ-s
1	j-i
1	m-u-č'
1	ʕ-i
1	g-u̥
1	h-ĩ-c'
1	ž-e-b
1	k-u-s
1	k'-i-c'
1	h-o-l
1	q'-e
1	b-i-n
1	t'-o-m
1	h-i-l
1	g-u-r
1	g-ɨ-n
1	d-o-r
1	č'ʷ-a
1	ã-χ
1	b-e-ʟ
1	r-a-c'
1	c'-a-l
1	č-uː
1	š-a-n
1	k'-ũ
1	p-ɨ-r
1	t-ɨ-n
1	ʁ-a-n
1	o-ʁ
1	h-ã-c'
1	a-t
1	χ-ẽ-ʟ'
1	qˤ-u
1	k-u-č
1	š-a-r
1	w-a-c
1	j-a-c
1	χ-o-l
1	ʁˤ-i
1	r-a-j
1	r-a-w
1	e-z
1	p-o
1	s-u
1	ã-ɬ
