f	type
14	m-a
12	m-i
10	l-a
10	k'-u
9	k-u
9	q̃-a
8	b-a
8	q-a
7	d-ɨ-l
7	l-ɨ
7	k'-i
7	n-a
6	n-ä
6	l-ä
6	b-i
6	d-a
6	k'-a
6	g-a
6	t-a
5	n-i
5	c-u
5	b-u
5	p-a
5	m-ä
5	k-i
5	r-ä
5	l-i
5	a
5	i-n
5	r-a
5	q'-a-l
4	k'-i-r
4	q'-a
4	k'-u-n
4	q'-u
4	r-ɨ
4	k-o-k
4	m-ɨ
4	j-ä
4	l-a-m
4	j-a
4	t-i
4	š-a
4	q̃-u
4	m-i-c
4	ɨ-n
3	i
3	t'-a-l
3	č-ä
3	l-o-z
3	ǯ-i
3	n-u
3	s-u
3	s-ɨ
3	l-u
3	k'-ɨ-l
3	ǯ-ä
3	oː
3	č-a
3	č̃-i
3	j-a-r
3	č'-ä
3	c'-i-n
3	m-a-r
3	i-n-k'
3	χ-ɨ
3	p-i
3	r-a-ʁ
3	d-ä
3	g-ɨ
3	š-ɨ
3	h-a
3	z-a
3	v-a-r
3	č'-i
3	t'-a
3	m-i-š
3	k̃-u
3	k'-a-z
3	č'-a-m
3	g-u
3	u
3	q'-a-n
2	l-ɨ-ʁ
2	t'-u
2	k'-ɨ
2	d-i-ʁ
2	z-ɨ
2	z-i-n
2	aː
2	χ-u-r
2	t'-u-m
2	g-a-r
2	b-ä
2	č-i
2	u-m
2	r-u
2	b-u-g
2	t'-ä
2	r-u-z
2	č̃-ɨ
2	d-i-r
2	p-ä-n
2	k-u-l
2	c̃-ɨ-l
2	q'-o-n
2	t-e
2	a-n-k
2	χ-i
2	x-ɨ
2	q'-i
2	c'-i
2	s-a-ʁ
2	č'-ɨ
2	k'-ɨ-l-d
2	ʁ-a
2	č'-a
2	p-i-g
2	q̃-ä
2	v-ä-č
2	r-a-m
2	n-ü-š
2	m-i-q
2	p-t-e
2	x-u
2	k'-ä
2	k'-ɨ-č
2	k'-w-a-r
