f	type
23	r-o
20	m-a
18	b-i
18	r-i
16	l-a
16	c-o
15	b-a
14	b-o
14	r-a
12	s-i
12	c'-i
12	n-a
12	t'-i
11	g-a
11	a
11	c'-o
11	d-o
10	ä
10	q'-i
10	z-o
10	r-ä
9	m-o
9	ʟ'-a
9	ʟ'-o
9	q'-o
9	ʟ-o
8	m-ä
8	k'-o
8	m-i
8	j-o
8	c-a
8	d-a
7	t'-o
7	q'-a
7	l-o
7	n-e
7	c-i
7	č'-ö
7	š-e
7	k'-a
7	s-a
7	k'-e
7	ɬ-i
6	t'-a
6	h-ä
6	ʁ-ä
6	r-ö
6	q-a
6	ž-ö
6	ɬ-o
6	ʁ-o
6	q'-e
6	k-o
6	z-a
6	χ-i
6	k-e
6	o
6	χ-o
6	n-i
6	i
6	ʟ-i
6	χ-a
5	ʁ-e
5	h-a
5	b-ä
5	k-i-d
5	b-e
5	b-u
5	d-i
5	m-u
5	k'-ä
4	χ-ä
4	d-ä
4	j-a
4	ʟ'-i
4	h-o
4	s-o
4	k-ä
4	g-e
4	l-i
4	q-i
4	m-e
4	g-i
4	d-e
4	k-u
4	t'-e
4	m-ü
4	e
4	n-o
4	č'-ä
4	t-o
4	h-i
3	g-o
3	m-i-c
3	m-u-q'
3	n-u
3	p-u
3	č-ä
3	č-ö
3	ž-ä
3	h-u
3	k-i
3	t-a
3	w-a
3	ö
3	q-o
3	k-a
3	χ-o-r
3	ʁ-a
3	ž-e
3	š-ü
3	b-o-s
3	t'-ö
3	q'-ä
3	w-o
3	r-u
3	h-e
3	ʔ-a
3	č-e
3	ʟ-e-r
2	q'-ä-m
2	m-ö
2	g-ä
2	r-i-s
2	ʟ'-a-s
2	m-i-ʁ
2	p'-a
2	c'-i-χ
2	p-i
2	ʟ-ö
2	ʁ-i-n
2	r-ä-č
2	k-ö
2	z-a-l
2	j-ä
2	ʟ'-e
2	c'-a-l
2	ʔ-a-l
2	ö-ž
2	d-i-s
2	b-a-s
2	č-i
2	b-o-l
2	l-e
2	ö-r
2	g-ö
2	š-ö
2	ã
2	č-a
2	g-ü
