f	type
37	l-a
33	l-u
21	r-a
20	m-a
19	q-a
18	tː-a
16	n-i
15	sː-a
15	t'-a
15	č'-a
14	q'-a
13	l-i
13	k'-u
12	b-a
12	č-a
12	n-u
11	tː-u
11	t'-i
10	c'-u
10	b-u
9	c'-a
9	č'-i
9	z-u
9	r-i
9	kː-u
9	uˤ-r-č'
9	t'-u
9	č'-u
8	d-a
8	š-a
8	q'-u
7	k'-i
7	r-u
7	d-u
7	m-u
6	i
6	n-a
6	čː-i
6	χː-a
6	č'-a-n
6	qː-a
6	sː-i
6	šː-a
6	q-u
6	k-u
6	č-i
5	j-a
5	sː-u
5	u
5	t-a
5	b-u-r
5	d-u-š
5	m-i
5	q'ˤ-u
5	aˤ
5	s-u
5	h-i
5	h-a
5	p-a
4	m-u-r
4	č-u
4	kʷ-a
4	z-a
4	k'-a
4	q'ˤ-a
4	m-a-χ
4	c-u
4	xː-u
4	w-a
4	uˤ-r
4	q'ˤ-i
4	qːʷ-a
4	u-r
4	šː-i
4	s-a
4	k'ʷ-a
3	s-i
3	c'-u-n
3	kː-a
3	čː-a-n
3	čː-a
3	qʷ-a
3	uˤ
3	a-r-s
3	a-r
3	šː-a-r
3	h-a-l
3	ž-a
3	q'-u-n
3	c-a
3	g-a
3	ʁ-u
3	h-aˤ
3	z-i
3	š-i
3	χːʷˤ-i
3	χː-i
3	r-a-l
3	č'ʷ-a
3	c'-i
2	b-a-k'
2	w-i
2	m-a-j
2	qːˤ-i
2	m-a-k'
2	m-a-z
2	tː-i
2	l-i-k'
2	č'-i-n
2	t'-a-n-qˤ
2	k'ʷ-i
2	aˤ-n-t
2	ž-i
2	m-i-x
2	čː-a-r
2	č'-uː
2	χːˤ-u
2	xːʷ-a
2	q'-a-n
2	pː-a-l
2	h-iˤ
2	m-ǎː
2	q'-i
2	p-i
2	m-a-q'
2	p'-i
2	q-i
2	n-i-r
2	s-n-a-l
2	n-i-l
2	a
2	č-uː
2	ʁ-a-j
2	n-uː
2	ʁ-a
2	b-aˤ-r-č
2	qːˤ-a
2	kːʷ-a
2	t-u
2	qː-u-r
2	h-i-n
2	s-u-l
2	b-a-j
2	q'ʷ-a
2	cː-a-c
2	b-a-r
2	w-a-r
2	qː-a-q
2	xːʷ-i
2	χːˤ-i
2	kː-i
2	m-a-r
2	χːʷ-a
2	kː-u-r
2	s-u-s
2	n-a-k'
2	h-a-n
2	s-u-n
2	n-i-k'
2	n-a-h
2	d-a-r
2	h-a-w
2	h-u
2	č-a-k
2	m-uˤ-h
2	r-a-t'
2	q-u-r
2	x-u
2	m-aˤ-r
2	xː-u-n
2	m-a-r-qʷ
2	š-i-n
2	n-i-h
2	qː-u
2	l-a-j
2	χ-a
2	t'-aˤ-h
2	k'-u-r
2	qː-i
2	k-uˤ-n
2	z-u-n
2	tː-u-r
1	n-iˤ
1	ž-i-n
1	č'-a-w
1	pː-i
1	q'-a-c'
1	čːʷ-i
1	l-u-l
1	χː-i-n
1	kːʷ-a-r
1	χː-u
1	t'-uˤ-j
1	k-u-χ
1	qˤ-u-t'
1	sː-u-r
1	č-u-r-χ
1	q'-a-r
1	χː-a-n
1	h-a-qˤ
1	b-aːˤ
1	q-a-č'
1	č-u-l
1	d-a-k'ʷ
1	z-a-m
1	qːʷ-a-l
1	b-u-χ
1	č'-a-č'
1	m-i-š
1	m-a-ʁ
1	sː-u-l-q
1	q-a-t
1	j-ǎː
1	sː-a-n
1	k'-uˤ
1	n-i-kʷ
1	qːˤ-u-k'
1	h-u-t
1	q'-u-č'
1	t-u-n
1	tː-a-r-k'
1	b-aˤ-r-h
1	l-i-n-s
1	k-u-l
1	ʁ-a-l
1	r-ǎː
1	k'ʷ-i-z
1	sː-ǎː-č
1	h-aˤ-l
1	čː-u
1	sː-i-r
1	qː-uː
1	t'-i-n-x
1	aˤ-š
1	n-aːˤ
1	h-u-q
1	l-a-l
1	p'-aˤ-l
1	x-uˤ-r-x
1	šː-iˤ-m
1	uˤ-n-c'
1	q-a-n
1	uˤ-t
1	cː-i-χ
1	šː-u
1	q-u-t
1	pː-u
1	sːʷ-u
1	l-a-s
1	h-u-χˤ
1	uˤ-l
1	n-i-c
1	čʷ-u
1	cː-a
1	a-j
1	ʁ-u-r
1	t-aˤ-j
1	h-uˤ
1	w-i-r
1	t-i-r
1	g-u
1	k-a
1	m-a-w
1	a-w
1	b-uˤ-r
1	b-u-r-k'
1	b-a-r-c'
1	b-u-r-χˤ
1	tː-a-r
1	l-a-k
1	qː-a-r
1	č-i-n
1	qː-i-r
1	qːˤ-u
1	r-u-q'
1	č'-iˤ-m
1	č'-iˤ-l
1	k-uˤ
1	w-a-q
1	l-u-ʁ
1	q'ˤ-u-r
1	m-i-z
1	aˤ-k'ʷ
1	n-a-j
1	čː-i-r
1	ʁˤ-u
1	č'-a-k
1	n-u-c
1	χːʷˤ-a-r
1	t'-a-j
1	qʷ-a-r-č
1	qʷ-a-c'
1	šː-u-c'
1	n-a-c'
1	m-u-r-x
1	qːˤ-a-r
1	p-i-c'
1	u-χ
1	k'-aˤ
1	p-aˤ
1	l-u-t
1	x-i
1	šʷ-e-r
1	šʷ-i
1	s-a-n
