f	type
11	χ-a
10	d-a
9	a
8	r-a
7	m-u
7	j-i-n
7	l-i
7	g-a
7	χ-u
6	l-a
6	u
5	k'-u-l
5	n-a
5	m-u-r
5	r-i
5	m-a
5	ʁ-a
5	l-u
5	r-i-š
5	ǯ-i
5	t-a
4	g-a-r
4	š-i-l
4	r-i-n
4	k'-a
4	ʁ-i
4	r-a-ʁˤ
4	s-u-m
4	z-i
4	b-a-j
4	g-u
4	ǯ-i-n
4	χ-a-l
3	c'-i-l
3	ʁˤ-a-m
3	q'-a-r
3	ʁˤ-u
3	g-u-r
3	b-i-l
3	m-i
3	q'-u-r
3	k'-a-n
3	ʁ-u-r
3	d-a-r
3	r-a-b
3	h-aˤ-j
3	š-a-r
3	j-a
3	t-u
3	n-e
3	e
3	m-e
3	č-i
3	m-a-r
3	q'-u
3	s-u
3	b-u
3	ʁ-u
3	ʁˤ-a
3	d-a-ʁ
3	b-a
3	ǯ-a
3	w-a-r
3	s-u-l
3	l-e-g
3	z-a-z
3	s̊-u-m
3	k'ʷ-a
3	r-i-c'
3	c'-i
3	č'-i-n
3	d-u
3	ʁʷ-a-n
3	c̊ː-u-r
2	u-l
2	p-i-s
2	u-s̊
2	kː-a-m
2	d-a-n
2	ǯ-a-n
2	i-č'
2	χ-u-r
2	χˤ-a-w
2	k-a
2	p-u-š
2	r-i-ʒ̊
2	χ-i-l
2	č-e
2	l-i-k
2	a-ʁ
2	t'-u-b
2	š-i-b
2	j-u-k'
2	r-u
2	ǯ-u-l
2	k'-u
2	d-i
2	x-a
2	č'-a-r
2	k'-a-r-č
2	k-u
2	p-i-l
2	k'-a-l
2	a-m
2	b-a-r
2	n-i-w-qː
2	c̊-u
2	qːˤ-u-r
2	ʁ-i-r
2	š-i
2	e-m
2	d-i-n
2	tː-u-l
2	d-u-l
2	c'-u
2	b-i
2	d-a-χ
2	n-i
2	q-a-n
2	š-u-m
2	χˤ-u
2	w-a-n
2	c'-e-h
2	q'-u-n
2	d-u-r
2	c'-u-r
2	pː-a
2	ǯ-ü
2	qːˤ-a-r
2	kː-u
2	kː-u-m
2	t'-i-pː
2	t'-a
2	č-u-l
2	gʷ-a
2	m-i-z
2	s-u-r
2	q'ˤ-a-n-cː
2	h-a-r
2	j-a-r
2	t'-u-l
2	l-i-n
2	š-a-r-š
2	č'-e-ʔ
2	č'-i-l
2	χ-i-r
2	m-i-š
2	t'-u
2	χ-a-r
2	χˤ-i-n
2	ɣ-a-r
2	m-i-r
2	m-e-h
2	n-i-s
2	š-u-r
2	l-u-q
2	č-u-χ
2	tː-a
2	č'-u-l
2	s-i
2	č-e-k
2	j-i-r-f
2	g-a-z
2	q'ˤ-u-r-š
2	ʁ-a-r
2	q'-a-n
2	d-e-r
2	χ-a-b
2	r-i-b
2	t'-i
2	e-r-ǯ
2	ʔ-i
2	j-i
2	q'-u-l
2	b-e
2	q'ˤ-a-b
2	tː-i
2	x-a-r
2	g-u-n-t'
2	n-u-q'
2	r-u-g
2	c'-a
2	j-i-s
2	j-i-s̊
1	u-n-t'
1	c'-i-m
1	c̊'-i-m
1	i-b
1	m-a-š
1	qˤ-u-qˤ
1	ʁˤ-a-z
1	m-u-z
1	k'ʷ-a-n-t'
1	m-e-l-ʒ
1	m-e-l-z
1	s-l-i-b
1	kː-a-n-čː
1	š-a-r-ʁˤ
1	d-ü-d
1	d-ü
1	d-u-χˤ
1	h-a-c'
1	d-a-k
1	ʁ-a-χ
1	q'ˤ-a-l
1	j-i-q'
1	ʁˤ-u-n
1	č'-a-n
1	ʁˤ-u-č'
1	ʁʷ-a-l
1	z̊-u
1	r-a-n
1	χ-u-t'
1	c̊-u-c̊
1	ʒ̊-u-q'
1	f-a-l
1	m-i-t'
1	t'-u-t'
1	c̊'-a-χ
1	q-u-r
1	b-a-c
1	ʁ-u-r-d
1	χ-l-i-n
1	g-a-h
1	k-a-r-k
1	m-i-ɣ
1	č'-i-b
1	r-e-k
1	kː-ü-l
1	s̊-a-q'ˤ
1	q'-a-m-q'
1	k-i-l
1	š-i-r-k'ʷ
1	d-i-l
1	l-i-k'
1	ǯ-i-m
1	f-u-n
1	ʁˤ-a-n
1	ǯ-a-m
1	q'-a-q'
1	n-a-χˤ
1	t-a-b
1	h-i-b
1	h-e-b
1	q'-u-c'
1	m-u-c'
1	ǯ-i-q'
1	l-e-ʔ
1	k-u-š
1	χ-a-č
1	w-n-i-n
1	m-u-ǯ
1	m-u-ž
1	cː-i-kʷ
1	χ-l-i-n-cː
1	t'-u-r
1	ʁˤ-a-l
1	s̊-m-a-c'
1	χ-a-c
1	j-a-n
1	š-i-n
1	m-a-ʔ
1	i
1	f-i
1	a-m-k'
1	χ-u-n
1	b-u-r-q'ˤ
1	š-u-r-š
1	l-u-k
1	s-i-b
1	ʒ̊-u-r
1	ǯ-e-s
1	c-i-χ
1	ʁ-i-l
1	c̊-i
1	b-a-ž
1	c'-i-r
1	a-d
1	ž-i
1	l-i-r
1	χ-pː-i-r
1	s̊-u-s̊
1	l-i-z̊
1	l-i-š
1	g-a-v
1	b-a-n
1	čː-l-e
1	m-a-r-čː
1	č-a-r
1	w-a
1	j-i-qː
1	čː-i-l
1	l-i-ǯ
1	m-a-g
1	j-i-c
1	l-i-č'
1	ž-e-r
1	d-u-q'ˤ
1	ž-e-r-d
1	χʷ-a-r
1	d-a-j
1	qːˤ-a-n-čː
1	d-u-ʁ
1	t-i-r
1	k-a-č
1	p-e-ʔ
1	tː-a-tː
1	f-u-j
1	x-a-w
1	m-i-r-š
1	s-i-l
1	q'ˤ-a
1	s̊-e-ʔ
1	ʁˤ-u-r
1	qˤ-a-r
1	t-e-r-kʷ
1	c'-u-l
1	χ-a-z
1	q'ˤ-u-l
1	ʁˤ-u-t'
1	h-i-m
1	l-u-q'ˤ
1	n-e-r-g
1	qʷˤ-a-tː
1	č'-a-ʁ
1	h-aˤ
1	ʁˤ-u-d
1	l-u-f
1	p-s-i-n-č'
1	ǯ-a-q'ʷ
1	č'-aˤ-r-t'
1	m-u-q'
1	č-i-č'
1	ʁˤ-u-m
1	p'-a
1	qːˤ-u-b
1	č-u-r
1	b-i-t'
1	l-a-qˤ
1	w-i-č'
1	č'-a-m-č'
1	w-a-r-ʔ
1	z-i-m-z
1	χ-a-s̊
1	χ-i-c'
1	č'-u-d
1	n-i-cː
1	n-i-t'
1	g-a-d
1	r-a-g
1	k-u-r
1	r-u-k
1	k-ü-l
1	k'-a-ǯ
1	ɣ-a-l
1	čː-i-w
1	e-l-k'
1	q'-a-b
1	s̊-u-l
1	n-u-r-χˤ
1	m-a-qʷˤ
1	χˤ-a-r-ǯ
1	c̊'-a-l
1	u-k'
1	k-ü-k-ü
1	s̊-u-r
