f	type
14	l-ä
13	r-ä
13	k-u
11	ǯ-i
10	i
10	m-i
8	n-ä
8	g-ä
8	l-i
8	k'-ä
7	m-ä
7	s-i
7	k-ä-n
7	ɢ-ä
7	ʕ-ä
7	t-ä
6	č-ě
6	m-a
6	v-i
6	n-i
6	d-a
6	q'-ä
5	ǯ-i-n
5	k'ʷ-a
5	k-ä-l
5	χ-ä
5	b-i
5	s-u
5	š-i
5	g-u
5	s-a
5	b-ä
5	v-ä
4	b-e-l
4	z-ä
4	d-ä
4	č'-ě-r
4	č'-ě
4	q'-u
4	š-i-n
4	x-i
4	k-ä
4	m-i-š
4	č-ä
4	s-ä
3	q'-u-l
3	s-i-l
3	q'-ä-n
3	ʜ-ä
3	χ-ä-b
3	č'-ě-k
3	l-ä-ʜ
3	r-i
3	ʕ-a
3	χ-i
3	x-ä-d
3	q'-i
3	d-ɨ-r
3	j-e-l
3	r-i-š
3	χ-ɨ
3	q'-ě-r
3	a
3	t-ɨ-r
3	kʷ-a
3	k-u-l
3	n-a
3	c'-ä
3	u
3	c'-ɨ-l
3	t-i
3	ä
3	k'-ä-l
3	f-a-r
3	n-e-r
3	k-i
3	h-ä
3	m-ä-χ
3	p-i
3	h-a-r
3	χ-u-r
3	χ-a-l
3	b-ɨ
2	q'-ɨ-l
2	ʕ-ü-l
2	t'-i-n
2	ʔ-ě-l
2	ǯ-ě-n
2	d-ä-k
2	t-ä-n
2	u-j
2	χ-a-r
2	j-ě
2	d-ä-n
2	j-i
2	χ-a
2	b-a
2	ɢ-i-l
2	ɢ-i
2	p-ä-n
2	ǯ-ě
2	t-i-r
2	t'-i-l
2	b-e
2	ɢ-u-r
2	ʕ-i-n
2	m-a-r
2	b-u
2	č'-i
2	r-ä-ǯ
2	kʷ-a-k
2	k-ä-č
2	n-ä-χ
2	g-ɨ-r
2	j-i-n
2	n-u
2	m-i-t'
2	k'-e-t'
2	t'-ě-ʕ
2	b-ä-j
2	w-i
2	d-ä-j
2	d-ɨ-l
2	m-i-h
2	m-e-n
2	b-ä-l
2	k-ě-l
2	d-i-l
2	ɣ-i-l
2	z-a-r
2	ʁ-a
2	c'-ě-ʕ
2	ʜ-ä-č'
2	ʁ-u
2	d-a-ʁ
2	ǯ-ü
2	č-a
2	l-a
2	ʁ-i
2	ʁ-ä
2	č'-a-ʁ
2	c'-i-n
2	kʷ-a-j
2	l-a-n
2	t'-ɨ-t'
2	š-ě-r
2	č-ě-k
2	ǯ-ě-g
2	c'-ä-n-g
2	r-a
2	č'-i-d
2	r-u-k
2	t'-ɨ-l
2	ɢ-a
2	t-u-k
2	x-ɨ-n
2	č-i
2	s-ä-n-g
2	p-ä
2	k-a-n
2	ä-l
2	l-ä-m
2	m-ɨ-r
2	r-ä-n-g
2	m-ä-q'
2	š-i-r
2	v-a-r
2	č-u
2	ɢ-u
2	z-ɨ-l
2	f-ä
2	d-i
2	k-a-r
2	m-e
2	j-o-k'
2	m-i-s
2	q'-u-n
2	k'-ɨ-r
2	r-ä-χ
2	r-a-ʁ
2	t'-ä-m
2	č-ě-χ
2	j-a-j
2	ɢ-o-v
2	z-ä-n
2	ɢ-ɨ
2	q'-u-r
2	k'-ɨ
2	t'-ɨ-n
2	m-ä-l
2	š-ě-χ
2	f-ɨ-r
2	ʜ-u-v
2	χ-u-d
2	l-ä-χ
2	v-ä-z
1	c'-ä-p'
1	c'-ä-p
1	c'-ä-m
1	b-ɨ-r
1	d-i-n
1	d-i-ʁ
1	s-i-v
1	p-ě-k'
1	p'-ɨ-z
1	n-ä-ǯ
1	m-e-z
1	d-i-j
1	s-a-χ
1	χ-u
1	l-u-t'
1	χ-u-l
1	t'-u-m
1	g-a-r
1	d-a-n
1	j-i-q'
1	q-u
1	b-e-g
1	k-ě-š
1	m-ä-m
1	b-i-č'
1	g-ɨ
1	m-ě
1	c'-ě-j
1	p-i-š
1	t'-i
1	k-ɨ-l
1	č'-u-t'
1	b-ä-č
1	χ-i-d
1	q'-ɨ-č
1	č-ě-n-g
1	m-e-k
1	k'-ě-p'
1	j-i-r
1	š-o-v
1	č'-e-r-č'
1	j-e
1	b-a-n
1	p-i-p
1	j-i-k'
1	z-i
1	g-i-l
1	m-ä-ʕ
1	f-ä-n
1	s-a-ʁ
1	ʕ-a-l
1	r-ä-p'
1	s-i-r
1	z-i-n-k'
1	b-e-k'
1	ʁ-u-m
1	č'-i-χ
1	ʕ-i-č
1	l-e-ʕ
1	l-ě-ʕ
1	j-i-s
1	g-u-p
1	č'-i-q'
1	b-i-k
1	g-ä-m
1	n-ä-t
1	t'-ɨ-r
1	χ-ɨ-r
1	i-n
1	l-i-g
1	ž-i-t'
1	ʕ-a-q'
1	r-i-n
1	č'-ä-q'
1	ʕ-ü
1	r-ě-ʁ
1	z-ě-f
1	ʒ-ɨ-r
1	z-ɨ-r
1	l-u-r
1	r-i-q'
