f	type
11	n-a
11	a
9	o
9	r-i
9	m-a
9	d-a
8	p-a
7	q̃-a
7	č-i
6	m-o
6	b-a
6	c̃-i
6	j-i-n
6	m-u
6	l-a
5	č-ä
5	č̃-ä
5	t-a
5	χ-a
5	ä
5	l-i
4	k̃-o
4	u
4	žˤ-o
4	ǯ-i
4	n-ä
4	t̃-a
4	b-u
4	χˤ-a
4	z-i
4	m-a-n
4	j-a
4	r-a
4	e
4	k-e
4	v-a-l
4	žˤ-e
4	g-a
4	i
3	b-u-l
3	čˤ-o
3	aˤ-m
3	k-i
3	r-i-n
3	l-i-n
3	k̃-a
3	q̃-a-l
3	q̃-ä
3	t̃-u
3	p̃-i
3	j-ä-r
3	q̃-o
3	q̃-u
3	ʁ-a
3	j-e
3	z-ɨ-ʁ
3	b-eˤ
3	g-ü
3	j-i-l
3	r-u
3	g-i
3	b-o
3	č̃ˤ-a
3	d-ä-r
3	č-a-l
3	č-a
3	ü
3	b-iˤ
2	ǯ-i-r
2	m-u-z
2	m-a-ʁ
2	m-e
2	q̃-o-q̃
2	z-a-n
2	l-ä-š
2	o-q
2	b-öː
2	c̃-i-k̃
2	c̃-a-n
2	š-a-n
2	č̃-i-k̃
2	t-u-r
2	χ-u-n
2	k̃-aˤ
2	k̃-ä
2	m-u-χ
2	p-a-š
2	m-aˤ
2	g-ö
2	m-a-r
2	t̃-o-l
2	p-o-p
2	k-ä
2	u-šˤ
2	k̃-u-n
2	b-i
2	n-ä-d
2	p̃-u-l
2	p̃-u-n
2	r-u-t̃
2	g-e
2	p-e
2	p̃-a
2	m-i-n
2	ʁ-a-r
2	χ-ü
2	v-ä
2	q̃-a-r
2	š-u-n
2	b-e
2	d-u-ʁ
2	č-i-n
2	q̃-a-n
2	k̃-ü
2	d-a-l
2	r-a-l
2	š-u
2	p-o-r
2	ʁˤ-a
2	ʁˤ-a-l
2	ʁ-i
2	l-ä-j
2	l-a-q̃
2	d-e
2	r-e
2	d-i
2	z-ä
2	t̃-a-t̃
2	m-u-ʁ
2	χ-u
2	n-e-c̃
2	χ-o-d
2	l-a-š
2	m-a-χˤ
2	p-ü-š
2	c-a-c
2	r-i-k̃
2	t̃-u-l
2	j-ä
2	d-ä
2	n-a-q
2	χ-e
2	g-ä
2	qˤ-o
2	l-u-ʁ
2	l-o
2	m-ä
2	s-a-n
2	k-ä-r
2	m-i-s
2	b-a-ʁ
2	o-χ
2	m-i-l
2	k-ö
2	š-a
2	t-a-r
2	g-u-l
2	t̃-a-q̃
2	k̃-o-ž
2	d-u
2	k̃-u-l
