f	type
18	r-o
16	r-a
15	m-a
15	b-i
14	b-o
13	c-o
13	r-i
13	r-ä
12	m-ä
12	l-a
11	m-i
11	ã
10	r-ö
10	b-ä
9	n-ä
9	t'-i
9	b-a
9	d-ä
9	n-i
9	k'-e
8	č'-i
8	ʟ'-a
8	s-i
8	ɬ-o
8	q'-i
8	z-o
8	d-o
8	c'-o
8	l-o
7	n-e
7	ʟ'-o
7	k'-o
7	š-e
7	k'-a
7	q'-o
7	c-a
6	ʜ-ä
6	ä̃
6	ʁ-ä
6	m-o
6	t'-o
6	g-a
6	t'-ö
6	ʁ-o
6	q'-e
6	k-o
6	χ-a
6	a
6	č'-ö
6	χ-i
6	ž-ä
6	n-a
6	ž-e
6	m-ü
6	ɬ-i
6	s-o
6	ʟ-o
5	m-ö
5	q-a
5	g-ä
5	ž-ö
5	c'-i
5	č'-ä
5	χ-o
5	i
5	b-e
5	ʟ-i
5	č-ä
5	q-i
5	t'-e
5	l-ä
5	k'-ä
4	t'-a
4	š-i
4	q'-a
4	ʟ'-a-s
4	ʁ-e
4	χ-ä
4	ʟ-ö
4	k-e
4	k-u
4	h-a
4	õ
4	ʕ-ä
4	ʟ'-e
4	s-a
4	č-i
4	k-ä
4	k'-i
4	b-u
4	q'-ä
4	g-e
4	l-i
4	č'-e
4	d-a
4	n-o
4	d-i
3	c-i
3	n-u
3	l-ö
3	p-u
3	z-a
3	k-i-l
3	č-ö
3	h-ũ
3	ʕ-a-l
3	ö
3	k-i-d
3	q-o
3	ʟ'-i
3	h-o
3	š-ü
3	g-ö
3	š-ä
3	w-o
3	d-e
3	m-e
3	χ-ö
3	h-ĩ
3	t-o
2	c'-i-c'
2	g-u
2	k'-ö
2	q'-ö
2	t-i
2	m-i-ʁ
2	m-i-č
2	p-i-r
2	b-ö
2	p-i
2	j-ö
2	m-ü-č'
2	k-ö
2	k-i
2	i-s
2	ö-ž
2	d-i-š
2	k-i-b
2	b-ä-š
2	b-o-l
2	χ-o-r
2	w-a
2	ʁ-a
2	s-o-j
2	b-o-s
2	ʔ-e
2	g-ü
2	m-iː
2	t'-o-t'
2	b-i-r
2	k-a
2	p-ä
2	ẽ
2	ɬ-e
2	h-e
2	t'-u
2	g-o
2	ʔ-a
2	j-ã
2	t-a
2	r-u
2	r-ö-χ
2	c'-a
2	e
2	r-ü-t'
2	r-ä-χ
2	c'-u
2	b-o-r
2	m-ü-š
2	t'-ä
2	ʟ'-ä
2	ʟ-e-r
2	b-u-r
2	ã-c
2	č-e
2	h-i
