f	type
22	r-a
21	n-a
16	m-a
15	b-a
13	g-a
13	a
12	d-a
11	l-e
10	w-u
10	w-a
10	χ-a
8	l-i
8	n-e
8	l-a
8	χˤ-a
8	j-e
7	č-e
7	s-i
7	ɢ-a
7	d-e
7	k-u
6	q'-a
6	ʁ-a
6	x-ɨ
5	m-u
5	χ-ɨ
5	g-ɨ
5	x-a
5	t'-a
5	k-a
5	ǯ-i
4	r-ɨ
4	d-a-n
4	b-u
4	u
4	k-ɨ
4	i
4	č'-e
4	j-a
4	š-i-n
4	w-a-r
4	k'-a
4	t'-e
3	k'-ɨ
3	g-a-r
3	ǯ-a-n
3	d-a-k
3	m-ɨ
3	k-o-k
3	b-aˤ
3	ǯ-e
3	t-i-r
3	p-a
3	c'-a
3	c-a
3	k-e
3	s-a
3	m-a-š
3	qˤ-ɨ
3	m-i
3	šː-e
3	k-a-r
3	ɢ-u
3	aˤ
3	b-e
3	b-ɨ
3	ʁ-u
3	z-a
3	m-ɨ-lʲ
3	t-a
3	w-u-t
3	q'-u
3	j-u
3	ɣ-a
3	k'-a-n
3	d-i
2	k-i-r
2	p-i-kʲ
2	q'ʷ-a
2	nʲ-ɨ
2	m-a-ʁ
2	ʁ-a-z
2	k'-a-r
2	x-ɨ-tʲ
2	g-u-lʲ
2	k'ʷ-a
2	χˤ-o
2	č-u-k
2	χ-ɨ-lʲ
2	lʲ-a
2	t-a-χˤ
2	q'-o
2	n-e-kʲ
2	ɢ-e
2	j-i-k'ʲ
2	k'-ɨ-lʲ
2	k'-u
2	w-i
2	č'-a
2	l-a-t
2	w-u-r
2	kʷ-a
2	b-a-n
2	r-u
2	k-u-k
2	t'-u-r
2	tʲ-u
2	m-ɨ-t'
2	t'-ɨ-r
2	j-i
2	č-i
2	č-i-j
2	d-ɨ-lʲ
2	č-a
2	x-u
2	t-a-ʁ
2	c-u
2	m-i-h
2	m-a-n
2	š-e
2	n-u
2	q'-ɨ
2	k-a-n
2	j-a-n
2	a-j
2	m-ɨ-s
2	g-o
2	b-i
2	d-a-l
2	k'-o-n
2	ǯ-a
2	č'-ɨ
2	dʲ-a
2	q'-u-l
2	z-a-j
2	t'-o-t'
2	z-i
2	č-a-k
2	l-a-g
2	s-ɨ
2	d-i-n
2	t'-ɨ
2	s-u
2	k'-a-š
2	a-r
2	ɣ-a-r
2	g-u
2	f-a
2	n-i
2	sː-e
2	k'-a-l
2	z-i-n
2	ǯ-ɨ-r
2	w-eː
2	r-a-k
2	r-a-b
2	d-a-χ
2	č-u-j
2	k-u-r
2	g-a-lʲ
2	š-a
2	w-a-z
2	ɢ-i
2	r-ɨ-s
2	b-a-r
2	n-a-w
2	nʲ-a-q'ʷ
2	j-i-l
2	l-a-χ
2	w-u-lʲ
1	k'-u-l
1	k-a-l
1	u-lʲ
1	ɢ-a-š
1	q-u-š
1	k'-u-xʲ
1	ɣ-a-lʲ
1	p-ɨ-š
1	p-u-š
1	p'-ɨ-z
1	b-o-k'
1	q'-a-c'
1	m-i-z
1	ʁˤ-o-t'
1	χ-a-m
1	h-ɨ-r
1	q'ˤ-u-m
1	šː-a-g
1	j-ɨ-q'ˤ
1	x-a-lʲ
1	m-i-t'ʲ
1	χ-u
1	w-u-x
1	n-e-n
1	χˤ-ɨ
1	d-ɨ-χˤ
1	χˤ-ɨ-d
1	p-ɨ-c
1	b-ɨˤ-t
1	aˤ-r-d
1	g-u-č
1	kː-ɨ-n
1	kː-ɨ-m
1	χ-u-d
1	x-a-x
1	č'-u-m
1	ɢ-e-lʲ
1	w-ɨ
1	l-i-n
1	tː-a-r
1	q'ˤ-u
1	t'-ɨ-b
1	x-ɨ-n
1	k'-o-r-č
1	oˤ-p
1	k'-a-m
1	z-ɨ-l
1	z-a-m
1	t'-u-n
1	x-u-n
1	j-a-g
