f	type
21	m-i
19	r-e
15	c'-i
13	ʟ-i
12	g-a
12	r-a
11	r-i
11	r-o
11	r-u
10	m-a
9	n-i
9	b-e
9	i
9	i-n
8	k'-a
7	ž-i
7	k-o
7	m-o
7	h-i-n
7	a-n
7	š-o
7	č'-i
7	s-i
6	l-a
6	k-a
6	ʁ-a
6	q'-i
6	χ-o
6	b-a
6	č'-a
5	n-o
5	t'-i
5	ʟ'-i
5	ʟ'-u
5	a
5	z-a
5	m-u
5	n-u
5	č-a
5	ɬ-i
5	c'-a
5	j-a
5	o
5	d-a
5	w-o
5	š-i
5	b-u
5	s-o
5	t'-u
5	t'-a
5	ɬ-o
4	k'-u
4	e-n
4	k'-o-l
4	ʔ-a
4	h-a
4	d-u
4	k'-o
4	d-i
4	c'-e
4	χ-u
4	χ-i
4	j-o
4	kʷ-a
4	š-a
4	č'-o
4	d-i-r
4	šː-i
4	χ-a
4	n-a
4	č-i
4	s-a
4	q-i
3	h-o-n
3	ž-u
3	cː-i
3	a-r
3	b-u-r
3	ʟ'-e-r
3	χ-i-n
3	ɬ-a
3	k'ː-u
3	k'-i
3	c'-u
3	k-u
3	d-a-n
3	t-o
3	t-i
3	h-e
3	k-o-m
3	k'-u-n
3	b-o
3	c'-u-m
3	ʁ-a-n
3	ʁ-i
3	ʁ-u
3	χʷ-a
3	p-a
3	h-i
3	c'ː-a
3	l-i
3	k'-o-n
3	h-o
3	g-u-r
3	d-o
3	č-o
3	g-i
3	b-i
3	ɬ-i-r
3	p-i
3	s-u
3	ɬ-e-n
2	h-a-r
2	s-i-b
2	h-a-n
2	z-u
2	s-u-n
2	n-a-l
2	č'-a-m
2	s-o-l
2	g-o
2	ž-o
2	χ-u-n
2	ʁʷ-a
2	t-a
2	ʟ'-i-l
2	q-u
2	k'-i-l
2	h-u-n
2	s-i-r
2	ʔ-i
2	s-i-m
2	χ-o-b
2	l-o-l
2	šː-e
2	ʁ-a-l
2	q'-a
2	ʔ-o
2	š-u
2	ħ-a
2	ħ-a-j
2	m-a-n
2	k-u-n
2	h-o-r
2	q'-i-n
2	č-o-r
2	c'-ĩ
2	g-e
2	j-i
2	c'-o
2	č'-a-r
2	š-e-n
2	q'-u-r
2	b-e-r
2	m-u-r
2	h-ĩ
2	k'-u-l
2	h-i-m
