f	type
260	гъодду
187	исади
181	ригьи
110	гьитіомадо
105	во
105	иса
104	гьекіа
101	гьитіондду
100	амма
95	денни
91	гьеб
80	игьидду
75	ден
75	биссил
72	вукіодду
69	гьило
68	мен
68	гьегев
62	реху
62	я
60	гьитіон
58	гьегешди
57	сев
57	адам
57	бикіодду
57	зубу
56	гьиласищуб
54	дан
54	сору
51	онщило
50	иду
48	и
44	менни
44	биссиди
42	себ
42	седу
42	гьину
42	гьила
41	гьегевул
39	биссихъи
38	дуй
38	гьегелуди
36	бади
35	ххера
35	идя
35	див
34	гьакъиллълъи
32	мочіи
32	биссий
31	игьи
31	вокіодду
31	гьев
31	гьегелухъи
31	исахъи
30	дуб
29	гьегеб
28	вошо
28	вугъгъодду
28	сер
28	жаваб
27	заман
27	гьонлълъи
27	халгъгъи
27	гьегешхъи
26	рехуду
26	чіегу
26	адамлълъи
25	3
25	4
25	5
25	7
25	8
25	мукъадасаб
25	9
25	10
25	11
25	12
25	13
25	14
25	15
25	16
25	19
25	20
25	21
25	22
25	23
25	24
25	вохудва
25	биссибо
24	6
24	гьиласи
24	17
24	18
24	ишва
24	27
24	28
24	гьиласищуй
24	диб
24	бикіо
24	игьирадо
23	1
23	живгу
23	25
23	26
23	миярекіа
23	29
23	гьинже
23	31
23	2
23	пулан
23	игьо
23	исадилъоди
22	гьигиб
22	гьитіом
22	волълъелтадду
22	30
22	32
22	33
22	34
22	35
22	гьитіонлъоди
22	бигьу
22	гьилакку
22	вугъгъоб
21	вулондду
21	иччидду
21	дичіу
21	динлълъи
21	исачіу
20	гъоддулъоди
20	има
20	бечіуха
20	гьоноб
20	гьоціолълъи
19	хабар
19	адамди
19	иб
19	ешкіа
19	ибул
19	себгуло
19	игьиб
19	36
19	37
19	38
19	гьегелуй
19	буккудя
19	лекіу
19	эншубгу
19	паччагьилъир
18	рейди
18	дий
18	золо
18	вокьу
18	гьилагъгъонси
18	вуккудя
18	бикіоб
18	иччиду
18	мисалло
18	гьекіашди
17	йикіодду
17	гьакъула
17	рошо
17	иччидя
17	39
17	гьигир
17	вохуду
17	гьошди
17	гьегелубо
17	гьегелълъу
16	40
16	41
16	гьочіо
16	къордду
16	вукіудя
16	гьогъгъу
16	волондду
16	вогъгъодду
16	раціціиндду
16	бигъгъодду
16	гьитіомор
16	бикіудя
16	вокіобул
16	сседу
15	рокіо
15	ягьия
15	дучіу
15	гьитіиня
15	42
15	игьиду
15	гьигив
15	гьинукку
15	гьинни
15	ялъибор
15	жив
15	коди
15	гьонов
15	исаб
15	ибгу
14	дубо
14	рокъидду
14	анлъиб
14	43
14	вучондду
14	гьагъгъоб
14	вокіо
14	вукіоб
14	иччи
14	шамати
14	ходидду
14	гьоб
14	тіалаб
14	азабло
14	дибо
14	буртіа
14	биссичіу
13	гьов
13	шур
13	гьиласишди
13	44
13	45
13	эншувулгу
13	гьигилълъу
13	босондду
13	иерусалимло
13	исало
13	гьелдугу
13	зуди
13	шуб
13	икунну
13	рела
13	балагьило
13	вокіудя
13	гьагъгъиду
12	севулло
12	гьиласищув
12	эншдигу
12	раціціин
12	гьагъгъодду
12	адамчіу
12	дило
12	гьегей
12	46
12	47
12	48
12	булълъиб
12	вочіухол
12	ищил
12	иччо
12	мисалла
12	вукіо
12	валидду
12	вучічіидду
12	муридахъи
12	гьакъу
12	гьиціціигу
12	вогъидду
12	ссу
12	рокіолло
11	гьукму
11	шан
11	вотіондду
11	гьегешчіу
11	маъна
11	вочіуха
11	лагъи
11	49
11	гьилудду
11	рецци
11	хоссар
11	амру
11	авареги
11	биссиво
11	вугъгъо
11	севгуло
11	адамий
11	гьал
11	ххучила
11	исай
11	гьедев
11	босомадо
10	решкіондду
10	адамло
10	барка
10	еши
10	суб
10	гьелъешди
10	вогъгъобул
10	пара
10	релъо
10	желъал
10	гьакъуди
10	гьегелуб
10	налукол
10	зологу
10	дуа
10	гьакъулълъи
10	диво
10	ибулгу
10	чіегуло
10	дубгу
10	вокьукку
10	бехудба
10	биссилгу
10	севло
10	вохъоб
10	бичондду
10	гьегешуб
10	себло
9	бокьу
9	гьиласищди
9	заманалла
9	гьевул
9	малайки
9	миярекіашди
9	гьонор
9	воргьандду
9	халгъгъилди
9	52
9	хъвардду
9	эншувгу
9	игьирси
9	вукіолдду
9	речіуха
9	сонсохъи
9	вашодду
9	халгъгъиллълъи
9	вугъидду
9	анччидду
9	вукіуду
9	живолгу
9	ихтияр
9	булълъидду
9	алимадулло
9	талигьилогусол
9	иле
9	вулълъиб
9	мисал
9	вучіодду
9	микъимолъидя
9	имуди
9	хважаиншди
9	хважаин
8	иччиб
8	битіи
8	гьер
8	сирдду
8	гьекіало
8	гьиласищило
8	гьегещди
8	гьекіашуй
8	гьелду
8	дув
8	духо
8	миярекіащуй
8	ціер
8	50
8	израиллълъи
8	лъобгу
8	бухидду
8	гьегеллълъи
8	вугъгъондду
8	эншуб
8	ирбагьин
8	энщуй
8	мунагьол
8	решнолакку
8	ботіи
8	мичіи
8	решин
8	гьегелъу
8	миса
8	ищиди
8	биссийгу
8	анлъидду
8	сей
8	рагьалло
8	онщи
8	релъолълъи
8	гьигилъу
8	вукку
8	духъи
8	ціив
8	муридади
8	гьегелучіу
8	биссиб
8	тигу
8	лъидя
8	вулом
8	гьегешуй
8	босон
8	вочіобул
8	рикіодду
8	гагибол
8	бигъгъидя
8	петершди
8	гьалтіи
8	гъгъиямарси
8	гьегейил
8	воре
7	гъулухъи
7	миярекіащуб
7	миціціа
7	салам
7	51
7	53
7	ибулоди
7	чирдду
7	илълъий
