f	type
460	боли
151	ос
103	хитта
84	ло
83	йаму
71	ун
62	эвдили
51	эбдили
51	эдили
44	йамут
41	зон
40	уiхъаiли
36	бошор
34	гьа
34	лобур
33	йемим
32	итiу
32	ихъна
29	ямут
29	хараши
29	йов
29	гьан
27	абули
27	ноiш
26	эрдили
26	увли
26	хир
26	йамум
24	яму
24	эттили
23	вас
23	лову
23	зари
23	лагьа
23	хъваiли
23	даiхъаiли
22	боттут
22	веiрхъуiли
21	гьарак
21	лiоли
21	бохоли
20	ас
20	гьекьана
20	холи
19	лъоннол
19	элълъули
19	лълъоннол
19	баiхъаiли
19	нокьаши
19	йамуммус
18	ямур
18	йамумму
17	хабар
17	куммул
17	ханни
17	овли
17	кьан
17	йамур
16	эди
16	бошорму
16	эйми
15	каммули
15	я
15	цiор
15	гьараши
15	вит
15	ушду
15	эз
15	дакь
14	и
14	адамтил
14	соли
14	витiу
14	ис
14	нацi
14	ачули
14	хирттут
14	би
14	тiиттут
14	тiитту
14	оiбхъаiли
14	даки
14	нокьак
13	муши
13	битiу
13	хъаiли
13	олiнили
13	йеб
13	цiогьор
12	ботту
12	эвди
12	иттут
12	гъумекуллин
12	ханнин
12	хули
12	лобуру
12	тов
12	гiали-гiашат
11	ниiшит
11	йемиммес
11	хiукму
11	абчули
11	адам
11	къвеiву
11	ди
11	йовму
11	къеiбдили
11	чiабен
11	йеммет
11	къвеiтiу
11	жвен
11	ят
11	дитiу
11	эйттур
11	бува
11	биш
10	доiзуб
10	болiоли
10	йемиммай
10	лап
10	веж
10	нен
10	яр
10	доiзу
10	бошору
10	деiкъуi
10	йав
10	абас
10	улъду
10	эрттили
10	къардили
10	оiрхъаiли
10	теб
9	имик
9	аршаттен
9	лур
9	лагьас
9	ба
9	жунтiу
9	хан
9	икiв
9	увна
9	инж
9	имиш
9	лагамат
9	оiхъаiли
9	цiиххеттили
9	аiлай
9	лобурчай
9	къовдили
9	гатi
9	цал
9	чiеба
9	валлагь
9	къоролай
9	ям
9	ями
8	духриiхъ
8	боттур
8	арша
8	ви
8	доiзут
8	абттили
8	аршашду
8	эбттили
8	лагьарши
8	мусалав
8	тiанкi-боли
8	икiмис
8	экули
8	картiи
8	чiабуву
8	ххамс
8	бокiарчи
8	арси
8	дохоли
8	балли
8	пиллинкiу
7	як
7	яттик
7	гiелму
7	оркили
7	арши
7	заба
7	беiрхъуiли
7	босоли
7	эблълъули
7	нокьиши
7	тiинна
7	кьинчiас
7	цахули
7	умму
7	лъаннан
7	чiат
7	хъазахъилав
7	эвттили
7	бана
7	йаiкъаiн
7	лълъоннолу
7	хали
7	гьани
7	акь
7	данна
7	облiнили
7	йат
7	нокьа
7	щубус
7	йамуммун
7	лобурчес
7	бис
7	акку
7	къоролему
7	пиллинкiому
7	синтiав
7	парчахi
6	бумул
6	чiемна
6	лълъан
6	ямум
6	ухъаiли
6	бий-эблълъули
6	щеттели
6	инжав
6	адамчай
6	варши
6	кiвали
6	ишик
6	тiаловли
6	ямуммун
6	витту
6	осдили
6	зумрат
6	кьанши
6	тенши
6	ямурмин
6	обсдили
6	сиррапан
6	аккус
6	дунил
6	коли
6	базалттик
6	абтту
6	ихъ
6	тiалувли
6	эйттуру
6	дунала
6	улъму
6	жентiу
6	ишна
6	этти
6	окъи
6	кана
6	лекки
6	эймирши
6	оххали
6	гату
6	эiммули
6	заманилиттиш
6	лълъвак
6	дакьлис
6	щийтiаммулчен
6	нессен
6	орхъаiли
5	жун
5	шейх
5	гiуммар
5	улiнили
5	аршаши
5	йемиммен
5	басас
5	заманама
5	жу
5	абу
5	вар
5	обхъаiли
5	жантiу
5	тухтiур
5	боколи
5	бошормун
5	аршак
5	бомхур
5	аммоки
5	бона
5	лъеттен
5	гъумекла
5	ханнис
5	эвхдили
5	тiалабули
5	туманк
5	эмиш
5	ийкiен
5	охъаiли
5	дахдили
5	тамаша
5	ух-къаркъи
5	иттиб
5	муттуб
5	акбар-усбаннин
5	бикъв
5	йеллеттут
5	мусалому
5	варак
5	нокъукун
5	мацiцiаши
5	абттуву
5	щийтiаммулчай
5	йовмус
5	хъахъа
5	акконнулълъу
5	хировли
5	улъдуву
5	адамлин
5	лiохъи
5	ххали
5	без
5	архули
5	ригилит
5	лъибтiу
5	сагiанна
5	куммус
5	баккус
5	къигъ-боли
5	йаiтiи
5	нокь
5	йак
5	кiухiан
5	вур
5	йа
5	бакъкъули
5	баххали
5	ноiшу
5	тор
5	йар
5	квири
5	гiали-гiашатли
5	кул
5	кунг
5	ирккус
5	чiут
5	бошормин
5	гунгум
5	инххин
5	гваччи
5	ниiшин
5	лълъаннарак
4	жунабу
4	ямуммус
4	адамлис
4	шоiртал
4	бос
4	вихдаш
4	емим
4	мисирттен
4	лълъаiмаiтту
4	лiорши
4	жус
4	аккумхур
4	веiхъиiши
4	асхар-усбан
4	бикъвма
4	бикъвмак
4	гъумеклаши
4	цабхас
4	йонсав
4	акбар-усбан
4	биттиб
4	уну
4	увхъи
4	заба-боли
4	аттили
4	ссарумчеiхъ
4	хъазахъилому
4	къудукьа
4	деiкъкъуi
4	аммо
4	ваттик
4	овхъи
4	чiоллиши
4	яб
4	зарак
4	кiонцiол
4	квекдили
4	боiкъоiли
4	тiиттиб
4	уммус
4	эхъишимис
4	вахi
4	аккули
4	тiо
4	ханнарак
4	бий-эвлълъули
4	виш
4	ир
4	муъминат-дозба
4	сини
4	ацiули
4	тiора
4	сагiаллит
4	акьлин
4	эцули
4	абцiули
4	тiекьон
4	ххваккаши
4	акъкъули
4	кiоiгь
4	чiемлиттиш
4	оiч
4	йаiтiили
4	йаiтiитту
4	гатiу
4	кiухiани
4	йамутту
4	чiеллеши
4	уммат
4	эттихъи
4	тот
4	кiан
4	доiзиб
4	лабу
4	икiен
4	ниiши
4	эххули
4	эщи
4	йамурми
4	кiоб
4	ошобчай
4	даблъе
4	лъанна
4	мелiлеттут
4	нусдуру
4	хинийши
4	эбххули
4	лъоннолу
4	чiеiп
4	пищтiан
4	беiрщули
4	бохъи
4	гоiро
4	мукебабас
4	гатутту
4	гатули
4	гьоти
4	лiон
4	ххизина
4	генуккукуннут
4	бакъаранну
4	ранг
4	нацiа
4	аiнш
4	теймай
3	мохiом-загьид
3	барчарши
3	духхур
3	чiуiбаттуб
3	варлiирши
3	муттур
3	кьанкул
3	ссакiу
3	йемметми
3	къвеiннибу
3	абкiули
3	абчас
3	йемметтут
3	биттут
3	аршаш
3	ххули
3	имам
3	хирабули
3	эiч
3	дархирши
3	синтiу
3	ссар
3	гiараб
3	къаннай-мохiоммад
3	кiолматтут
3	эбди
3	ошоб
3	бецiцiотiиши
3	эвххули
3	аршиттен
3	жан
3	ямуммуттиш
3	кумак
3	бакулашму
3	итiав
3	йеймес
3	оiхъаiту
3	келав
3	веiхъиi
3	арули
3	арси-мисиртту
3	беiрхъули
3	обдили
3	эвлъули
3	кватi-гъамкулу
3	яттиши
3	догуву
3	къиййу
3	имат
3	журак
3	нукартил
3	укили
3	болi
3	яхiлит
3	нукартилчай
3	асули
3	мокьоллин
3	хол
3	увкiули
3	увттили
3	хвали
3	арси-мисирттуву
3	лъатта
3	лацуттен
3	лiонот
3	мул
3	ишав
3	ижаллин
3	къувкъи
3	рухi
3	духхуллин
3	ярхуллут
3	мосол
3	гiелемчи
