f	type
114	-лiлiан
102	иду
92	илiана
68	голъе
57	бечана
55	эчана
49	иси
47	жу
45	илъи
44	гьибан
42	ма
41	гьас
41	бунна
41	гойлъа
37	ми
37	да
37	мала
34	де
32	гобчiи
31	гьиба
30	иса
29	йечана
28	лунна
27	лечана
26	гьед
26	бехъна
26	-лiлiа
23	дийа
23	жикiва
22	анкiана
22	гьобожа
22	гъини
21	ужа
21	цiакъ
20	макiана
19	деба
19	жун
19	эхъна
18	лува
18	бугьо
18	илъис
17	гилʼна
16	дилʼ
16	магъол
16	индугъол
15	жене
15	жиду
15	лихна
14	эсахна
14	гокьана
14	акiей
14	мукiо
14	анкъва
13	исул
13	гицiана
13	хабар
13	кад
13	ишу
13	насрудин
13	лъилъукiа
12	лейча
12	во
12	йехъна
12	лъа
12	хехилъана
12	гьадам
12	дихъо
12	йакiана
12	дибири
12	лолхъосаба
11	багьна
11	ужало
11	гьада
11	на
11	йанкiана
11	дебелʼ
11	насрудини
11	локiва
11	чiороло
10	кулна
10	исуло
10	дил
10	эсана
10	къучана
10	гьоро
10	гiумру
10	эс
10	лацiа
10	ца
9	гьадахъулъ
9	къуду
9	адгъолижа
9	дуду
9	къуни
9	гобичiу
9	гойлъо
9	шикьун
9	иди
9	илiа
9	гьади
9	дибир
9	ансе
9	воле
9	боцiа
8	амма
8	гьечiчiе
8	этвана
8	ужас
8	гiалiа
8	лiихвана
8	эча
8	инду
8	лагу
8	зебу
8	кадна
8	гъина
8	боцiи
8	илʼа
8	гъагъачу
8	гьастiа
8	гилʼа
7	гъур
7	ман
7	гьоболъи
7	ликъабчiу
7	исухъол
7	лагьна
7	дилʼо
7	дебел
7	адгъол
7	беча
7	анкiагьа
7	йатiана
7	жогьо
7	бештiана
7	агьна
7	индул
7	гьигьа
7	гъаде
7	зигьин
7	илъилʼ
7	тошу
6	муша
6	илъило
6	игьаха
6	лехъа
6	лiиб
6	анкiа
6	буйа
6	багу
6	замана
6	лацiан
6	эчагьа
6	хъартайи
6	даца
6	йа
6	бухъ
6	шикьу
6	кiвена
6	илiо
6	ишун
6	йезна
6	бестiал
6	жиди
6	йукъучiи
6	луво
6	никъна
6	канди
6	лалъала
6	заманакьо
6	битiе
6	гъинахъол
6	кандеба
6	илʼо
6	зари
6	зигьинс
6	дибиргъал
6	локiвалъна
6	беда
6	бегавулес
6	бекье
6	холи
6	гьибак
6	камунист
6	ыхi
6	йакьади
5	бекьес
5	игьо
5	жаваб
5	дебло
5	ложа
5	эштiана
5	разилъана
5	локiван
5	бехъхъо
5	кьала
5	кьалал
5	гьинкъоса
5	алукiа
5	бечаналiа
5	хiалтiи
5	осна
5	шикьана
5	къунич
5	ос
5	тiокiав
5	акiейжо
5	ингогъол
5	хъубар
5	гьибанна
5	голъелiа
5	хъартай
5	цуцана
5	эсо
5	буккойа
5	илъил
