f	type
400	да
385	ва
303	бир
285	иса
276	деп
259	ону
235	о
224	де
215	дей
179	булан
176	буса
158	бу
157	огъар
146	олар
136	болгъан
134	шо
129	мен
119	учун
111	мени
104	сизге
100	олагъа
98	аллагьны
94	булай
94	сиз
93	исаны
89	сонг
89	сени
84	сен
83	бары
83	неге
80	оланы
78	заман
78	тюгюл
73	сизин
71	адам
70	амма
70	не
63	эте
61	заманда
59	оьзюню
57	болуп
56	гелип
56	дагъы
55	бере
54	жавап
53	болажакъ
53	аллагь
53	шолай
51	этип
51	туруп
50	кёп
48	бола
48	янына
47	сагъа
47	дин
46	магъа
46	эгер
42	бар
42	чыгъып
42	сав
40	халкъ
40	ким
39	онда
39	йимик
39	алып
37	эки
37	исагъа
36	гьей
36	тура
36	оьзю
36	бютюн
35	зат
34	уланы
34	къатын
33	кюйде
33	сорай
32	дуа
32	айтаман
31	гьакъында
31	гюн
31	биз
31	он
30	ондан
30	гьали
30	гете
30	дейлер
30	яда
29	алдында
29	бек
29	аллагьгъа
29	гьар
29	барып
29	адамлар
28	уллу
28	къала
28	гёрюп
28	нечик
28	эди
28	бизин
28	инсанны
27	гелген
27	бирев
27	шону
26	керен
26	оьзюне
26	геле
26	я
26	адамны
25	гёре
25	саялы
25	барысы
25	башгъа
25	яхшы
24	деген
24	халкъны
24	гьеч
23	уьюне
23	сыйлы
23	муна
23	башлай
23	къаршы
22	этмеге
22	бири
22	ерге
22	якъчылары
21	оьзлени
21	мунда
21	затны
20	ягьия
20	этген
20	бара
20	язылгъан
20	затланы
20	устаз
20	гьакимлик
19	бизге
19	болмай
19	йибере
19	янгыз
19	бириси
19	къарап
18	герек
18	этеген
18	петер
17	къабул
17	ёкъ
17	оьз
17	къайтып
17	баш
17	шоссагьат
17	алимлер
17	бирче
17	айта
17	тек
17	бай
16	раббибизни
16	арасында
16	мариям
16	этме
16	халкъгъа
16	сонгугюн
16	якъчыларына
15	адамланы
15	пача
15	анасы
15	макътав
15	ер
15	ерусалимге
15	ата
15	раббим
15	сёзлени
15	этелер
15	уьстюне
15	болур
15	адаршай
14	айтып
14	яш
14	затлар
14	токътап
14	айтгъан
14	еси
14	яман
14	уьй
14	уьйню
14	атам
13	оьзлер
13	хыйлы
13	малайик
13	чи
13	муну
13	бугюн
13	гёрген
13	симон
13	этигиз
13	сорайлар
13	сама
13	эт
13	каламын
13	азап
13	къатынлар
13	фарисейлер
13	чакъырып
13	тюшюп
13	рабби
13	тас
12	сююнч
12	чыкъгъан
12	беш
12	адамгъа
12	таба
12	яшны
12	башлайлар
12	этмек
12	башлап
12	къалгъан
12	олтуруп
12	гьирод
12	биревню
12	гелеген
12	артыкъ
12	турагъанда
12	берген
12	ичинде
12	этежек
12	чы
12	къоюп
12	къатынны
12	сюе
12	юз
12	билип
12	масал
12	бирлери
12	уьйге
12	инкар
11	гьакъда
11	гючю
11	сёйлеп
11	олай
11	раббибиз
11	гьакимлигини
11	месигь
11	ичине
11	гьайран
11	пилат
11	товба
11	сувгъа
11	пайхаммар
11	оьзюн
11	къолуна
11	къайтарып
11	жинлер
11	нече
11	ерде
11	ашап
11	йиберип
11	акъча
10	тутуп
10	къуллукъ
10	къуллукъчу
10	закария
10	элизабет
10	иш
10	ибадатханада
10	юсуп
10	гирип
10	уьстюнде
10	шогъар
10	болсун
10	шагьаргъа
10	болмагъа
10	гиччи
10	тарыкъ
10	ерли
10	бирине
10	хабарны
10	гери
10	гючлю
10	язывларда
10	гьакимлиги
10	къычыра
10	арты
10	янгы
10	гёрмеге
10	тепсиде
10	тюбюне
10	барагъанда
9	арив
9	чыгъа
9	раббибизге
9	иман
9	гележек
9	сёзлер
9	янындан
9	арасындан
9	инг
9	уьч
9	эшитип
9	бирге
9	хабар
9	ягьияны
9	гьисап
9	багъып
9	экенни
9	тул
9	ашама
