f	type
684	бур
301	куну
243	ур
231	эсал
219	ва
166	на
159	заннал
159	га
159	тіий
143	бивкіун
132	цала
123	дур
120	ца
117	эса
111	ивкіун
108	хьуну
106	му
96	ганал
93	ттул
90	гай
90	бувну
87	зу
86	амма
84	тіурча
77	ина
63	яла
62	буллай
61	циняв
57	гайннал
57	лавгун
55	кьини
53	чіумал
53	бан
49	ура
48	гайннахь
47	дуллай
46	ганахь
46	увну
46	зун
46	зухь
44	хъунма
43	зана
43	дурну
43	ціусса
42	ци
42	хъин
41	вил
39	инсантал
39	тіисса
39	гьан
36	бувсса
36	оьрчі
36	чіявусса
36	зува
36	я
36	ціувххуну
36	най
35	вин
35	вила
34	ттун
34	гайннан
34	ссавния
33	ххал
33	хьхьичі
33	цанчирча
33	вай
32	диркіун
32	арс
32	жаваб
32	адимина
31	хьунтіиссар
31	зул
30	дуллуну
30	ччай
29	махъ
28	іун
28	ххассал
28	буккан
27	хъирив
27	бувсун
27	тіайла
26	ганан
26	бувкіун
26	бакъа
26	зула
25	хавар
25	тіун
25	увкіун
25	дан
25	инсан
25	ккаккан
25	цува
24	7
24	10
24	хъинну
24	15
24	16
24	кьамул
24	28
24	вана
24	ттула
24	9
24	бунагьру
24	залуннал
24	эсахь
24	дуниял
24	буллан
24	ми
23	1
23	буслай
23	11
23	12
23	14
23	хъанай
23	дайсса
23	31
23	8
23	26
23	27
23	мукун
22	6
22	13
22	17
22	18
22	19
22	гъан
22	20
22	29
22	32
22	зал
22	24
22	25
22	ялун
21	хьусса
21	нигьа
21	чіун
21	23
21	30
21	35
21	2
21	3
21	4
21	ягу
21	ссупралух
20	5
20	халкь
20	21
20	22
20	укунсса
20	жу
20	муаьллим
20	ка
20	жиндри
20	цаппара
20	буру
20	мюталимтал
20	утта
19	ххарисса
19	ялувманал
19	хьун
19	33
19	34
19	37
19	38
19	дирхьуну
19	эбадатру
19	кунма
19	бикіияра
19	ххуллун
18	бусса
18	дуаьрду
18	щарсса
18	махъру
18	36
18	бюхттул
18	дурсса
18	бувцуну
18	шайхту
18	аціния
18	бувара
18	оьвкуну
17	бивкісса
17	ціа
17	39
17	цивппа
17	ппу
17	иш
17	буссар
17	вичіи
17	иман
17	учин
17	ливкма
16	дуллан
16	унува
16	якьувлул
16	ттуйн
16	кіанал
16	ликкан
16	буллуну
16	укун
16	бавну
16	баціан
16	чани
16	гьарца
16	оьрму
16	бува
16	аьлимтал
15	утти
15	инсантурал
15	бувккуну
15	циван
15	40
15	къатлувун
15	ганил
15	уллай
15	щала
15	та
15	цайми
15	дянив
15	дишалартту
15	инава
15	увккуну
15	кіулну
15	кіия
15	мунияту
14	ккавккун
14	ан
14	къавхьуну
14	махіаттал
14	бивк
14	ярусалимрайн
14	аьркинссар
14	цал
14	іан
14	щил
14	ивкісса
14	тахсир
14	цила
14	аьс
13	кіул
13	вихь
13	вих
13	шавай
13	микку
13	41
13	42
13	43
13	нину
13	буттал
13	дуллусса
13	бунува
13	масихі
13	эсан
13	туну
13	зунма
13	луттирдай
13	щяивкіун
13	чіалай
13	дунияллий
13	мюталимтурахь
13	язугъ
13	кіанай
12	цанма
12	яхіъя
12	заннайн
12	дакі
12	куна
12	увкуну
12	къахъанай
12	рахіму
12	багьну
12	44
12	48
12	бакъасса
12	заллу
12	жула
12	жува
12	бивкіссар
12	ялтту
12	лавсун
12	іиссар
12	бурив
12	цахьва
12	увцуну
12	47
12	инсаннал
12	ччаті
12	шикку
12	эсачіан
12	петр
12	тти
12	канай
12	ганачіан
12	агар
12	бакъар
11	бантіиссар
11	гъалгъа
11	хъунмасса
11	кьудрат
11	49
11	идавс
11	хьхьичіун
11	душ
11	шагьрулий
11	залгу
11	марці
11	ливксса
11	46
11	къатлуву
11	икіан
11	ялагу
11	халкьуннал
11	жин
11	кув
11	гаціана
11	лагма
11	лавхъун
11	агьну
11	парисайтал
11	вихшала
11	ларсун
11	увкісса
11	буллалисса
11	къазахъ
11	бавціуну
11	цаннал
11	харж
11	дунияллул
11	адиминал
11	гьарзат
11	хъус
10	ишру
10	антіиссар
10	ялугьлай
10	давудлул
10	мариян
10	мяъна
10	дулунтіиссар
10	ганайн
10	ххарину
10	45
10	бантіисса
10	жул
10	ивкіуну
10	лявкъуну
10	дуссар
10	яхіъянал
10	мукунма
10	дуаь
10	эсайн
10	урувгун
10	буну
10	зуй
10	арцу
10	зугу
10	ганащал
10	ххишала
10	шяравун
9	тіайласса
9	эбадатханалуву
9	даву
9	авціуну
9	ххари
9	кіура
9	хіадур
9	увсса
9	шагьрулийн
9	хъуннасса
9	бувххун
9	талихі
9	нава
9	акъа
9	мукунсса
9	цучіав
9	чивчуну
9	рухіирал
9	гайннащал
9	агьали
9	хіакьину
9	баян
9	ванал
9	барачат
9	нанисса
9	ливчіун
9	гайннахьхьун
9	цама
9	дакъасса
9	аьркинсса
9	гьаз
9	ивзун
9	эсалгу
9	жун
9	къатлул
9	шагьрулул
9	нагу
9	бувкісса
9	багъишла
9	бакі
9	гикку
9	ашрапи
9	чіярусса
9	петрдул
9	увкусса
9	ххачлий
8	халкьуннахь
8	куццуй
8	закарья
8	кіиягу
8	дагьну
8	малаикнал
8	увкумур
8	къуртал
8	цукун
8	рухі
8	бавчуну
8	лахъну
8	хъунманал
8	ккалли
8	бикіантіиссар
8	хъун
8	50
8	52
8	экьи
8	дусса
8	ххуллу
8	бунагьирттал
8	дуллалисса
8	багьлай
8	цащала
8	кіива
8	чіивисса
8	буслан
8	пасхалул
8	кіира
8	ганах
8	гьанна
8	оьрчіру
8	янна
8	ухьурча
8	цамур
8	мяйжаннура
8	оьккисса
8	бивзун
8	вев
8	цуксса
8	симон
8	миннат
8	дишин
8	ачу
8	учинтіиссар
8	бухьурча
8	дулун
8	хъинсса
8	ттучіан
8	чіарав
8	циняннаяр
8	тіар
7	жунма
7	щарссагу
7	эбадатханалувун
7	лякьлуву
7	ххуллийх
7	бюхъайсса
7	маз
7	хіал
7	ххюва
7	юсуп
7	бюхъайссар
7	марияннул
7	ціана
7	цичіав
7	гьантрай
7	баяйхту
7	53
7	56
7	оьрчіан
7	дакіний
7	якьув
7	багьайсса
7	ярусалимрай
7	кумаг
7	ганай
7	цавай
7	щар
7	вихну
7	шагьру
7	мудан
7	ххай
7	уссу
7	чіу
7	так
7	ахъулсса
7	дурккуну
7	ягьуда
7	мяйжаннугу
7	тіимур
7	да
7	ахир
7	куннахь
7	чансса
7	цичіар
7	бувгьуну
7	тай
7	насу
7	бакірайн
7	ялув
7	авчуну
7	хіачілай
7	зия
7	дува
7	хіарачат
7	бала
7	ххирану
7	ити
7	ччимур
7	мюталим
7	хіисав
7	ливтіуми
7	циняннан
7	мисал
7	ттуяту
7	махъунай
7	ххуллий
7	залуннан
7	аціва
7	авадансса
7	пилатлул
7	чивчумур
7	сий
7	каялушиву
7	хъункагьинтал
6	калам
6	мунин
6	пикри
6	паччахі
6	закарьянал
6	ххуллух
6	эбадат
6	урчіа
6	лавай
6	барт
6	хіикмат
6	гайннайн
6	хьувкун
6	миллатрал
6	ссалам
6	сукку
6	51
6	шанма
6	ххаришиву
6	ххирасса
6	сагъну
6	румуллал
6	сардарну
6	арх
6	цакуну
6	ливккун
6	зучіан
6	анаварну
6	тавратрай
6	вийн
6	буклай
6	хъиннува
6	гьирод
6	щинай
6	ххуйсса
6	мурхь
6	цанна
6	эсагу
6	иблисрал
6	ччан
6	ціарду
6	циняннал
6	яру
6	ува
6	хъами
6	ццаххандарал
6	дуккан
6	бувгьусса
6	ганалгу
6	душиву
6	ярусалимрая
6	учіан
6	дус
6	хіалал
6	парисайтурал
6	щилчіав
6	гагу
6	цачіанма
6	вакилтал
6	бавтіун
6	мунил
6	бикіан
6	иттавсса
6	куц
6	учирча
6	бушиву
6	дукра
6	ичіаллил
6	ххуллийн
6	багьсса
6	щин
6	дурцуну
6	буххан
6	хьумур
6	55
6	дакъар
6	духіан
6	багьантіиссар
6	кьиямасса
6	къума
6	дантіиссар
6	ттущал
6	идавстуран
5	миннал
5	ккавксса
5	бивхьуну
5	мукіру
5	малаик
5	гьиродлул
5	авладраясса
5	чулух
5	нигь
5	заннан
5	ціагу
5	ниттил
5	дуну
5	цачіана
5	бусан
5	увксса
5	бувчіуну
5	кьюлті
5	ттуй
5	бунни
5	кьатіув
5	вий
5	ганихь
5	бувссар
5	ганахьхьун
5	абадлийсса
5	дучіан
5	акъасса
5	хъунасса
5	дакіру
5	кьюкьин
5	ккаши
5	дулара
5	цавува
5	дакъа
5	имандалий
5	амру
5	ивхьуну
5	къатта
5	мабусари
5	малаиктал
5	уллан
5	ссавруннайн
5	кіанайн
5	дирзун
5	хьуннин
5	кьурван
5	ачин
5	яруннан
5	дуаьгу
5	ціаний
5	бувтун
5	циняннахь
5	шин
5	чіумалгу
5	усса
5	аьлимтурал
5	луглай
5	пилат
5	циняр
5	ибрагьимлул
5	мабулларди
5	гужсса
5	къама
5	бакірай
5	аьй
5	инара
5	иблис
5	зума
5	дургьуну
5	эбадатханалул
5	аціан
5	буюр
5	къатраву
5	идавсил
5	цукунчіавсса
5	симоннул
5	щуну
5	байсса
5	щихьчіав
5	агьалинал
5	лавгсса
5	ккарккун
5	зуманив
5	къертту
5	тіунтіиссар
5	юхіанна
5	була
5	эсаяту
5	уххан
5	ціухлай
5	чахир
5	мунал
5	цири
5	архіал
5	улучара
5	яннагу
5	чіа
5	тіалав
5	бувми
5	жаназа
5	мюталимтурал
5	ппай
5	щарссанил
5	занай
5	аьрщарайн
5	уссурвал
5	думур
5	хъусгу
5	54
5	аьрххилий
5	урив
5	личіи
5	уккантіиссар
5	цума
5	учара
5	инагу
5	оьсса
5	бикіайссар
5	инсангу
5	кіанттурдай
5	шайссар
5	бургияра
5	хъу
5	дурив
5	зий
5	лахъан
5	ивк
5	ивчіан
5	эсащал
5	іуну
5	чару
5	хаиншиву
5	ссупра
4	чивчусса
4	хіурмат
4	иширттая
4	хьунни
4	заманнай
4	увххун
4	елизаветал
4	цаймигу
4	дучіайхту
4	къахьуншиврул
4	адиминан
4	дирк
4	язи
4	ахиргу
4	бакъассар
4	ягьудинал
4	лякьлувусса
4	хъанан
4	занная
4	абадлий
4	бивкіми
4	чув
4	ххира
4	кунна
4	57
4	юх
4	ппив
4	увкуссар
4	яхъанан
4	унутіий
4	нур
4	кіа
4	хъуна
4	ялапар
4	ппурттуву
4	хъанахъисса
4	ганин
4	гьантта
4	хьхьуну
4	ссавруннай
4	бавмур
4	личілулну
4	угьан
4	ялувманая
4	гайннаща
4	ттухьхьун
4	ккавккунни
4	агьалинан
4	заннаха
4	бувмургу
4	ціакь
4	нину-ппу
4	луглан
4	вичіилий
4	бивтун
4	кіанттурдайх
4	чіумалли
4	ххишаласса
4	бивхьусса
4	къалайкьссара
4	юсуплул
4	давуд
4	тикку
4	муксса
4	дулунна
4	ялавай
4	къахьунтіиссар
4	малаиктурал
4	сант
4	ивтун
4	лагма-ялттусса
4	цинявгу
4	бувмур
4	акъассар
4	жазан
4	ціуціаврил
4	зунттуйн
4	бувхсса
4	адиминагу
4	пуч
4	кіулли
4	кьаивтун
4	къабувну
4	хъамалушин
4	занан
4	ччаннавунгу
4	муса
4	ганач
4	щябивкіун
4	гьалилайннал
4	къашавайми
4	бувккун
4	вагу
4	гива
4	циванни
4	ціуну
4	мюталимтуращал
4	адиминахь
4	за
4	мусан
4	бумиру
4	ливкманал
4	чири
4	хъинбала
4	винма
4	зувагу
4	буржирай
4	умудрай
4	булувара
4	аьйрду
4	бувціуну
4	мисалгу
4	бакъарив
4	цукунни
4	къабикіайссар
4	муна
4	къатри
4	лащан
4	хіаписарнал
4	ягьудитурал
4	иявайсса
4	дустал
4	мабара
4	тіийра
4	увкума
4	къазахънахь
4	авну
4	къатравун
4	чіюлусса
4	ушиву
4	дарціуну
4	оьвкусса
4	цукунсса
4	хьунтіисса
4	мюталимтуран
4	ххявххун
4	думанан
4	хъуслил
4	чирахъгу
4	бансса
4	дихьлай
4	чанті
4	къадагъа
4	билаятрайн
4	бити
4	ихтияр
4	ларххун
4	нанийни
4	икіу
4	даххана
4	вакилтурал
4	кіану
4	арамтал
4	гайнналгу
4	аьзаврду
4	шамулку
4	инсаннан
4	шиккун
4	ириян
4	къарщи
4	нани
4	зузалт
4	хіакь
4	арснал
4	хіакъираву
4	вина
4	агу-авттуну
4	ххуллул
4	агь
4	лахьхьин
4	ихтилат
4	чіалачіимур
4	идавстурал
4	явара
4	тіутіул
4	лаххан
4	кіулссар
4	мугьлат
4	аькьлу
4	кунмасса
4	чіюй
4	инжирданул
4	ттукку
4	нач
4	мажлисрайн
4	зуйн
4	архну
4	лявкъунни
4	ванай
4	мулкирай
4	уссара
4	зуна
4	авладрая
4	дакінийн
4	къакіулли
4	махъругу
4	уссил
4	байран
4	хъаннил
3	вичіан
3	чичин
3	хіакьсса
3	хьуншиврул
3	яхъанахъисса
3	къабивкіун
3	закарьянайн
3	бивну
3	аьркинну
3	кьанкь
3	бивчуну
3	ццах
3	маусара
3	тачіав
3	бачин
3	баншиврул
3	кьудратгу
3	лагантіиссар
3	бакъашиву
3	гьалилайнавусса
3	назарет
3	мукъурттил
3	мабусара
3	хъунбутта
3	паччахі-
3	ттигу
3	ликкантіиссар
3	заннаща
3	бурхха
3	оьрчігу
3	тирххандарайн
3	сан
3	думанал
3	цайнма
3	чіалачіи
3	бас
3	гуж
3	ливчуну
3	аякьа
3	дирукун
3	58
3	59
3	60
3	къабюхълай
3	ванан
3	яхіъяри
3	гава
3	бавсса
3	цу
3	оьрчіал
3	банна
3	мурахас
3	увчіуну
3	хьунтіишиву
3	жунна
3	тіулунттуву
3	чулданий
3	хьунсса
3	ивхьусса
3	ккаккайхту
3	хіухчалтрал
3	хіайран
3	тасттикь
3	тавратрайн
3	тапшур
3	булун
3	вихсса
3	симеон
3	бувк
3	симеоннул
3	ганаяту
3	пикрирду
3	шинай
3	дугьлай
3	ярусалим
3	гьалилайнавун
3	ттух
3	аьркиншиву
3	цимурца
3	муния
3	кьабитияра
3	тіутіисса
3	хьуннав
3	гьарцаннан
3	гьай
3	хьунтіиссару
3	ччарча
3	ціухлан
3	кіидачіияра
3	акъара
3	уссар
3	авкьуну
3	цайвасса
3	мугу
3	мукуна
3	аьч
3	пикрилий
3	ибрагьим
3	хіаллай
3	ккашил
3	акъар
3	аьйкьин
3	дирияннин
3	гиккусса
3	луттирду
3	гивун
3	буч
3	ливчіми
3	агьалинай
3	ттухь
3	учинна
3	ильяс
3	билаятрай
3	шагьрулийсса
3	кумагран
3	цуя
3	сситтул
3	муруллийх
3	лахъсса
3	чіуний
3	увтун
3	мютіий
3	инсантурава
3	дучіавай
3	аьркинссара
3	бусласисса
3	къаехъ
3	симоннухь
3	чавахъру
3	гьарзатгу
3	кьадиртун
3	увгьусса
3	вища
3	чурх
3	хьушиву
3	нех
3	кьудратрай
3	къак
3	цайнна
3	бивтссар
3	изуча
3	изу
3	щяивкісса
3	рязи
3	акъарча
3	бикіай
3	бикіайсса
3	хъамал
3	гайнначіа
3	духсса
3	чахирданул
3	хіачіан
3	цувагу
3	цалагу
3	хъинавав
3	аьлимтурахь
3	парисайтурахь
3	аьркинссарив
3	маслихіат
3	увгьуну
3	гайнная
3	мюталимталгу
3	къаччан
3	душмантал
3	хъинмур
3	дуллалияра
3	дула
3	инавагу
3	миннан
3	мунихлу
3	ялувсса
3	бишайссар
3	тахсирду
3	ссахі
3	къала
3	шайсса
3	дакіниву
3	буна
3	тіутіимур
3	буллалима
3	щиха
3	бусанна
3	бияннин
3	гьанурдугу
3	аьрщарай
3	инсанни
3	къалайкьну
3	уну
3	хьуна
3	іукун
3	гания
3	шагьрулува
3	агьалигу
3	хъунманан
3	ганий
3	увккунни
3	ціуххин
3	азарду
3	ккавкмур
3	бусияра
3	букілай
3	тіайлану
3	паччахінал
3	лавхьхьусса
3	дукан
3	парисайнал
3	ливсса
3	хъамалу
3	махъгу
3	ччаннайн
3	буси
3	ччанну
3	ванил
3	баннав
3	дунияллиясса
3	хъус-хъиншиву
3	бавтісса
3	хъув
3	гайми
3	хъама
3	марцісса
3	къабишайссар
3	ласияра
3	хьхьирил
3	тия
3	чулийн
3	бувксса
3	насуча
3	оьттул
3	къархьуну
3	цурда
3	душнил
3	дуркіун
3	кьуцуру
3	дансса
3	кьаті
3	хаваргу
3	къашаваймигу
3	машан
3	бувхъун
3	ливкманан
3	хъункагьинтурал
3	цана
3	барча
3	лагаврил
3	цивппагу
3	бивкіукун
3	къакіулну
3	цагу
3	биян
3	къачіалачіисса
3	нара
3	уллалиманал
3	ссят
3	бухлаган
3	гайннахгу
3	ивкіусса
3	инсантурахь
3	ччисса
3	залуннахь
3	насияра
3	сса
3	бигьану
3	шагьруй
3	тайннал
3	зумух
3	зухьхьун
3	бувнутіий
3	буттан
3	щинчіав
3	идавстал
3	паччах
3	аьркинмур
3	лиххан
3	цумари
3	ярихоннайн
3	хъямала
3	авттуну
3	буртти
3	дуллалийни
3	ччяни
3	жугу
3	5-6
3	кьуті
3	байхту
3	хьурча
3	бикіайхту
3	ккукку
3	диркісса
3	къаккаккантіиссар
3	ціанасса
3	кьабивтун
3	парисай
3	хіурматрай
3	ливтіуну
3	къадурну
3	укунгу
3	ливкманайн
3	итантіиссар
3	буруккин
3	бутіа
3	диван
3	бурувччуну
3	вайксса
3	банмур
3	дарххуну
3	цадакьа
3	цурку
3	лявкъусса
3	къазахътал
3	мулкирал
3	таммихі
3	ціу
3	бакіуйн
3	данди
3	баціантіиссар
3	ласнал
3	чулуха
3	лачіун
3	акъахьурча
3	буржирал
3	бия
3	халкьуннаву
3	бурув
3	бугьлай
3	ярусалимуллал
3	дукралийн
3	щябикіан
3	вийнма
3	ххуймур
3	учіайхту
3	ларай
3	дустурайн
3	нясив
3	инсантурайн
3	ласав
3	лажинни
3	хіаллава
3	биттур
3	къауккантіиссар
3	мяммай
3	ласлай
3	бучсса
3	кьунча
3	уссия
3	занахьуну
3	дуллалима
3	оьвтіун
3	чил
3	гама
3	мискинсса
3	лазар
3	аваданманал
3	къабантіиссар
3	барчаллагь
3	дучіантіиссар
3	кьинигу
3	ратіайма
3	учіу
3	хіакьмур
3	чіарах
3	закгьай
3	шамилчинма
3	уссияв
3	дирчуну
3	бишиннав
3	дурчіин
3	дуллуссарив
3	ахъниха
3	къадуллуну
3	ахънил
3	бакъана
3	ччиссар
3	зущал
3	кьуру
3	инсаннай
3	бараба
3	гьаттайн
2	1-2
2	3-4
2	бакіраяту
2	байбивхьуну
2	гьарзатрал
2	ттунгу
2	вихьва
2	бивкімур
2	бушиврий
2	кагьин
2	елизавета
2	бавціусса
2	ххишалдаран
2	даврил
2	тіааьнсса
2	кіунурду
2	къабувххун
2	кіанттул
2	диза
2	даража
2	ганаву
2	баен
2	оьрчіащал
2	бавкьуну
2	мютіи
2	бакъами
2	ялувма
2	илчи
2	куннасса
2	рухігу
2	малаикнахь
2	дугьара
2	уккайхту
2	инсантурангу
2	ишанну
2	цайва
2	буржлувсса
2	гьантри
2	24-25
2	къалавгун
2	инсантурая
2	зуруй
2	ряхва
2	пикрирдавун
2	учавантіиссар
2	паччахішиву
2	хъаттиралун
2	ласунтіиссара
2	биялалий
2	оьрчіайнгу
2	хъуннар
2	бац
2	марияннухь
2	лайкь
2	хьуми
2	паччахітал
2	буччин
2	ибрагьимлун
2	дакінин
2	шаппай
2	ссуннат
2	дизан
2	63
2	64
2	лахізалий
2	итххявххун
2	65
2	66
2	оьрчіая
2	67
2	іи
2	68
2	тархъан
2	душмантурая
2	жуйнма
2	хъунисса
2	лагъ
2	буттахъай
2	дитанна
2	кьутіи
2	буссаксса
2	марціну
2	бюхттулсса
2	ачинтіий
2	кіанан
2	миллатран
2	рахіму-ціими
2	лахъантіиссар
2	ссавний
2	чаннал
2	бивкіу
2	биянтіиссар
2	авлахърай
2	паччахілугърай
2	сияхі
2	даншиврул
2	мариянгу
2	цулцугу
2	бикіансса
2	хіухчалт
2	лякъинтіиссар
2	цаннахь
2	бачияра
2	цинма
2	мяйва
2	22-23
2	бакъассагу
2	бант
2	нитти-буттал
2	щукру
2	халкьуннан
2	миллат
2	хіайранну
2	миннаха
2	савав
2	лишан
2	тухумраясса
2	анна
2	зумарду
2	гайннач
2	оьрч
2	назаретрайн
2	аькьлу-кіулши
2	лахьлай
2	байрандалийн
2	чіавасса
2	ярусалимрайва
2	ниттин
2	кьинилул
2	ссан
2	къабувчіуну
2	ягьудиянаву
2	гьалилайнаву
2	филипп
2	уклай
2	агьалинахь
2	яхіъяная
2	леххаву
2	ххуллурду
2	зунттурду
2	саргъун
2	чіалантіисса
2	биссуншиврул
2	букілакіисса
2	бакъархха
2	кьувкьуну
2	ціаравун
2	дулайсса
2	яхіъянахь
2	гайннахьгу
2	арцугу
2	бивссуну
2	іиссару
2	чіатіа
2	бичинтіиссар
2	ціараву
2	улклул
2	дуснакьравун
2	ххи
2	21-22
2	ссав
2	маттат
2	леви
2	малки
2	маттитья
2	минна
2	нухі
2	виувціусса
2	авлахърайн
2	хъяврин
2	паччахілугъру
