f	type
285	я
274	лагьана
231	ам
193	са
188	ада
176	исади
165	ва
144	амма
132	и
125	хьана
124	квез
122	вичин
120	за
117	адан
113	аллагьдин
103	жеда
96	адаз
96	иса
93	зи
89	абуруз
88	абуру
86	абур
86	ви
81	вири
80	авай
80	гьа
77	галаз
77	куьн
75	а
74	атана
73	патав
72	патал
72	зун
72	гана
71	вун
71	лугьуз
65	куьне
62	вуна
62	жаваб
61	хабар
61	ваз
59	вуч
57	тир
57	фена
55	лугьузва
54	вилик
54	хва
53	куь
52	гзаф
52	заз
52	авуна
51	яз
50	ван
49	исадин
48	гъил
47	ийиз
46	хьайила
46	ківализ
43	гьакі
43	чан
41	кас
40	юкъуз
39	абурун
39	кьуна
38	аллагьди
38	лагьай
37	алай
37	чпин
37	элкъвена
35	кар
34	вучиз
34	хьиз
34	жуван
33	инсанар
33	гьар
33	чіавуз
33	ая
33	хьи
32	чаз
32	вич
32	чіехи
32	вуж
32	кьве
32	агъа
31	инсандин
30	ни
30	гафар
28	аллагьдиз
28	кьван
27	чи
27	арада
27	хьайи
27	сад
27	лагьайтіа
27	ийида
27	исадиз
26	ківале
26	9
26	аваз
26	чир
26	кваз
26	алаз
26	кіан
25	5
25	паб
25	6
25	7
25	8
25	10
25	11
25	12
25	15
25	халкь
25	21
25	22
25	кьулухъ
25	кьил
25	гуз
25	захъ
24	1
24	квай
24	ийизвай
24	акурла
24	13
24	адал
24	14
24	16
24	17
24	18
24	хьурай
24	20
24	23
24	24
24	25
24	28
24	жедач
24	2
24	3
24	4
24	хьухь
23	крар
23	гьикі
23	туш
23	19
23	адавай
23	31
23	32
23	ана
23	26
23	27
23	яб
23	хьайитіа
23	маса
22	лугьудай
22	адакай
22	пак
22	вахт
22	кьилиз
22	29
22	33
22	34
22	девлет
22	гуда
22	адахъ
22	инсан
21	дуьаяр
21	30
21	лугьуда
21	35
21	буба
21	килигна
21	лазим
21	хтана
21	хъсан
21	чна
21	чіуру
21	тахьайтіа
20	рекье
20	вичи
20	ятіа
20	37
20	сада
20	це
20	ахъайна
20	фу
19	чпиз
19	кичіе
19	тівар
19	им
19	36
19	38
19	ваъ
19	инал
19	эгечіна
19	чун
19	вичиз
19	ша
19	гузвай
19	икі
19	къарагъна
19	гьич
19	тилмизриз
19	ахпа
19	яна
19	лагь
19	кьилел
18	абурухъ
18	акуна
18	зурба
18	къведа
18	гьатна
18	ракъурна
18	ингье
18	пачагьвал
18	пуд
18	гуж
18	югъ
18	харж
18	авайди
18	ава
18	киш
18	сагъар
18	килиг
17	чирвилер
17	хьун
17	хьанвай
17	галай
17	инсанри
17	жедай
17	39
17	ярусалимдиз
17	гъана
17	бес
17	ціуд
17	ківалин
17	гуьгъуьна
17	абурукай
17	жинерар
17	мад
16	шад
16	вахтунда
16	аллагь
16	40
16	41
16	гила
16	эй
16	ятіани
16	гъиле
16	пул
15	кьиле
15	акур
15	аял
15	42
15	бахтавар
15	къуват
15	къачуна
15	гьам
15	чеб
14	садра
14	жемир
14	халкьдин
14	экъечіна
14	хъфена
14	яни
14	43
14	44
14	реббиди
14	рикіел
14	гаф
14	халкьди
14	чкадал
14	эверна
14	кьиса
14	пекер
14	хтайла
13	авур
13	ягья
13	жузуна
13	мягьтел
13	инсанрин
13	45
13	46
13	47
13	туна
13	рехъ
13	гвай
13	ціикьвед
13	муаллим
13	гъейри
13	адак
13	ийизва
13	акъвазна
13	акси
12	чіалахъ
12	лап
12	адалай
12	гун
12	гафарин
12	вил
12	шегьердиз
12	48
12	гьасятда
12	шукурар
12	аниз
12	хьанва
12	хъувуна
12	халкьдиз
12	аватіа
12	къван
12	тилмизар
12	ківал
12	кіанзавай
11	реббидин
11	аялар
11	ребби
11	гъавурда
11	амай
11	тіимил
11	вад
11	майрам
11	49
11	пайгъамбар
11	хуьз
11	шукур
11	чилел
11	сифте
11	чка
11	къе
11	абурувай
11	артух
11	гудай
11	ягьяди
11	квевай
11	затіни
11	исадихъ
11	къвез
11	иман
11	ихтияр
11	тилмизри
11	куьнни
11	квекай
11	суфрадихъ
11	атайла
11	гъвечіи
10	атай
10	гайи
10	дуьз
10	рикіивай
10	ийидай
10	рекьяй
10	эхир
10	рикі
10	реббидиз
10	регьим
10	гьихьтин
10	гьахъ-михьи
10	гунагьрилай
10	жезвай
10	уьмуьр
10	шегьерда
10	руш
10	санал
10	рекьел
10	акахьун
10	авун
10	лайих
10	ацукьна
10	гьарайна
10	акі
10	мумкин
10	къвезвай
10	мукьва
10	папа
10	петруди
10	ина
10	пай
9	девирда
9	авачир
9	хьтин
9	йикъар
9	авайда
9	52
9	хиве
9	тухвана
9	тун
9	эцигна
9	акъатна
9	месигь
9	анал
9	экв
9	къекъвез
9	цик
9	тирди
9	патай
9	каламда
9	ийимир
9	кьадар
9	кіанзава
9	пад
9	садазни
9	физвай
9	вине
9	чин
9	ухшар
9	анжах
9	ківаті
9	кьена
9	агъади
9	гимишдин
9	хашуниз
8	малаикди
8	чехир
8	ксар
8	жедайди
8	вахъ
8	куьтягь
8	авач
8	ала
8	руьгь
8	хилас
8	50
8	чукурна
8	53
8	хьанач
8	чпи
8	ціийи
8	пачагьдин
8	садаз
8	акъудна
8	хийир-дуьа
8	ирид
8	пилатіа
8	вичихъ
8	кхьенвай
8	хъия
8	атанвайди
8	кьаз
8	квел
8	ихьтин
8	гьадаз
8	тавуна
8	виридан
8	тирвал
8	вилер
8	тушни
8	куьмек
8	арадай
8	жин
8	адани
8	закай
8	къахчуна
8	акъваз
8	бурж
8	алад
8	шегьердин
8	бязибур
8	къведай
8	тіуьн
8	лугьузвай
8	тежедай
8	дуьа
8	квехъ
8	кьада
8	къакъудда
8	бубади
7	гзафбур
7	къуллугъ
7	зекери
7	шадвал
7	инсанриз
7	къведалди
7	акъвазнавай
7	агакьайла
7	акъатда
7	патавай
7	фин
7	диде
7	51
7	амукьна
7	акатна
7	ягьядин
7	эмир
7	кутуна
7	мукьув
7	гузва
7	ихтилатар
7	ярусалим
7	жагъун
7	тахьана
7	кхьенва
7	авуртіа
7	виридалайни
7	твада
7	жува
7	давамарна
7	чил
7	шегьер
7	устаз
7	кьунвай
7	сагъ
7	кяна
7	тварар
7	мегер
7	недай
7	тавратдарар
7	хъсанвал
7	гьана
7	тилмиз
7	гафариз
7	низ
7	килигиз
7	гунагькар
7	иесидиз
7	кіанз
7	элкъуьрна
7	анай
7	заті
7	гьикьван
7	хуьруьз
7	хьанвайди
7	рак
7	чкаяр
7	гваз
6	гьакіни
6	элисабат
6	кіевелай
6	гъилера
6	акъуддай
6	эрчіи
6	гьеле
6	исраилдин
6	тийиз
6	чіал
6	ибур
6	давудан
6	пачагьвилин
6	къуй
6	тадиз
6	виниз
6	56
6	гада
6	тіалабна
6	кичі
6	кардикай
6	пайгъамбаррин
6	хкаж
6	йикъара
6	къачун
6	шегьердай
6	авайла
6	ишара
6	ийиз-ийиз
6	ярусалимда
6	рекьин
6	сив
6	фидайла
6	хьайитіани
6	стха
6	аквада
6	ибрагьим
6	гьазур
6	тар
6	нихъ
6	тада
6	гьируд
6	винел
6	чкіана
6	алатна
6	жув
6	жинжи
6	исадивай
6	лугьун
6	къадагъа
6	муькуь
6	ягъиз
6	ярх
6	гъваш
6	атанвай
6	касдиз
6	нивай
6	къарагъ
6	ахлад
6	герек
6	садани
6	куьгьне
6	кьазва
6	душманар
6	ківатіна
6	хъийида
6	виле
6	инсанди
6	вач-хъша
6	пачагьлугъда
6	кіандай
6	аватай
6	твадай
6	54
6	пачагьлугъ
6	кьейи
6	дуьньяда
6	бубадиз
6	вафа
6	папар
6	агъадиз
6	хура
6	манат
5	пачагь
5	къецел
5	малаик
5	къудрат
5	хъийиз
5	виликамаз
5	кутунвай
5	хьуй
5	майрама
5	гъуьлуьз
5	аллагьдилай
5	тийидай
5	лукі
5	лагьайвал
5	зекеридин
5	цаварай
5	хкажна
5	авайбур
5	дидедиз
5	мергьемет
5	шадвилер
5	эцигиз
5	аялдин
5	рази
5	рикіе
5	гьадахъ
5	авайдаз
5	давуд
5	экуь
5	жагъида
5	цаварал
5	жагъана
5	йикъалай
5	къанунда
5	кіанзавайди
5	азад
5	акатнавай
5	мусадин
5	дидени
5	баркалла
5	агъуз
5	йисуз
5	песагь
5	тавурла
5	бубадин
5	ягьудатда
5	кьилин
5	хахамар
5	къахчуда
5	ибрагьиман
5	датіана
5	майваяр
5	ківачин
5	стхадин
5	къазаматда
5	эвичіна
5	ягьуд
5	иблисди
5	зал
5	сивяй
5	жузам
5	хъел
5	юкьвал
5	пачагьвиликай
5	вирин
5	луьткведа
5	вегьида
5	ківачерик
5	вавай
5	исадикай
5	ацукьнавай
5	касди
5	фарисейри
5	амни
5	хъваз
5	садбуру
5	пачагьдиз
5	гьахьна
5	тіуьна
5	юкъузни
5	итим
5	тахсир
5	хъхьана
5	квезни
5	пис
5	инсандиз
5	рекьидай
5	чувудрин
5	кьилив
5	авай-авачир
5	михьи
5	куьз
5	агъада
5	тавратдарри
5	атанва
5	иесиди
5	касдин
5	яд
5	чпихъ
5	гьавиляй
5	акун
5	пекерни
5	завай
5	вичел
5	физ
5	55
5	гьина
5	хтанвай
5	агъзур
5	садни
5	тіварціелай
5	физва
5	гьадакай
5	вазни
5	жаза
5	чидач
5	вал
5	къахчу
5	ахьтин
5	несилдиз
5	беден
5	тахсирар
5	тур
5	пачагьлугъдиз
5	вунни
5	хъша
5	вегьена
5	яргъал
5	хтанва
5	тавурай
5	кьвед
5	гвачиз
