f	type
333	гьа
330	рухьура
326	ки
192	гьӏасара
160	ад
148	са
139	ай
139	амма
130	хьур
129	а
125	ваӏ
119	на
116	гьание
108	гьаъара
107	сиене
107	гьӏаса
99	йиъи
85	джуды
84	гьанийды
83	за
83	хьели
82	ми
80	выды
78	гьабыр
78	руъура
78	гедеэне
75	зы
71	вы
71	изды
71	не
66	и
66	гьааса
65	йинчид
65	хала
64	ваӏс
63	ваъара
61	хьуйне
60	выхьды
58	илсанашды
58	кал
56	шыв
55	ва
54	диш
54	йикиси
52	я
51	дух
50	ихтилат
50	гьыъыр
49	вас
49	вылцӏара
49	лаъ
48	бадаана
48	гъаъ
47	гьаъ
46	хулкара
46	гьабише
44	дур
43	зас
43	йыгъа
43	ваӏде
43	эдеми
42	гьис
42	йишир
41	мадды
41	йигара
40	гьади
38	выдж
38	виъи
38	гьӏасад
37	ваъас
37	ун
36	хъуъ
36	джываб
36	аллагьад
36	гьабишис
35	хабар
35	улихьде
35	гьаъас
35	сес
35	бес
35	диндид
34	гъад
34	гьанийде
34	гьабишде
34	бегеде
33	илсанар
33	нагагь
32	ес
32	илагьиед
32	захда
32	дуруъура
31	е
30	гьаъад
30	выъыр
29	йиъий
29	гьамыъ
29	саъ
29	адиш
29	йиркьыр
28	джу
28	ти
27	гьадыыла
27	гьай
27	диъи
27	хьуъ
26	инаамиш
25	1
25	2
25	3
25	4
25	5
25	6
25	7
25	8
25	11
25	12
25	гьанийс
25	13
25	14
25	18
25	19
25	20
25	21
25	22
25	23
25	24
25	куьмег
25	маа
25	мадана
25	гьанийис
25	дид
25	лазим
24	9
24	10
24	15
24	17
24	25
24	26
24	27
24	28
24	29
24	кид
24	джигиди
23	ихьды
23	хъуна
23	гичӏ
23	16
23	30
23	31
23	32
23	иесси
23	гунаабыр
23	балад
23	йикисдиш
22	выси
22	хъывылцӏара
22	сахьусды
22	шегьерди
22	33
22	34
22	хана
22	ваъ
22	йыгъ
22	тиние
22	пагьӏчаалыгъ
21	арыди
21	кар
21	шад
21	35
21	шукур
21	миди
20	гьанийыы
20	37
20	гьанийдаа
20	мисе
20	бала
20	ягъмиш
20	кишды
19	къари
19	рыкъӏа
19	вахт
19	руъуд
19	36
19	38
19	тимбише
19	йинчихьде
19	ешемиш
19	гьӏар
19	илагьи
19	гьагуйне
19	гвалах
19	гьаъаси
19	магьӏалим
19	ана
19	хыл
19	къул
18	гьанийхда
18	дикиси
18	шууна
18	кьухьды
18	хыных
18	йидкьыр
18	гьабишды
18	ади
17	халкь
17	гид
17	чӏел
17	39
17	джус
17	йаӏкв
17	джыбра
17	хад
17	ихтияр
16	лал
16	гьӏаламат
16	йинчире
16	гьухьуси
16	име
16	40
16	иерусалимди
16	гьӏасас
16	йиъид
16	йыхды
16	джан
16	иди
15	дишир
15	ваъаси
15	фикир
15	йикӏыы
15	41
15	выр
15	гьаасад
15	кьул
15	рухьуд
15	выс
15	аа-уу
15	гъиигъа
15	шудаъ
15	гьадид
15	хьед
15	гьал
15	хьыв
15	йыхьыр
15	кьӏвар
14	вахтинди
14	хьура
14	гьухьуд
14	йыкьаси
14	йишийне
14	42
14	43
14	нин
14	мисед
14	гьухьур
14	гьеми
14	улесды
14	сиенебише
14	мутагьӏлимер
14	тимбыр
14	умуд
14	хьыдылды
14	валыг
14	гьӏасаб
13	чалыш
13	дугьӏабыр
13	рухӏ
13	джухьды
13	гьӏазыр
13	вада
13	илсанашис
13	миние
13	44
13	45
13	46
13	47
13	даъара
13	йигад
13	иблис
13	бейде
13	гьацӏара
13	багъыш
13	улере
13	дишди
13	хал
13	гадакъ
12	адбыр
12	илсанаше
12	хъӏугъӏуре
12	йиниш
12	мыс-га
12	48
12	гьӏасаба
12	сиенебишис
12	азад
12	мусуд
12	сукьур
12	хаджалат
12	гьабишихьван
12	вуруъура
12	темиз
12	маъ
12	йиъина
12	гьихьяъ
12	гьӏасада
12	сада
12	аъ
12	эдемиере
12	ара
11	йишид
11	хынимер
11	кьыле
11	эккед
11	йибкьыр
11	49
11	хакьыр
11	шешин
11	пайгъампар
11	ачых
11	йикӏе
11	лузур
11	джвер
11	гьагур
11	йикисды
11	кире
11	шиви
11	улабыр
11	гьӏасахда
11	дуьзене
11	гьабишдаа
11	вадаа
11	гьалысна
11	вияъ
11	ваӏдаа
11	петр
11	масак
11	сыраа
10	малаикере
10	дугьӏа
10	йишири
10	гьанийхьван
10	таа
10	лышан
10	салам
10	чӏилмыд
10	гьала
10	сиенебыр
10	зада
10	хъӏудире
10	джвершис
10	симан
10	уу
10	гвалахбыр
10	кьатӏ
10	иблисере
10	аа
10	дишме
10	сабыйды
10	луза
10	гьили
10	суьхьде
10	гьӏумир
10	диван
10	хӏаар
10	дар-агъаджаа
9	баладбыр
9	диъий
9	кьуле
9	гыргара
9	яхӏ
9	давыдды
9	рыш
9	шивди
9	йинчис
9	кьухьа
9	йывхӏыр
9	аллагьара
9	50
9	рагьӏим
9	52
9	рахъӏ
9	нур
9	хырыда
9	аӏчӏур
9	дыхьыр
9	хыле
9	гьидис
9	суруула
9	кихьир
9	йиш
9	чӏелбыр
9	заа
9	кьулуу
9	иблисмар
9	гьухьус
9	магьӏалимер
9	йикис
9	устӏулахда
9	цӏинды
9	чахыр
9	гьанийклаа
9	анахъун
9	кине
9	еш
9	суруу
9	гьӏуьмир
9	кӏыбди
8	хъуд
8	гьабишихда
8	ий
8	мываъ
8	гуьзет
8	ухьне
8	йисухь
8	майрама
8	каӏчӏури
8	51
8	53
8	ваъад
8	вишир
8	кадгъӏуре
8	кьуувет
8	йыгъырма
8	ил
8	мибыр
8	шу
8	джухда
8	задаа
8	халды
8	хӏар
8	даваа
8	мибише
8	хъаъара
8	виъий
8	йидж
8	фарисейер
8	гъана
8	накьудыы
8	рагъара
8	хъиркьыр
8	бырдж
8	уле
8	руъурдиш
8	сидилгара
8	гьӏасадаа
8	рыхъӏ
8	хӏале
8	вылцӏад
8	шийибыр
7	йиъиме
7	йишин
7	яхӏйе-пайгъампар
7	пагьӏчаа
7	адиший
7	садахьурка
7	эхир
7	ги
7	халаа
7	рухьурай
7	майрам
7	ваа
7	риъи
7	хылихьде
7	мидыыла
7	выд
7	джуда
7	йикӏ
7	54
7	духъунды
7	выш
7	дыкьа
7	сигыр
7	кий
7	дуьнйадид
7	сен
7	диший
7	сыда
7	ахтармиш
7	яхӏйе-пайгъампарара
7	якьуб
7	дахьвдарак
7	гьабгура
7	хъыъыр
7	вышди
7	джандаа
7	цӏай
7	тиниъ
7	геми
7	бегьем
7	рых
7	кӏабал
7	иерусалимдид
7	джишир
7	гъайри
7	сур
7	мутагьӏлимеше
7	гьыъырди
7	нагьакь
7	шууды
7	тӏымлад
7	выъыд
7	дырых
7	пагьӏчаалыгъа
7	мыс
7	хъиркьыйне
7	кидбыр
7	хьибыдхьусды
7	ваӏклаа
7	диде
7	духара
7	дерде
7	захьван
7	иянатбыр
7	пылата
7	сукьа
7	викиси
7	йицӏыб
6	шадды
6	гьыъыд
6	гакъара
6	захарие
6	гьувгуйне
6	гьагуси
6	израилдид
6	йинчыы
6	рыкъӏаӏ
6	сигыд
6	гьаъарай
6	натыдже
6	гудж
6	гъигъене
6	бахтлы
6	къуллух
6	халкьдис
6	хъидкьыр
6	55
6	56
6	каӏбчӏура
6	йикӏиклаана
6	гьалгара
6	яхда
6	еде
6	халкьдид
6	ер
6	бейдаа
6	дуруъус
6	гьадиклаа
6	лийир
6	лешур
6	джухьван
6	даъаси
6	гине
6	хук
6	рази
6	иуда
6	йиъинехъун
6	уула
6	ви
6	гьаммыра
6	синагогама
6	ихтилатбыр
6	синагогади
6	джыгаа
6	гъигъе
6	секки
6	шийтӏамашде
6	виригъ
6	шегьердаа
6	араа
6	зак
6	гьанийихда
6	силгара
6	инаамишвалды
6	лухъузур
6	йыкьа
6	хакьас
6	сукбыр
6	мидиъ
6	йидкьыд
6	гьакь
6	мутагьӏлим
6	вацӏара
6	майит
6	шийтӏамар
6	бытӏрад
6	выъыри
6	йыкьас
6	петрара
6	гакъас
6	хьесым
6	йиъиди
6	мукъӏа
6	иессиеде
6	ваӏхӏде
6	манут
6	тахсир
6	пай
6	пайгъампарар
6	агьӏдиет
6	шыв-га
6	варлы
6	иессиере
6	пагьӏчаагьара
6	духул
5	дуьз
5	иудеядид
5	йыгъбыр
5	елизавета
5	хылис
5	гьӏатирбыр
5	вырыхӏыре
5	минийде
5	яхӏйе
5	илагьиес
5	ливкьыйне
5	алгара
5	галилеядид
5	эдемиед
5	минийхда
5	илагьиере
5	кьадар
5	вахда
5	иудеяди
5	сибхьура
5	рухсат
5	гакъыр
5	выри
5	далгара
5	азадвалды
5	васи
5	шегьер
5	гьыъыри
5	уликлаа
5	са-сынийде
5	къаанундик
5	симана
5	писды
5	хиндадый
5	дидис
5	руъурай
5	дидды
5	яхӏйе-пайгъампарад
5	илсан
5	ибрайим-пайгъампар
5	гьыъыхь
5	сытӏа
5	шуд
5	гьыъыйне
5	хӏал
5	гьагва
5	кьабыл
5	касибешис
5	минийды
5	гаӏш
5	лука
5	пагьӏчаалыгъаклаа
5	кьӏваб
5	янан
5	джигима
5	магьӏалимеше
5	фарисейеше
5	вахӏде
5	рагьӏат
5	гьагури
5	мутагьӏлимешде
5	даъас
5	сив
5	гьаъадбыр
5	йыкьамаъ
5	йыгъад
5	гьӏарчед
5	писвалды
5	хъӏал
5	гьаъасди
5	мутагьӏлимешды
5	кагъӏуре
5	хатир
5	дыкьыркьаси
5	гьалды-га
5	гьадыхда
5	йикьире
5	миннет
5	аӏчӏус
5	ругъур
5	векилер
5	хыди
5	фарисейере
5	танга
5	хъыгара
5	темени
5	йиширдиш
5	выши
5	мукъӏма
5	маддыбыр
5	гьадыы
5	шубаӏ
5	гьалдаана
5	ветере
5	хъаъас
5	гьадаа
5	хьуб
5	йикье
5	лухъузаси
5	йиркьыйне
5	сыние
5	ваӏхьван
5	мадугъӏ
5	гьацӏаардиш
5	рак
5	шагырташде
5	ма
5	къулашды
5	гъеблесдиш
5	сувгуд
5	лазар
5	нагьакьды
5	куб
5	хьыле
4	чӏилмыы
4	иродды
4	гъарсыд
4	лувзур
4	гьувургара
4	малаик
4	хылыы
4	шадвалды
4	йикӏбыр
4	чӏирид
4	гьухьудбыйды
4	руъумаа
4	елли
4	гимийичӏ
4	якьубды
4	уджагъли
4	руръура
4	дыъыр
4	57
4	58
4	59
4	вылцӏаардиш
4	йигаарди
4	килхьере
4	гьакьаллы
4	галилеядаа
4	хӏабаӏхъӏанер
4	малаикмар
4	джигидаа
4	карбыр
4	йыгъаала
4	йисухьды
4	кини
4	садакьа
4	симанда
4	рухӏдире
4	аллагь
4	гьӏасаклаа
4	израилди
4	ашгара
4	лап
4	садаки
4	галилеяди
4	калагур
4	арыдаа
4	халкьара
4	ирод
4	дибирер
4	къума
4	каӏчӏуйне
4	мидаа
4	гьыъырдиш
4	гъа
4	сукур
4	гьабишиклаа
4	даъад
4	синагогадид
4	джывыр
4	сулкара
4	чилбыр
4	гемиди
4	магьӏлим
4	йинчыыла
4	гьалдаа
4	духарыхда
4	киди
4	чӏир
4	йисды
4	йыха
4	йибкьыйне
4	къуру
4	макъыет
4	эдемиеде
4	либкьыр
4	шагырт
4	банаа
4	гьабишыы
4	шагыртар
4	гьӏараасат
4	тух
4	пашмал
4	душманар
4	гьалга
4	адбыйды
4	халбыр
4	къулас
4	джавыдашды
4	духарды
4	суал
4	ваъасды
4	йыхӏыс
4	субкьура
4	гьакьды
4	цӏамды
4	сук
4	диъина
4	къат
4	лилкьара
4	дагулды
4	тимбишде
4	йаӏ-ваӏ
4	гьанийе
4	джанде
4	хъургъур
4	вишири
4	себеб
4	гьанийик
4	мыхыр
4	хваб
4	гьилды
4	нахӏ
4	дегиш
4	джыъыр
4	гакъ
4	хъывыъыр
4	хъывыси
4	гьабишыыла
4	тарг
4	даъ
4	хъыхьыр
4	калды
4	кывырхӏа
4	икьрар
4	хадбыр
4	марфа
4	ай-га
4	выше
4	гьадире
4	адишды
4	йиширди
4	йыхӏыд
4	мибыйды
4	хыдиймар
4	агъмиш
4	девлет
4	ад-ахъыд
4	сырыхчи
4	гьухьухьна
4	шийи
4	белки
4	гидбыр
4	фарисей
4	иерусалим
4	сихъилгара
4	багъышлемиш
4	дидде
4	бына
4	кьухьние
4	дуьнйадыы
4	гьадаана
4	йыкьасды
4	ивир
4	лювуш
4	йыкьамаа
4	илсанашыыла
4	загьӏый
4	джем
4	тимбишды
4	хьылеше
3	кардымыклаа
3	хьураа
3	цихилдиклаады
3	кьӏваӏрси
3	темизды
3	миъминер
3	елизаветас
3	кьӏаӏсе
3	захариере
3	лирхьед
3	аӏчӏури
3	гъаъна
3	ливкьыр
3	суьдке
3	хъадаъаси
3	ид
3	гьалгас
3	ыхьаӏ
3	гьаъаарди
3	хъиркьыри
3	либхьуйне
3	заала
3	назаретди
3	рышед
3	ришир
3	джугъӏуд
3	телесыхана
3	шадваӏлире
3	рыъыр
3	йыхвалды
3	куьмегбыр
3	ибрайим-пайгъампарас
3	хьиб
3	60
3	нине
3	61
3	вышне
3	62
3	тинийис
3	азадчи
3	выгыр
3	дикис
3	мычӏахъваӏле
3	гьувга
3	вуруъуд
3	гъадухъунды
3	аркӏа
3	тӏына
3	мал
3	агаси
3	гадкъас
3	дукар
3	хьурди
3	хъуьдуьргъуьр
3	сиъин
3	марана
3	къаанундире
3	гьыъын
3	кьӏваӏб
3	кас
3	гьухьури
3	луьздес
3	лидхьур
3	йиркьыри
3	цӏыкьӏваӏд
3	дирхьара
3	хьибды
3	суалбыр
3	мат
3	дишири
3	гьакьал
3	пылат
3	накьудид
3	илсанашде
3	гьухьусды
3	емиш
3	хулкарай
3	ание
3	багъ
3	хӏаӏаӏр
3	ирода
3	гьӏасаа
3	хӏаляа
3	сесед
3	гирамигды
3	амзырбыр
3	амзыр
3	лубзура
3	гьӏатир
3	быркьӏыдбишис
3	мибишде
3	эдемиер
3	хъыъыри
3	йыхӏыр
3	йыкьӏаӏ
3	гедылгара
3	хьуд
3	симанды
3	ягъӏаре
3	ядал
3	секин
3	джура
3	едебыр
3	гиихье
3	гьаммыс
3	гьацӏарай
3	кеэйид
3	шегьерма
3	илсанашыы
3	кьвакьымыы
3	гьабишик
3	духре
3	балгъуд
3	джузанды
3	дибиред
3	мыса-пайгъампарара
3	вак
3	налуг
3	йикисиме
3	хуйяа
3	лаӏшур
3	улес
3	цӏыкьӏваӏр
3	мутагьӏлимешихда
3	лакьаб
3	хъадацус
3	яхъӏ
3	кӏваӏчӏе
3	диъиди
3	хӏалире
3	гемаа
3	дешере
3	хъыдгара
3	гьунар
3	дал
3	емишбыр
3	гьаъаардиш
3	гьаъади
3	къандах
3	дели
3	халкьдиде
3	вишийне
3	эскерер
3	къулада
3	хъуй
3	гьанийихьван
3	гьӏаюхь
3	хъишир
3	худкас
3	йишидбыйды
3	гаӏчӏур
3	кӏаъды
3	фарисейды
3	гъилабас
3	эдемияхда
3	бырджли
3	гьацӏад
3	кинийис
3	гьӏасахьван
3	диъид
3	мария
3	ладжбар
3	рыкъӏыде
3	гибхьура
3	гадкъара
3	шадна
3	луьвкӏва
3	ливилхьере
3	йидкьыдбишис
3	гьагун
3	сир
3	джикисды
3	хьваам
3	анийис
3	хӏаашуси
3	кӏабалаклаа
3	гъара
3	дыкьыркьара
3	кьиямат
3	гъилаба
3	вахьде
3	къаривыл
3	гьӏасахьде
3	гьасса
3	хъырых
3	эдемиес
3	ридж
3	медеш
3	яхъӏбыр
3	йикихь
3	гьаадхӏыри
3	са-сабише
3	каалды
3	балугъ
3	гьагъзыр
3	гвал
3	дибиреше
3	дуьнйа
3	малаикмыд
3	кьӏваӏр
3	цӏырбыр
3	чӏири
3	ехьван
3	ладжбарар
3	гъилыы
3	дыхьыйне
3	лейихды
3	вын
3	иерусалимдаа
3	хъачахашды
3	гьыъыхьвна
3	хьыдыние
3	лазимды
3	садхыр
3	высды
3	къал
3	гуджехьван
3	сагъна
3	кабгъура
3	тӏитӏ
3	ваъади
3	кеэпӏес
3	садакьабыр
3	багьа
3	гьаъасдиш
3	выъыхьвна
3	девлетлиере
3	дыкьаси
3	сагьӏатаа
3	быгаа
3	кафирешды
3	пешкеш
3	гьӏазырана
3	бахтлыер
3	къулар
3	джаъад
3	хъикьаси
3	кьухьдына
3	ятал
3	гьалыы
3	ул
3	мизан
3	гыргаси
3	алгаардиш
3	каӏчӏур
3	яц
3	йымаӏл
3	ибрайим-пайгъампарад
3	иерусалимдыхдана
3	цухьрудыхда
3	шумур
3	ама
3	ераа
3	дагьӏви
3	чӏабал
3	веш
3	уьлкиди
3	дана
3	кагъат
3	манние
3	хъума
3	вырды
3	девлетли
3	мыкьлад
3	язухъ
3	ибрайим-пайгъампарара
3	хъыгаъ
3	гьухьухьвна
3	луьздуьр
3	дибирешде
3	гьӏазабыр
3	выгглис
3	кьулис
3	кьатӏлаама
3	лийес
3	гетӏва
3	пайгъампараше
3	къизилед
3	ледкьыйне
3	хъӏваӏнчӏ
3	дибирешис
3	магьӏалимешис
3	агъсакъалар
3	багъдид
3	пагьчаагьад
3	римдид
3	велед
3	гъарсыр
3	са-садбыр
3	меслагьӏат
3	гундзмыд
3	сыдыбкьӏыре
3	тӏиз
3	сытӏаъна
3	дадал
3	заклаа
3	петра
3	пылатды
3	хъӏахъӏджаачӏур
3	реъ
3	мибишис
2	лукара
2	йибкьыд
2	кихьиси
2	дибир
2	гихьийне
2	лыдж
2	лагь-магь
2	гилий
2	гьухуси
2	лихьиси
2	иессияхда
2	гаӏчӏуси
2	ильяс-пайгъампарад
2	дидабашды
2	дуьздыбыр
2	гьацӏаси
2	малаикедаа
2	джигьил
2	джибриъил
2	вахьван
2	каргъӏуре
2	хьудды
2	вазыра
2	гьӏайиб
2	рышахда
2	кеэръир
2	гирамиг
2	атабаба
2	тах
2	гидиш
2	гьухуд
2	джудгъӏуд
2	йикий
2	бегедене
2	захариед
2	хьылешикляа
2	гьухьудыы
2	гьӏунар
2	адбишис
2	хылихьван
2	тухдыбыр
2	хадишне
2	йибкьыри
2	бейдедбише
2	суннат
2	лихьис
2	хынхыд
2	63
2	64
2	65
2	кугъӏуре
2	банымыы
2	66
2	кидхьур
2	67
2	68
2	куьмгуьс
2	69
2	70
2	71
2	душманашиклаа
2	даъасды
2	72
2	хывкьас
2	кьин
2	мисгинер
2	адухъунды
2	эли
2	гъанийды
2	лаӏхъӏаӏшуси
