f	type
286	ki
270	a
255	i
249	o
243	sa
212	me
209	pine
201	e
195	i̇susen
186	şot
173	ama
152	iz
127	saal
122	şot'aynak
121	isə
116	vi
113	bez
112	ğar
106	şot'oğo
103	və̆x
99	bakala
96	t
93	buxačuğoy
93	ef
92	tadi
92	zu
92	i̇z
85	baki
82	şot'in
80	oşa
79	ay
78	şot'ay
78	nu
68	şot'oğon
64	gele
64	hari
61	t'ŏğŏl
61	i̇susi
59	u
59	za
59	i̇susa
58	tene
57	bĕš
57	i̇sus
56	kala
54	hun
54	şo
54	pi
53	hər
51	ak
51	bito
50	amdar
49	içoğoy
49	va
48	vədə
47	p
46	k'oya
46	bakale
44	şot'oğoy
44	loxol
44	yaq
43	haq
43	metəre
42	əgər
42	və̆n
41	görə
40	boş
40	taśi
37	k
37	bütüm
35	ma
34	baksuna
34	barada
34	amdarxo
33	ük
32	arane
32	burqi
32	mot
32	q'ončux
32	sagala
31	şorox
31	amdarxon
31	vaxt
30	nə
30	pit'un
29	coğab
29	ğine
28	ği
28	şaat
28	şot'oxun
27	beş
27	q'ončuğoy
27	i̇nsani
26	buxačuğo
25	1
25	2
25	əşurxo
25	3
25	4
25	5
25	6
25	7
25	8
25	9
25	10
25	11
25	12
25	13
25	14
25	15
25	16
25	17
25	18
25	19
25	20
25	21
25	22
25	23
25	24
24	coğabe
24	25
24	26
24	27
24	28
24	29
24	k'inək
24	hayzeri
24	nex
23	bex
23	baśi
23	30
23	31
23	bava
23	hat
23	yan
23	baksa
23	amdara
22	nəəl
22	ĭvel
22	amdarxoy
22	c'eri
22	32
22	33
22	34
22	35
22	gala
22	amdaren
21	mŭq
21	metər
21	q'erəz
21	bala
21	mo
21	t'et'iya
21	xavare
21	eğala
21	nexsu
21	şuk
21	şot'oğoxun
20	s'ila
20	q'ončuğon
20	ŭqŭmci
20	36
20	37
20	içu
20	ext
20	oq
19	yax
19	sal
19	ala
19	şey
19	38
19	eçeri
19	ç̆oyel
19	amdari
19	i̇çu
19	k'anun
19	kot
18	s
18	çuux
18	əyitmoğo
18	qaybaki
18	he
18	mani
18	xavart'un
18	efi
18	tet'un
18	ibaki
18	het'aynak
18	sunt'in
17	xavar
17	bitot'in
17	əyit
17	axır
17	mandi
17	bi
17	39
17	baft
17	p'oy
17	məəlim
17	zaxun
17	k'alpi
17	padçağluğ
16	əyitə
16	çurpi
16	40
16	41
16	sunt
16	pis
16	k'ojin
16	i̇susaxun
16	bĕği
16	şagirdxo
15	tərəf
15	42
15	hala
15	biq
15	tan
15	və̆ynak
15	yaq'abi
15	samalal
15	bač'anexun
15	bakanan
15	vay
15	padçağluğa
14	bitova
14	mot'oğo
14	urufen
14	mone
14	hetər
14	43
14	hare
14	44
14	xib
14	ğare
14	şəhəre
14	hik
14	k'al
14	şu
14	arśi
14	sulfin
14	bakalo
14	soğo
14	bĕyin
13	kul
13	45
13	46
13	47
13	saad
13	t'etər
13	's
13	bel
13	nalog
13	yoxsa
13	şagirdxon
13	çuğo
13	vis
12	t'ŏğŏle
12	mariya
12	tez
12	barta
12	48
12	nökər
12	çureśi
12	turmoğo
12	şot'oğoynak
12	k'ala
12	ğe
12	ən
12	eğat'an
12	xaç
12	ene
12	ə̆xil
12	duği
12	bač'ane
12	və̆nal
12	qoş
12	šum
12	ağa
11	śirik
11	avabaki
11	nexey
11	tərəfəxun
11	davidi
11	buxačuğon
11	körpə
11	49
11	i̇çuxun
11	təə
11	şot'inal
11	t'iya
11	göynul
11	elmoğo
11	tadanan
11	i̇oanen
11	taki
11	bakon
11	tada
11	tək
11	bĕğanan
10	əyel
10	q'ončuğo
10	50
10	k'inə
10	baksay
10	ak'at'an
10	içoğo
10	yerusalima
10	bake
10	morox
10	süpür
10	taysay
10	bəzi
10	vaxun
10	aranexun
10	çuresa
10	eki
10	eğale
10	lazım
10	divan
10	tenan
10	nökərə
10	qaybakat'an
10	çuğon
10	tast
10	mot'oz
10	dövlətlü
9	əşurxoxun
9	piin
9	exlət'bi
9	düz
9	padçağ
9	azuk
9	xavara
9	bakal
9	qo
9	eyex
9	çark'esedi
9	tadale
9	bĕğa
9	alloy
9	gorox
9	51
9	52
9	buxačux
9	kiyexun
9	kaloo
9	göye
9	oç̆alin
9	metərluğen
9	bakat'an
9	təzə
9	bə̆ğə̆bi
9	mat
9	bavay
9	i̇oani
9	layiğ
9	vaxt'est
9	bakalt'oğo
9	memiya
9	düzinəz
9	başq'al
9	maq'an
9	t'ĭyəmi
9	k'alen
9	şagirdxoxun
9	ğara
9	oşq'ar
9	cinurxo
9	p'yot'ren
9	c'ovaki
9	bavan
9	p'ilat'en
8	fikir
8	düzgün
8	laxi
8	yön
8	ak'eśi
8	hunal
8	s'iya
8	ten
8	k'oyane
8	xuyər
8	uruf
8	bəxt'əvərə
8	mot'oxun
8	53
8	yaynak
8	günaxxo
8	samci
8	zap
8	bitot'ay
8	tadala
8	tooba
8	i̇roden
8	loxole
8	taşeri
8	i̇zi
8	hema
8	dost
8	şuva
8	bune
8	paltara
8	bako
8	və̆xun
8	tadeğale
8	c'evk'sa
8	şin
8	upanan
8	ak'sa
7	zuval
7	vaynak
7	tam
7	hələ
7	zoren
7	zəkəriyəy
7	amdarxoxun
7	manedi
7	badi
7	xuyəri
7	xeyir-bərəkət
7	həmişəluğ
7	səsen
7	körpəy
7	eğel
7	nišan
7	hamal
7	amdarebuy
7	vŭğ
7	p'as
7	ost'aar
7	banan
7	şina
7	həysə
7	usum
7	q'abul
7	icaza
7	xrist'os
7	simon
7	biti
7	bĭyex
7	śamk'alxon
7	paltar
7	bəzit'oğon
7	turel
7	şaat'luğ
7	c'ək
7	metərt'un
7	uk'at'an
7	şagird
7	süft
7	k'oj
7	išalainşakat'an
7	yaq'anebi
7	takinan
7	het
7	lap
7	içuxun
7	mal
7	išalainşaki
7	maya
7	ak'ala
7	i̇susenal
7	boşt'an
7	p'urit'oğoy
7	ğaren
7	bakalane
7	kiye
7	s'iyen
7	t'ŏŏx
7	balo
7	xavartaşalxoy
7	ç̆omo
7	heq'ədər
7	var-dövlətə
7	nökərxo
7	ağan
7	bĕinšxo
7	elemi
6	vədinest
6	elizabet
6	vədine
6	angelen
6	i̇oan
6	eysuna
6	çuresuna
6	ibakat'an
6	p'ap'at'an
6	56
6	ibakala
6	mağay
6	hametər
6	q'ədər
6	xavartaşal
6	şəhərexun
6	bürdən
6	məət't'əl
6	işiğa
6	haq'say
6	hərrəmine
6	ganxo
6	haketərəl
6	təngə
6	əşurxoy
6	göynuxun
6	çureğala
6	i̇osifi
6	ba
6	sunt'ay
6	kula
6	uk
6	dənə
6	camaata
6	c'evk
6	bosi
6	zomebsay
6	yerusalimaxun
6	şot'aynak'al
6	fariseyxon
6	hayza
6	fariseyxoy
6	bisi
6	laśi
6	ŭmŭx
6	alin
6	qaydi
6	borc
6	haqq
6	piyel
6	ǰene
6	k'oja
6	upa
6	mis'ik
6	q'ave
6	mot'aynak'al
6	çupuğon
6	taysun
6	teno
6	q
6	işq'ar
6	bakalt
6	54
6	baft'anan
6	için
6	kərəm
6	t'ulluği
5	i̇udeyani
5	adeğala
5	oyurxo
5	angel
5	q'ĭba
5	c'eğala
5	k'oyaxun
5	şot'oğonal
5	çark'at'an
5	ük'in
5	bĭhi
5	arśit'ay
5	padçağluği
5	mariyan
5	ç̆o
5	barti
5	şəhərene
5	çupuğoy
5	ük'en
5	anek
5	p'anep
5	qayeśi
5	xavartaşalxoxun
5	c'ere
5	q'ĭbanan
5	ekinan
5	əşlə
5	təmiz
5	çark'it'uxun
5	yerusalimat'un
5	bava-nana
5	uk'ala
5	p'asxin
5	qə̆vesay
5	p'ilat
5	viçi
5	çölö
5	i̇oana
5	nəsil
5	tezu
5	bədən
5	avrahami
5	śameśe
