"corpus_sizes","agx","ava","kum","rut","dar","tab","lak","lez","nog","tkr","arch","khv"
1126,0.646177662447005,0.739594922563917,0.644854859524508,0.632864840546417,0.742061172750052,0.706005222827514,0.653702278334119,0.656162332640281,0.639659241669813,0.671806599790329,0.674639945294569,0.663274297656377
1417,0.612168300815237,0.698595989697139,0.607378047382267,0.595823793457187,0.714853820840986,0.669856068359998,0.618344981114434,0.615053373538468,0.604883263951766,0.640540784863026,0.642946661071845,0.632327914943412
1852,0.572687449181659,0.652630558068822,0.565517200555583,0.554117042507778,0.683180867473055,0.628838637295143,0.57838104842167,0.569443967270118,0.564533195468282,0.604191876568204,0.606104013247592,0.596351203757471
2429,0.532874085449769,0.607952530360413,0.52499254832557,0.513395795792132,0.651116022532113,0.588450972716768,0.539196050135747,0.525612027673434,0.523872478829825,0.567462008599763,0.568879790168485,0.559998610511004
2478,0.529950888942602,0.604735501623712,0.522080984413798,0.510456729592335,0.648755768847209,0.585522463758404,0.536361256283236,0.5224753610172,0.520888454325901,0.564761645111442,0.566143299083435,0.557326040150181
3007,0.501702639344504,0.574075758285564,0.494376658681259,0.482399666051928,0.6258978182085,0.557471064282205,0.509252949727049,0.492715043385571,0.492063876183948,0.538637138247073,0.53967108226399,0.531470882054759
3503,0.479516518943239,0.550520982822757,0.473147764465838,0.460788064845418,0.607873468421929,0.535742874267797,0.488312619347464,0.470017821315864,0.469441618107817,0.518076328287135,0.518839216640204,0.511122730103769
3575,0.476567782499325,0.547423872558151,0.470360117877727,0.457942873817459,0.605472480415903,0.532874246470959,0.485551805314734,0.467044391451664,0.466436149093657,0.515340411847471,0.516067427350175,0.50841516128903
3640,0.47395791134112,0.544689109220745,0.467899323487646,0.455429873022005,0.603346284543342,0.530338953750852,0.483112541791145,0.464420965620891,0.46377632232539,0.512918235700305,0.513613532794719,0.506018092530834
4086,0.457254357708384,0.527326786274838,0.452292039950626,0.439460689750746,0.589711875135541,0.514192740235483,0.467594374352602,0.447812324304981,0.446759072219142,0.497400290686733,0.497893336296381,0.490661247724015
4682,0.437668992301095,0.507268965708568,0.434295931917719,0.420981296323628,0.573661055853284,0.495430250499397,0.449597905999952,0.428727036489766,0.426820431938397,0.479167177195188,0.479424898700114,0.472618019982202
4772,0.434938832488484,0.504497799137026,0.431812533766287,0.418425668944905,0.571417563695224,0.492828690111683,0.447105671332992,0.426098914803025,0.424042390255881,0.476621953451888,0.476847042964497,0.470099359281685
5923,0.404121998944676,0.473618680962186,0.404189023016218,0.389908902947241,0.545976996635704,0.463683285811578,0.419237778813559,0.396958572179646,0.39271131188314,0.447823743250193,0.447683826487476,0.441602787492546
5953,0.403405400447037,0.47290907670093,0.403555303975137,0.389252772870099,0.545382628810322,0.463010118534284,0.418595275954869,0.396292081666265,0.391983376532189,0.447152448892902,0.447004123778866,0.440938550257015
6010,0.402054284162717,0.471572153022928,0.40236148362117,0.388016502446144,0.544261599675986,0.461741424267164,0.417384517658594,0.395036775258939,0.390610967951457,0.445886532744916,0.445722364680933,0.43968594577421
7488,0.371085118987827,0.441273602485503,0.375353087315089,0.359968087291674,0.518420414876696,0.432840977035592,0.389855400308013,0.366725672713484,0.359185908946039,0.416784998176611,0.416261849415437,0.410891776804418
7618,0.368678777435666,0.438945767728279,0.373281814177809,0.35781087143452,0.516399722674083,0.43060871801221,0.387733230777876,0.364561571639439,0.356746945745397,0.414516313605647,0.413965636754421,0.408647171849709
7911,0.36341239628215,0.433863715293114,0.368761783427004,0.353100309787659,0.511970241907804,0.425729401070726,0.383096665353095,0.359842520226038,0.351410714573443,0.409547070537994,0.408936350263416,0.40373073730153
