"languages","value"
"Chadakolob",0.0457493153588875
"Andi",0.0573420520669837
"Tad_Magitl",0.0750973839766308
"Gakvari",0.0693760599537911
"Gigatli",0.0483843824232152
"Tindi",0.0666788660760067
"Inkhokwari",0.0591960684067734
"Kidero",0.0491819324085113
"Hinuq",0.0470538163487422
"Tladal",0.0511824922385963
"Khoshar_Khota",0.0453451619674526
"Hunzib",0.0514088964837305
"Khosrekh",0.0698050223269839
"Chirag",0.0679225874407593
"Archi",0.0671707084607298
"Dyubek",0.0597440197756665
"Kondik",0.0640535740680283
"Burshag",0.0727811559793897
"Richa",0.0706392723309911
"Burkikhan",0.0652518804491321
"Fite",0.0642227099797402
"Khlyut",0.0631176014083092
"Luchek",0.062227613981856
"Mikik",0.0718519312999899
"Gelmets",0.0706087143247089
"Tsakhur",0.0708270564771423
"Kryz",0.0491033974276718
"Budugh",0.0445827019106758
"Khinalug",0.0539549398363932
"Nidzh",0.0569049946382302
"Zilo",0.0544351600892477
"Tukita",0.0604080190849949
