N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	8
9	8
10	8
11	8
12	8
13	9
14	10
15	10
16	10
17	11
18	11
19	12
20	13
21	13
22	14
23	14
24	15
25	15
26	15
27	15
28	16
29	16
30	16
31	16
32	16
33	16
34	17
35	17
36	18
37	18
38	18
39	19
40	19
41	19
42	19
43	19
44	19
45	19
46	19
47	19
48	19
49	19
50	19
51	20
52	20
53	20
54	20
55	20
56	20
57	20
58	21
59	21
60	21
61	21
62	21
63	21
64	21
65	21
66	21
67	21
68	21
69	21
70	21
71	22
72	22
73	22
74	22
75	22
76	22
77	22
78	22
79	23
80	23
81	24
82	24
83	24
84	24
85	24
86	24
87	24
88	24
89	24
90	24
91	25
92	25
93	26
94	26
95	26
96	26
97	27
98	27
99	27
100	27
101	27
102	28
103	28
104	28
105	28
106	28
107	28
108	28
109	28
110	28
111	28
112	28
113	28
114	28
115	28
116	28
117	28
118	28
119	28
120	28
121	28
122	28
123	28
124	28
125	28
126	28
127	28
128	28
129	28
130	28
131	28
132	28
133	28
134	29
135	29
136	29
137	29
138	29
139	30
140	30
141	30
142	31
143	31
144	32
145	32
146	32
147	32
148	32
149	32
150	32
151	32
152	32
153	32
154	32
155	33
156	33
157	33
158	33
159	33
160	33
161	33
162	33
163	33
164	33
165	33
166	33
167	33
168	33
169	34
170	34
171	34
172	34
173	34
174	34
175	34
176	34
177	34
178	34
179	34
180	34
181	34
182	34
183	34
184	34
185	34
186	34
187	34
188	34
189	34
190	34
191	34
192	34
193	34
194	34
195	34
196	34
197	34
198	34
199	34
200	34
201	34
202	34
203	34
204	34
205	34
206	34
207	34
208	34
209	34
210	34
211	34
212	34
213	34
214	34
215	34
216	35
217	35
218	35
219	35
220	35
221	35
222	35
223	35
224	35
225	35
226	36
227	36
228	36
229	36
230	36
231	36
232	36
233	36
234	37
235	37
236	37
237	37
238	37
239	37
240	37
241	37
242	37
243	37
244	37
245	37
246	37
247	37
248	37
249	37
250	37
251	37
252	37
253	38
254	38
255	38
256	38
257	38
258	38
259	38
260	38
261	38
262	38
263	38
264	38
265	38
266	38
267	38
268	38
269	38
270	38
271	38
272	38
273	38
274	38
275	38
276	38
277	38
278	38
279	38
280	38
281	38
282	38
283	38
284	39
285	39
286	39
287	39
288	39
289	39
290	39
291	39
292	39
293	39
294	39
295	39
296	39
297	39
298	39
299	39
300	39
301	39
302	39
303	39
304	39
305	40
306	40
307	40
308	40
309	40
310	40
311	40
312	40
313	40
314	40
315	40
316	40
317	40
318	40
319	40
320	40
321	40
322	40
323	40
324	40
325	40
326	40
327	40
328	40
329	41
330	41
331	41
332	41
333	41
334	42
335	42
336	42
337	43
338	43
339	43
340	43
341	43
342	43
343	43
344	43
345	43
346	43
347	43
348	43
349	43
350	43
351	43
352	44
353	44
354	44
355	44
356	45
357	45
358	45
359	45
360	45
361	45
362	45
363	45
364	45
365	45
366	45
367	45
368	45
369	45
370	45
371	45
372	45
373	45
374	45
375	45
376	45
377	45
378	45
379	45
380	46
381	46
382	46
383	46
384	46
385	47
386	47
387	47
388	47
389	47
390	47
391	47
392	47
393	47
394	47
395	47
396	47
397	47
398	47
399	47
400	47
401	47
402	47
403	47
404	47
405	47
406	47
407	47
408	47
409	47
410	47
411	47
412	47
413	47
414	47
415	47
416	47
417	47
418	47
419	47
420	47
421	47
422	47
423	47
424	47
425	47
426	47
427	47
428	47
429	47
430	47
431	47
432	47
433	47
434	47
435	47
436	47
437	47
438	47
439	47
440	47
441	47
442	47
443	47
444	47
445	47
446	47
447	47
448	47
449	47
450	47
451	47
452	47
453	47
454	47
455	47
456	47
457	47
458	47
459	47
460	47
461	47
462	47
463	47
464	47
465	47
466	47
467	47
468	47
469	47
470	47
471	47
472	47
473	47
474	47
475	47
476	47
477	47
478	47
479	47
480	47
481	47
482	47
483	47
484	47
485	47
486	47
487	47
488	47
489	47
490	47
491	47
492	47
493	47
494	47
495	47
496	47
497	47
498	47
499	47
500	47
501	47
502	47
503	47
504	47
505	47
506	47
507	47
508	47
509	47
510	48
511	48
512	48
513	48
514	48
515	48
516	48
517	48
518	48
519	48
520	48
521	48
522	48
523	48
524	48
525	48
526	48
527	48
528	48
529	48
530	48
531	48
532	48
533	48
534	48
535	48
536	48
537	48
538	48
539	48
540	48
541	48
542	48
543	48
544	48
545	48
546	48
547	49
548	49
549	49
550	49
551	49
552	49
553	49
554	50
555	50
556	50
557	50
558	50
559	50
560	50
561	50
562	50
563	50
564	50
565	50
566	50
567	50
568	50
569	50
570	50
571	50
572	50
573	50
574	50
575	50
576	50
577	50
578	50
579	50
580	50
581	50
582	50
583	50
584	50
585	50
586	50
587	50
588	50
589	50
590	50
591	50
592	50
593	50
594	50
595	50
596	50
597	50
598	50
599	50
600	50
601	50
602	50
603	50
604	50
605	50
606	50
607	50
608	50
609	50
610	50
611	50
612	50
613	50
614	50
615	50
616	50
617	50
618	50
619	50
620	50
621	50
622	50
623	50
624	50
625	50
626	50
627	50
628	50
629	50
630	50
631	50
632	50
633	50
634	50
635	50
636	50
637	50
638	50
639	50
640	50
641	50
642	50
643	50
644	50
645	50
646	50
647	50
648	50
649	50
650	50
651	50
652	50
653	50
654	50
655	50
656	50
657	50
658	50
659	50
660	50
661	51
662	51
663	51
664	51
665	51
666	51
667	51
668	51
669	51
670	51
671	51
672	51
673	51
674	51
675	51
676	51
677	51
678	51
679	51
680	51
681	51
682	51
683	51
684	51
685	51
686	51
687	51
688	51
689	52
690	52
691	52
692	52
693	52
694	52
695	52
696	52
697	52
698	52
699	52
700	52
701	52
702	52
703	52
704	52
705	52
706	52
707	52
708	52
709	52
710	52
711	52
712	52
713	52
714	52
715	52
716	52
717	52
718	52
719	52
720	52
721	52
722	52
723	52
724	52
725	52
726	52
727	52
728	52
729	52
730	52
731	52
732	52
733	52
734	52
735	52
736	52
737	52
738	52
739	52
740	52
741	52
742	52
743	52
744	52
745	52
746	52
747	52
748	52
749	52
750	52
751	52
752	52
753	52
754	52
755	52
756	52
757	52
758	52
759	52
760	52
761	52
762	52
763	52
764	52
765	52
766	52
767	52
768	52
769	52
770	52
771	52
772	52
773	52
774	52
775	52
776	52
777	52
778	52
779	52
780	52
781	52
782	52
783	52
784	52
785	52
786	52
787	52
788	52
789	52
790	52
791	52
792	52
793	52
794	52
795	52
796	52
797	52
798	52
799	52
800	52
801	52
802	52
803	52
804	52
805	52
806	52
807	52
808	52
809	52
810	52
811	52
812	52
813	52
814	53
815	53
816	53
817	53
818	53
819	53
820	53
821	53
822	53
823	53
824	53
825	53
826	53
827	53
828	53
829	53
830	53
831	53
832	53
833	53
834	53
835	53
836	53
837	53
838	53
839	53
840	53
841	53
842	53
843	53
844	53
845	53
846	53
847	53
848	53
849	53
850	53
851	53
852	53
853	53
854	53
855	53
856	53
857	53
858	53
859	53
860	53
861	53
862	53
863	53
864	53
865	53
866	53
867	53
868	53
869	53
870	53
871	53
872	53
873	53
874	53
875	53
876	53
877	53
878	53
879	53
880	53
881	53
882	53
883	53
884	53
885	53
886	53
887	53
888	53
889	53
890	53
891	53
892	53
893	53
894	53
895	53
896	53
897	53
898	53
899	53
900	53
901	53
902	53
903	53
904	53
905	53
906	53
907	53
908	54
909	54
910	54
911	54
912	54
913	54
914	54
915	54
916	54
917	54
918	54
919	54
920	54
921	54
922	54
923	54
924	54
925	54
926	54
927	54
928	54
929	54
930	54
931	54
932	54
933	54
934	54
935	54
936	54
937	54
938	54
939	54
940	54
941	54
942	54
943	54
944	54
945	54
946	54
947	54
948	54
949	54
950	55
951	55
952	55
953	56
954	56
955	56
956	56
957	56
958	56
959	56
960	56
961	56
962	56
963	56
