N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	10
11	10
12	10
13	10
14	11
15	12
16	12
17	13
18	14
19	14
20	15
21	16
22	16
23	17
24	17
25	17
26	17
27	17
28	17
29	18
30	18
31	18
32	19
33	20
34	21
35	21
36	21
37	22
38	22
39	23
40	23
41	23
42	24
43	24
44	24
45	24
46	24
47	25
48	26
49	26
50	27
51	27
52	28
53	28
54	29
55	30
56	30
57	30
58	30
59	30
60	30
61	30
62	30
63	30
64	31
65	31
66	31
67	31
68	31
69	31
70	31
71	31
72	31
73	31
74	31
75	31
76	31
77	31
78	31
79	31
80	31
81	31
82	31
83	31
84	31
85	31
86	31
87	31
88	32
89	32
90	32
91	32
92	32
93	32
94	32
95	32
96	33
97	33
98	33
99	33
100	33
101	33
102	33
103	33
104	33
105	33
106	33
107	33
108	33
109	33
110	33
111	33
112	33
113	33
114	33
115	33
116	33
117	33
118	33
119	33
120	33
121	33
122	33
123	33
124	33
125	33
126	33
127	33
128	33
129	33
130	33
131	33
132	33
133	33
134	33
135	33
136	33
137	33
138	33
139	33
140	33
141	34
142	34
143	34
144	34
145	34
146	34
147	34
148	34
149	34
150	34
151	34
152	34
153	34
154	34
155	34
156	34
157	34
158	35
159	35
160	35
161	35
162	35
163	35
164	36
165	36
166	36
167	36
168	36
169	36
170	36
171	36
172	36
173	36
174	36
175	36
176	36
177	36
178	36
179	36
180	36
181	36
182	36
183	36
184	36
185	36
186	36
187	36
188	36
189	36
190	36
191	36
192	36
193	36
194	36
195	36
196	36
197	36
198	36
199	36
200	36
201	36
202	36
203	36
204	36
205	36
206	36
207	36
208	36
209	36
210	36
211	36
212	36
213	36
214	36
215	36
216	36
217	36
218	36
219	36
220	36
221	36
222	36
223	36
224	36
225	36
226	36
227	36
228	36
229	37
230	37
231	37
232	37
233	37
234	37
235	37
236	38
237	38
238	38
239	38
240	38
241	38
242	38
243	38
244	38
245	38
246	38
247	38
248	38
249	38
250	38
251	38
252	38
253	38
254	38
255	38
256	38
257	38
258	38
259	38
260	38
261	38
262	38
263	38
264	38
265	38
266	38
267	38
268	38
269	38
270	38
271	38
272	38
273	38
274	38
275	38
276	38
277	38
278	38
279	38
280	38
281	38
282	38
283	38
284	38
285	38
286	38
287	38
288	38
289	38
290	38
291	38
292	38
293	38
294	38
295	38
296	38
297	38
298	38
299	38
300	39
301	39
302	39
303	39
304	39
305	39
306	39
307	39
308	39
309	39
310	39
311	39
312	39
313	39
314	39
315	39
316	39
317	39
318	39
319	39
320	39
321	39
322	39
323	39
324	39
325	39
326	39
327	39
328	39
329	39
330	39
331	39
332	39
333	39
334	39
335	39
336	39
337	39
338	39
339	39
340	39
341	39
342	39
343	39
344	39
345	39
346	39
347	39
348	39
349	39
350	39
351	39
352	39
353	39
354	39
355	39
356	39
357	39
358	39
359	39
360	39
361	39
362	39
363	39
364	39
365	39
366	39
367	39
368	39
369	39
370	39
371	39
372	39
373	39
374	39
375	39
376	39
377	40
378	40
379	40
380	40
381	40
382	40
383	40
384	40
385	40
386	40
387	40
388	40
389	40
390	40
391	40
392	40
393	40
394	40
395	40
396	40
397	40
398	40
399	40
400	40
401	40
402	40
403	40
404	40
405	40
406	40
407	40
408	40
409	40
410	40
411	40
412	40
413	40
414	40
415	40
416	40
417	40
418	40
419	40
420	40
421	40
422	40
423	40
424	40
425	40
426	40
427	40
428	40
429	40
430	40
431	40
432	40
433	40
434	40
435	40
436	40
437	40
438	40
439	40
440	40
441	40
442	40
443	40
444	40
445	40
446	40
447	40
448	40
449	40
450	40
451	40
452	41
453	41
454	41
455	41
456	41
457	41
458	41
459	41
460	41
461	41
462	41
463	41
464	41
465	41
466	41
467	41
468	41
469	41
470	41
471	41
472	41
473	41
474	41
475	41
476	41
477	41
478	41
479	41
480	41
481	41
482	41
483	41
484	41
485	41
486	41
487	41
488	41
489	41
490	41
491	41
492	41
493	41
494	41
495	41
496	41
497	41
498	41
499	41
500	41
501	41
502	41
503	41
504	42
505	42
506	42
507	42
508	42
509	42
510	42
511	42
512	42
513	42
514	42
515	42
516	42
517	42
518	42
519	42
520	42
521	42
522	42
523	42
524	42
525	42
526	42
527	42
528	42
529	42
530	42
531	42
532	42
533	42
534	43
535	43
536	43
537	43
538	43
539	43
540	43
541	43
542	43
543	43
544	43
545	43
546	43
547	43
548	43
549	43
550	43
551	43
552	43
553	43
554	43
555	43
556	43
557	44
558	44
559	44
560	44
561	44
562	44
563	44
564	44
565	44
566	44
567	44
568	44
569	44
570	44
571	44
572	44
573	44
574	44
575	44
576	44
577	44
578	44
579	44
580	44
581	44
582	44
583	44
584	44
585	44
586	44
587	44
588	44
589	44
590	44
591	44
592	44
593	44
594	44
595	44
596	44
597	44
598	44
599	44
600	44
601	44
602	44
603	44
604	44
605	44
606	44
607	44
608	44
609	44
610	44
611	44
612	44
613	44
614	44
615	44
616	44
617	44
618	44
619	44
620	44
621	44
622	44
623	44
624	44
625	44
626	44
627	44
628	44
629	44
630	44
631	44
632	44
633	44
634	44
635	44
636	44
637	44
638	44
639	44
640	44
641	44
642	44
643	44
644	44
645	44
646	44
647	44
648	44
649	44
650	44
651	44
652	44
653	44
654	44
655	44
656	44
657	44
658	44
659	44
660	44
661	44
662	44
663	44
664	44
665	44
666	44
667	44
668	44
669	44
670	44
671	44
672	44
673	44
674	44
675	44
676	44
677	44
678	44
679	44
680	44
681	44
682	44
683	44
684	44
685	44
686	44
687	44
688	44
689	44
690	44
691	44
692	44
693	44
694	44
695	44
696	44
697	44
698	44
699	44
700	44
701	44
702	44
703	44
704	44
705	44
706	44
707	44
708	44
709	44
710	44
711	44
712	44
713	44
714	44
715	44
716	44
717	44
718	44
719	44
720	44
721	44
722	44
723	44
724	44
725	44
726	44
727	44
728	44
729	44
730	44
731	44
732	44
733	44
734	44
735	44
736	44
737	44
738	44
739	44
740	44
741	44
742	44
743	44
744	44
745	44
746	44
747	44
748	44
749	44
750	44
751	44
752	44
753	44
754	44
755	44
756	44
757	44
758	44
759	44
760	44
761	44
762	44
763	44
764	44
765	44
766	44
767	44
768	44
769	44
770	44
771	44
772	44
773	44
774	44
775	44
776	44
777	44
778	44
779	44
780	44
781	44
782	44
783	44
784	44
785	44
786	44
787	44
788	44
789	44
790	44
791	44
792	44
793	44
794	44
795	44
796	44
797	44
798	44
799	44
800	44
801	44
802	44
803	44
804	44
805	44
806	44
807	44
808	44
809	44
810	44
811	44
812	44
813	44
814	44
815	44
816	44
817	44
818	44
819	44
820	44
821	44
822	44
823	44
824	44
825	44
826	44
827	44
828	44
829	44
830	44
831	44
832	44
833	44
834	44
835	44
836	44
837	44
838	44
839	44
840	44
841	44
842	44
843	44
844	44
845	44
846	44
847	44
848	44
849	44
850	44
851	44
852	44
853	44
854	44
855	44
856	44
857	44
858	44
859	44
860	44
861	44
862	44
863	44
864	44
865	44
866	44
867	44
868	44
869	44
870	44
871	44
872	44
873	44
874	44
875	44
876	44
877	44
878	44
879	44
880	44
881	44
882	44
883	44
884	44
885	44
886	44
887	44
888	44
889	44
890	44
891	44
892	44
893	44
894	44
895	44
896	44
897	44
898	44
899	44
900	44
901	44
902	44
903	44
904	44
905	44
906	44
907	44
908	44
909	44
910	44
911	44
912	44
913	45
914	45
915	45
916	45
917	45
918	45
919	45
920	45
921	45
922	45
923	45
924	45
925	45
926	45
927	45
928	45
929	45
930	45
931	45
932	45
933	45
934	45
935	45
936	45
937	45
938	45
939	45
940	45
941	45
942	45
943	45
944	45
945	45
946	45
947	45
948	45
949	45
950	45
951	45
952	45
953	45
954	45
955	45
956	45
957	45
958	45
959	45
960	45
961	45
962	45
963	45
