N	V
0	1
1	2
2	3
3	4
4	5
5	5
6	6
7	7
8	8
9	8
10	8
11	8
12	9
13	9
14	10
15	10
16	10
17	10
18	10
19	10
20	11
21	12
22	12
23	12
24	12
25	13
26	14
27	14
28	15
29	15
30	15
31	15
32	15
33	16
34	16
35	16
36	17
37	18
38	18
39	18
40	19
41	19
42	19
43	19
44	19
45	19
46	19
47	20
48	20
49	20
50	21
51	21
52	21
53	22
54	22
55	22
56	22
57	22
58	22
59	22
60	22
61	23
62	23
63	23
64	23
65	23
66	24
67	24
68	24
69	24
70	24
71	24
72	24
73	24
74	24
75	24
76	24
77	24
78	24
79	24
80	25
81	25
82	25
83	26
84	26
85	26
86	26
87	26
88	26
89	26
90	26
91	26
92	26
93	26
94	27
95	27
96	27
97	27
98	28
99	29
100	29
101	29
102	30
103	30
104	30
105	31
106	31
107	31
108	31
109	31
110	31
111	31
112	31
113	31
114	31
115	32
116	32
117	32
118	32
119	32
120	33
121	33
122	33
123	34
124	34
125	35
126	35
127	35
128	35
129	35
130	35
131	35
132	36
133	36
134	36
135	36
136	36
137	36
138	36
139	36
140	36
141	36
142	36
143	36
144	36
145	36
146	36
147	36
148	36
149	36
150	36
151	37
152	37
153	38
154	38
155	38
156	38
157	38
158	38
159	38
160	38
161	38
162	38
163	39
164	39
165	39
166	39
167	39
168	39
169	39
170	39
171	39
172	39
173	39
174	39
175	39
176	39
177	40
178	40
179	40
180	40
181	40
182	40
183	40
184	40
185	40
186	40
187	40
188	41
189	41
190	41
191	41
192	41
193	41
194	41
195	42
196	42
197	42
198	43
199	43
200	43
201	44
202	44
203	44
204	44
205	44
206	44
207	44
208	44
209	44
210	44
211	44
212	45
213	45
214	45
215	45
216	45
217	45
218	46
219	46
220	47
221	47
222	47
223	47
224	48
225	48
226	48
227	48
228	48
229	48
230	48
231	48
232	48
233	48
234	48
235	48
236	48
237	48
238	48
239	48
240	48
241	48
242	48
243	48
244	48
245	48
246	48
247	48
248	48
249	48
250	48
251	48
252	48
253	48
254	49
255	49
256	49
257	50
258	50
259	50
260	50
261	50
262	50
263	50
264	50
265	50
266	50
267	50
268	50
269	50
270	50
271	51
272	52
273	52
274	53
275	53
276	53
277	54
278	54
279	54
280	54
281	54
282	54
283	54
284	54
285	55
286	55
287	55
288	55
289	55
290	55
291	55
292	55
293	55
294	55
295	55
296	55
297	55
298	55
299	55
300	55
301	55
302	55
303	55
304	55
305	55
306	55
307	55
308	55
309	55
310	55
311	55
312	55
313	55
314	55
315	55
316	55
317	55
318	55
319	55
320	55
321	55
322	55
323	55
324	55
325	55
326	55
327	55
328	55
329	55
330	55
331	55
332	55
333	55
334	55
335	55
336	55
337	55
338	55
339	55
340	55
341	56
342	56
343	56
344	56
345	56
346	56
347	56
348	56
349	56
350	56
351	56
352	56
353	56
354	56
355	56
356	56
357	56
358	56
359	56
360	56
361	56
362	56
363	56
364	56
365	56
366	56
367	56
368	56
369	57
370	58
371	58
372	58
373	58
374	58
375	58
376	58
377	58
378	58
379	58
380	58
381	58
382	58
383	58
384	58
385	58
386	58
387	58
388	58
389	58
390	58
391	58
392	58
393	58
394	58
395	58
396	58
397	58
398	58
399	58
400	58
401	58
402	58
403	58
404	58
405	58
406	58
407	58
408	58
409	58
410	58
411	58
412	58
413	58
414	58
415	58
416	58
417	58
418	58
419	58
420	58
421	58
422	58
423	58
424	58
425	58
426	58
427	58
428	58
429	58
430	58
431	58
432	58
433	58
434	58
435	58
436	58
437	58
438	58
439	58
440	58
441	58
442	58
443	58
444	58
445	58
446	58
447	59
448	59
449	59
450	59
451	59
452	59
453	59
454	59
455	59
456	59
457	59
458	59
459	59
460	59
461	59
462	60
463	60
464	60
465	60
466	60
467	60
468	60
469	60
470	60
471	60
472	60
473	60
474	60
475	60
476	60
477	60
478	60
479	60
480	60
481	60
482	60
483	60
484	60
485	60
486	60
487	60
488	60
489	60
490	60
491	60
492	60
493	60
494	60
495	60
496	60
497	60
498	60
499	60
500	60
501	60
502	60
503	60
504	60
505	60
506	60
507	60
508	60
509	60
510	60
511	60
512	61
513	61
514	61
515	61
516	61
517	61
518	61
519	61
520	61
521	61
522	61
523	61
524	61
525	61
526	61
527	61
528	61
529	61
530	61
531	61
532	61
533	61
534	61
535	61
536	61
537	61
538	61
539	61
540	61
541	61
542	61
543	61
544	61
545	61
546	61
547	61
548	61
549	61
550	61
551	62
552	62
553	62
554	62
555	62
556	62
557	62
558	62
559	62
560	62
561	62
562	62
563	62
564	62
565	62
566	62
567	62
568	62
569	62
570	62
571	62
572	62
573	62
574	62
575	62
576	62
577	62
578	62
579	62
580	62
581	62
582	62
583	62
584	62
585	62
586	62
587	62
588	62
589	62
590	62
591	62
592	62
593	62
594	62
595	62
596	62
597	62
598	62
599	62
600	62
601	62
602	62
603	62
604	62
605	62
606	62
607	62
608	62
609	62
610	62
611	62
612	62
613	62
614	62
615	62
616	62
617	62
618	62
619	62
620	62
621	62
622	62
623	62
624	62
625	62
626	62
627	62
628	62
629	62
630	62
631	62
632	62
633	62
634	62
635	62
636	62
637	62
638	62
639	62
640	62
641	62
642	62
643	62
644	62
645	62
646	62
647	62
648	62
649	62
650	62
651	62
652	62
653	62
654	62
655	62
656	62
657	62
658	62
659	62
660	62
661	62
662	62
663	62
664	62
665	62
666	62
667	62
668	62
669	62
670	62
671	62
672	62
673	62
674	62
675	62
676	62
677	62
678	62
679	62
680	62
681	62
682	62
683	62
684	62
685	62
686	62
687	62
688	62
689	62
690	62
691	62
692	62
693	62
694	62
695	62
696	62
697	62
698	62
699	62
700	62
701	62
702	62
703	62
704	62
705	62
706	62
707	62
708	63
709	63
710	63
711	63
712	64
713	64
714	64
715	64
716	64
717	64
718	64
719	64
720	64
721	64
722	64
723	64
724	64
725	64
726	64
727	64
728	64
729	64
730	64
731	64
732	64
733	64
734	64
735	64
736	64
737	64
738	64
739	64
740	64
741	64
742	64
743	64
744	64
745	64
746	64
747	64
748	64
749	64
750	64
751	64
752	64
753	64
754	64
755	64
756	64
757	64
758	64
759	64
760	64
761	64
762	64
763	64
764	64
765	64
766	64
767	64
768	64
769	64
770	64
771	64
772	64
773	64
774	64
775	64
776	64
777	64
778	64
779	64
780	64
781	64
782	64
783	64
784	64
785	64
786	64
787	64
788	64
789	64
790	64
791	64
792	64
793	64
794	64
795	64
796	64
797	64
798	64
799	64
800	64
801	64
802	64
803	64
804	64
805	64
806	64
807	64
808	64
809	64
810	64
811	65
812	65
813	65
814	65
815	65
816	65
817	65
818	65
819	65
820	65
821	65
822	65
823	65
824	65
825	65
826	65
827	65
828	65
829	65
830	65
831	65
832	66
833	66
834	66
835	67
836	67
837	67
838	67
839	67
840	67
841	67
842	67
843	67
844	67
845	67
846	67
847	67
848	67
849	67
850	67
851	67
852	67
853	67
854	67
855	67
856	67
857	67
858	67
859	67
860	67
861	67
862	67
863	67
864	67
865	67
866	67
867	68
868	68
869	68
870	68
871	68
872	68
873	68
874	68
875	68
876	68
877	68
878	68
879	68
880	68
881	68
882	68
883	68
884	68
885	68
886	68
887	68
888	68
889	68
890	68
891	68
892	68
893	68
894	68
895	68
896	68
897	68
898	68
899	68
900	68
901	68
902	68
903	68
904	68
905	68
906	68
907	68
908	68
909	68
910	68
911	68
912	68
913	68
914	68
915	68
916	68
917	68
918	68
919	68
920	68
921	68
922	68
923	68
924	68
925	68
926	68
927	68
928	68
929	68
930	68
931	68
932	68
933	68
934	68
935	68
936	68
937	68
938	68
939	68
940	68
941	68
942	68
943	68
944	68
945	68
946	68
947	68
948	68
949	68
950	68
951	68
952	68
953	68
954	68
955	68
956	68
957	68
958	68
959	68
960	68
961	68
962	68
963	68
