N	V
0	1
1	2
2	3
3	3
4	4
5	5
6	6
7	7
8	7
9	7
10	7
11	7
12	8
13	9
14	10
15	10
16	10
17	11
18	11
19	11
20	12
21	12
22	12
23	13
24	13
25	13
26	14
27	15
28	15
29	15
30	15
31	15
32	15
33	15
34	15
35	15
36	16
37	17
38	18
39	18
40	18
41	18
42	19
43	19
44	20
45	20
46	20
47	20
48	20
49	21
50	21
51	22
52	22
53	22
54	22
55	22
56	23
57	23
58	23
59	23
60	23
61	23
62	23
63	23
64	23
65	24
66	24
67	24
68	24
69	24
70	24
71	24
72	24
73	25
74	25
75	25
76	25
77	26
78	26
79	26
80	26
81	26
82	26
83	26
84	26
85	26
86	26
87	26
88	26
89	26
90	26
91	27
92	27
93	27
94	27
95	27
96	27
97	27
98	27
99	28
100	28
101	28
102	28
103	28
104	28
105	28
106	28
107	28
108	28
109	28
110	29
111	29
112	29
113	29
114	29
115	29
116	29
117	29
118	29
119	29
120	29
121	29
122	29
123	29
124	29
125	29
126	29
127	29
128	29
129	30
130	30
131	30
132	30
133	31
134	31
135	31
136	32
137	32
138	32
139	32
140	32
141	32
142	32
143	32
144	33
145	33
146	33
147	33
148	33
149	33
150	33
151	33
152	33
153	33
154	33
155	33
156	33
157	33
158	33
159	33
160	33
161	33
162	33
163	33
164	33
165	33
166	33
167	33
168	33
169	33
170	33
171	33
172	33
173	33
174	33
175	33
176	33
177	33
178	33
179	33
180	33
181	33
182	33
183	33
184	34
185	34
186	34
187	34
188	34
189	34
190	34
191	34
192	34
193	34
194	34
195	34
196	34
197	34
198	34
199	34
200	35
201	35
202	35
203	35
204	35
205	35
206	35
207	35
208	35
209	35
210	35
211	35
212	35
213	35
214	35
215	35
216	35
217	35
218	35
219	35
220	35
221	35
222	35
223	35
224	35
225	35
226	35
227	35
228	35
229	35
230	35
231	35
232	35
233	35
234	35
235	35
236	35
237	35
238	35
239	35
240	35
241	35
242	35
243	35
244	35
245	35
246	35
247	35
248	35
249	35
250	35
251	35
252	35
253	35
254	35
255	35
256	35
257	35
258	35
259	35
260	35
261	35
262	35
263	35
264	35
265	35
266	35
267	35
268	35
269	35
270	35
271	35
272	35
273	35
274	35
275	35
276	35
277	35
278	35
279	35
280	35
281	35
282	35
283	35
284	35
285	35
286	35
287	35
288	35
289	35
290	35
291	35
292	35
293	35
294	35
295	35
296	35
297	35
298	35
299	35
300	35
301	35
302	35
303	35
304	35
305	35
306	35
307	35
308	35
309	35
310	35
311	35
312	35
313	35
314	35
315	35
316	35
317	35
318	35
319	35
320	35
321	35
322	35
323	35
324	35
325	35
326	35
327	35
328	35
329	35
330	35
331	35
332	35
333	35
334	35
335	35
336	35
337	35
338	35
339	35
340	35
341	35
342	35
343	35
344	35
345	35
346	35
347	35
348	35
349	35
350	35
351	35
352	35
353	35
354	35
355	35
356	35
357	35
358	35
359	35
360	35
361	35
362	35
363	35
364	35
365	35
366	35
367	35
368	35
369	35
370	35
371	35
372	35
373	35
374	35
375	35
376	35
377	35
378	36
379	36
380	36
381	36
382	36
383	36
384	36
385	36
386	36
387	36
388	36
389	36
390	36
391	36
392	36
393	36
394	36
395	36
396	36
397	36
398	36
399	36
400	36
401	36
402	36
403	36
404	36
405	36
406	36
407	37
408	37
409	37
410	38
411	38
412	38
413	38
414	38
415	38
416	38
417	38
418	38
419	38
420	38
421	38
422	38
423	38
424	38
425	38
426	38
427	38
428	38
429	38
430	38
431	38
432	38
433	38
434	38
435	38
436	38
437	38
438	38
439	38
440	38
441	38
442	38
443	38
444	38
445	38
446	38
447	38
448	38
449	38
450	38
451	38
452	38
453	38
454	38
455	38
456	38
457	38
458	38
459	38
460	38
461	38
462	38
463	38
464	38
465	38
466	38
467	38
468	38
469	38
470	38
471	38
472	38
473	38
474	38
475	38
476	38
477	38
478	39
479	39
480	39
481	40
482	40
483	40
484	40
485	40
486	40
487	40
488	40
489	40
490	40
491	40
492	40
493	40
494	40
495	40
496	40
497	40
498	41
499	41
500	41
501	41
502	41
503	41
504	41
505	41
506	41
507	41
508	41
509	41
510	41
511	41
512	41
513	41
514	41
515	42
516	42
517	42
518	42
519	42
520	42
521	42
522	42
523	42
524	42
525	42
526	42
527	42
528	42
529	42
530	42
531	42
532	42
533	42
534	42
535	42
536	42
537	42
538	42
539	42
540	42
541	42
542	42
543	42
544	42
545	42
546	42
547	42
548	42
549	42
550	42
551	42
552	42
553	42
554	42
555	42
556	42
557	42
558	42
559	42
560	42
561	42
562	42
563	42
564	42
565	42
566	42
567	42
568	42
569	42
570	42
571	42
572	42
573	42
574	42
575	42
576	42
577	42
578	42
579	42
580	42
581	42
582	42
583	42
584	42
585	42
586	42
587	42
588	42
589	42
590	42
591	42
592	42
593	42
594	42
595	42
596	42
597	42
598	42
599	42
600	42
601	42
602	42
603	42
604	42
605	42
606	42
607	42
608	42
609	42
610	42
611	42
612	42
613	42
614	42
615	42
616	42
617	42
618	42
619	42
620	42
621	42
622	42
623	42
624	42
625	42
626	42
627	42
628	42
629	42
630	42
631	42
632	42
633	42
634	42
635	42
636	42
637	42
638	42
639	42
640	42
641	42
642	42
643	42
644	42
645	42
646	42
647	42
648	42
649	42
650	42
651	42
652	42
653	42
654	42
655	42
656	42
657	42
658	43
659	43
660	43
661	43
662	43
663	43
664	43
665	43
666	43
667	43
668	43
669	43
670	43
671	43
672	43
673	43
674	43
675	43
676	43
677	43
678	43
679	43
680	43
681	43
682	43
683	43
684	43
685	43
686	43
687	43
688	43
689	43
690	43
691	43
692	43
693	43
694	43
695	43
696	43
697	43
698	43
699	43
700	43
701	43
702	43
703	43
704	43
705	43
706	43
707	43
708	43
709	43
710	43
711	43
712	43
713	43
714	43
715	43
716	43
717	43
718	43
719	43
720	43
721	43
722	43
723	43
724	43
725	43
726	43
727	43
728	43
729	43
730	43
731	43
732	43
733	43
734	43
735	43
736	43
737	43
738	43
739	43
740	43
741	43
742	43
743	43
744	43
745	43
746	43
747	43
748	43
749	43
750	43
751	43
752	43
753	43
754	43
755	43
756	43
757	43
758	43
759	43
760	43
761	43
762	43
763	43
764	43
765	43
766	43
767	43
768	43
769	43
770	43
771	43
772	43
773	43
774	43
775	43
776	43
777	43
778	43
779	43
780	43
781	43
782	43
783	43
784	43
785	43
786	43
787	43
788	43
789	43
790	43
791	43
792	43
793	43
794	43
795	43
796	43
797	43
798	43
799	43
800	43
801	43
802	44
803	44
804	44
805	44
806	44
807	44
808	44
809	44
810	44
811	44
812	44
813	44
814	44
815	44
816	44
817	44
818	44
819	44
820	44
821	44
822	44
823	44
824	44
825	44
826	44
827	44
828	44
829	44
830	44
831	44
832	44
833	44
834	44
835	44
836	44
837	44
838	44
839	44
840	44
841	44
842	44
843	44
844	44
845	44
846	44
847	44
848	44
849	44
850	44
851	44
852	44
853	44
854	44
855	44
856	44
857	44
858	44
859	44
860	44
861	44
862	44
863	44
864	44
865	44
866	44
867	44
868	44
869	44
870	44
871	44
872	44
873	44
874	44
875	44
876	44
877	44
878	44
879	44
880	44
881	44
882	44
883	44
884	44
885	44
886	44
887	44
888	44
889	44
890	44
891	44
892	44
893	44
894	44
895	44
896	44
897	44
898	44
899	44
900	44
901	44
902	44
903	44
904	44
905	44
906	44
907	44
908	44
909	44
910	44
911	44
912	44
913	44
914	45
915	45
916	45
917	45
918	45
919	45
920	45
921	45
922	45
923	45
924	45
925	45
926	45
927	45
928	45
929	45
930	45
931	45
932	45
933	45
934	45
935	45
936	45
937	45
938	45
939	45
940	45
941	45
942	45
943	45
944	45
945	45
946	45
947	45
948	45
949	45
950	45
951	45
952	45
953	45
954	45
955	45
956	45
957	45
958	45
959	45
960	45
961	45
962	45
963	45
