N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	6
7	6
8	6
9	6
10	7
11	8
12	9
13	9
14	10
15	10
16	11
17	11
18	12
19	12
20	13
21	13
22	14
23	14
24	14
25	15
26	16
27	16
28	16
29	16
30	17
31	17
32	18
33	18
34	18
35	18
36	18
37	18
38	18
39	18
40	18
41	18
42	18
43	19
44	19
45	19
46	19
47	19
48	19
49	19
50	19
51	20
52	20
53	20
54	21
55	22
56	22
57	23
58	23
59	23
60	23
61	24
62	25
63	25
64	25
65	25
66	25
67	25
68	25
69	25
70	25
71	26
72	26
73	26
74	26
75	26
76	27
77	27
78	27
79	27
80	27
81	27
82	27
83	27
84	27
85	28
86	28
87	28
88	28
89	28
90	28
91	28
92	28
93	28
94	28
95	28
96	28
97	28
98	28
99	28
100	28
101	28
102	29
103	29
104	29
105	29
106	29
107	29
108	29
109	29
110	29
111	29
112	29
113	29
114	29
115	29
116	29
117	29
118	29
119	29
120	29
121	29
122	29
123	29
124	30
125	30
126	30
127	30
128	30
129	30
130	30
131	30
132	30
133	31
134	31
135	31
136	32
137	32
138	32
139	33
140	33
141	33
142	33
143	33
144	33
145	33
146	33
147	33
148	33
149	34
150	34
151	35
152	35
153	35
154	35
155	35
156	35
157	35
158	35
159	35
160	35
161	35
162	36
163	36
164	36
165	36
166	36
167	36
168	36
169	36
170	36
171	36
172	36
173	36
174	37
175	37
176	37
177	37
178	37
179	37
180	37
181	37
182	37
183	37
184	37
185	37
186	37
187	37
188	37
189	37
190	37
191	38
192	38
193	38
194	38
195	39
196	39
197	39
198	40
199	40
200	40
201	40
202	40
203	40
204	41
205	41
206	41
207	41
208	41
209	41
210	41
211	41
212	41
213	41
214	41
215	41
216	41
217	41
218	41
219	41
220	41
221	41
222	41
223	41
224	41
225	41
226	42
227	42
228	42
229	42
230	42
231	42
232	43
233	43
234	43
235	43
236	43
237	43
238	43
239	43
240	43
241	43
242	43
243	43
244	43
245	43
246	43
247	43
248	43
249	43
250	44
251	44
252	44
253	44
254	44
255	44
256	44
257	44
258	44
259	44
260	44
261	44
262	44
263	45
264	45
265	46
266	46
267	46
268	46
269	46
270	46
271	46
272	46
273	46
274	46
275	46
276	46
277	46
278	47
279	47
280	47
281	47
282	47
283	47
284	47
285	47
286	47
287	47
288	47
289	47
290	47
291	47
292	47
293	47
294	47
295	47
296	47
297	47
298	47
299	47
300	48
301	48
302	48
303	48
304	48
305	48
306	48
307	48
308	48
309	48
310	48
311	48
312	48
313	48
314	48
315	48
316	48
317	48
318	48
319	48
320	48
321	48
322	48
323	48
324	48
325	48
326	48
327	48
328	48
329	48
330	48
331	48
332	48
333	49
334	49
335	49
336	49
337	49
338	49
339	49
340	49
341	49
342	49
343	49
344	49
345	49
346	49
347	49
348	49
349	49
350	49
351	49
352	49
353	49
354	49
355	49
356	49
357	49
358	49
359	49
360	49
361	49
362	49
363	49
364	49
365	49
366	49
367	49
368	49
369	49
370	49
371	49
372	49
373	50
374	50
375	50
376	50
377	50
378	50
379	50
380	51
381	51
382	51
383	51
384	51
385	51
386	51
387	51
388	51
389	51
390	51
391	51
392	51
393	51
394	51
395	51
396	51
397	51
398	51
399	51
400	51
401	51
402	51
403	51
404	51
405	51
406	51
407	51
408	51
409	51
410	51
411	51
412	51
413	51
414	51
415	51
416	51
417	51
418	51
419	51
420	51
421	51
422	51
423	51
424	51
425	51
426	51
427	51
428	51
429	51
430	51
431	51
432	51
433	51
434	51
435	51
436	51
437	51
438	52
439	53
440	53
441	53
442	53
443	53
444	53
445	53
446	53
447	53
448	53
449	53
450	53
451	53
452	53
453	54
454	54
455	54
456	54
457	54
458	54
459	54
460	54
461	54
462	54
463	54
464	54
465	54
466	54
467	54
468	54
469	54
470	54
471	54
472	54
473	54
474	54
475	54
476	54
477	54
478	54
479	54
480	54
481	54
482	54
483	54
484	54
485	54
486	54
487	54
488	54
489	54
490	54
491	54
492	54
493	54
494	55
495	55
496	55
497	55
498	55
499	56
500	56
501	56
502	56
503	56
504	56
505	56
506	56
507	56
508	56
509	56
510	56
511	56
512	56
513	56
514	56
515	56
516	56
517	56
518	56
519	56
520	56
521	56
522	56
523	56
524	56
525	56
526	56
527	56
528	56
529	56
530	56
531	56
532	56
533	56
534	56
535	56
536	56
537	56
538	56
539	56
540	56
541	56
542	56
543	56
544	56
545	56
546	56
547	56
548	56
549	56
550	56
551	56
552	56
553	56
554	56
555	56
556	56
557	56
558	56
559	56
560	56
561	56
562	56
563	56
564	56
565	56
566	56
567	56
568	56
569	56
570	56
571	56
572	56
573	56
574	56
575	56
576	56
577	56
578	56
579	56
580	56
581	56
582	56
583	56
584	56
585	56
586	56
587	56
588	56
589	56
590	56
591	56
592	56
593	56
594	56
595	56
596	56
597	56
598	56
599	56
600	56
601	56
602	56
603	56
604	56
605	56
606	56
607	56
608	56
609	56
610	56
611	56
612	56
613	56
614	56
615	56
616	56
617	56
618	56
619	56
620	56
621	56
622	57
623	57
624	57
625	57
626	57
627	57
628	57
629	57
630	57
631	57
632	57
633	57
634	57
635	57
636	57
637	57
638	57
639	57
640	57
641	57
642	57
643	57
644	57
645	57
646	57
647	57
648	57
649	57
650	57
651	57
652	57
653	57
654	57
655	57
656	57
657	57
658	57
659	57
660	57
661	57
662	57
663	57
664	57
665	57
666	57
667	57
668	57
669	57
670	57
671	57
672	57
673	57
674	57
675	57
676	57
677	57
678	57
679	57
680	57
681	57
682	57
683	57
684	58
685	58
686	58
687	58
688	58
689	58
690	58
691	58
692	58
693	58
694	58
695	58
696	58
697	58
698	58
699	58
700	58
701	58
702	58
703	58
704	58
705	58
706	58
707	58
708	58
709	58
710	58
711	58
712	58
713	58
714	59
715	59
716	59
717	59
718	59
719	59
720	59
721	59
722	59
723	59
724	60
725	60
726	60
727	60
728	60
729	60
730	60
731	60
732	60
733	60
734	60
735	60
736	60
737	60
738	60
739	60
740	60
741	60
742	60
743	60
744	60
745	60
746	60
747	60
748	60
749	60
750	60
751	60
752	60
753	60
754	60
755	60
756	60
757	60
758	60
759	60
760	60
761	60
762	60
763	60
764	60
765	60
766	60
767	60
768	60
769	60
770	60
771	60
772	60
773	60
774	60
775	60
776	60
777	60
778	60
779	60
780	60
781	60
782	61
783	61
784	62
785	62
786	62
787	62
788	63
789	63
790	63
791	63
792	63
793	63
794	63
795	63
796	63
797	63
798	63
799	63
800	63
801	63
802	63
803	63
804	63
805	63
806	63
807	63
808	63
809	63
810	63
811	63
812	63
813	63
814	63
815	63
816	63
817	63
818	63
819	63
820	63
821	63
822	63
823	63
824	63
825	63
826	63
827	63
828	63
829	63
830	63
831	63
832	63
833	63
834	63
835	63
836	63
837	63
838	63
839	63
840	63
841	63
842	63
843	63
844	63
845	63
846	64
847	64
848	64
849	64
850	64
851	64
852	64
853	64
854	64
855	64
856	64
857	64
858	64
859	64
860	64
861	64
862	64
863	64
864	64
865	64
866	64
867	64
868	64
869	64
870	64
871	64
872	64
873	64
874	64
875	64
876	64
877	64
878	64
879	64
880	64
881	64
882	64
883	64
884	64
885	64
886	64
887	64
888	64
889	64
890	64
891	64
892	64
893	64
894	64
895	64
896	64
897	64
898	64
899	64
900	64
901	64
902	64
903	64
904	64
905	64
906	64
907	64
908	64
909	64
910	64
911	64
912	64
913	64
914	64
915	64
916	64
917	64
918	64
919	64
920	64
921	64
922	64
923	64
924	64
925	64
926	64
927	64
928	64
929	64
930	64
931	64
932	64
933	64
934	64
935	64
936	64
937	64
938	64
939	64
940	64
941	65
942	65
943	65
944	65
945	65
946	65
947	65
948	65
949	65
950	65
951	65
952	65
953	65
954	65
955	65
956	65
957	65
958	65
959	65
960	65
961	65
962	65
963	65
