N	V
0	1
1	2
2	3
3	3
4	4
5	5
6	6
7	7
8	7
9	8
10	8
11	9
12	10
13	10
14	10
15	10
16	11
17	11
18	11
19	11
20	11
21	12
22	13
23	13
24	14
25	15
26	15
27	16
28	16
29	17
30	17
31	17
32	17
33	17
34	17
35	17
36	17
37	18
38	18
39	19
40	19
41	20
42	21
43	22
44	22
45	23
46	23
47	23
48	24
49	24
50	24
51	25
52	25
53	26
54	26
55	26
56	26
57	26
58	26
59	27
60	28
61	28
62	28
63	28
64	29
65	29
66	29
67	29
68	29
69	29
70	29
71	29
72	29
73	29
74	30
75	30
76	30
77	30
78	30
79	30
80	30
81	30
82	30
83	30
84	30
85	30
86	30
87	30
88	30
89	30
90	30
91	30
92	31
93	31
94	32
95	32
96	32
97	33
98	33
99	33
100	33
101	33
102	33
103	34
104	34
105	34
106	34
107	34
108	34
109	34
110	34
111	34
112	34
113	34
114	34
115	34
116	34
117	34
118	35
119	35
120	35
121	35
122	35
123	35
124	35
125	35
126	35
127	35
128	35
129	36
130	36
131	36
132	37
133	37
134	38
135	38
136	38
137	38
138	38
139	39
140	39
141	40
142	40
143	40
144	40
145	40
146	40
147	40
148	40
149	40
150	40
151	40
152	40
153	41
154	41
155	41
156	41
157	41
158	41
159	41
160	41
161	41
162	41
163	42
164	42
165	42
166	42
167	42
168	43
169	43
170	43
171	43
172	43
173	43
174	44
175	44
176	44
177	44
178	45
179	45
180	45
181	45
182	45
183	45
184	45
185	45
186	45
187	45
188	45
189	45
190	45
191	45
192	46
193	46
194	46
195	46
196	46
197	46
198	46
199	46
200	47
201	47
202	48
203	48
204	48
205	48
206	48
207	48
208	48
209	49
210	49
211	49
212	49
213	49
214	49
215	49
216	49
217	49
218	49
219	49
220	49
221	49
222	50
223	50
224	50
225	50
226	50
227	50
228	50
229	51
230	51
231	51
232	51
233	51
234	51
235	51
236	51
237	51
238	51
239	51
240	51
241	51
242	51
243	51
244	51
245	51
246	51
247	51
248	51
249	51
250	51
251	51
252	51
253	51
254	51
255	52
256	53
257	53
258	53
259	53
260	53
261	53
262	53
263	53
264	53
265	53
266	53
267	53
268	53
269	53
270	53
271	53
272	53
273	53
274	53
275	53
276	53
277	53
278	53
279	53
280	53
281	53
282	53
283	53
284	53
285	53
286	54
287	54
288	54
289	54
290	54
291	54
292	54
293	54
294	54
295	54
296	54
297	54
298	54
299	54
300	54
301	54
302	54
303	54
304	54
305	54
306	54
307	54
308	54
309	55
310	55
311	55
312	55
313	55
314	55
315	56
316	57
317	57
318	57
319	58
320	58
321	58
322	58
323	58
324	58
325	58
326	58
327	58
328	58
329	58
330	58
331	58
332	58
333	58
334	58
335	58
336	58
337	58
338	58
339	58
340	58
341	58
342	58
343	58
344	58
345	58
346	58
347	58
348	58
349	58
350	58
351	58
352	58
353	58
354	58
355	58
356	58
357	58
358	58
359	58
360	58
361	58
362	58
363	58
364	58
365	58
366	59
367	59
368	59
369	59
370	59
371	59
372	59
373	59
374	59
375	59
376	59
377	59
378	59
379	59
380	59
381	59
382	60
383	60
384	60
385	60
386	60
387	60
388	60
389	60
390	61
391	61
392	61
393	61
394	61
395	61
396	61
397	61
398	61
399	61
400	61
401	61
402	61
403	61
404	61
405	61
406	61
407	61
408	61
409	61
410	61
411	61
412	61
413	61
414	61
415	61
416	61
417	61
418	61
419	61
420	61
421	61
422	61
423	61
424	61
425	61
426	61
427	61
428	61
429	61
430	61
431	61
432	61
433	61
434	61
435	62
436	62
437	62
438	62
439	62
440	62
441	62
442	62
443	62
444	62
445	62
446	62
447	62
448	62
449	62
450	62
451	62
452	62
453	62
454	62
455	62
456	62
457	62
458	62
459	62
460	62
461	62
462	62
463	62
464	62
465	62
466	62
467	62
468	62
469	62
470	62
471	62
472	62
473	62
474	62
475	62
476	63
477	63
478	63
479	63
480	63
481	63
482	63
483	63
484	63
485	63
486	63
487	63
488	63
489	63
490	63
491	63
492	63
493	63
494	63
495	63
496	63
497	63
498	63
499	63
500	63
501	63
502	63
503	63
504	63
505	63
506	63
507	63
508	63
509	63
510	63
511	64
512	64
513	64
514	64
515	64
516	64
517	64
518	64
519	64
520	64
521	64
522	64
523	64
524	64
525	64
526	64
527	64
528	64
529	64
530	65
531	65
532	65
533	65
534	65
535	65
536	65
537	65
538	65
539	65
540	65
541	65
542	66
543	66
544	66
545	66
546	66
547	66
548	66
549	66
550	66
551	66
552	66
553	66
554	66
555	66
556	66
557	66
558	66
559	66
560	66
561	66
562	66
563	66
564	66
565	66
566	66
567	66
568	66
569	66
570	66
571	66
572	66
573	66
574	66
575	66
576	66
577	66
578	66
579	66
580	66
581	66
582	66
583	66
584	66
585	66
586	66
587	66
588	66
589	66
590	66
591	66
592	66
593	66
594	66
595	66
596	66
597	66
598	66
599	66
600	66
601	66
602	66
603	66
604	66
605	66
606	66
607	66
608	66
609	66
610	66
611	66
612	66
613	66
614	66
615	66
616	66
617	66
618	66
619	66
620	66
621	66
622	66
623	66
624	66
625	66
626	66
627	66
628	66
629	66
630	66
631	66
632	66
633	66
634	66
635	66
636	66
637	66
638	66
639	66
640	66
641	66
642	66
643	66
644	66
645	66
646	66
647	66
648	66
649	66
650	66
651	66
652	66
653	66
654	66
655	66
656	66
657	66
658	66
659	66
660	66
661	66
662	66
663	66
664	67
665	67
666	67
667	67
668	67
669	67
670	67
671	67
672	67
673	67
674	67
675	67
676	67
677	67
678	67
679	67
680	67
681	67
682	67
683	67
684	67
685	67
686	67
687	67
688	67
689	67
690	67
691	67
692	67
693	67
694	67
695	67
696	67
697	67
698	67
699	67
700	67
701	67
702	67
703	67
704	67
705	67
706	67
707	67
708	67
709	67
710	67
711	67
712	67
713	67
714	67
715	67
716	67
717	67
718	67
719	67
720	67
721	67
722	67
723	67
724	67
725	67
726	67
727	67
728	67
729	67
730	67
731	67
732	67
733	67
734	67
735	67
736	67
737	67
738	67
739	67
740	67
741	67
742	67
743	67
744	68
745	68
746	68
747	68
748	68
749	68
750	68
751	68
752	68
753	68
754	68
755	68
756	68
757	68
758	68
759	68
760	68
761	68
762	68
763	68
764	68
765	68
766	68
767	68
768	68
769	68
770	68
771	68
772	68
773	68
774	68
775	69
776	69
777	69
778	69
779	69
780	69
781	69
782	69
783	69
784	69
785	69
786	69
787	69
788	69
789	69
790	69
791	69
792	69
793	69
794	69
795	69
796	69
797	69
798	69
799	69
800	69
801	69
802	69
803	69
804	69
805	69
806	69
807	69
808	69
809	69
810	69
811	69
812	69
813	69
814	69
815	69
816	69
817	69
818	69
819	69
820	69
821	69
822	69
823	69
824	69
825	69
826	69
827	69
828	69
829	69
830	69
831	69
832	69
833	69
834	69
835	69
836	69
837	69
838	69
839	69
840	69
841	69
842	69
843	69
844	69
845	69
846	69
847	69
848	69
849	69
850	69
851	69
852	69
853	69
854	69
855	69
856	69
857	69
858	69
859	69
860	69
861	69
862	69
863	69
864	69
865	69
866	69
867	69
868	69
869	69
870	69
871	69
872	69
873	69
874	70
875	70
876	70
877	70
878	70
879	70
880	70
881	70
882	70
883	70
884	70
885	70
886	70
887	70
888	70
889	70
890	70
891	71
892	71
893	71
894	71
895	71
896	71
897	71
898	71
899	71
900	71
901	71
902	71
903	71
904	71
905	71
906	71
907	71
908	71
909	71
910	71
911	71
912	71
913	71
914	71
915	71
916	71
917	71
918	71
919	71
920	71
921	71
922	71
923	71
924	71
925	71
926	71
927	71
928	71
929	71
930	71
931	71
932	71
933	71
934	71
935	71
936	71
937	71
938	71
939	71
940	71
941	71
942	71
943	71
944	71
945	71
946	71
947	71
948	71
949	71
950	71
951	71
952	71
953	71
954	71
955	71
956	71
957	71
958	71
959	71
960	71
961	71
962	71
963	71
