N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	6
7	6
8	6
9	7
10	7
11	7
12	8
13	8
14	9
15	10
16	10
17	10
18	10
19	11
20	12
21	12
22	12
23	12
24	12
25	12
26	13
27	13
28	14
29	14
30	14
31	14
32	14
33	14
34	14
35	15
36	15
37	16
38	16
39	17
40	17
41	18
42	18
43	18
44	18
45	18
46	18
47	18
48	18
49	19
50	19
51	20
52	20
53	20
54	20
55	20
56	20
57	20
58	20
59	20
60	20
61	20
62	20
63	20
64	20
65	20
66	20
67	20
68	20
69	20
70	21
71	21
72	21
73	21
74	22
75	22
76	22
77	22
78	22
79	22
80	22
81	22
82	22
83	23
84	24
85	24
86	24
87	24
88	24
89	24
90	24
91	24
92	24
93	24
94	24
95	24
96	24
97	24
98	24
99	24
100	24
101	24
102	24
103	24
104	24
105	24
106	24
107	25
108	25
109	25
110	25
111	26
112	26
113	26
114	26
115	26
116	26
117	26
118	26
119	26
120	26
121	26
122	26
123	26
124	26
125	26
126	26
127	26
128	26
129	27
130	27
131	27
132	27
133	27
134	27
135	27
136	27
137	27
138	27
139	27
140	27
141	27
142	27
143	27
144	27
145	27
146	27
147	27
148	27
149	27
150	27
151	27
152	27
153	27
154	27
155	27
156	27
157	28
158	28
159	28
160	28
161	28
162	28
163	28
164	28
165	28
166	28
167	28
168	28
169	28
170	28
171	28
172	28
173	28
174	28
175	28
176	28
177	28
178	28
179	28
180	28
181	28
182	28
183	28
184	28
185	28
186	28
187	28
188	29
189	29
190	29
191	29
192	29
193	29
194	30
195	30
196	30
197	31
198	31
199	31
200	31
201	31
202	31
203	31
204	31
205	31
206	31
207	31
208	31
209	31
210	31
211	31
212	31
213	31
214	31
215	31
216	31
217	31
218	31
219	31
220	31
221	32
222	32
223	32
224	32
225	32
226	32
227	32
228	32
229	32
230	33
231	33
232	33
233	33
234	33
235	33
236	33
237	33
238	33
239	33
240	34
241	34
242	34
243	34
244	34
245	34
246	34
247	34
248	34
249	34
250	35
251	35
252	35
253	35
254	35
255	35
256	35
257	35
258	35
259	35
260	35
261	35
262	36
263	36
264	36
265	36
266	36
267	36
268	36
269	36
270	36
271	36
272	36
273	36
274	36
275	36
276	36
277	36
278	36
279	36
280	36
281	36
282	36
283	36
284	36
285	36
286	36
287	36
288	36
289	36
290	36
291	36
292	36
293	36
294	36
295	36
296	36
297	36
298	36
299	36
300	36
301	36
302	36
303	36
304	36
305	36
306	36
307	36
308	36
309	36
310	36
311	36
312	36
313	36
314	36
315	36
316	36
317	36
318	36
319	36
320	36
321	36
322	36
323	36
324	36
325	36
326	36
327	36
328	36
329	36
330	36
331	36
332	36
333	36
334	36
335	36
336	36
337	37
338	37
339	37
340	37
341	37
342	37
343	37
344	37
345	37
346	37
347	37
348	37
349	37
350	37
351	37
352	37
353	37
354	38
355	38
356	38
357	38
358	38
359	38
360	38
361	38
362	39
363	39
364	39
365	39
366	39
367	39
368	39
369	39
370	39
371	39
372	39
373	39
374	39
375	39
376	39
377	39
378	39
379	39
380	39
381	39
382	39
383	39
384	39
385	39
386	39
387	39
388	39
389	39
390	39
391	39
392	39
393	39
394	39
395	39
396	39
397	39
398	39
399	39
400	39
401	39
402	39
403	39
404	39
405	39
406	39
407	39
408	39
409	39
410	39
411	39
412	39
413	39
414	39
415	39
416	39
417	39
418	39
419	39
420	39
421	39
422	39
423	39
424	39
425	39
426	39
427	39
428	39
429	39
430	39
431	39
432	39
433	39
434	39
435	39
436	39
437	39
438	39
439	39
440	39
441	39
442	39
443	39
444	39
445	39
446	39
447	39
448	39
449	39
450	39
451	39
452	39
453	39
454	39
455	39
456	39
457	39
458	39
459	39
460	39
461	39
462	39
463	39
464	39
465	39
466	39
467	39
468	39
469	40
470	41
471	41
472	41
473	41
474	41
475	41
476	41
477	41
478	41
479	41
480	41
481	41
482	41
483	41
484	41
485	41
486	41
487	41
488	41
489	41
490	41
491	41
492	41
493	41
494	41
495	41
496	41
497	41
498	41
499	41
500	41
501	41
502	41
503	41
504	41
505	41
506	41
507	41
508	41
509	41
510	41
511	41
512	41
513	41
514	41
515	41
516	41
517	41
518	41
519	41
520	41
521	41
522	41
523	41
524	42
525	42
526	42
527	42
528	42
529	42
530	42
531	42
532	42
533	42
534	42
535	42
536	43
537	43
538	43
539	43
540	43
541	43
542	43
543	43
544	43
545	43
546	43
547	43
548	43
549	43
550	43
551	43
552	43
553	43
554	43
555	43
556	43
557	43
558	43
559	43
560	43
561	43
562	43
563	43
564	43
565	43
566	43
567	43
568	43
569	43
570	43
571	43
572	43
573	43
574	43
575	43
576	43
577	43
578	43
579	43
580	43
581	43
582	43
583	43
584	43
585	43
586	43
587	43
588	43
589	43
590	43
591	43
592	43
593	43
594	43
595	43
596	43
597	43
598	43
599	43
600	43
601	43
602	43
603	43
604	43
605	43
606	43
607	43
608	43
609	43
610	43
611	43
612	43
613	43
614	43
615	43
616	43
617	43
618	43
619	43
620	43
621	43
622	43
623	43
624	43
625	43
626	43
627	43
628	43
629	43
630	43
631	43
632	43
633	43
634	43
635	43
636	43
637	43
638	43
639	43
640	43
641	43
642	43
643	43
644	43
645	43
646	43
647	43
648	43
649	43
650	43
651	43
652	43
653	44
654	44
655	44
656	44
657	44
658	44
659	44
660	44
661	44
662	44
663	44
664	44
665	44
666	44
667	44
668	44
669	44
670	44
671	44
672	44
673	44
674	44
675	44
676	44
677	44
678	44
679	44
680	44
681	44
682	44
683	44
684	44
685	44
686	44
687	44
688	44
689	44
690	44
691	44
692	44
693	44
694	44
695	44
696	44
697	44
698	44
699	44
700	44
701	44
702	44
703	44
704	44
705	44
706	44
707	44
708	44
709	44
710	44
711	44
712	44
713	44
714	44
715	44
716	44
717	44
718	44
719	44
720	44
721	44
722	44
723	44
724	44
725	44
726	44
727	44
728	44
729	44
730	44
731	44
732	44
733	44
734	44
735	44
736	44
737	44
738	44
739	44
740	44
741	44
742	44
743	44
744	44
745	44
746	44
747	44
748	44
749	44
750	44
751	44
752	44
753	44
754	44
755	44
756	44
757	44
758	44
759	44
760	44
761	44
762	44
763	44
764	44
765	44
766	44
767	44
768	44
769	44
770	44
771	44
772	44
773	44
774	44
775	44
776	44
777	44
778	44
779	44
780	44
781	44
782	44
783	44
784	44
785	44
786	44
787	44
788	44
789	44
790	44
791	44
792	44
793	44
794	44
795	44
796	44
797	44
798	44
799	44
800	44
801	44
802	44
803	44
804	44
805	44
806	44
807	44
808	44
809	44
810	44
811	44
812	44
813	44
814	44
815	44
816	44
817	44
818	44
819	44
820	44
821	44
822	44
823	44
824	44
825	44
826	44
827	44
828	44
829	44
830	44
831	44
832	44
833	44
834	44
835	44
836	44
837	44
838	44
839	44
840	44
841	44
842	44
843	44
844	44
845	44
846	44
847	44
848	44
849	44
850	44
851	44
852	44
853	44
854	44
855	44
856	44
857	44
858	44
859	44
860	44
861	44
862	44
863	44
864	44
865	44
866	44
867	44
868	44
869	44
870	44
871	44
872	44
873	44
874	44
875	44
876	44
877	44
878	44
879	44
880	44
881	44
882	44
883	44
884	44
885	44
886	44
887	44
888	44
889	45
890	45
891	45
892	45
893	45
894	45
895	45
896	45
897	45
898	45
899	45
900	45
901	45
902	45
903	45
904	45
905	45
906	45
907	45
908	45
909	45
910	45
911	45
912	45
913	45
914	45
915	45
916	45
917	45
918	45
919	45
920	45
921	45
922	45
923	45
924	45
925	45
926	45
927	46
928	46
929	46
930	46
931	46
932	46
933	46
934	46
935	46
936	46
937	46
938	46
939	46
940	46
941	46
942	46
943	46
944	46
945	46
946	46
947	46
948	46
949	46
950	46
951	46
952	46
953	46
954	46
955	46
956	46
957	46
958	46
959	46
960	46
961	46
962	46
963	46
