N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	6
7	6
8	6
9	7
10	8
11	9
12	10
13	10
14	10
15	10
16	10
17	10
18	11
19	12
20	12
21	12
22	12
23	12
24	12
25	12
26	12
27	12
28	12
29	12
30	13
31	13
32	13
33	13
34	13
35	13
36	14
37	14
38	15
39	15
40	15
41	16
42	16
43	16
44	16
45	17
46	17
47	18
48	18
49	18
50	18
51	19
52	19
53	19
54	19
55	19
56	19
57	19
58	19
59	20
60	21
61	21
62	21
63	21
64	22
65	22
66	23
67	23
68	24
69	24
70	25
71	25
72	25
73	25
74	25
75	25
76	25
77	26
78	26
79	26
80	26
81	26
82	26
83	26
84	26
85	26
86	26
87	26
88	26
89	26
90	26
91	26
92	26
93	27
94	27
95	27
96	27
97	27
98	27
99	27
100	27
101	27
102	27
103	27
104	27
105	27
106	27
107	28
108	28
109	28
110	28
111	28
112	28
113	28
114	28
115	28
116	28
117	29
118	29
119	30
120	30
121	30
122	30
123	30
124	30
125	30
126	30
127	30
128	30
129	31
130	31
131	31
132	31
133	31
134	31
135	31
136	31
137	32
138	32
139	32
140	32
141	32
142	32
143	32
144	32
145	32
146	32
147	32
148	32
149	32
150	32
151	32
152	32
153	33
154	33
155	34
156	34
157	34
158	34
159	34
160	34
161	34
162	34
163	34
164	34
165	34
166	34
167	34
168	35
169	35
170	35
171	35
172	35
173	35
174	35
175	35
176	35
177	35
178	35
179	35
180	35
181	35
182	35
183	35
184	35
185	35
186	35
187	35
188	35
189	35
190	35
191	35
192	35
193	35
194	35
195	35
196	35
197	35
198	35
199	35
200	35
201	35
202	35
203	35
204	35
205	35
206	35
207	35
208	35
209	35
210	35
211	35
212	35
213	35
214	35
215	35
216	35
217	36
218	36
219	36
220	36
221	36
222	36
223	36
224	37
225	37
226	37
227	37
228	37
229	37
230	37
231	37
232	37
233	37
234	37
235	37
236	37
237	37
238	37
239	37
240	37
241	37
242	37
243	37
244	37
245	37
246	37
247	37
248	37
249	37
250	37
251	37
252	37
253	37
254	37
255	37
256	37
257	37
258	37
259	37
260	37
261	37
262	37
263	37
264	37
265	37
266	37
267	37
268	37
269	37
270	37
271	37
272	37
273	37
274	37
275	37
276	37
277	37
278	37
279	37
280	37
281	37
282	37
283	37
284	37
285	37
286	37
287	37
288	37
289	37
290	37
291	37
292	37
293	37
294	37
295	37
296	37
297	37
298	37
299	37
300	37
301	37
302	37
303	37
304	37
305	37
306	37
307	37
308	37
309	37
310	37
311	37
312	37
313	37
314	37
315	38
316	38
317	38
318	38
319	38
320	38
321	38
322	38
323	38
324	38
325	38
326	38
327	38
328	38
329	38
330	38
331	38
332	38
333	38
334	38
335	38
336	38
337	38
338	38
339	38
340	38
341	38
342	38
343	38
344	38
345	38
346	38
347	38
348	38
349	38
350	38
351	38
352	38
353	38
354	38
355	38
356	38
357	38
358	38
359	38
360	38
361	38
362	38
363	38
364	38
365	38
366	38
367	38
368	38
369	38
370	38
371	38
372	38
373	38
374	38
375	38
376	38
377	38
378	38
379	38
380	38
381	38
382	38
383	38
384	38
385	38
386	38
387	38
388	38
389	38
390	38
391	38
392	38
393	39
394	39
395	39
396	39
397	39
398	39
399	39
400	39
401	39
402	39
403	39
404	39
405	39
406	39
407	39
408	39
409	39
410	40
411	41
412	41
413	42
414	42
415	42
416	42
417	42
418	42
419	42
420	42
421	42
422	42
423	42
424	42
425	42
426	42
427	42
428	42
429	42
430	42
431	42
432	42
433	42
434	42
435	42
436	42
437	42
438	42
439	42
440	42
441	42
442	42
443	42
444	42
445	42
446	42
447	42
448	42
449	42
450	42
451	42
452	42
453	42
454	42
455	42
456	42
457	42
458	42
459	42
460	42
461	42
462	42
463	42
464	42
465	42
466	42
467	42
468	42
469	42
470	42
471	42
472	42
473	43
474	43
475	43
476	43
477	43
478	43
479	43
480	43
481	43
482	43
483	43
484	43
485	44
486	44
487	44
488	45
489	45
490	45
491	45
492	45
493	45
494	45
495	45
496	45
497	45
498	45
499	45
500	45
501	45
502	45
503	45
504	45
505	45
506	45
507	45
508	45
509	45
510	45
511	45
512	45
513	45
514	45
515	45
516	45
517	45
518	45
519	45
520	45
521	45
522	45
523	45
524	45
525	45
526	45
527	45
528	45
529	45
530	45
531	45
532	45
533	45
534	45
535	45
536	45
537	45
538	45
539	45
540	45
541	45
542	45
543	45
544	45
545	45
546	45
547	45
548	45
549	45
550	45
551	45
552	45
553	45
554	45
555	45
556	45
557	45
558	45
559	45
560	45
561	45
562	45
563	45
564	45
565	45
566	45
567	45
568	45
569	45
570	45
571	45
572	45
573	45
574	45
575	45
576	45
577	45
578	45
579	45
580	45
581	45
582	45
583	45
584	45
585	45
586	45
587	45
588	45
589	45
590	45
591	45
592	45
593	46
594	46
595	46
596	46
597	46
598	46
599	46
600	46
601	46
602	46
603	46
604	46
605	46
606	46
607	46
608	46
609	46
610	46
611	46
612	46
613	46
614	46
615	46
616	46
617	46
618	46
619	46
620	46
621	46
622	46
623	46
624	46
625	46
626	46
627	46
628	46
629	46
630	46
631	46
632	46
633	46
634	46
635	46
636	46
637	46
638	46
639	46
640	46
641	46
642	46
643	46
644	46
645	46
646	46
647	46
648	46
649	46
650	46
651	46
652	46
653	46
654	46
655	46
656	46
657	46
658	46
659	46
660	46
661	46
662	46
663	46
664	47
665	47
666	47
667	47
668	47
669	47
670	47
671	47
672	47
673	47
674	47
675	47
676	47
677	47
678	47
679	47
680	47
681	47
682	47
683	47
684	47
685	47
686	47
687	47
688	47
689	47
690	47
691	47
692	47
693	47
694	47
695	47
696	47
697	47
698	47
699	47
700	47
701	47
702	47
703	47
704	47
705	47
706	47
707	47
708	47
709	47
710	47
711	47
712	47
713	47
714	47
715	47
716	47
717	47
718	47
719	48
720	48
721	48
722	48
723	48
724	48
725	48
726	48
727	48
728	48
729	48
730	48
731	48
732	48
733	48
734	48
735	48
736	48
737	48
738	48
739	48
740	48
741	48
742	48
743	48
744	48
745	48
746	48
747	48
748	48
749	48
750	48
751	48
752	48
753	48
754	48
755	48
756	48
757	48
758	48
759	48
760	48
761	48
762	48
763	48
764	48
765	48
766	48
767	48
768	48
769	48
770	48
771	48
772	48
773	48
774	48
775	48
776	48
777	48
778	48
779	48
780	48
781	48
782	48
783	48
784	48
785	48
786	48
787	48
788	48
789	48
790	48
791	48
792	48
793	48
794	48
795	48
796	48
797	48
798	48
799	48
800	48
801	48
802	48
803	48
804	48
805	48
806	48
807	48
808	48
809	48
810	48
811	48
812	48
813	48
814	48
815	48
816	48
817	48
818	48
819	48
820	48
821	48
822	48
823	48
824	48
825	48
826	48
827	48
828	48
829	48
830	48
831	48
832	48
833	48
834	48
835	48
836	48
837	48
838	48
839	48
840	48
841	48
842	48
843	48
844	48
845	48
846	48
847	48
848	48
849	48
850	48
851	48
852	48
853	48
854	48
855	48
856	48
857	48
858	48
859	48
860	48
861	48
862	48
863	48
864	48
865	48
866	48
867	48
868	48
869	48
870	48
871	48
872	48
873	48
874	48
875	48
876	48
877	48
878	48
879	48
880	48
881	48
882	48
883	48
884	48
885	48
886	48
887	48
888	48
889	48
890	48
891	48
892	48
893	48
894	48
895	48
896	48
897	48
898	48
899	48
900	48
901	48
902	48
903	48
904	48
905	48
906	48
907	48
908	48
909	48
910	48
911	48
912	48
913	48
914	48
915	48
916	48
917	48
918	48
919	48
920	48
921	48
922	48
923	48
924	48
925	48
926	48
927	48
928	48
929	48
930	48
931	48
932	48
933	48
934	48
935	48
936	48
937	48
938	48
939	48
940	48
941	48
942	48
943	48
944	48
945	48
946	48
947	48
948	48
949	48
950	48
951	48
952	48
953	48
954	48
955	48
956	48
957	48
958	48
959	48
960	48
961	48
962	48
963	48
