N	V
0	1
1	2
2	3
3	3
4	4
5	5
6	5
7	6
8	6
9	7
10	7
11	8
12	9
13	9
14	9
15	9
16	9
17	10
18	11
19	11
20	11
21	12
22	12
23	12
24	13
25	13
26	13
27	13
28	13
29	13
30	13
31	13
32	14
33	14
34	14
35	15
36	15
37	16
38	17
39	18
40	18
41	19
42	19
43	19
44	19
45	20
46	20
47	20
48	20
49	21
50	21
51	22
52	22
53	22
54	22
55	22
56	22
57	22
58	22
59	22
60	22
61	23
62	23
63	23
64	23
65	23
66	24
67	24
68	25
69	25
70	25
71	25
72	25
73	25
74	25
75	26
76	27
77	27
78	28
79	28
80	28
81	28
82	29
83	29
84	29
85	29
86	29
87	29
88	29
89	29
90	29
91	29
92	29
93	29
94	29
95	29
96	29
97	30
98	30
99	30
100	30
101	30
102	30
103	30
104	30
105	30
106	30
107	30
108	30
109	30
110	30
111	30
112	30
113	30
114	30
115	30
116	30
117	30
118	30
119	30
120	30
121	31
122	31
123	31
124	32
125	32
126	32
127	32
128	32
129	32
130	32
131	32
132	32
133	32
134	32
135	32
136	32
137	32
138	32
139	32
140	33
141	33
142	33
143	33
144	33
145	33
146	33
147	33
148	33
149	33
150	33
151	33
152	33
153	33
154	33
155	33
156	33
157	33
158	33
159	33
160	34
161	34
162	34
163	34
164	34
165	34
166	34
167	34
168	34
169	34
170	34
171	34
172	34
173	34
174	34
175	34
176	34
177	34
178	34
179	34
180	34
181	34
182	34
183	34
184	34
185	34
186	34
187	34
188	34
189	34
190	34
191	34
192	34
193	34
194	34
195	34
196	34
197	34
198	35
199	35
200	36
201	36
202	36
203	36
204	36
205	36
206	36
207	36
208	36
209	37
210	37
211	37
212	37
213	37
214	37
215	37
216	37
217	37
218	37
219	37
220	37
221	37
222	37
223	37
224	37
225	37
226	37
227	37
228	37
229	37
230	37
231	37
232	37
233	37
234	37
235	37
236	37
237	37
238	38
239	38
240	38
241	38
242	39
243	39
244	39
245	39
246	39
247	39
248	39
249	39
250	39
251	39
252	39
253	39
254	39
255	39
256	39
257	39
258	39
259	39
260	39
261	39
262	39
263	39
264	39
265	39
266	39
267	39
268	39
269	39
270	39
271	39
272	39
273	39
274	39
275	39
276	39
277	39
278	40
279	40
280	40
281	40
282	40
283	40
284	40
285	40
286	40
287	40
288	40
289	40
290	40
291	40
292	40
293	40
294	40
295	40
296	40
297	40
298	40
299	40
300	40
301	40
302	40
303	40
304	40
305	40
306	40
307	40
308	40
309	40
310	40
311	40
312	40
313	40
314	40
315	40
316	40
317	40
318	40
319	40
320	40
321	40
322	40
323	40
324	40
325	40
326	41
327	41
328	41
329	41
330	41
331	41
332	41
333	41
334	41
335	41
336	41
337	41
338	42
339	42
340	42
341	42
342	42
343	42
344	42
345	42
346	42
347	42
348	42
349	42
350	42
351	42
352	42
353	42
354	42
355	42
356	42
357	42
358	42
359	42
360	42
361	42
362	42
363	42
364	42
365	42
366	42
367	43
368	43
369	43
370	43
371	43
372	43
373	43
374	43
375	43
376	43
377	43
378	43
379	43
380	43
381	43
382	43
383	43
384	43
385	43
386	43
387	43
388	43
389	43
390	43
391	43
392	43
393	43
394	43
395	43
396	43
397	43
398	43
399	43
400	43
401	43
402	43
403	43
404	43
405	43
406	43
407	43
408	43
409	43
410	43
411	43
412	43
413	43
414	43
415	43
416	43
417	43
418	43
419	43
420	43
421	43
422	43
423	43
424	43
425	43
426	43
427	43
428	43
429	43
430	43
431	43
432	43
433	43
434	43
435	44
436	44
437	44
438	44
439	44
440	44
441	44
442	44
443	44
444	44
445	44
446	44
447	44
448	44
449	44
450	44
451	44
452	44
453	44
454	45
455	45
456	46
457	46
458	46
459	46
460	46
461	46
462	46
463	46
464	46
465	46
466	46
467	46
468	46
469	46
470	46
471	46
472	46
473	46
474	46
475	46
476	46
477	46
478	46
479	46
480	46
481	46
482	46
483	46
484	46
485	46
486	46
487	46
488	46
489	46
490	46
491	46
492	46
493	46
494	46
495	46
496	46
497	46
498	46
499	46
500	46
501	46
502	46
503	46
504	46
505	46
506	46
507	46
508	46
509	46
510	46
511	46
512	46
513	46
514	46
515	46
516	46
517	46
518	46
519	46
520	46
521	46
522	46
523	46
524	46
525	46
526	46
527	46
528	46
529	46
530	46
531	47
532	47
533	47
534	47
535	47
536	47
537	47
538	47
539	47
540	47
541	47
542	47
543	47
544	47
545	47
546	47
547	47
548	47
549	47
550	47
551	47
552	47
553	47
554	47
555	47
556	47
557	47
558	47
559	47
560	47
561	47
562	47
563	47
564	47
565	47
566	47
567	47
568	47
569	47
570	47
571	47
572	47
573	47
574	47
575	47
576	47
577	47
578	47
579	47
580	47
581	47
582	47
583	47
584	47
585	47
586	47
587	47
588	47
589	47
590	47
591	47
592	47
593	47
594	47
595	47
596	47
597	47
598	47
599	47
600	47
601	47
602	47
603	47
604	47
605	47
606	47
607	47
608	47
609	48
610	48
611	48
612	48
613	48
614	48
615	48
616	48
617	48
618	48
619	48
620	48
621	48
622	48
623	48
624	48
625	48
626	48
627	48
628	48
629	48
630	48
631	48
632	48
633	48
634	48
635	48
636	48
637	48
638	48
639	48
640	48
641	48
642	48
643	48
644	48
645	48
646	48
647	48
648	48
649	49
650	49
651	49
652	49
653	49
654	49
655	49
656	49
657	49
658	49
659	49
660	49
661	49
662	49
663	49
664	49
665	49
666	49
667	49
668	49
669	49
670	49
671	49
672	49
673	49
674	49
675	49
676	49
677	49
678	49
679	49
680	49
681	49
682	49
683	49
684	49
685	49
686	49
687	49
688	49
689	49
690	49
691	49
692	49
693	49
694	49
695	49
696	49
697	49
698	49
699	49
700	49
701	49
702	49
703	49
704	49
705	49
706	49
707	49
708	49
709	49
710	49
711	49
712	49
713	49
714	49
715	49
716	49
717	49
718	49
719	49
720	49
721	49
722	49
723	49
724	49
725	50
726	50
727	50
728	50
729	50
730	50
731	50
732	50
733	50
734	50
735	50
736	50
737	50
738	50
739	50
740	50
741	50
742	50
743	50
744	50
745	50
746	50
747	50
748	50
749	50
750	50
751	50
752	50
753	50
754	50
755	50
756	50
757	50
758	50
759	50
760	50
761	50
762	50
763	50
764	50
765	50
766	50
767	50
768	50
769	50
770	50
771	50
772	50
773	50
774	50
775	50
776	50
777	50
778	50
779	50
780	50
781	50
782	50
783	50
784	50
785	50
786	50
787	50
788	50
789	50
790	50
791	50
792	50
793	50
794	50
795	50
796	50
797	50
798	50
799	50
800	50
801	50
802	50
803	50
804	50
805	50
806	50
807	50
808	50
809	50
810	50
811	50
812	50
813	50
814	50
815	50
816	50
817	50
818	50
819	50
820	50
821	50
822	50
823	50
824	50
825	50
826	50
827	50
828	50
829	50
830	50
831	50
832	50
833	50
834	50
835	50
836	50
837	50
838	50
839	50
840	50
841	50
842	50
843	50
844	50
845	50
846	50
847	50
848	50
849	50
850	50
851	50
852	50
853	50
854	50
855	50
856	50
857	50
858	50
859	50
860	51
861	51
862	51
863	51
864	51
865	51
866	51
867	51
868	51
869	51
870	51
871	51
872	51
873	51
874	51
875	51
876	51
877	51
878	51
879	51
880	51
881	51
882	51
883	51
884	51
885	51
886	51
887	51
888	51
889	51
890	51
891	51
892	51
893	51
894	51
895	51
896	51
897	51
898	51
899	51
900	51
901	51
902	51
903	51
904	51
905	51
906	51
907	51
908	51
909	51
910	51
911	51
912	51
913	51
914	51
915	51
916	51
917	51
918	51
919	51
920	51
921	51
922	51
923	51
924	51
925	51
926	51
927	51
928	51
929	51
930	51
931	51
932	51
933	51
934	51
935	51
936	51
937	51
938	51
939	51
940	51
941	51
942	51
943	51
944	51
945	51
946	51
947	51
948	51
949	51
950	51
951	51
952	51
953	51
954	51
955	51
956	51
957	51
958	51
959	51
960	51
961	51
962	51
963	51
