N	V
0	1
1	2
2	3
3	3
4	4
5	5
6	5
7	6
8	6
9	7
10	8
11	9
12	10
13	10
14	10
15	10
16	10
17	11
18	11
19	11
20	12
21	12
22	12
23	13
24	13
25	13
26	14
27	14
28	14
29	14
30	14
31	14
32	14
33	14
34	14
35	15
36	15
37	15
38	16
39	16
40	17
41	17
42	18
43	18
44	19
45	19
46	19
47	19
48	19
49	19
50	19
51	19
52	20
53	20
54	20
55	20
56	21
57	21
58	21
59	21
60	22
61	22
62	22
63	22
64	22
65	22
66	22
67	22
68	23
69	23
70	23
71	23
72	24
73	24
74	25
75	25
76	25
77	25
78	25
79	25
80	25
81	25
82	25
83	25
84	25
85	25
86	25
87	25
88	26
89	26
90	26
91	26
92	26
93	26
94	26
95	26
96	26
97	26
98	27
99	28
100	28
101	29
102	29
103	29
104	29
105	29
106	29
107	29
108	29
109	29
110	29
111	29
112	29
113	29
114	29
115	29
116	29
117	29
118	29
119	29
120	29
121	29
122	29
123	29
124	29
125	29
126	29
127	29
128	29
129	29
130	29
131	29
132	29
133	29
134	29
135	29
136	29
137	29
138	29
139	29
140	29
141	29
142	29
143	30
144	30
145	30
146	30
147	30
148	30
149	30
150	30
151	30
152	30
153	30
154	30
155	30
156	30
157	30
158	30
159	30
160	30
161	30
162	30
163	30
164	30
165	30
166	30
167	31
168	31
169	31
170	31
171	31
172	32
173	32
174	33
175	33
176	33
177	33
178	33
179	33
180	33
181	33
182	33
183	33
184	33
185	33
186	33
187	33
188	33
189	33
190	33
191	33
192	33
193	33
194	33
195	33
196	33
197	33
198	33
199	33
200	33
201	34
202	34
203	34
204	34
205	34
206	34
207	34
208	34
209	35
210	35
211	35
212	35
213	36
214	36
215	36
216	36
217	36
218	36
219	36
220	36
221	36
222	36
223	36
224	36
225	36
226	36
227	37
228	37
229	37
230	37
231	37
232	37
233	37
234	37
235	37
236	37
237	37
238	37
239	37
240	37
241	37
242	37
243	37
244	37
245	37
246	37
247	37
248	37
249	37
250	37
251	38
252	38
253	38
254	38
255	38
256	38
257	38
258	38
259	38
260	38
261	38
262	38
263	38
264	38
265	38
266	38
267	38
268	38
269	38
270	38
271	38
272	38
273	38
274	38
275	38
276	38
277	38
278	38
279	38
280	38
281	38
282	38
283	38
284	38
285	38
286	38
287	38
288	38
289	38
290	38
291	38
292	38
293	38
294	38
295	38
296	38
297	38
298	38
299	38
300	38
301	38
302	38
303	38
304	38
305	38
306	38
307	38
308	38
309	38
310	38
311	38
312	38
313	38
314	38
315	38
316	38
317	38
318	38
319	38
320	38
321	38
322	38
323	38
324	38
325	38
326	39
327	39
328	39
329	39
330	39
331	39
332	39
333	39
334	39
335	39
336	39
337	39
338	39
339	39
340	39
341	39
342	39
343	39
344	39
345	39
346	39
347	39
348	39
349	39
350	39
351	39
352	39
353	39
354	39
355	39
356	39
357	39
358	39
359	39
360	39
361	39
362	39
363	39
364	39
365	39
366	39
367	39
368	39
369	39
370	39
371	39
372	39
373	39
374	39
375	39
376	39
377	39
378	39
379	39
380	39
381	39
382	39
383	39
384	39
385	39
386	39
387	39
388	39
389	39
390	39
391	39
392	39
393	39
394	39
395	39
396	39
397	39
398	39
399	39
400	39
401	39
402	39
403	39
404	39
405	39
406	39
407	39
408	39
409	39
410	39
411	39
412	39
413	39
414	39
415	39
416	39
417	39
418	39
419	39
420	39
421	39
422	39
423	39
424	39
425	39
426	39
427	39
428	39
429	40
430	40
431	41
432	41
433	41
434	41
435	41
436	41
437	41
438	41
439	41
440	41
441	41
442	41
443	41
444	41
445	41
446	41
447	41
448	41
449	41
450	41
451	41
452	41
453	41
454	41
455	41
456	41
457	41
458	41
459	41
460	41
461	41
462	41
463	41
464	41
465	41
466	41
467	41
468	41
469	41
470	41
471	41
472	41
473	41
474	41
475	41
476	41
477	41
478	41
479	41
480	41
481	41
482	41
483	41
484	41
485	41
486	41
487	41
488	41
489	41
490	41
491	41
492	41
493	41
494	41
495	41
496	41
497	41
498	41
499	41
500	41
501	42
502	42
503	42
504	42
505	42
506	42
507	42
508	42
509	42
510	42
511	42
512	42
513	42
514	42
515	42
516	42
517	42
518	42
519	42
520	42
521	42
522	42
523	42
524	42
525	42
526	42
527	42
528	42
529	42
530	42
531	42
532	42
533	42
534	42
535	42
536	42
537	42
538	42
539	42
540	42
541	42
542	42
543	42
544	42
545	42
546	42
547	42
548	42
549	42
550	42
551	42
552	42
553	42
554	42
555	42
556	42
557	42
558	42
559	42
560	42
561	43
562	43
563	43
564	43
565	43
566	43
567	43
568	43
569	43
570	43
571	43
572	43
573	43
574	43
575	43
576	43
577	43
578	43
579	43
580	43
581	43
582	43
583	43
584	43
585	43
586	43
587	43
588	43
589	43
590	43
591	44
592	44
593	44
594	44
595	44
596	44
597	44
598	44
599	44
600	44
601	44
602	44
603	44
604	44
605	44
606	44
607	44
608	44
609	44
610	44
611	44
612	44
613	44
614	44
615	44
616	44
617	44
618	44
619	44
620	44
621	44
622	44
623	44
624	44
625	44
626	44
627	44
628	44
629	44
630	44
631	44
632	44
633	44
634	44
635	44
636	44
637	44
638	44
639	44
640	44
641	44
642	44
643	44
644	44
645	44
646	44
647	44
648	44
649	44
650	44
651	44
652	44
653	44
654	44
655	44
656	44
657	44
658	44
659	44
660	44
661	44
662	44
663	44
664	44
665	44
666	44
667	44
668	44
669	44
670	44
671	44
672	44
673	44
674	44
675	44
676	44
677	44
678	44
679	44
680	44
681	44
682	44
683	44
684	44
685	44
686	44
687	44
688	44
689	44
690	44
691	44
692	44
693	44
694	44
695	44
696	44
697	44
698	44
699	44
700	44
701	45
702	45
703	45
704	45
705	45
706	45
707	45
708	45
709	45
710	45
711	45
712	45
713	45
714	45
715	45
716	45
717	45
718	45
719	45
720	45
721	45
722	45
723	45
724	45
725	45
726	45
727	45
728	45
729	45
730	45
731	45
732	45
733	45
734	45
735	45
736	45
737	45
738	45
739	45
740	45
741	45
742	45
743	45
744	45
745	45
746	45
747	45
748	45
749	45
750	45
751	45
752	45
753	45
754	45
755	45
756	45
757	45
758	45
759	45
760	45
761	45
762	45
763	45
764	45
765	45
766	45
767	45
768	45
769	45
770	45
771	45
772	45
773	45
774	45
775	45
776	45
777	45
778	45
779	45
780	45
781	45
782	45
783	45
784	45
785	45
786	45
787	45
788	45
789	45
790	45
791	45
792	45
793	45
794	45
795	45
796	45
797	45
798	45
799	45
800	45
801	45
802	45
803	45
804	45
805	45
806	45
807	45
808	45
809	45
810	45
811	45
812	45
813	45
814	45
815	45
816	45
817	45
818	45
819	45
820	45
821	45
822	45
823	45
824	45
825	45
826	45
827	45
828	45
829	45
830	45
831	45
832	45
833	45
834	45
835	45
836	45
837	45
838	45
839	45
840	45
841	45
842	45
843	45
844	45
845	45
846	45
847	45
848	45
849	45
850	45
851	45
852	45
853	45
854	45
855	45
856	45
857	45
858	45
859	45
860	45
861	45
862	45
863	45
864	45
865	45
866	45
867	45
868	45
869	45
870	45
871	45
872	45
873	45
874	45
875	45
876	45
877	45
878	45
879	45
880	45
881	45
882	45
883	45
884	45
885	45
886	45
887	45
888	45
889	45
890	45
891	45
892	45
893	45
894	45
895	45
896	45
897	45
898	45
899	45
900	45
901	45
902	45
903	45
904	45
905	45
906	45
907	45
908	45
909	45
910	45
911	45
912	45
913	45
914	45
915	45
916	45
917	45
918	45
919	45
920	45
921	45
922	45
923	45
924	45
925	45
926	45
927	45
928	45
929	45
930	45
931	45
932	45
933	45
934	45
935	45
936	45
937	45
938	45
939	45
940	45
941	45
942	45
943	45
944	45
945	45
946	45
947	45
948	45
949	45
950	45
951	45
952	45
953	45
954	45
955	45
956	45
957	45
958	45
959	45
960	45
961	45
962	45
963	45
