N	V
0	1
1	2
2	3
3	4
4	5
5	5
6	5
7	5
8	6
9	6
10	7
11	7
12	7
13	7
14	7
15	7
16	8
17	9
18	10
19	10
20	10
21	10
22	10
23	11
24	12
25	13
26	13
27	13
28	13
29	13
30	13
31	13
32	13
33	13
34	14
35	15
36	15
37	16
38	17
39	17
40	17
41	18
42	18
43	19
44	19
45	19
46	20
47	20
48	20
49	20
50	20
51	20
52	20
53	20
54	21
55	21
56	22
57	22
58	22
59	22
60	23
61	23
62	23
63	23
64	23
65	23
66	23
67	23
68	24
69	24
70	24
71	24
72	24
73	24
74	24
75	25
76	25
77	25
78	25
79	25
80	25
81	25
82	25
83	26
84	26
85	26
86	26
87	26
88	27
89	27
90	28
91	28
92	28
93	28
94	28
95	28
96	28
97	28
98	28
99	28
100	28
101	28
102	28
103	28
104	28
105	28
106	28
107	28
108	28
109	28
110	28
111	28
112	28
113	28
114	28
115	28
116	28
117	29
118	29
119	29
120	29
121	30
122	30
123	30
124	30
125	30
126	30
127	31
128	31
129	32
130	32
131	32
132	32
133	32
134	32
135	32
136	32
137	33
138	33
139	33
140	33
141	34
142	34
143	34
144	34
145	34
146	34
147	34
148	34
149	34
150	35
151	35
152	35
153	35
154	35
155	35
156	36
157	36
158	36
159	36
160	36
161	36
162	36
163	36
164	36
165	36
166	36
167	36
168	36
169	36
170	36
171	36
172	36
173	36
174	36
175	36
176	36
177	36
178	36
179	36
180	36
181	36
182	36
183	36
184	36
185	36
186	36
187	36
188	36
189	36
190	36
191	36
192	36
193	36
194	36
195	36
196	36
197	36
198	36
199	36
200	36
201	36
202	36
203	36
204	36
205	36
206	36
207	36
208	36
209	36
210	37
211	37
212	37
213	37
214	37
215	37
216	37
217	37
218	37
219	37
220	37
221	37
222	37
223	37
224	37
225	37
226	37
227	37
228	37
229	37
230	37
231	37
232	37
233	37
234	38
235	38
236	38
237	38
238	38
239	39
240	39
241	39
242	39
243	39
244	39
245	39
246	39
247	39
248	39
249	39
250	39
251	40
252	40
253	40
254	41
255	42
256	42
257	42
258	42
259	42
260	42
261	42
262	42
263	42
264	42
265	42
266	42
267	42
268	42
269	42
270	42
271	42
272	42
273	42
274	42
275	42
276	42
277	42
278	42
279	42
280	42
281	42
282	42
283	42
284	42
285	42
286	42
287	42
288	42
289	42
290	42
291	42
292	42
293	42
294	42
295	42
296	42
297	42
298	42
299	42
300	42
301	42
302	42
303	43
304	43
305	43
306	43
307	43
308	43
309	43
310	43
311	43
312	43
313	43
314	43
315	43
316	43
317	43
318	43
319	43
320	43
321	43
322	43
323	43
324	43
325	43
326	43
327	43
328	43
329	43
330	43
331	43
332	43
333	43
334	43
335	43
336	43
337	43
338	43
339	43
340	43
341	43
342	43
343	43
344	43
345	43
346	43
347	43
348	43
349	43
350	43
351	43
352	43
353	43
354	43
355	43
356	43
357	43
358	43
359	43
360	43
361	43
362	43
363	43
364	43
365	43
366	43
367	43
368	43
369	43
370	43
371	43
372	43
373	43
374	43
375	43
376	43
377	43
378	43
379	43
380	43
381	43
382	43
383	43
384	43
385	43
386	43
387	43
388	43
389	43
390	43
391	43
392	43
393	43
394	43
395	43
396	43
397	43
398	43
399	43
400	43
401	43
402	43
403	43
404	43
405	43
406	43
407	43
408	43
409	43
410	43
411	43
412	43
413	44
414	44
415	44
416	44
417	44
418	45
419	45
420	45
421	45
422	45
423	45
424	45
425	45
426	45
427	45
428	45
429	45
430	45
431	45
432	45
433	45
434	45
435	45
436	45
437	45
438	45
439	45
440	45
441	45
442	45
443	45
444	45
445	45
446	45
447	45
448	45
449	45
450	45
451	45
452	45
453	45
454	45
455	45
456	45
457	45
458	45
459	45
460	45
461	45
462	45
463	45
464	45
465	45
466	45
467	45
468	45
469	45
470	45
471	45
472	45
473	45
474	45
475	45
476	45
477	45
478	45
479	45
480	45
481	45
482	45
483	45
484	45
485	45
486	45
487	45
488	45
489	45
490	45
491	45
492	45
493	45
494	45
495	45
496	46
497	46
498	46
499	46
500	46
501	46
502	46
503	46
504	46
505	46
506	46
507	46
508	46
509	46
510	46
511	46
512	46
513	46
514	46
515	46
516	46
517	46
518	46
519	46
520	46
521	46
522	46
523	46
524	46
525	46
526	46
527	46
528	46
529	46
530	46
531	46
532	46
533	46
534	46
535	46
536	46
537	46
538	46
539	46
540	46
541	46
542	46
543	46
544	46
545	46
546	46
547	46
548	46
549	46
550	46
551	46
552	46
553	46
554	46
555	46
556	46
557	46
558	46
559	46
560	46
561	46
562	46
563	46
564	46
565	46
566	46
567	46
568	46
569	46
570	46
571	46
572	46
573	46
574	46
575	46
576	46
577	46
578	46
579	46
580	46
581	46
582	46
583	46
584	46
585	46
586	46
587	46
588	46
589	46
590	46
591	46
592	46
593	46
594	46
595	46
596	46
597	46
598	46
599	46
600	46
601	46
602	46
603	46
604	46
605	46
606	46
607	46
608	46
609	46
610	46
611	46
612	46
613	46
614	46
615	46
616	46
617	46
618	46
619	46
620	46
621	46
622	46
623	46
624	46
625	46
626	46
627	46
628	46
629	46
630	46
631	46
632	46
633	46
634	46
635	46
636	46
637	46
638	46
639	46
640	46
641	46
642	46
643	46
644	46
645	46
646	46
647	46
648	46
649	46
650	46
651	46
652	46
653	46
654	46
655	46
656	46
657	46
658	46
659	46
660	46
661	46
662	46
663	46
664	46
665	46
666	46
667	46
668	46
669	46
670	46
671	46
672	46
673	46
674	46
675	46
676	46
677	46
678	46
679	46
680	46
681	46
682	46
683	46
684	46
685	46
686	46
687	46
688	46
689	46
690	46
691	46
692	46
693	46
694	46
695	46
696	46
697	46
698	46
699	46
700	46
701	46
702	46
703	47
704	47
705	47
706	47
707	47
708	47
709	47
710	47
711	47
712	47
713	47
714	47
715	47
716	47
717	47
718	47
719	47
720	47
721	47
722	47
723	48
724	48
725	48
726	48
727	48
728	48
729	48
730	48
731	48
732	48
733	48
734	48
735	48
736	48
737	48
738	48
739	48
740	48
741	48
742	48
743	48
744	48
745	48
746	48
747	48
748	48
749	48
750	48
751	48
752	48
753	48
754	48
755	48
756	48
757	48
758	48
759	48
760	48
761	48
762	48
763	48
764	48
765	48
766	48
767	48
768	48
769	48
770	48
771	48
772	48
773	48
774	48
775	48
776	48
777	48
778	48
779	48
780	48
781	48
782	48
783	48
784	48
785	48
786	48
787	48
788	48
789	48
790	48
791	48
792	48
793	48
794	48
795	48
796	48
797	48
798	48
799	48
800	48
801	48
802	48
803	48
804	48
805	48
806	48
807	48
808	48
809	48
810	48
811	48
812	48
813	48
814	48
815	48
816	48
817	48
818	48
819	48
820	48
821	48
822	48
823	48
824	48
825	48
826	48
827	48
828	48
829	48
830	48
831	48
832	48
833	48
834	48
835	48
836	48
837	48
838	48
839	48
840	48
841	48
842	48
843	48
844	48
845	48
846	48
847	48
848	48
849	48
850	48
851	48
852	48
853	48
854	48
855	48
856	48
857	48
858	48
859	48
860	48
861	48
862	48
863	48
864	48
865	48
866	48
867	48
868	48
869	48
870	48
871	48
872	48
873	48
874	48
875	48
876	48
877	48
878	48
879	48
880	48
881	48
882	48
883	48
884	48
885	48
886	48
887	48
888	48
889	48
890	48
891	48
892	48
893	48
894	48
895	48
896	48
897	48
898	48
899	48
900	48
901	48
902	48
903	48
904	48
905	48
906	48
907	48
908	48
909	48
910	48
911	48
912	48
913	48
914	48
915	48
916	48
917	48
918	48
919	48
920	48
921	48
922	48
923	48
924	48
925	48
926	48
927	48
928	48
929	48
930	48
931	48
932	48
933	48
934	48
935	48
936	48
937	48
938	48
939	48
940	48
941	48
942	48
943	48
944	48
945	48
946	48
947	48
948	48
949	48
950	48
951	48
952	48
953	48
954	48
955	48
956	48
957	48
958	48
959	48
960	48
961	48
962	48
963	48
