N	V
0	1
1	2
2	3
3	4
4	5
5	5
6	6
7	7
8	7
9	8
10	9
11	10
12	10
13	10
14	11
15	11
16	11
17	11
18	11
19	11
20	12
21	13
22	13
23	13
24	14
25	14
26	15
27	15
28	16
29	17
30	18
31	19
32	19
33	19
34	19
35	19
36	20
37	21
38	21
39	22
40	22
41	22
42	22
43	22
44	23
45	24
46	24
47	25
48	25
49	25
50	26
51	26
52	26
53	27
54	28
55	28
56	28
57	28
58	28
59	28
60	28
61	28
62	28
63	28
64	29
65	29
66	29
67	29
68	29
69	29
70	29
71	30
72	30
73	30
74	30
75	30
76	30
77	31
78	32
79	32
80	32
81	32
82	32
83	32
84	32
85	32
86	32
87	32
88	32
89	32
90	32
91	32
92	32
93	32
94	32
95	32
96	32
97	32
98	32
99	32
100	32
101	32
102	32
103	32
104	32
105	32
106	32
107	32
108	33
109	34
110	34
111	34
112	34
113	34
114	34
115	34
116	34
117	34
118	34
119	34
120	34
121	34
122	34
123	34
124	34
125	35
126	35
127	35
128	35
129	35
130	35
131	35
132	35
133	35
134	35
135	35
136	35
137	35
138	35
139	35
140	35
141	35
142	35
143	36
144	36
145	36
146	36
147	36
148	36
149	36
150	36
151	36
152	36
153	36
154	36
155	36
156	37
157	37
158	37
159	37
160	37
161	37
162	38
163	38
164	38
165	38
166	38
167	38
168	38
169	38
170	38
171	38
172	38
173	38
174	38
175	38
176	38
177	38
178	38
179	38
180	38
181	38
182	38
183	38
184	38
185	38
186	38
187	38
188	38
189	38
190	38
191	38
192	38
193	38
194	38
195	38
196	38
197	38
198	38
199	38
200	38
201	38
202	38
203	38
204	38
205	38
206	38
207	38
208	38
209	38
210	38
211	38
212	38
213	38
214	38
215	38
216	38
217	38
218	38
219	38
220	38
221	38
222	38
223	38
224	38
225	38
226	39
227	39
228	39
229	39
230	39
231	39
232	39
233	39
234	39
235	39
236	39
237	39
238	39
239	39
240	39
241	39
242	39
243	39
244	39
245	39
246	39
247	39
248	39
249	40
250	40
251	40
252	40
253	40
254	40
255	40
256	40
257	40
258	40
259	40
260	40
261	40
262	40
263	40
264	40
265	40
266	40
267	40
268	40
269	40
270	40
271	40
272	40
273	40
274	40
275	40
276	40
277	40
278	40
279	40
280	40
281	40
282	40
283	40
284	40
285	40
286	40
287	40
288	40
289	40
290	40
291	40
292	40
293	40
294	40
295	40
296	40
297	40
298	40
299	40
300	40
301	40
302	40
303	40
304	40
305	40
306	40
307	40
308	40
309	40
310	40
311	40
312	40
313	40
314	40
315	40
316	40
317	40
318	40
319	40
320	40
321	40
322	40
323	40
324	40
325	40
326	40
327	40
328	40
329	41
330	41
331	41
332	41
333	41
334	41
335	41
336	41
337	41
338	41
339	41
340	41
341	41
342	41
343	41
344	41
345	41
346	41
347	41
348	41
349	41
350	41
351	41
352	41
353	41
354	41
355	41
356	41
357	41
358	41
359	41
360	41
361	41
362	41
363	41
364	41
365	41
366	41
367	41
368	41
369	41
370	41
371	41
372	41
373	41
374	41
375	41
376	41
377	41
378	41
379	41
380	41
381	41
382	41
383	41
384	41
385	41
386	41
387	41
388	41
389	41
390	41
391	41
392	41
393	41
394	41
395	41
396	41
397	41
398	41
399	41
400	41
401	41
402	41
403	41
404	41
405	41
406	41
407	41
408	41
409	41
410	41
411	41
412	41
413	41
414	41
415	41
416	41
417	41
418	41
419	41
420	41
421	41
422	41
423	41
424	41
425	41
426	41
427	41
428	41
429	41
430	41
431	41
432	41
433	41
434	41
435	41
436	41
437	41
438	42
439	42
440	42
441	42
442	42
443	42
444	42
445	42
446	42
447	42
448	42
449	42
450	42
451	42
452	42
453	42
454	42
455	42
456	42
457	42
458	42
459	42
460	42
461	42
462	42
463	42
464	42
465	42
466	42
467	42
468	42
469	42
470	42
471	42
472	42
473	42
474	42
475	42
476	42
477	42
478	42
479	42
480	42
481	43
482	43
483	43
484	43
485	43
486	43
487	43
488	43
489	43
490	43
491	43
492	43
493	43
494	43
495	43
496	43
497	43
498	43
499	43
500	43
501	43
502	44
503	44
504	44
505	44
506	44
507	44
508	44
509	44
510	44
511	44
512	44
513	44
514	44
515	44
516	44
517	44
518	44
519	44
520	44
521	44
522	44
523	45
524	45
525	45
526	45
527	45
528	45
529	45
530	45
531	45
532	45
533	45
534	45
535	45
536	45
537	45
538	45
539	45
540	45
541	45
542	45
543	45
544	45
545	45
546	45
547	45
548	45
549	45
550	45
551	45
552	45
553	45
554	45
555	45
556	45
557	45
558	45
559	45
560	45
561	45
562	45
563	45
564	45
565	45
566	46
567	46
568	46
569	46
570	46
571	46
572	46
573	46
574	46
575	46
576	46
577	46
578	46
579	46
580	46
581	46
582	46
583	46
584	46
585	46
586	46
587	46
588	46
589	46
590	46
591	46
592	46
593	46
594	46
595	46
596	46
597	46
598	46
599	46
600	46
601	46
602	46
603	46
604	46
605	46
606	46
607	46
608	46
609	46
610	46
611	46
612	46
613	46
614	46
615	46
616	46
617	46
618	46
619	46
620	46
621	46
622	46
623	46
624	46
625	46
626	46
627	46
628	46
629	46
630	46
631	46
632	46
633	46
634	47
635	47
636	47
637	47
638	47
639	47
640	47
641	47
642	47
643	47
644	48
645	48
646	48
647	48
648	48
649	48
650	48
651	48
652	48
653	48
654	48
655	48
656	48
657	48
658	48
659	48
660	48
661	48
662	48
663	48
664	48
665	48
666	48
667	48
668	48
669	48
670	48
671	48
672	48
673	48
674	48
675	48
676	48
677	48
678	48
679	48
680	48
681	48
682	48
683	48
684	48
685	48
686	48
687	48
688	48
689	48
690	48
691	48
692	48
693	48
694	48
695	48
696	48
697	48
698	48
699	48
700	48
701	48
702	48
703	49
704	49
705	49
706	49
707	49
708	49
709	49
710	49
711	49
712	49
713	49
714	49
715	49
716	49
717	49
718	49
719	49
720	49
721	49
722	49
723	49
724	49
725	49
726	49
727	49
728	49
729	49
730	49
731	49
732	49
733	49
734	49
735	49
736	49
737	49
738	49
739	49
740	49
741	49
742	49
743	49
744	49
745	49
746	49
747	49
748	49
749	49
750	49
751	49
752	49
753	49
754	49
755	49
756	49
757	49
758	49
759	49
760	49
761	49
762	49
763	49
764	49
765	49
766	49
767	49
768	49
769	49
770	49
771	49
772	49
773	49
774	49
775	49
776	49
777	49
778	49
779	49
780	49
781	49
782	49
783	49
784	49
785	49
786	49
787	50
788	50
789	50
790	50
791	50
792	50
793	50
794	50
795	50
796	50
797	50
798	50
799	50
800	50
801	50
802	50
803	50
804	50
805	50
806	50
807	50
808	50
809	50
810	50
811	50
812	50
813	50
814	50
815	50
816	50
817	50
818	50
819	50
820	50
821	50
822	50
823	50
824	50
825	50
826	50
827	50
828	50
829	50
830	50
831	50
832	50
833	50
834	50
835	50
836	50
837	50
838	50
839	50
840	50
841	50
842	50
843	50
844	50
845	50
846	50
847	50
848	50
849	50
850	50
851	50
852	50
853	50
854	50
855	50
856	50
857	50
858	50
859	50
860	50
861	50
862	50
863	50
864	50
865	50
866	50
867	50
868	50
869	50
870	50
871	50
872	50
873	50
874	50
875	50
876	50
877	50
878	50
879	50
880	50
881	50
882	50
883	50
884	50
885	50
886	50
887	50
888	50
889	50
890	50
891	50
892	50
893	50
894	50
895	50
896	50
897	50
898	50
899	50
900	50
901	50
902	50
903	50
904	50
905	50
906	50
907	50
908	50
909	50
910	50
911	50
912	50
913	50
914	50
915	50
916	50
917	50
918	50
919	50
920	50
921	50
922	50
923	50
924	50
925	50
926	50
927	50
928	50
929	50
930	50
931	50
932	50
933	50
934	50
935	50
936	50
937	50
938	50
939	50
940	50
941	50
942	50
943	50
944	50
945	50
946	50
947	50
948	50
949	50
950	50
951	50
952	50
953	50
954	50
955	50
956	50
957	50
958	50
959	50
960	50
961	50
962	50
963	50
