N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	6
7	7
8	8
9	8
10	8
11	9
12	10
13	11
14	12
15	13
16	14
17	14
18	15
19	15
20	16
21	17
22	17
23	17
24	17
25	17
26	17
27	17
28	18
29	18
30	19
31	19
32	19
33	19
34	19
35	20
36	20
37	20
38	20
39	21
40	22
41	22
42	22
43	23
44	24
45	25
46	25
47	25
48	25
49	25
50	25
51	25
52	25
53	25
54	26
55	27
56	27
57	27
58	27
59	27
60	27
61	27
62	27
63	28
64	28
65	28
66	28
67	28
68	28
69	28
70	28
71	28
72	28
73	28
74	28
75	28
76	28
77	29
78	29
79	29
80	29
81	29
82	29
83	29
84	29
85	29
86	29
87	29
88	29
89	29
90	30
91	30
92	30
93	31
94	31
95	31
96	31
97	31
98	31
99	31
100	31
101	31
102	31
103	31
104	31
105	32
106	32
107	33
108	33
109	34
110	34
111	34
112	34
113	34
114	34
115	35
116	35
117	36
118	36
119	36
120	36
121	36
122	36
123	36
124	36
125	36
126	36
127	36
128	36
129	36
130	36
131	36
132	36
133	36
134	36
135	36
136	36
137	36
138	36
139	36
140	37
141	37
142	37
143	37
144	37
145	37
146	37
147	37
148	38
149	38
150	39
151	40
152	40
153	40
154	40
155	40
156	40
157	40
158	40
159	40
160	40
161	40
162	40
163	40
164	40
165	40
166	40
167	40
168	40
169	40
170	40
171	40
172	40
173	40
174	40
175	40
176	40
177	40
178	40
179	40
180	40
181	40
182	40
183	40
184	40
185	40
186	40
187	40
188	40
189	40
190	40
191	40
192	40
193	40
194	40
195	40
196	40
197	41
198	41
199	41
200	41
201	41
202	41
203	41
204	41
205	41
206	41
207	41
208	41
209	42
210	42
211	42
212	42
213	42
214	42
215	42
216	42
217	42
218	42
219	42
220	42
221	42
222	42
223	42
224	42
225	42
226	42
227	42
228	42
229	42
230	42
231	42
232	42
233	42
234	42
235	42
236	42
237	42
238	42
239	42
240	42
241	42
242	42
243	42
244	42
245	42
246	42
247	42
248	42
249	42
250	42
251	42
252	43
253	43
254	43
255	43
256	43
257	43
258	43
259	43
260	43
261	43
262	43
263	43
264	43
265	43
266	43
267	43
268	43
269	43
270	43
271	43
272	43
273	43
274	43
275	43
276	43
277	43
278	43
279	43
280	43
281	43
282	43
283	43
284	43
285	43
286	43
287	44
288	44
289	44
290	44
291	44
292	44
293	44
294	44
295	44
296	44
297	44
298	44
299	44
300	44
301	44
302	44
303	44
304	44
305	44
306	44
307	44
308	44
309	44
310	44
311	44
312	44
313	44
314	44
315	44
316	44
317	44
318	44
319	44
320	44
321	44
322	44
323	44
324	44
325	44
326	44
327	44
328	44
329	44
330	44
331	44
332	44
333	44
334	44
335	44
336	44
337	44
338	44
339	44
340	44
341	44
342	44
343	44
344	44
345	44
346	44
347	44
348	44
349	44
350	44
351	44
352	44
353	44
354	44
355	44
356	44
357	44
358	44
359	45
360	45
361	45
362	45
363	45
364	45
365	45
366	45
367	45
368	45
369	45
370	45
371	45
372	45
373	45
374	45
375	45
376	45
377	45
378	45
379	45
380	46
381	46
382	46
383	46
384	46
385	46
386	46
387	46
388	47
389	47
390	47
391	47
392	47
393	47
394	47
395	47
396	47
397	47
398	48
399	48
400	48
401	48
402	48
403	48
404	48
405	49
406	49
407	49
408	49
409	49
410	49
411	49
412	49
413	49
414	49
415	49
416	49
417	49
418	49
419	49
420	49
421	49
422	49
423	49
424	49
425	50
426	50
427	50
428	50
429	50
430	50
431	50
432	50
433	50
434	50
435	50
436	50
437	50
438	50
439	50
440	50
441	50
442	50
443	50
444	50
445	50
446	50
447	50
448	50
449	50
450	50
451	50
452	50
453	50
454	50
455	50
456	50
457	50
458	50
459	50
460	50
461	50
462	50
463	50
464	50
465	50
466	50
467	50
468	50
469	50
470	51
471	52
472	52
473	52
474	52
475	52
476	52
477	52
478	52
479	52
480	52
481	52
482	52
483	52
484	52
485	52
486	52
487	52
488	52
489	52
490	52
491	52
492	52
493	52
494	52
495	52
496	52
497	52
498	52
499	52
500	52
501	52
502	52
503	52
504	52
505	52
506	52
507	52
508	52
509	52
510	52
511	52
512	52
513	52
514	52
515	52
516	52
517	52
518	53
519	53
520	53
521	53
522	53
523	53
524	53
525	53
526	53
527	53
528	53
529	53
530	53
531	53
532	53
533	53
534	53
535	53
536	53
537	53
538	53
539	53
540	53
541	53
542	53
543	53
544	53
545	53
546	53
547	53
548	53
549	53
550	53
551	53
552	53
553	53
554	53
555	53
556	53
557	53
558	53
559	53
560	53
561	53
562	53
563	53
564	53
565	53
566	53
567	53
568	53
569	53
570	53
571	53
572	53
573	53
574	53
575	53
576	53
577	53
578	53
579	53
580	53
581	53
582	53
583	53
584	53
585	53
586	53
587	53
588	53
589	53
590	53
591	53
592	53
593	53
594	53
595	53
596	53
597	53
598	53
599	53
600	53
601	53
602	53
603	53
604	53
605	53
606	53
607	53
608	53
609	53
610	53
611	53
612	53
613	53
614	53
615	53
616	53
617	53
618	53
619	53
620	53
621	53
622	53
623	53
624	53
625	53
626	53
627	53
628	53
629	53
630	53
631	53
632	53
633	53
634	53
635	53
636	53
637	53
638	53
639	53
640	54
641	54
642	54
643	54
644	54
645	54
646	54
647	54
648	54
649	54
650	54
651	54
652	54
653	54
654	54
655	54
656	54
657	54
658	54
659	54
660	54
661	54
662	54
663	54
664	54
665	54
666	54
667	54
668	54
669	54
670	54
671	54
672	54
673	54
674	54
675	54
676	54
677	54
678	54
679	54
680	54
681	54
682	54
683	54
684	54
685	54
686	54
687	54
688	54
689	54
690	54
691	54
692	54
693	54
694	54
695	54
696	54
697	54
698	54
699	54
700	54
701	54
702	54
703	54
704	54
705	54
706	54
707	54
708	54
709	54
710	54
711	54
712	54
713	54
714	54
715	54
716	54
717	54
718	54
719	54
720	54
721	54
722	54
723	54
724	54
725	54
726	54
727	54
728	54
729	54
730	54
731	54
732	54
733	54
734	54
735	54
736	54
737	54
738	54
739	54
740	54
741	55
742	55
743	55
744	55
745	55
746	55
747	55
748	55
749	55
750	55
751	55
752	55
753	55
754	55
755	55
756	55
757	55
758	55
759	55
760	55
761	55
762	55
763	55
764	55
765	55
766	55
767	55
768	55
769	55
770	55
771	55
772	55
773	55
774	55
775	55
776	55
777	55
778	55
779	55
780	55
781	55
782	55
783	55
784	55
785	55
786	55
787	55
788	55
789	55
790	55
791	55
792	55
793	55
794	55
795	55
796	55
797	55
798	55
799	55
800	55
801	55
802	55
803	55
804	55
805	55
806	55
807	55
808	55
809	55
810	55
811	55
812	55
813	55
814	55
815	55
816	55
817	55
818	55
819	55
820	55
821	55
822	55
823	55
824	55
825	55
826	55
827	55
828	55
829	55
830	55
831	55
832	55
833	55
834	55
835	55
836	55
837	55
838	55
839	55
840	55
841	55
842	55
843	55
844	55
845	55
846	55
847	55
848	55
849	55
850	55
851	55
852	55
853	55
854	55
855	55
856	55
857	55
858	55
859	55
860	55
861	55
862	55
863	55
864	55
865	55
866	55
867	55
868	55
869	55
870	55
871	55
872	55
873	55
874	55
875	55
876	55
877	55
878	55
879	55
880	55
881	55
882	55
883	55
884	55
885	55
886	55
887	55
888	55
889	55
890	55
891	55
892	55
893	55
894	55
895	55
896	55
897	55
898	55
899	55
900	55
901	55
902	55
903	55
904	55
905	55
906	55
907	55
908	55
909	55
910	55
911	55
912	55
913	55
914	55
915	55
916	55
917	55
918	55
919	55
920	55
921	55
922	55
923	55
924	55
925	56
926	56
927	56
928	56
929	56
930	56
931	56
932	56
933	56
934	56
935	56
936	56
937	56
938	56
939	56
940	56
941	56
942	56
943	56
944	56
945	56
946	56
947	56
948	56
949	56
950	56
951	56
952	56
953	56
954	56
955	56
956	56
957	56
958	56
959	56
960	56
961	56
962	56
963	56
