N	V
0	1
1	2
2	3
3	4
4	5
5	5
6	6
7	7
8	8
9	8
10	8
11	8
12	8
13	9
14	9
15	9
16	9
17	9
18	9
19	10
20	11
21	12
22	12
23	12
24	12
25	13
26	14
27	14
28	15
29	15
30	15
31	15
32	16
33	16
34	17
35	17
36	17
37	17
38	17
39	17
40	17
41	17
42	17
43	17
44	17
45	17
46	17
47	17
48	18
49	18
50	19
51	19
52	19
53	19
54	19
55	19
56	19
57	19
58	19
59	20
60	20
61	20
62	20
63	20
64	20
65	20
66	20
67	20
68	20
69	21
70	21
71	21
72	21
73	21
74	22
75	22
76	22
77	22
78	22
79	22
80	23
81	23
82	23
83	24
84	24
85	24
86	25
87	25
88	25
89	25
90	25
91	25
92	25
93	25
94	25
95	25
96	25
97	25
98	25
99	25
100	26
101	26
102	26
103	27
104	27
105	27
106	28
107	28
108	28
109	28
110	28
111	28
112	28
113	28
114	29
115	29
116	29
117	29
118	29
119	29
120	29
121	29
122	29
123	29
124	30
125	30
126	30
127	30
128	30
129	30
130	30
131	30
132	30
133	30
134	30
135	31
136	31
137	31
138	31
139	31
140	31
141	31
142	31
143	31
144	32
145	32
146	32
147	32
148	32
149	33
150	33
151	33
152	34
153	34
154	34
155	34
156	34
157	34
158	34
159	35
160	35
161	36
162	36
163	36
164	36
165	36
166	36
167	36
168	36
169	36
170	37
171	37
172	37
173	37
174	37
175	37
176	37
177	37
178	38
179	38
180	38
181	38
182	38
183	38
184	38
185	39
186	39
187	39
188	40
189	40
190	40
191	40
192	40
193	40
194	40
195	40
196	40
197	40
198	40
199	40
200	40
201	40
202	40
203	40
204	40
205	40
206	40
207	40
208	40
209	40
210	41
211	41
212	41
213	41
214	41
215	41
216	42
217	42
218	43
219	43
220	43
221	44
222	44
223	44
224	44
225	45
226	45
227	45
228	45
229	45
230	45
231	45
232	45
233	45
234	45
235	45
236	45
237	45
238	45
239	45
240	45
241	45
242	46
243	47
244	47
245	47
246	48
247	48
248	48
249	48
250	48
251	48
252	48
253	48
254	48
255	48
256	48
257	48
258	48
259	48
260	48
261	48
262	48
263	48
264	48
265	48
266	48
267	49
268	49
269	49
270	49
271	49
272	49
273	49
274	49
275	49
276	50
277	50
278	50
279	50
280	50
281	50
282	50
283	50
284	51
285	52
286	52
287	52
288	52
289	52
290	52
291	52
292	52
293	52
294	52
295	52
296	52
297	52
298	52
299	52
300	52
301	52
302	52
303	52
304	52
305	52
306	52
307	52
308	52
309	52
310	52
311	52
312	52
313	52
314	52
315	52
316	52
317	52
318	52
319	52
320	52
321	52
322	52
323	52
324	52
325	52
326	52
327	52
328	52
329	52
330	52
331	52
332	52
333	52
334	52
335	52
336	52
337	52
338	52
339	52
340	52
341	52
342	53
343	54
344	54
345	54
346	55
347	55
348	55
349	55
350	55
351	55
352	55
353	55
354	55
355	55
356	55
357	55
358	55
359	55
360	55
361	55
362	55
363	55
364	56
365	56
366	56
367	56
368	56
369	56
370	56
371	56
372	56
373	56
374	56
375	56
376	56
377	56
378	56
379	56
380	56
381	56
382	56
383	56
384	56
385	56
386	57
387	57
388	57
389	57
390	57
391	57
392	57
393	57
394	57
395	57
396	57
397	57
398	57
399	57
400	57
401	57
402	57
403	57
404	57
405	57
406	57
407	57
408	57
409	57
410	58
411	58
412	58
413	58
414	58
415	58
416	58
417	58
418	58
419	58
420	58
421	58
422	58
423	58
424	58
425	58
426	58
427	58
428	58
429	58
430	58
431	58
432	59
433	59
434	59
435	59
436	59
437	59
438	59
439	59
440	59
441	59
442	59
443	59
444	59
445	59
446	59
447	59
448	59
449	59
450	59
451	59
452	59
453	59
454	59
455	59
456	59
457	60
458	60
459	60
460	60
461	60
462	60
463	60
464	60
465	61
466	61
467	61
468	61
469	61
470	61
471	61
472	61
473	61
474	61
475	61
476	61
477	61
478	61
479	61
480	61
481	61
482	61
483	61
484	61
485	61
486	61
487	62
488	62
489	62
490	62
491	62
492	62
493	62
494	62
495	62
496	62
497	62
498	62
499	62
500	62
501	62
502	62
503	62
504	62
505	62
506	62
507	62
508	62
509	63
510	63
511	63
512	63
513	63
514	63
515	63
516	63
517	63
518	63
519	63
520	63
521	63
522	63
523	63
524	63
525	63
526	63
527	63
528	63
529	63
530	63
531	63
532	63
533	63
534	63
535	63
536	63
537	63
538	63
539	63
540	63
541	63
542	63
543	63
544	63
545	63
546	63
547	63
548	63
549	63
550	63
551	63
552	63
553	63
554	63
555	63
556	63
557	63
558	63
559	63
560	63
561	63
562	63
563	63
564	63
565	63
566	63
567	63
568	63
569	64
570	64
571	64
572	64
573	64
574	64
575	64
576	64
577	64
578	64
579	64
580	64
581	64
582	64
583	64
584	64
585	64
586	64
587	64
588	64
589	64
590	64
591	64
592	64
593	64
594	64
595	64
596	64
597	64
598	64
599	64
600	64
601	64
602	64
603	65
604	65
605	66
606	66
607	66
608	66
609	66
610	66
611	66
612	66
613	66
614	66
615	66
616	66
617	66
618	66
619	66
620	66
621	66
622	66
623	66
624	66
625	66
626	66
627	66
628	66
629	66
630	66
631	66
632	66
633	66
634	66
635	66
636	66
637	66
638	66
639	66
640	66
641	66
642	66
643	66
644	66
645	66
646	66
647	66
648	66
649	66
650	66
651	66
652	66
653	66
654	66
655	66
656	66
657	66
658	66
659	66
660	66
661	66
662	66
663	66
664	66
665	66
666	66
667	66
668	66
669	66
670	66
671	66
672	66
673	66
674	66
675	66
676	66
677	67
678	67
679	67
680	67
681	67
682	67
683	67
684	67
685	67
686	67
687	67
688	68
689	68
690	68
691	68
692	68
693	68
694	68
695	68
696	68
697	68
698	68
699	68
700	68
701	68
702	68
703	68
704	68
705	68
706	68
707	68
708	68
709	68
710	68
711	68
712	68
713	68
714	68
715	68
716	68
717	68
718	68
719	69
720	69
721	69
722	69
723	69
724	69
725	69
726	69
727	69
728	69
729	69
730	70
731	70
732	70
733	70
734	70
735	70
736	70
737	70
738	70
739	71
740	71
741	71
742	71
743	71
744	71
745	71
746	71
747	71
748	71
749	71
750	72
751	72
752	72
753	72
754	72
755	72
756	72
757	72
758	72
759	72
760	72
761	72
762	72
763	72
764	72
765	72
766	72
767	72
768	72
769	72
770	72
771	72
772	72
773	72
774	73
775	73
776	73
777	73
778	73
779	73
780	73
781	73
782	73
783	73
784	73
785	73
786	73
787	73
788	73
789	73
790	73
791	73
792	73
793	73
794	73
795	73
796	73
797	73
798	73
799	73
800	73
801	73
802	73
803	73
804	73
805	73
806	73
807	73
808	73
809	73
810	73
811	73
812	73
813	73
814	73
815	73
816	73
817	73
818	73
819	73
820	73
821	73
822	73
823	73
824	73
825	73
826	73
827	73
828	73
829	73
830	73
831	73
832	73
833	73
834	73
835	73
836	73
837	73
838	73
839	73
840	73
841	73
842	73
843	73
844	73
845	73
846	73
847	73
848	73
849	73
850	73
851	73
852	73
853	73
854	73
855	73
856	73
857	73
858	73
859	73
860	73
861	73
862	73
863	73
864	73
865	73
866	73
867	73
868	73
869	73
870	73
871	73
872	73
873	73
874	73
875	73
876	73
877	73
878	73
879	73
880	73
881	73
882	73
883	73
884	73
885	73
886	73
887	73
888	73
889	73
890	73
891	73
892	73
893	73
894	73
895	73
896	73
897	73
898	73
899	73
900	73
901	73
902	73
903	73
904	73
905	73
906	73
907	73
908	73
909	73
910	73
911	73
912	73
913	73
914	73
915	73
916	73
917	73
918	73
919	73
920	73
921	73
922	73
923	73
924	73
925	73
926	73
927	73
928	73
929	73
930	73
931	73
932	73
933	73
934	73
935	73
936	73
937	73
938	73
939	73
940	73
941	73
942	73
943	73
944	73
945	73
946	73
947	73
948	73
949	73
950	73
951	73
952	73
953	73
954	73
955	73
956	73
957	73
958	73
959	73
960	73
961	73
962	73
963	73
