N	V
0	1
1	2
2	3
3	4
4	4
5	4
6	5
7	6
8	7
9	8
10	9
11	9
12	10
13	10
14	11
15	11
16	11
17	11
18	12
19	12
20	12
21	13
22	13
23	13
24	13
25	13
26	14
27	14
28	14
29	14
30	15
31	15
32	15
33	15
34	16
35	17
36	17
37	17
38	17
39	17
40	17
41	17
42	17
43	17
44	18
45	18
46	19
47	19
48	20
49	20
50	20
51	20
52	21
53	21
54	21
55	21
56	22
57	22
58	23
59	23
60	23
61	23
62	24
63	24
64	24
65	24
66	25
67	25
68	25
69	25
70	25
71	25
72	26
73	26
74	26
75	26
76	26
77	26
78	26
79	26
80	26
81	26
82	27
83	27
84	27
85	27
86	28
87	29
88	29
89	29
90	29
91	29
92	29
93	29
94	29
95	29
96	29
97	29
98	29
99	29
100	29
101	29
102	29
103	29
104	29
105	29
106	29
107	29
108	29
109	29
110	29
111	29
112	30
113	30
114	30
115	30
116	30
117	30
118	30
119	30
120	30
121	30
122	30
123	30
124	30
125	30
126	31
127	31
128	31
129	31
130	32
131	33
132	33
133	33
134	33
135	33
136	33
137	33
138	33
139	33
140	33
141	33
142	34
143	34
144	34
145	35
146	35
147	35
148	35
149	35
150	35
151	35
152	35
153	35
154	35
155	35
156	35
157	35
158	35
159	36
160	36
161	36
162	36
163	36
164	37
165	37
166	37
167	37
168	37
169	37
170	37
171	37
172	37
173	37
174	37
175	37
176	37
177	37
178	37
179	37
180	37
181	37
182	38
183	38
184	38
185	38
186	39
187	39
188	40
189	40
190	40
191	40
192	40
193	40
194	40
195	40
196	40
197	40
198	40
199	40
200	40
201	41
202	41
203	41
204	41
205	42
206	42
207	42
208	42
209	42
210	42
211	42
212	42
213	42
214	42
215	42
216	42
217	43
218	43
219	44
220	44
221	44
222	44
223	44
224	44
225	44
226	44
227	44
228	44
229	44
230	44
231	44
232	44
233	44
234	44
235	44
236	44
237	44
238	44
239	44
240	44
241	44
242	44
243	44
244	45
245	46
246	46
247	46
248	46
249	46
250	46
251	46
252	46
253	46
254	46
255	46
256	46
257	46
258	46
259	46
260	46
261	46
262	46
263	47
264	47
265	47
266	47
267	47
268	47
269	47
270	47
271	47
272	47
273	47
274	47
275	47
276	47
277	47
278	48
279	48
280	48
281	48
282	48
283	48
284	48
285	48
286	49
287	49
288	49
289	49
290	49
291	49
292	49
293	49
294	49
295	49
296	49
297	49
298	49
299	49
300	49
301	49
302	49
303	49
304	49
305	49
306	49
307	49
308	49
309	49
310	49
311	49
312	49
313	49
314	49
315	49
316	49
317	49
318	49
319	49
320	49
321	49
322	49
323	50
324	50
325	50
326	50
327	50
328	50
329	50
330	50
331	50
332	50
333	50
334	50
335	50
336	50
337	50
338	50
339	50
340	50
341	50
342	50
343	50
344	50
345	50
346	51
347	51
348	51
349	51
350	51
351	51
352	51
353	51
354	52
355	52
356	52
357	52
358	52
359	52
360	52
361	52
362	52
363	52
364	52
365	52
366	52
367	52
368	53
369	53
370	53
371	53
372	53
373	53
374	53
375	53
376	53
377	53
378	53
379	53
380	53
381	53
382	53
383	53
384	53
385	53
386	53
387	53
388	53
389	53
390	53
391	53
392	53
393	53
394	53
395	53
396	53
397	53
398	53
399	53
400	53
401	53
402	53
403	53
404	53
405	53
406	53
407	53
408	53
409	53
410	53
411	53
412	53
413	53
414	53
415	53
416	53
417	53
418	53
419	53
420	53
421	53
422	54
423	54
424	54
425	54
426	55
427	55
428	55
429	55
430	55
431	55
432	55
433	55
434	55
435	55
436	55
437	55
438	55
439	55
440	55
441	55
442	55
443	55
444	55
445	55
446	55
447	55
448	55
449	55
450	55
451	55
452	55
453	55
454	55
455	55
456	55
457	55
458	55
459	55
460	56
461	56
462	56
463	56
464	56
465	56
466	56
467	57
468	57
469	57
470	57
471	57
472	57
473	57
474	57
475	57
476	57
477	57
478	57
479	57
480	57
481	57
482	57
483	57
484	57
485	57
486	57
487	57
488	57
489	57
490	57
491	57
492	57
493	57
494	57
495	57
496	57
497	57
498	57
499	57
500	57
501	57
502	57
503	57
504	57
505	57
506	57
507	57
508	57
509	57
510	57
511	57
512	57
513	57
514	57
515	57
516	57
517	58
518	58
519	58
520	58
521	58
522	58
523	58
524	58
525	58
526	58
527	58
528	58
529	58
530	58
531	58
532	58
533	58
534	58
535	58
536	58
537	59
538	59
539	59
540	59
541	59
542	59
543	59
544	59
545	59
546	59
547	59
548	59
549	59
550	59
551	59
552	59
553	59
554	59
555	59
556	59
557	59
558	59
559	59
560	59
561	59
562	59
563	59
564	59
565	59
566	59
567	59
568	59
569	59
570	59
571	59
572	59
573	59
574	59
575	59
576	59
577	59
578	59
579	59
580	59
581	59
582	59
583	59
584	59
585	59
586	59
587	59
588	59
589	59
590	59
591	59
592	59
593	59
594	59
595	59
596	59
597	59
598	59
599	59
600	59
601	59
602	59
603	59
604	59
605	59
606	59
607	59
608	59
609	59
610	59
611	59
612	59
613	59
614	59
615	59
616	59
617	60
618	60
619	60
620	60
621	60
622	60
623	60
624	60
625	61
626	61
627	61
628	61
629	61
630	61
631	61
632	61
633	61
634	61
635	61
636	61
637	62
638	62
639	62
640	62
641	62
642	62
643	62
644	62
645	62
646	62
647	62
648	62
649	62
650	62
651	62
652	62
653	62
654	62
655	62
656	62
657	62
658	62
659	62
660	62
661	62
662	63
663	63
664	63
665	63
666	64
667	64
668	64
669	64
670	64
671	64
672	64
673	64
674	64
675	64
676	64
677	64
678	64
679	64
680	64
681	64
682	64
683	64
684	64
685	64
686	64
687	64
688	64
689	64
690	64
691	64
692	64
693	64
694	64
695	64
696	64
697	64
698	64
699	64
700	64
701	64
702	64
703	64
704	64
705	64
706	64
707	64
708	64
709	64
710	64
711	64
712	64
713	65
714	65
715	65
716	65
717	65
718	65
719	65
720	65
721	66
722	66
723	66
724	66
725	66
726	66
727	66
728	66
729	66
730	66
731	66
732	66
733	66
734	66
735	66
736	66
737	66
738	66
739	66
740	66
741	66
742	66
743	66
744	66
745	66
746	66
747	66
748	66
749	66
750	66
751	66
752	66
753	66
754	66
755	66
756	66
757	66
758	66
759	66
760	66
761	66
762	66
763	66
764	66
765	66
766	67
767	67
768	67
769	67
770	67
771	67
772	67
773	67
774	67
775	67
776	67
777	67
778	67
779	67
780	67
781	67
782	67
783	67
784	67
785	67
786	67
787	67
788	67
789	67
790	67
791	67
792	67
793	67
794	67
795	67
796	67
797	67
798	67
799	67
800	67
801	67
802	67
803	67
804	67
805	68
806	68
807	68
808	68
809	68
810	68
811	68
812	68
813	68
814	68
815	68
816	68
817	68
818	68
819	68
820	68
821	68
822	68
823	68
824	68
825	68
826	68
827	68
828	68
829	68
830	68
831	68
832	68
833	68
834	68
835	68
836	68
837	68
838	69
839	69
840	69
841	69
842	69
843	69
844	69
845	69
846	69
847	69
848	69
849	69
850	69
851	69
852	69
853	69
854	69
855	70
856	70
857	71
858	71
859	71
860	71
861	71
862	71
863	71
864	71
865	71
866	71
867	72
868	72
869	72
870	72
871	72
872	72
873	72
874	72
875	72
876	72
877	72
878	72
879	72
880	72
881	72
882	72
883	72
884	72
885	72
886	72
887	73
888	73
889	73
890	73
891	73
892	73
893	73
894	73
895	73
896	73
897	73
898	73
899	73
900	73
901	73
902	73
903	73
904	73
905	73
906	73
907	73
908	73
909	73
910	73
911	73
912	73
913	73
914	73
915	73
916	73
917	73
918	73
919	73
920	73
921	73
922	73
923	73
924	73
925	73
926	73
927	73
928	73
929	73
930	73
931	73
932	73
933	73
934	73
935	73
936	73
937	73
938	73
939	73
940	73
941	73
942	73
943	73
944	73
945	73
946	73
947	73
948	73
949	73
950	73
951	73
952	73
953	73
954	73
955	73
956	73
957	73
958	73
959	73
960	73
961	73
962	73
963	73
