N	V
0	1
1	2
2	3
3	4
4	5
5	5
6	6
7	6
8	6
9	6
10	7
11	7
12	7
13	8
14	8
15	9
16	10
17	10
18	10
19	10
20	11
21	11
22	11
23	11
24	11
25	11
26	11
27	11
28	12
29	12
30	13
31	13
32	14
33	14
34	14
35	14
36	14
37	14
38	15
39	16
40	16
41	16
42	16
43	16
44	16
45	16
46	16
47	16
48	16
49	17
50	17
51	17
52	17
53	17
54	17
55	17
56	17
57	17
58	17
59	17
60	17
61	17
62	17
63	18
64	18
65	18
66	18
67	19
68	19
69	20
70	20
71	20
72	20
73	20
74	21
75	21
76	21
77	21
78	21
79	21
80	22
81	22
82	22
83	22
84	22
85	22
86	23
87	24
88	24
89	24
90	25
91	25
92	25
93	25
94	25
95	25
96	25
97	25
98	25
99	25
100	26
101	26
102	26
103	26
104	27
105	27
106	27
107	27
108	27
109	27
110	27
111	28
112	28
113	28
114	28
115	29
116	29
117	29
118	29
119	29
120	29
121	30
122	30
123	30
124	30
125	30
126	30
127	30
128	30
129	30
130	30
131	30
132	30
133	30
134	30
135	30
136	30
137	30
138	30
139	30
140	30
141	31
142	31
143	31
144	31
145	31
146	31
147	31
148	31
149	31
150	31
151	31
152	31
153	31
154	31
155	31
156	31
157	31
158	31
159	31
160	31
161	31
162	31
163	31
164	31
165	32
166	32
167	32
168	32
169	32
170	32
171	32
172	32
173	32
174	32
175	32
176	32
177	32
178	32
179	32
180	32
181	32
182	32
183	33
184	33
185	33
186	34
187	34
188	34
189	34
190	34
191	34
192	34
193	34
194	34
195	34
196	34
197	34
198	34
199	34
200	34
201	35
202	35
203	35
204	35
205	35
206	35
207	35
208	35
209	36
210	36
211	36
212	36
213	36
214	36
215	36
216	36
217	36
218	36
219	36
220	36
221	36
222	36
223	36
224	36
225	36
226	36
227	37
228	37
229	37
230	37
231	37
232	37
233	37
234	37
235	38
236	38
237	38
238	38
239	38
240	38
241	38
242	38
243	38
244	39
245	39
246	39
247	39
248	39
249	39
250	39
251	39
252	39
253	40
254	40
255	41
256	41
257	41
258	41
259	41
260	41
261	41
262	41
263	41
264	41
265	41
266	41
267	41
268	41
269	41
270	41
271	41
272	41
273	41
274	41
275	41
276	41
277	41
278	41
279	42
280	42
281	42
282	42
283	42
284	42
285	42
286	42
287	42
288	42
289	42
290	42
291	42
292	42
293	42
294	42
295	42
296	42
297	42
298	42
299	42
300	42
301	42
302	42
303	42
304	42
305	42
306	42
307	42
308	42
309	42
310	42
311	43
312	43
313	43
314	43
315	43
316	43
317	43
318	43
319	44
320	44
321	44
322	44
323	44
324	44
325	44
326	44
327	44
328	44
329	44
330	44
331	44
332	44
333	44
334	44
335	44
336	44
337	44
338	44
339	44
340	44
341	45
342	45
343	45
344	45
345	45
346	45
347	45
348	45
349	45
350	45
351	45
352	45
353	45
354	45
355	45
356	45
357	45
358	46
359	46
360	46
361	46
362	46
363	46
364	46
365	46
366	46
367	46
368	46
369	46
370	46
371	46
372	47
373	47
374	47
375	47
376	47
377	47
378	47
379	47
380	47
381	47
382	48
383	48
384	48
385	48
386	48
387	48
388	48
389	48
390	48
391	48
392	48
393	48
394	48
395	48
396	48
397	48
398	48
399	48
400	48
401	48
402	48
403	48
404	48
405	48
406	48
407	48
408	48
409	48
410	48
411	48
412	48
413	48
414	48
415	48
416	48
417	48
418	48
419	48
420	48
421	48
422	48
423	48
424	48
425	48
426	48
427	48
428	48
429	48
430	48
431	48
432	48
433	48
434	48
435	48
436	48
437	48
438	48
439	48
440	48
441	48
442	48
443	48
444	48
445	48
446	48
447	48
448	48
449	48
450	48
451	48
452	48
453	48
454	48
455	48
456	48
457	48
458	48
459	48
460	48
461	48
462	49
463	49
464	49
465	49
466	49
467	49
468	49
469	49
470	50
471	50
472	50
473	50
474	50
475	50
476	50
477	50
478	50
479	50
480	51
481	52
482	52
483	52
484	52
485	52
486	52
487	52
488	52
489	52
490	52
491	52
492	53
493	53
494	53
495	53
496	53
497	53
498	53
499	53
500	53
501	53
502	53
503	53
504	53
505	53
506	53
507	53
508	53
509	54
510	54
511	54
512	54
513	54
514	54
515	54
516	54
517	54
518	54
519	54
520	54
521	54
522	54
523	54
524	54
525	54
526	54
527	54
528	54
529	54
530	54
531	54
532	54
533	54
534	54
535	54
536	54
537	54
538	54
539	54
540	54
541	54
542	54
543	54
544	54
545	54
546	54
547	54
548	54
549	54
550	54
551	54
552	54
553	54
554	54
555	55
556	55
557	55
558	55
559	55
560	55
561	55
562	55
563	55
564	55
565	55
566	55
567	55
568	55
569	55
570	55
571	55
572	55
573	55
574	55
575	55
576	55
577	55
578	55
579	55
580	55
581	55
582	55
583	55
584	55
585	55
586	55
587	55
588	55
589	55
590	55
591	55
592	55
593	55
594	55
595	55
596	55
597	55
598	55
599	55
600	55
601	55
602	55
603	55
604	55
605	55
606	55
607	55
608	55
609	55
610	55
611	55
612	55
613	55
614	55
615	55
616	55
617	55
618	55
619	55
620	55
621	55
622	55
623	55
624	55
625	55
626	55
627	55
628	55
629	55
630	55
631	55
632	55
633	55
634	55
635	55
636	55
637	55
638	55
639	55
640	55
641	55
642	55
643	55
644	55
645	55
646	55
647	55
648	55
649	55
650	55
651	55
652	55
653	55
654	55
655	55
656	56
657	56
658	56
659	56
660	56
661	56
662	56
663	56
664	56
665	56
666	56
667	56
668	56
669	56
670	56
671	56
672	56
673	56
674	56
675	56
676	56
677	56
678	56
679	56
680	56
681	56
682	56
683	56
684	56
685	56
686	56
687	56
688	56
689	56
690	56
691	56
692	56
693	56
694	56
695	56
696	56
697	56
698	56
699	56
700	56
701	56
702	56
703	56
704	56
705	56
706	57
707	57
708	58
709	58
710	58
711	58
712	58
713	58
714	58
715	58
716	58
717	58
718	58
719	58
720	58
721	58
722	58
723	58
724	58
725	58
726	58
727	58
728	58
729	58
730	58
731	58
732	58
733	58
734	58
735	58
736	58
737	58
738	58
739	58
740	58
741	58
742	58
743	58
744	58
745	58
746	58
747	58
748	58
749	58
750	58
751	58
752	58
753	58
754	58
755	58
756	58
757	58
758	58
759	58
760	59
761	59
762	59
763	59
764	59
765	59
766	59
767	59
768	59
769	59
770	59
771	59
772	59
773	59
774	59
775	59
776	59
777	59
778	59
779	59
780	59
781	59
782	59
783	59
784	59
785	59
786	59
787	59
788	59
789	59
790	59
791	59
792	59
793	59
794	59
795	59
796	59
797	59
798	59
799	59
800	60
801	60
802	60
803	60
804	60
805	60
806	60
807	60
808	60
809	60
810	60
811	60
812	60
813	60
814	60
815	60
816	60
817	60
818	60
819	60
820	60
821	60
822	60
823	60
824	60
825	60
826	60
827	60
828	60
829	60
830	60
831	60
832	60
833	60
834	60
835	61
836	61
837	61
838	61
839	61
840	61
841	61
842	61
843	61
844	61
845	61
846	61
847	61
848	61
849	61
850	61
851	61
852	61
853	62
854	62
855	62
856	62
857	62
858	62
859	62
860	62
861	62
862	62
863	62
864	62
865	62
866	62
867	62
868	62
869	63
870	63
871	63
872	63
873	63
874	63
875	63
876	63
877	63
878	63
879	63
880	63
881	63
882	63
883	63
884	63
885	63
886	63
887	63
888	63
889	63
890	63
891	63
892	63
893	63
894	63
895	63
896	63
897	64
898	64
899	64
900	64
901	64
902	64
903	64
904	64
905	64
906	64
907	64
908	64
909	64
910	64
911	64
912	64
913	64
914	64
915	64
916	64
917	64
918	64
919	64
920	64
921	64
922	64
923	64
924	64
925	64
926	64
927	64
928	64
929	64
930	64
931	64
932	64
933	64
934	65
935	65
936	65
937	65
938	65
939	65
940	65
941	65
942	65
943	65
944	65
945	65
946	65
947	65
948	65
949	65
950	65
951	65
952	65
953	65
954	65
955	65
956	65
957	65
958	65
959	65
960	65
961	65
962	65
963	65
