N	V
0	1
1	2
2	3
3	3
4	3
5	4
6	5
7	6
8	6
9	7
10	8
11	9
12	10
13	10
14	10
15	10
16	10
17	11
18	12
19	12
20	12
21	13
22	13
23	13
24	14
25	15
26	15
27	15
28	15
29	15
30	15
31	15
32	15
33	16
34	16
35	16
36	17
37	17
38	18
39	18
40	19
41	19
42	20
43	20
44	20
45	20
46	21
47	21
48	21
49	21
50	22
51	22
52	22
53	22
54	23
55	23
56	23
57	23
58	24
59	24
60	24
61	24
62	24
63	24
64	24
65	25
66	25
67	26
68	26
69	26
70	26
71	27
72	27
73	27
74	28
75	28
76	28
77	28
78	28
79	28
80	28
81	28
82	28
83	28
84	28
85	28
86	28
87	28
88	28
89	28
90	28
91	28
92	28
93	28
94	29
95	29
96	30
97	30
98	30
99	30
100	30
101	30
102	30
103	30
104	30
105	30
106	30
107	30
108	30
109	30
110	30
111	30
112	30
113	30
114	30
115	30
116	30
117	30
118	30
119	30
120	30
121	30
122	30
123	31
124	31
125	31
126	31
127	31
128	31
129	31
130	31
131	31
132	31
133	31
134	31
135	31
136	31
137	31
138	31
139	31
140	32
141	32
142	32
143	32
144	32
145	32
146	32
147	32
148	32
149	32
150	32
151	32
152	32
153	32
154	32
155	32
156	32
157	32
158	32
159	32
160	32
161	32
162	32
163	32
164	33
165	33
166	33
167	33
168	33
169	33
170	33
171	34
172	34
173	34
174	34
175	34
176	34
177	34
178	34
179	34
180	34
181	34
182	34
183	34
184	34
185	34
186	34
187	34
188	34
189	34
190	34
191	34
192	34
193	35
194	35
195	35
196	35
197	35
198	36
199	36
200	36
201	36
202	36
203	36
204	36
205	36
206	37
207	37
208	37
209	37
210	37
211	37
212	37
213	37
214	37
215	37
216	37
217	37
218	37
219	37
220	37
221	37
222	37
223	37
224	37
225	37
226	37
227	37
228	37
229	37
230	37
231	37
232	37
233	37
234	37
235	37
236	37
237	37
238	38
239	38
240	38
241	38
242	38
243	38
244	38
245	38
246	38
247	38
248	38
249	39
250	39
251	39
252	39
253	39
254	39
255	39
256	39
257	39
258	39
259	39
260	39
261	39
262	39
263	39
264	39
265	39
266	39
267	39
268	39
269	39
270	39
271	39
272	39
273	39
274	39
275	39
276	39
277	39
278	39
279	39
280	39
281	39
282	39
283	39
284	39
285	39
286	39
287	39
288	39
289	40
290	40
291	40
292	40
293	40
294	40
295	40
296	40
297	40
298	40
299	40
300	40
301	40
302	40
303	40
304	40
305	40
306	40
307	40
308	40
309	40
310	40
311	40
312	40
313	40
314	40
315	40
316	40
317	40
318	41
319	41
320	41
321	41
322	41
323	41
324	41
325	41
326	41
327	41
328	41
329	41
330	41
331	41
332	41
333	41
334	41
335	41
336	41
337	41
338	41
339	41
340	41
341	42
342	42
343	42
344	42
345	42
346	42
347	42
348	42
349	42
350	42
351	42
352	42
353	42
354	42
355	42
356	42
357	42
358	42
359	42
360	42
361	42
362	42
363	42
364	42
365	42
366	42
367	42
368	42
369	42
370	42
371	42
372	42
373	42
374	42
375	42
376	42
377	42
378	42
379	42
380	42
381	42
382	42
383	42
384	42
385	42
386	42
387	42
388	42
389	42
390	42
391	42
392	42
393	42
394	42
395	42
396	42
397	42
398	42
399	42
400	42
401	42
402	42
403	42
404	42
405	42
406	42
407	43
408	43
409	43
410	43
411	43
412	43
413	43
414	43
415	43
416	43
417	44
418	44
419	44
420	44
421	44
422	44
423	44
424	44
425	44
426	45
427	45
428	45
429	45
430	45
431	45
432	45
433	45
434	45
435	45
436	45
437	45
438	45
439	45
440	45
441	45
442	45
443	45
444	45
445	45
446	45
447	45
448	45
449	45
450	45
451	45
452	45
453	45
454	45
455	45
456	45
457	45
458	45
459	45
460	45
461	45
462	45
463	45
464	45
465	45
466	45
467	45
468	45
469	45
470	45
471	45
472	45
473	45
474	45
475	45
476	45
477	45
478	45
479	45
480	45
481	45
482	45
483	45
484	45
485	45
486	45
487	45
488	45
489	45
490	45
491	46
492	46
493	46
494	46
495	46
496	46
497	46
498	46
499	46
500	46
501	46
502	46
503	46
504	46
505	46
506	46
507	46
508	46
509	46
510	46
511	46
512	46
513	46
514	46
515	46
516	47
517	47
518	47
519	47
520	47
521	47
522	47
523	47
524	47
525	47
526	47
527	47
528	47
529	47
530	47
531	47
532	47
533	47
534	47
535	47
536	47
537	47
538	47
539	47
540	47
541	47
542	47
543	47
544	47
545	47
546	47
547	47
548	47
549	47
550	47
551	47
552	47
553	47
554	47
555	47
556	47
557	47
558	47
559	47
560	47
561	47
562	47
563	47
564	47
565	47
566	47
567	47
568	47
569	47
570	47
571	47
572	47
573	47
574	47
575	47
576	47
577	47
578	47
579	47
580	47
581	47
582	47
583	47
584	47
585	47
586	47
587	47
588	47
589	47
590	47
591	47
592	47
593	47
594	47
595	47
596	47
597	47
598	47
599	47
600	47
601	47
602	47
603	47
604	47
605	47
606	47
607	47
608	47
609	47
610	47
611	47
612	47
613	47
614	47
615	47
616	47
617	47
618	47
619	47
620	47
621	47
622	47
623	47
624	47
625	47
626	47
627	47
628	47
629	47
630	47
631	47
632	47
633	47
634	47
635	47
636	47
637	47
638	47
639	47
640	47
641	47
642	47
643	47
644	47
645	47
646	47
647	47
648	47
649	47
650	47
651	47
652	47
653	47
654	47
655	47
656	47
657	47
658	47
659	47
660	47
661	47
662	47
663	47
664	47
665	47
666	47
667	47
668	47
669	47
670	47
671	47
672	47
673	47
674	47
675	47
676	47
677	47
678	47
679	47
680	47
681	47
682	47
683	47
684	47
685	47
686	47
687	47
688	47
689	47
690	47
691	47
692	47
693	47
694	47
695	47
696	47
697	47
698	47
699	47
700	47
701	47
702	47
703	47
704	47
705	47
706	47
707	47
708	47
709	47
710	47
711	47
712	47
713	47
714	47
715	47
716	47
717	47
718	47
719	47
720	47
721	47
722	47
723	47
724	47
725	47
726	47
727	47
728	47
729	47
730	47
731	47
732	47
733	47
734	47
735	47
736	47
737	47
738	47
739	47
740	47
741	47
742	47
743	47
744	47
745	47
746	47
747	47
748	47
749	47
750	47
751	47
752	47
753	47
754	47
755	47
756	47
757	47
758	47
759	47
760	47
761	47
762	47
763	47
764	47
765	47
766	47
767	47
768	47
769	47
770	47
771	47
772	47
773	47
774	47
775	47
776	47
777	47
778	47
779	47
780	47
781	48
782	48
783	48
784	48
785	48
786	48
787	48
788	48
789	48
790	48
791	48
792	48
793	48
794	48
795	49
796	49
797	49
798	49
799	49
800	49
801	49
802	49
803	49
804	49
805	49
806	49
807	49
808	49
809	49
810	49
811	49
812	49
813	49
814	49
815	49
816	49
817	49
818	49
819	49
820	50
821	50
822	50
823	50
824	50
825	50
826	50
827	50
828	50
829	50
830	50
831	50
832	50
833	50
834	50
835	50
836	50
837	50
838	50
839	50
840	50
841	50
842	50
843	50
844	50
845	50
846	50
847	51
848	51
849	51
850	51
851	51
852	51
853	51
854	51
855	51
856	51
857	51
858	51
859	51
860	51
861	51
862	51
863	51
864	51
865	51
866	51
867	51
868	51
869	51
870	51
871	51
872	51
873	51
874	51
875	51
876	51
877	51
878	51
879	51
880	51
881	51
882	51
883	51
884	51
885	51
886	51
887	51
888	51
889	51
890	51
891	51
892	51
893	51
894	51
895	51
896	52
897	52
898	52
899	52
900	52
901	52
902	52
903	52
904	52
905	52
906	52
907	52
908	52
909	52
910	52
911	52
912	52
913	52
914	52
915	52
916	52
917	52
918	52
919	52
920	52
921	52
922	52
923	52
924	52
925	52
926	52
927	52
928	52
929	52
930	52
931	52
932	52
933	52
934	52
935	52
936	52
937	52
938	52
939	52
940	52
941	52
942	52
943	52
944	52
945	52
946	52
947	52
948	52
949	52
950	52
951	52
952	52
953	52
954	52
955	52
956	52
957	52
958	52
959	52
960	52
961	52
962	52
963	52
