N	V
0	1
1	2
2	3
3	3
4	4
5	5
6	6
7	6
8	6
9	7
10	7
11	8
12	9
13	9
14	9
15	10
16	10
17	10
18	11
19	12
20	12
21	13
22	14
23	14
24	15
25	15
26	16
27	16
28	16
29	16
30	17
31	17
32	18
33	18
34	19
35	20
36	20
37	20
38	20
39	20
40	21
41	22
42	22
43	22
44	22
45	22
46	22
47	23
48	23
49	23
50	23
51	23
52	23
53	23
54	24
55	24
56	25
57	26
58	27
59	27
60	28
61	28
62	29
63	30
64	30
65	30
66	30
67	31
68	31
69	31
70	31
71	31
72	31
73	31
74	32
75	33
76	33
77	33
78	33
79	33
80	33
81	33
82	33
83	33
84	34
85	34
86	35
87	35
88	35
89	35
90	36
91	36
92	36
93	37
94	37
95	37
96	38
97	38
98	38
99	38
100	38
101	38
102	38
103	38
104	38
105	39
106	39
107	39
108	39
109	39
110	39
111	39
112	39
113	39
114	39
115	39
116	39
117	39
118	39
119	39
120	39
121	39
122	40
123	40
124	40
125	41
126	41
127	41
128	41
129	41
130	41
131	41
132	42
133	42
134	43
135	43
136	43
137	43
138	43
139	43
140	43
141	43
142	43
143	43
144	44
145	44
146	44
147	44
148	44
149	44
150	44
151	44
152	44
153	45
154	45
155	45
156	45
157	45
158	46
159	46
160	46
161	46
162	46
163	46
164	46
165	46
166	46
167	46
168	46
169	46
170	46
171	46
172	46
173	46
174	46
175	46
176	46
177	46
178	46
179	46
180	46
181	46
182	47
183	47
184	47
185	47
186	47
187	47
188	47
189	47
190	48
191	48
192	48
193	48
194	48
195	48
196	48
197	48
198	49
199	49
200	50
201	50
202	50
203	50
204	50
205	50
206	50
207	50
208	50
209	50
210	50
211	50
212	50
213	50
214	50
215	51
216	51
217	51
218	51
219	51
220	51
221	51
222	51
223	51
224	51
225	51
226	51
227	51
228	51
229	51
230	51
231	51
232	51
233	51
234	51
235	51
236	51
237	51
238	51
239	51
240	51
241	51
242	51
243	51
244	51
245	51
246	52
247	52
248	52
249	52
250	52
251	52
252	52
253	52
254	52
255	52
256	52
257	52
258	52
259	52
260	52
261	52
262	52
263	52
264	52
265	52
266	52
267	52
268	52
269	52
270	52
271	53
272	53
273	53
274	53
275	53
276	53
277	53
278	53
279	53
280	53
281	53
282	53
283	53
284	53
285	53
286	53
287	53
288	53
289	53
290	53
291	53
292	53
293	53
294	53
295	53
296	53
297	53
298	53
299	53
300	54
301	55
302	55
303	55
304	55
305	55
306	55
307	55
308	55
309	55
310	55
311	55
312	55
313	55
314	55
315	55
316	55
317	55
318	55
319	55
320	55
321	55
322	55
323	55
324	55
325	55
326	55
327	55
328	55
329	55
330	55
331	55
332	55
333	55
334	55
335	55
336	55
337	55
338	55
339	55
340	55
341	55
342	55
343	55
344	55
345	55
346	55
347	56
348	56
349	56
350	56
351	56
352	56
353	56
354	56
355	56
356	56
357	56
358	56
359	56
360	56
361	56
362	56
363	56
364	56
365	56
366	56
367	56
368	56
369	56
370	56
371	56
372	56
373	56
374	56
375	57
376	57
377	57
378	57
379	57
380	57
381	57
382	57
383	57
384	57
385	57
386	57
387	57
388	57
389	57
390	57
391	57
392	57
393	57
394	57
395	57
396	57
397	57
398	57
399	57
400	57
401	57
402	57
403	57
404	57
405	57
406	57
407	57
408	57
409	57
410	57
411	57
412	57
413	57
414	57
415	57
416	57
417	57
418	57
419	57
420	57
421	57
422	57
423	58
424	58
425	58
426	58
427	58
428	58
429	58
430	58
431	58
432	58
433	58
434	58
435	58
436	58
437	58
438	58
439	58
440	58
441	58
442	58
443	58
444	58
445	58
446	58
447	58
448	58
449	58
450	58
451	58
452	58
453	58
454	58
455	58
456	58
457	58
458	58
459	58
460	58
461	58
462	59
463	59
464	59
465	59
466	59
467	59
468	59
469	59
470	59
471	59
472	59
473	59
474	59
475	59
476	59
477	59
478	59
479	59
480	59
481	59
482	59
483	59
484	59
485	59
486	59
487	59
488	59
489	59
490	59
491	59
492	59
493	59
494	60
495	60
496	60
497	60
498	60
499	60
500	60
501	60
502	60
503	60
504	60
505	60
506	60
507	60
508	60
509	60
510	60
511	60
512	60
513	60
514	60
515	60
516	60
517	60
518	60
519	60
520	60
521	60
522	60
523	60
524	60
525	60
526	60
527	60
528	60
529	61
530	61
531	61
532	61
533	61
534	61
535	61
536	61
537	61
538	61
539	61
540	61
541	61
542	61
543	61
544	61
545	61
546	61
547	61
548	61
549	61
550	61
551	61
552	61
553	61
554	61
555	61
556	61
557	61
558	61
559	61
560	61
561	61
562	61
563	61
564	61
565	61
566	61
567	61
568	61
569	61
570	61
571	61
572	61
573	61
574	61
575	61
576	61
577	61
578	61
579	61
580	61
581	61
582	61
583	61
584	61
585	61
586	61
587	61
588	61
589	61
590	61
591	61
592	61
593	61
594	61
595	61
596	61
597	61
598	61
599	61
600	61
601	61
602	61
603	61
604	61
605	61
606	61
607	61
608	61
609	61
610	61
611	61
612	61
613	61
614	61
615	61
616	61
617	61
618	61
619	61
620	61
621	61
622	61
623	61
624	61
625	61
626	61
627	61
628	61
629	61
630	61
631	61
632	61
633	61
634	61
635	61
636	61
637	61
638	61
639	61
640	61
641	61
642	61
643	61
644	61
645	61
646	61
647	61
648	61
649	61
650	61
651	61
652	61
653	61
654	61
655	61
656	61
657	61
658	61
659	61
660	61
661	61
662	61
663	61
664	61
665	61
666	61
667	61
668	61
669	61
670	61
671	61
672	61
673	61
674	61
675	61
676	61
677	61
678	61
679	61
680	61
681	61
682	61
683	61
684	61
685	61
686	61
687	61
688	61
689	61
690	61
691	61
692	61
693	61
694	61
695	61
696	61
697	61
698	61
699	61
700	61
701	61
702	61
703	61
704	61
705	61
706	61
707	61
708	61
709	61
710	61
711	61
712	61
713	61
714	61
715	61
716	62
717	62
718	62
719	62
720	62
721	62
722	62
723	62
724	62
725	62
726	62
727	62
728	62
729	62
730	62
731	62
732	62
733	62
734	62
735	62
736	62
737	62
738	62
739	62
740	62
741	63
742	64
743	64
744	64
745	64
746	64
747	64
748	64
749	64
750	64
751	64
752	64
753	64
754	65
755	66
756	66
757	66
758	66
759	66
760	66
761	66
762	66
763	66
764	66
765	66
766	66
767	66
768	66
769	66
770	66
771	66
772	66
773	66
774	66
775	66
776	66
777	66
778	66
779	66
780	66
781	66
782	66
783	66
784	66
785	66
786	66
787	66
788	66
789	66
790	66
791	66
792	66
793	66
794	66
795	66
796	66
797	67
798	67
799	67
800	67
801	67
802	67
803	67
804	67
805	67
806	67
807	67
808	67
809	67
810	67
811	67
812	67
813	67
814	67
815	67
816	67
817	67
818	67
819	67
820	67
821	67
822	67
823	67
824	67
825	67
826	67
827	67
828	67
829	67
830	67
831	67
832	67
833	67
834	67
835	67
836	67
837	67
838	67
839	67
840	67
841	67
842	67
843	67
844	67
845	67
846	67
847	67
848	67
849	67
850	67
851	67
852	67
853	67
854	68
855	68
856	68
857	68
858	68
859	69
860	69
861	69
862	69
863	69
864	69
865	69
866	69
867	69
868	70
869	70
870	70
871	70
872	70
873	70
874	70
875	70
876	70
877	70
878	70
879	70
880	70
881	70
882	70
883	70
884	70
885	70
886	70
887	70
888	70
889	70
890	70
891	70
892	70
893	70
894	70
895	70
896	70
897	70
898	70
899	70
900	70
901	70
902	70
903	70
904	70
905	70
906	70
907	70
908	70
909	70
910	70
911	70
912	70
913	70
914	70
915	70
916	70
917	70
918	70
919	70
920	70
921	70
922	70
923	70
924	70
925	70
926	70
927	70
928	70
929	70
930	70
931	70
932	70
933	70
934	70
935	70
936	70
937	70
938	70
939	70
940	70
941	70
942	70
943	70
944	70
945	70
946	70
947	70
948	70
949	70
950	70
951	70
952	70
953	70
954	70
955	71
956	71
957	71
958	71
959	71
960	71
961	71
962	71
963	71
