N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	6
7	6
8	7
9	8
10	8
11	8
12	8
13	9
14	9
15	10
16	11
17	11
18	12
19	13
20	13
21	13
22	14
23	14
24	14
25	14
26	14
27	14
28	15
29	15
30	15
31	15
32	16
33	16
34	17
35	17
36	18
37	18
38	18
39	19
40	19
41	19
42	19
43	19
44	19
45	19
46	19
47	20
48	21
49	21
50	22
51	22
52	22
53	22
54	22
55	22
56	22
57	22
58	22
59	22
60	22
61	22
62	22
63	22
64	22
65	22
66	22
67	22
68	22
69	22
70	22
71	22
72	22
73	22
74	22
75	23
76	23
77	23
78	23
79	23
80	23
81	23
82	23
83	23
84	23
85	24
86	24
87	24
88	24
89	24
90	24
91	24
92	24
93	25
94	25
95	25
96	25
97	25
98	25
99	25
100	25
101	25
102	25
103	25
104	25
105	25
106	25
107	25
108	25
109	25
110	25
111	25
112	25
113	25
114	25
115	25
116	25
117	25
118	25
119	25
120	25
121	25
122	25
123	25
124	25
125	26
126	26
127	26
128	26
129	26
130	26
131	26
132	27
133	27
134	27
135	27
136	27
137	27
138	27
139	27
140	27
141	27
142	27
143	27
144	27
145	27
146	27
147	27
148	28
149	28
150	28
151	28
152	28
153	28
154	28
155	29
156	29
157	29
158	29
159	29
160	29
161	29
162	29
163	29
164	30
165	30
166	30
167	30
168	30
169	30
170	30
171	30
172	30
173	30
174	30
175	30
176	30
177	30
178	30
179	31
180	31
181	31
182	31
183	31
184	32
185	32
186	32
187	32
188	32
189	33
190	33
191	33
192	33
193	33
194	33
195	33
196	33
197	33
198	33
199	34
200	34
201	35
202	35
203	35
204	35
205	35
206	35
207	35
208	35
209	35
210	35
211	35
212	35
213	35
214	35
215	35
216	35
217	35
218	35
219	35
220	35
221	35
222	35
223	35
224	36
225	36
226	36
227	36
228	36
229	36
230	36
231	36
232	36
233	36
234	36
235	36
236	36
237	36
238	36
239	36
240	36
241	36
242	37
243	37
244	37
245	37
246	37
247	37
248	37
249	37
250	37
251	37
252	37
253	37
254	37
255	37
256	37
257	37
258	37
259	37
260	38
261	38
262	38
263	38
264	38
265	38
266	38
267	38
268	38
269	38
270	38
271	38
272	39
273	39
274	39
275	40
276	40
277	40
278	40
279	40
280	40
281	40
282	40
283	40
284	40
285	40
286	40
287	40
288	40
289	40
290	40
291	40
292	40
293	40
294	40
295	40
296	40
297	40
298	40
299	40
300	40
301	40
302	40
303	40
304	40
305	40
306	40
307	40
308	40
309	40
310	40
311	40
312	40
313	40
314	40
315	40
316	40
317	40
318	41
319	41
320	42
321	42
322	42
323	42
324	42
325	42
326	42
327	42
328	42
329	42
330	42
331	42
332	42
333	42
334	42
335	42
336	42
337	42
338	42
339	42
340	42
341	42
342	42
343	42
344	42
345	42
346	42
347	42
348	42
349	42
350	42
351	42
352	42
353	42
354	42
355	42
356	42
357	42
358	42
359	42
360	42
361	42
362	42
363	42
364	42
365	42
366	42
367	42
368	42
369	42
370	42
371	42
372	42
373	42
374	42
375	42
376	42
377	42
378	42
379	42
380	42
381	42
382	42
383	43
384	43
385	43
386	43
387	43
388	43
389	43
390	43
391	43
392	43
393	43
394	43
395	43
396	43
397	43
398	43
399	43
400	43
401	43
402	43
403	43
404	43
405	43
406	43
407	43
408	43
409	43
410	43
411	44
412	44
413	44
414	44
415	44
416	44
417	44
418	44
419	44
420	44
421	44
422	44
423	44
424	44
425	44
426	44
427	44
428	44
429	44
430	44
431	44
432	44
433	44
434	44
435	44
436	44
437	44
438	44
439	44
440	44
441	44
442	44
443	44
444	44
445	44
446	44
447	44
448	44
449	44
450	44
451	44
452	44
453	44
454	44
455	44
456	44
457	44
458	44
459	45
460	45
461	45
462	45
463	45
464	45
465	45
466	45
467	45
468	45
469	45
470	45
471	45
472	45
473	45
474	45
475	45
476	45
477	45
478	45
479	45
480	45
481	45
482	45
483	45
484	45
485	45
486	45
487	45
488	45
489	45
490	45
491	45
492	45
493	45
494	45
495	45
496	45
497	45
498	45
499	45
500	45
501	45
502	45
503	45
504	45
505	45
506	45
507	45
508	45
509	45
510	46
511	46
512	46
513	46
514	47
515	47
516	47
517	47
518	47
519	47
520	48
521	48
522	48
523	48
524	49
525	49
526	49
527	49
528	49
529	49
530	49
531	49
532	49
533	49
534	49
535	49
536	49
537	49
538	49
539	49
540	49
541	49
542	49
543	49
544	49
545	49
546	49
547	49
548	49
549	49
550	49
551	49
552	49
553	49
554	49
555	49
556	49
557	49
558	49
559	49
560	49
561	49
562	49
563	49
564	49
565	49
566	49
567	49
568	49
569	49
570	50
571	50
572	50
573	50
574	50
575	50
576	50
577	50
578	50
579	50
580	50
581	50
582	50
583	50
584	50
585	50
586	50
587	50
588	50
589	50
590	50
591	50
592	50
593	50
594	50
595	50
596	50
597	50
598	50
599	50
600	51
601	51
602	51
603	51
604	51
605	51
606	51
607	51
608	51
609	51
610	51
611	51
612	51
613	51
614	51
615	51
616	51
617	51
618	51
619	51
620	51
621	51
622	51
623	51
624	51
625	51
626	52
627	52
628	52
629	52
630	52
631	52
632	52
633	52
634	52
635	52
636	52
637	52
638	52
639	52
640	52
641	52
642	52
643	52
644	52
645	52
646	52
647	52
648	52
649	52
650	52
651	53
652	53
653	53
654	53
655	53
656	53
657	53
658	53
659	53
660	53
661	53
662	53
663	54
664	54
665	54
666	54
667	54
668	54
669	54
670	54
671	54
672	54
673	54
674	54
675	54
676	54
677	54
678	54
679	54
680	54
681	54
682	54
683	54
684	54
685	54
686	54
687	54
688	54
689	54
690	54
691	54
692	54
693	54
694	55
695	55
696	55
697	55
698	55
699	55
700	55
701	55
702	55
703	55
704	55
705	55
706	55
707	55
708	55
709	55
710	55
711	55
712	55
713	55
714	55
715	55
716	55
717	55
718	55
719	55
720	55
721	55
722	55
723	55
724	55
725	55
726	55
727	55
728	56
729	56
730	56
731	56
732	56
733	56
734	56
735	56
736	57
737	57
738	57
739	57
740	57
741	57
742	57
743	57
744	57
745	57
746	57
747	57
748	57
749	57
750	57
751	57
752	57
753	57
754	57
755	57
756	57
757	57
758	57
759	57
760	57
761	57
762	57
763	57
764	57
765	57
766	57
767	57
768	57
769	57
770	57
771	57
772	57
773	57
774	57
775	57
776	57
777	57
778	57
779	57
780	57
781	57
782	57
783	57
784	57
785	57
786	58
787	58
788	58
789	58
790	58
791	58
792	58
793	58
794	58
795	58
796	58
797	58
798	58
799	58
800	58
801	58
802	58
803	58
804	58
805	58
806	58
807	58
808	58
809	58
810	58
811	58
812	58
813	58
814	58
815	58
816	58
817	58
818	58
819	58
820	59
821	59
822	59
823	59
824	59
825	59
826	59
827	59
828	59
829	59
830	59
831	59
832	59
833	59
834	60
835	60
836	60
837	60
838	60
839	60
840	60
841	60
842	60
843	60
844	60
845	60
846	60
847	60
848	60
849	60
850	60
851	60
852	60
853	60
854	60
855	60
856	60
857	60
858	60
859	60
860	60
861	60
862	60
863	60
864	60
865	60
866	60
867	61
868	61
869	61
870	61
871	61
872	61
873	61
874	61
875	61
876	61
877	61
878	61
879	61
880	61
881	61
882	61
883	61
884	61
885	61
886	61
887	61
888	61
889	61
890	61
891	61
892	61
893	61
894	61
895	61
896	61
897	61
898	61
899	61
900	61
901	61
902	61
903	61
904	61
905	61
906	61
907	61
908	61
909	61
910	61
911	61
912	61
913	61
914	61
915	61
916	61
917	61
918	61
919	61
920	61
921	61
922	61
923	61
924	61
925	61
926	61
927	61
928	61
929	61
930	61
931	61
932	61
933	61
934	61
935	61
936	61
937	61
938	61
939	61
940	61
941	61
942	61
943	61
944	61
945	61
946	61
947	61
948	61
949	61
950	61
951	61
952	61
953	61
954	61
955	61
956	61
957	61
958	61
959	61
960	61
961	61
962	61
963	61
