N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	18
18	18
19	18
20	18
21	19
22	20
23	21
24	22
25	23
26	24
27	25
28	26
29	27
30	28
31	28
32	29
33	30
34	31
35	32
36	33
37	34
38	35
39	35
40	36
41	37
42	38
43	39
44	40
45	41
46	41
47	41
48	42
49	43
50	43
51	44
52	44
53	44
54	45
55	46
56	46
57	47
58	48
59	49
60	50
61	51
62	52
63	53
64	53
65	54
66	55
67	56
68	56
69	57
70	58
71	58
72	58
73	59
74	60
75	60
76	61
77	62
78	63
79	64
80	64
81	65
82	66
83	66
84	67
85	68
86	68
87	69
88	69
89	70
90	70
91	70
92	71
93	72
94	73
95	74
96	74
97	75
98	76
99	77
100	77
101	77
102	78
103	79
104	80
105	81
106	81
107	82
108	82
109	82
110	83
111	83
112	83
113	84
114	84
115	84
116	84
117	85
118	86
119	87
120	87
121	88
122	88
123	89
124	90
125	91
126	92
127	93
128	94
129	94
130	94
131	95
132	96
133	97
134	98
135	98
136	99
137	99
138	100
139	100
140	101
141	101
142	101
143	101
144	101
145	102
146	103
147	103
148	104
149	105
150	105
151	106
152	107
153	108
154	108
155	109
156	110
157	110
158	111
159	111
160	111
161	111
162	112
163	113
164	114
165	114
166	114
167	115
168	116
169	117
170	118
171	119
172	120
173	120
174	121
175	122
176	123
177	123
178	124
179	125
180	125
181	125
182	125
183	125
184	125
185	125
186	125
187	126
188	126
189	126
190	126
191	126
192	127
193	128
194	128
195	128
196	128
197	129
198	130
199	130
200	131
201	131
202	132
203	133
204	133
205	134
206	134
207	135
208	136
209	136
210	136
211	136
212	136
213	137
214	138
215	139
216	139
217	139
218	139
219	139
220	140
221	141
222	142
223	142
224	143
225	144
226	144
227	144
228	144
229	145
230	145
231	146
232	147
233	148
234	148
235	148
236	149
237	149
238	149
239	149
240	149
241	149
242	150
243	151
244	152
245	153
246	153
247	153
248	153
249	154
250	154
251	155
252	155
253	155
254	155
255	155
256	155
257	156
258	156
259	156
260	156
261	157
262	157
263	157
264	157
265	157
266	157
267	157
268	157
269	157
270	158
271	158
272	158
273	158
274	158
275	158
276	158
277	158
278	158
279	158
280	158
281	158
282	158
283	158
284	158
285	159
286	160
287	160
288	161
289	161
290	161
291	161
292	162
293	163
294	163
295	164
296	164
297	165
298	165
299	165
300	166
301	166
302	167
303	167
304	168
305	169
306	169
307	170
308	170
309	170
310	170
311	171
312	171
313	171
314	172
315	173
316	174
317	175
318	176
319	177
320	178
321	178
322	178
323	178
324	179
325	179
326	180
327	180
328	181
329	181
330	182
331	183
332	183
333	184
334	185
335	186
336	186
337	186
338	187
339	188
340	188
341	188
342	188
343	188
344	188
345	188
346	189
347	190
348	191
349	191
350	192
351	193
352	193
353	193
354	194
355	195
356	196
357	196
358	197
359	197
360	197
361	197
362	198
363	199
364	200
365	201
366	201
367	202
368	202
369	203
370	203
371	203
372	204
373	205
374	205
375	206
376	207
377	208
378	208
379	208
380	209
381	210
382	211
383	211
384	212
385	212
386	212
387	212
388	212
389	212
390	212
391	213
392	214
393	214
394	215
395	215
396	215
397	215
398	215
399	216
400	216
401	216
402	216
403	217
404	217
405	218
406	219
407	220
408	221
409	221
410	221
411	221
412	221
413	221
414	222
415	222
416	222
417	223
418	223
419	224
420	224
421	225
422	226
423	227
424	227
425	227
426	227
427	227
428	228
429	228
430	229
431	229
432	229
433	229
434	230
435	230
436	231
437	231
438	231
439	231
440	232
441	232
442	233
443	233
444	233
445	233
446	233
447	234
448	234
449	235
450	235
451	235
452	235
453	236
454	236
455	236
456	236
457	236
458	236
459	236
460	237
461	237
462	237
463	237
464	237
465	237
466	237
467	237
468	237
469	237
470	238
471	239
472	240
473	240
474	241
475	241
476	242
477	243
478	244
479	244
480	244
481	244
482	244
483	244
484	244
485	245
486	246
487	247
488	247
489	248
490	249
491	250
492	250
493	250
494	251
495	252
496	253
497	253
498	253
499	253
500	253
501	254
502	254
503	254
504	254
505	254
506	255
507	256
508	256
509	256
510	257
511	257
512	257
513	257
514	257
515	258
516	258
517	259
518	259
519	259
520	260
521	260
522	261
523	262
524	263
525	264
526	264
527	264
528	265
529	265
530	265
531	266
532	266
533	266
534	266
535	266
536	266
537	267
538	267
539	268
540	268
541	268
542	268
543	268
544	268
545	268
546	268
547	268
548	269
549	269
550	269
551	270
552	270
553	270
554	270
555	270
556	270
557	270
558	270
559	270
560	271
561	271
562	271
563	272
564	273
565	273
566	273
567	273
568	273
569	273
570	273
571	274
572	274
573	274
574	274
575	274
576	274
577	275
578	275
579	275
580	275
581	276
582	276
583	277
584	277
585	277
586	277
587	277
588	277
589	277
590	277
591	277
592	277
593	277
594	277
595	277
596	278
597	278
598	279
599	279
600	280
601	281
602	281
603	281
604	281
605	282
606	282
607	283
608	283
609	283
610	283
611	284
612	284
613	284
614	284
615	284
616	284
617	285
618	285
619	285
620	285
621	285
622	285
623	286
624	286
625	286
626	287
627	287
628	287
629	287
630	287
631	288
632	288
633	289
634	289
635	290
636	290
637	291
638	292
639	293
640	293
641	293
642	293
643	293
644	293
645	293
646	294
647	294
648	294
649	295
650	295
651	295
652	296
653	297
654	297
655	297
656	298
657	298
658	298
659	298
660	299
661	299
662	300
663	301
664	301
665	301
666	302
667	303
668	304
669	304
670	305
671	306
672	306
673	306
674	306
675	307
676	307
677	307
678	307
679	307
680	307
681	307
682	307
683	307
684	308
685	308
686	308
687	308
688	308
689	308
690	308
691	308
692	308
693	309
694	310
695	310
696	310
697	310
698	310
699	311
700	311
701	311
702	311
703	311
704	311
705	312
706	312
707	313
708	313
709	313
710	313
711	313
712	314
713	315
714	315
715	315
716	315
717	316
718	316
719	316
720	317
721	317
722	317
723	317
724	317
725	318
726	318
727	318
728	318
729	319
730	319
731	319
732	319
733	319
734	319
735	319
736	319
737	319
738	319
739	319
740	320
741	321
742	321
743	322
744	322
745	322
746	322
747	322
748	323
749	324
750	324
751	324
752	324
753	324
754	325
755	325
756	325
757	325
758	326
759	327
760	327
761	327
762	327
763	327
764	327
765	327
766	327
767	328
768	328
769	328
770	328
771	328
772	328
773	329
774	329
775	329
776	329
777	329
778	329
779	329
780	329
781	329
782	330
783	330
784	330
785	330
786	330
787	330
788	331
789	331
790	331
791	332
792	333
793	334
794	335
795	335
796	335
797	335
798	335
799	335
800	335
801	336
802	337
803	338
804	338
805	338
806	339
807	339
808	339
809	339
810	339
811	340
812	340
813	341
814	342
815	342
816	342
817	342
818	343
819	343
820	343
821	343
822	343
823	343
824	343
825	344
826	344
827	344
828	345
829	345
830	346
831	346
832	346
833	346
834	346
835	347
836	348
837	348
838	348
839	349
840	350
841	351
842	352
843	353
844	354
845	354
846	354
847	355
848	356
849	356
850	356
851	356
852	356
853	356
854	356
855	356
856	356
857	356
858	356
859	357
860	357
861	358
862	358
863	358
864	358
865	359
866	360
867	361
868	362
869	363
870	364
871	364
872	364
873	364
874	364
875	364
876	364
877	364
878	364
879	364
880	364
881	365
882	365
883	365
884	365
885	365
886	365
887	365
888	366
889	366
890	366
891	366
892	366
893	366
894	366
895	366
896	366
897	366
898	366
899	366
900	367
901	367
902	367
903	367
904	368
905	368
906	368
907	368
908	368
909	368
910	368
911	368
912	368
913	368
914	368
915	368
916	368
917	368
918	368
919	368
920	368
921	368
922	368
923	368
924	368
925	368
926	368
927	368
928	368
929	368
930	368
931	368
932	368
933	368
934	368
935	369
936	369
937	369
938	369
939	369
940	369
941	370
942	370
943	370
944	371
945	371
946	371
947	372
948	372
949	372
950	372
951	373
952	373
953	374
954	374
955	374
956	374
957	374
958	375
959	376
960	376
961	377
962	377
963	378
