N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	17
18	18
19	19
20	20
21	21
22	21
23	22
24	23
25	24
26	25
27	26
28	26
29	27
30	28
31	29
32	30
33	31
34	32
35	33
36	34
37	35
38	36
39	37
40	38
41	39
42	40
43	40
44	41
45	42
46	43
47	44
48	45
49	46
50	46
51	47
52	48
53	49
54	50
55	51
56	52
57	53
58	54
59	55
60	56
61	57
62	58
63	59
64	60
65	61
66	62
67	63
68	64
69	65
70	66
71	67
72	67
73	68
74	69
75	70
76	71
77	72
78	73
79	73
80	74
81	75
82	76
83	77
84	78
85	79
86	80
87	81
88	81
89	82
90	83
91	84
92	85
93	86
94	87
95	88
96	89
97	90
98	91
99	92
100	93
101	94
102	95
103	96
104	97
105	98
106	98
107	99
108	99
109	100
110	101
111	102
112	103
113	103
114	104
115	105
116	105
117	106
118	107
119	108
120	109
121	110
122	111
123	111
124	111
125	112
126	112
127	113
128	114
129	115
130	115
131	115
132	116
133	117
134	118
135	118
136	119
137	119
138	120
139	121
140	122
141	122
142	123
143	123
144	124
145	125
146	125
147	125
148	125
149	125
150	125
151	126
152	127
153	128
154	128
155	128
156	129
157	130
158	131
159	132
160	133
161	134
162	135
163	136
164	137
165	138
166	139
167	139
168	140
169	140
170	141
171	142
172	143
173	144
174	145
175	145
176	145
177	146
178	147
179	148
180	149
181	150
182	151
183	152
184	153
185	154
186	154
187	155
188	156
189	157
190	158
191	158
192	159
193	160
194	160
195	161
196	162
197	163
198	163
199	164
200	165
201	165
202	165
203	165
204	165
205	165
206	166
207	167
208	167
209	167
210	167
211	167
212	167
213	167
214	167
215	168
216	169
217	169
218	169
219	169
220	170
221	170
222	170
223	170
224	171
225	171
226	171
227	171
228	171
229	171
230	172
231	173
232	174
233	175
234	175
235	176
236	177
237	177
238	178
239	178
240	178
241	178
242	178
243	179
244	179
245	179
246	179
247	179
248	179
249	180
250	181
251	182
252	183
253	184
254	185
255	185
256	186
257	187
258	188
259	189
260	190
261	191
262	191
263	191
264	192
265	193
266	193
267	193
268	194
269	194
270	194
271	195
272	196
273	196
274	197
275	198
276	198
277	199
278	200
279	201
280	202
281	202
282	202
283	202
284	203
285	204
286	205
287	206
288	207
289	207
290	208
291	208
292	208
293	209
294	209
295	209
296	209
297	209
298	209
299	209
300	210
301	210
302	211
303	212
304	212
305	212
306	213
307	213
308	214
309	215
310	215
311	215
312	215
313	215
314	215
315	215
316	215
317	215
318	215
319	216
320	217
321	217
322	217
323	218
324	219
325	220
326	221
327	222
328	223
329	224
330	225
331	225
332	226
333	227
334	228
335	229
336	229
337	230
338	230
339	231
340	232
341	232
342	232
343	232
344	233
345	234
346	235
347	236
348	237
349	238
350	239
351	240
352	241
353	242
354	243
355	244
356	244
357	245
358	246
359	246
360	246
361	247
362	248
363	249
364	250
365	251
366	251
367	252
368	252
369	253
370	254
371	255
372	256
373	257
374	257
375	257
376	258
377	259
378	259
379	260
380	260
381	261
382	262
383	263
384	263
385	263
386	264
387	265
388	266
389	266
390	267
391	267
392	267
393	268
394	269
395	270
396	270
397	270
398	271
399	271
400	272
401	272
402	272
403	273
404	273
405	273
406	273
407	273
408	273
409	274
410	274
411	275
412	276
413	276
414	276
415	277
416	278
417	279
418	280
419	281
420	282
421	283
422	284
423	285
424	285
425	286
426	287
427	287
428	288
429	289
430	289
431	289
432	289
433	289
434	290
435	291
436	292
437	293
438	294
439	295
440	295
441	295
442	296
443	296
444	297
445	298
446	299
447	300
448	301
449	302
450	303
451	303
452	303
453	304
454	304
455	305
456	305
457	306
458	306
459	307
460	308
461	308
462	309
463	310
464	311
465	311
466	312
467	313
468	313
469	313
470	314
471	314
472	314
473	315
474	315
475	316
476	316
477	317
478	317
479	317
480	317
481	317
482	318
483	318
484	318
485	318
486	319
487	320
488	320
489	321
490	321
491	322
492	323
493	323
494	324
495	324
496	325
497	326
498	327
499	327
500	328
501	329
502	329
503	330
504	331
505	332
506	333
507	333
508	333
509	333
510	334
511	334
512	335
513	335
514	335
515	335
516	336
517	337
518	337
519	338
520	339
521	340
522	340
523	341
524	341
525	341
526	342
527	342
528	343
529	343
530	344
531	344
532	345
533	346
534	346
535	347
536	348
537	348
538	349
539	350
540	351
541	351
542	351
543	352
544	353
545	353
546	354
547	355
548	356
549	356
550	356
551	357
552	358
553	358
554	358
555	358
556	359
557	360
558	361
559	361
560	361
561	361
562	362
563	362
564	363
565	364
566	365
567	365
568	366
569	367
570	368
571	368
572	369
573	370
574	371
575	372
576	373
577	374
578	375
579	375
580	375
581	376
582	376
583	377
584	377
585	378
586	378
587	378
588	378
589	378
590	378
591	379
592	380
593	381
594	382
595	382
596	382
597	383
598	383
599	384
600	384
601	384
602	384
603	385
604	385
605	386
606	386
607	387
608	388
609	388
610	388
611	389
612	390
613	390
614	390
615	390
616	391
617	391
618	392
619	393
620	393
621	393
622	394
623	395
624	395
625	396
626	396
627	396
628	396
629	397
630	398
631	399
632	400
633	401
634	401
635	401
636	402
637	403
638	404
639	405
640	405
641	405
642	405
643	405
644	405
645	405
646	405
647	406
648	407
649	407
650	408
651	408
652	409
653	410
654	410
655	411
656	411
657	411
658	411
659	412
660	413
661	414
662	414
663	414
664	415
665	416
666	417
667	418
668	418
669	419
670	420
671	420
672	420
673	420
674	420
675	420
676	421
677	422
678	422
679	423
680	424
681	424
682	424
683	424
684	425
685	425
686	426
687	426
688	426
689	427
690	427
691	428
692	428
693	428
694	429
695	430
696	431
697	431
698	431
699	431
700	431
701	431
702	431
703	431
704	432
705	432
706	433
707	433
708	433
709	433
710	433
711	433
712	433
713	434
714	434
715	434
716	435
717	436
718	436
719	437
720	437
721	437
722	437
723	437
724	437
725	437
726	438
727	439
728	440
729	440
730	440
731	441
732	441
733	442
734	442
735	443
736	443
737	444
738	445
739	445
740	445
741	445
742	446
743	446
744	447
745	447
746	447
747	448
748	449
749	449
750	450
751	451
752	452
753	452
754	452
755	453
756	453
757	454
758	454
759	454
760	455
761	456
762	456
763	456
764	456
765	456
766	456
767	456
768	457
769	457
770	457
771	457
772	457
773	458
774	459
775	459
776	459
777	459
778	460
779	460
780	460
781	460
782	460
783	460
784	460
785	461
786	461
787	462
788	462
789	462
790	463
791	463
792	463
793	464
794	464
795	465
796	465
797	466
798	466
799	467
800	467
801	468
802	469
803	469
804	470
805	470
806	470
807	471
808	472
809	472
810	473
811	473
812	473
813	473
814	473
815	473
816	474
817	474
818	475
819	475
820	476
821	476
822	477
823	478
824	478
825	478
826	479
827	480
828	481
829	481
830	482
831	482
832	483
833	483
834	484
835	485
836	485
837	485
838	485
839	485
840	485
841	485
842	485
843	486
844	486
845	486
846	486
847	487
848	488
849	488
850	489
851	490
852	491
853	491
854	491
855	491
856	492
857	492
858	493
859	493
860	493
861	493
862	493
863	493
864	494
865	495
866	496
867	496
868	497
869	497
870	498
871	499
872	499
873	500
874	500
875	501
876	501
877	502
878	502
879	502
880	502
881	502
882	503
883	503
884	503
885	504
886	505
887	506
888	506
889	506
890	506
891	506
892	507
893	507
894	507
895	507
896	507
897	507
898	508
899	509
900	509
901	509
902	510
903	510
904	510
905	511
906	511
907	511
908	511
909	511
910	511
911	512
912	513
913	513
914	513
915	513
916	514
917	514
918	514
919	514
920	514
921	515
922	516
923	517
924	517
925	518
926	518
927	519
928	519
929	520
930	520
931	521
932	521
933	521
934	522
935	522
936	523
937	524
938	525
939	525
940	525
941	525
942	525
943	526
944	527
945	527
946	528
947	528
948	529
949	530
950	531
951	531
952	532
953	532
954	532
955	532
956	532
957	532
958	533
959	534
960	534
961	534
962	534
963	534
