N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	22
23	22
24	22
25	23
26	24
27	25
28	26
29	27
30	28
31	29
32	29
33	30
34	31
35	32
36	33
37	34
38	35
39	36
40	37
41	38
42	39
43	40
44	41
45	42
46	43
47	44
48	45
49	46
50	47
51	48
52	48
53	49
54	50
55	51
56	52
57	53
58	54
59	55
60	56
61	57
62	58
63	59
64	60
65	61
66	62
67	63
68	63
69	63
70	64
71	64
72	65
73	66
74	66
75	67
76	68
77	69
78	70
79	71
80	72
81	73
82	74
83	75
84	76
85	77
86	78
87	79
88	80
89	81
90	82
91	82
92	83
93	84
94	85
95	86
96	87
97	88
98	89
99	90
100	90
101	90
102	91
103	91
104	91
105	92
106	92
107	93
108	94
109	94
110	94
111	95
112	96
113	97
114	98
115	99
116	100
117	100
118	100
119	100
120	101
121	102
122	103
123	104
124	105
125	106
126	107
127	108
128	109
129	110
130	111
131	112
132	113
133	114
134	115
135	116
136	116
137	117
138	118
139	119
140	120
141	120
142	121
143	122
144	123
145	124
146	125
147	126
148	126
149	127
150	128
151	128
152	129
153	129
154	130
155	130
156	130
157	131
158	132
159	133
160	134
161	135
162	136
163	137
164	137
165	137
166	138
167	139
168	139
169	140
170	141
171	141
172	142
173	143
174	144
175	145
176	146
177	146
178	146
179	147
180	148
181	149
182	149
183	150
184	150
185	151
186	152
187	153
188	154
189	155
190	156
191	157
192	158
193	159
194	160
195	161
196	161
197	161
198	162
199	163
200	164
201	164
202	164
203	165
204	166
205	166
206	167
207	168
208	169
209	169
210	169
211	170
212	171
213	171
214	171
215	172
216	173
217	174
218	175
219	176
220	176
221	177
222	177
223	177
224	178
225	178
226	179
227	180
228	181
229	182
230	183
231	184
232	185
233	185
234	186
235	187
236	187
237	188
238	189
239	190
240	191
241	192
242	193
243	193
244	194
245	195
246	195
247	196
248	197
249	198
250	199
251	200
252	201
253	201
254	202
255	202
256	203
257	204
258	204
259	205
260	206
261	207
262	208
263	209
264	210
265	211
266	212
267	213
268	214
269	215
270	216
271	217
272	217
273	218
274	219
275	219
276	220
277	221
278	222
279	223
280	224
281	225
282	225
283	226
284	227
285	228
286	229
287	229
288	230
289	231
290	232
291	232
292	233
293	234
294	235
295	235
296	235
297	236
298	236
299	237
300	237
301	238
302	239
303	240
304	240
305	241
306	242
307	242
308	242
309	243
310	244
311	245
312	245
313	245
314	245
315	245
316	246
317	247
318	247
319	248
320	249
321	249
322	249
323	249
324	249
325	250
326	251
327	252
328	253
329	254
330	255
331	255
332	256
333	256
334	257
335	258
336	259
337	260
338	260
339	260
340	261
341	261
342	261
343	262
344	263
345	263
346	264
347	264
348	265
349	265
350	266
351	267
352	268
353	269
354	270
355	270
356	271
357	272
358	272
359	273
360	274
361	275
362	276
363	277
364	277
365	278
366	278
367	279
368	279
369	280
370	281
371	282
372	282
373	283
374	284
375	285
376	286
377	286
378	287
379	288
380	289
381	290
382	291
383	292
384	292
385	293
386	294
387	295
388	296
389	297
390	298
391	299
392	300
393	301
394	301
395	302
396	303
397	304
398	305
399	305
400	306
401	307
402	308
403	309
404	310
405	310
406	311
407	311
408	311
409	311
410	311
411	312
412	313
413	314
414	314
415	314
416	314
417	315
418	316
419	317
420	317
421	318
422	319
423	320
424	320
425	321
426	321
427	322
428	323
429	323
430	323
431	323
432	324
433	324
434	325
435	326
436	326
437	327
438	327
439	327
440	327
441	328
442	329
443	330
444	331
445	332
446	332
447	332
448	332
449	332
450	333
451	334
452	335
453	336
454	337
455	338
456	339
457	340
458	341
459	341
460	342
461	342
462	343
463	343
464	343
465	343
466	343
467	344
468	345
469	346
470	347
471	348
472	348
473	349
474	350
475	350
476	350
477	350
478	351
479	351
480	351
481	352
482	353
483	354
484	355
485	356
486	356
487	356
488	357
489	358
490	358
491	359
492	359
493	359
494	360
495	361
496	362
497	363
498	363
499	363
500	363
501	364
502	365
503	365
504	366
505	367
506	368
507	369
508	370
509	371
510	371
511	372
512	372
513	372
514	373
515	374
516	375
517	375
518	376
519	376
520	377
521	378
522	379
523	379
524	380
525	381
526	382
527	382
528	382
529	383
530	384
531	385
532	385
533	386
534	387
535	387
536	388
537	388
538	388
539	389
540	390
541	390
542	390
543	391
544	392
545	393
546	394
547	394
548	395
549	396
550	396
551	397
552	397
553	397
554	397
555	398
556	399
557	400
558	400
559	400
560	400
561	401
562	402
563	402
564	403
565	403
566	404
567	405
568	405
569	406
570	406
571	407
572	408
573	409
574	409
575	410
576	410
577	410
578	410
579	411
580	411
581	411
582	412
583	413
584	413
585	414
586	414
587	414
588	415
589	416
590	417
591	418
592	419
593	420
594	421
595	421
596	421
597	422
598	423
599	424
600	425
601	426
602	427
603	428
604	429
605	429
606	430
607	431
608	431
609	431
610	431
611	431
612	432
613	433
614	434
615	435
616	435
617	435
618	436
619	437
620	437
621	437
622	438
623	439
624	439
625	439
626	439
627	439
628	440
629	440
630	440
631	441
632	442
633	443
634	444
635	444
636	444
637	444
638	444
639	445
640	446
641	446
642	447
643	447
644	447
645	447
646	447
647	448
648	449
649	450
650	450
651	451
652	451
653	452
654	453
655	454
656	455
657	455
658	455
659	455
660	456
661	456
662	456
663	456
664	457
665	458
666	458
667	459
668	460
669	461
670	461
671	461
672	461
673	461
674	461
675	462
676	462
677	463
678	464
679	464
680	465
681	465
682	466
683	467
684	467
685	468
686	468
687	469
688	470
689	470
690	471
691	471
692	471
693	472
694	472
695	472
696	472
697	472
698	473
699	474
700	474
701	475
702	476
703	477
704	478
705	478
706	478
707	479
708	480
709	481
710	481
711	482
712	483
713	483
714	483
715	484
716	484
717	485
718	485
719	486
720	486
721	487
722	487
723	487
724	487
725	487
726	487
727	488
728	489
729	489
730	489
731	489
732	489
733	489
734	490
735	491
736	492
737	493
738	493
739	493
740	494
741	494
742	494
743	495
744	496
745	496
746	496
747	496
748	496
749	496
750	496
751	497
752	498
753	499
754	500
755	501
756	502
757	502
758	503
759	503
760	504
761	505
762	505
763	505
764	505
765	506
766	506
767	506
768	506
769	506
770	507
771	508
772	508
773	509
774	509
775	509
776	509
777	510
778	510
779	510
780	511
781	512
782	512
783	513
784	513
785	513
786	513
787	513
788	513
789	514
790	514
791	515
792	516
793	517
794	518
795	519
796	520
797	520
798	521
799	521
800	521
801	521
802	522
803	522
804	523
805	523
806	524
807	524
808	525
809	525
810	526
811	527
812	528
813	528
814	529
815	530
816	530
817	531
818	531
819	531
820	532
821	533
822	534
823	535
824	535
825	536
826	537
827	538
828	539
829	540
830	541
831	542
832	542
833	543
834	544
835	545
836	546
837	546
838	546
839	546
840	546
841	547
842	548
843	549
844	549
845	550
846	550
847	550
848	550
849	550
850	550
851	550
852	550
853	550
854	550
855	551
856	551
857	551
858	552
859	552
860	552
861	552
862	553
863	554
864	554
865	554
866	554
867	554
868	554
869	555
870	556
871	556
872	556
873	556
874	556
875	557
876	557
877	557
878	557
879	557
880	557
881	558
882	559
883	559
884	559
885	560
886	561
887	562
888	563
889	564
890	565
891	565
892	565
893	565
894	565
895	565
896	565
897	566
898	567
899	568
900	568
901	569
902	570
903	571
904	571
905	571
906	572
907	572
908	573
909	573
910	574
911	575
912	576
913	576
914	577
915	578
916	578
917	578
918	578
919	578
920	579
921	580
922	580
923	580
924	581
925	581
926	581
927	582
928	583
929	584
930	585
931	585
932	586
933	587
934	587
935	587
936	588
937	588
938	589
939	589
940	590
941	591
942	592
943	592
944	593
945	594
946	595
947	596
948	597
949	598
950	599
951	599
952	600
953	601
954	602
955	602
956	603
957	603
958	603
959	604
960	605
961	605
962	605
963	605
