N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	20
22	20
23	21
24	22
25	23
26	24
27	25
28	25
29	26
30	27
31	28
32	29
33	30
34	31
35	32
36	33
37	34
38	35
39	35
40	36
41	36
42	37
43	38
44	39
45	40
46	41
47	41
48	42
49	43
50	43
51	44
52	45
53	46
54	47
55	48
56	48
57	49
58	50
59	51
60	52
61	53
62	54
63	55
64	55
65	56
66	57
67	58
68	59
69	60
70	61
71	62
72	63
73	64
74	65
75	66
76	67
77	68
78	69
79	70
80	71
81	72
82	73
83	74
84	74
85	75
86	76
87	77
88	78
89	78
90	78
91	79
92	80
93	81
94	82
95	82
96	83
97	84
98	85
99	86
100	87
101	88
102	89
103	90
104	91
105	91
106	92
107	93
108	94
109	95
110	95
111	96
112	96
113	97
114	97
115	98
116	99
117	100
118	101
119	102
120	103
121	103
122	104
123	105
124	106
125	107
126	108
127	109
128	110
129	111
130	112
131	113
132	114
133	114
134	115
135	116
136	117
137	117
138	118
139	118
140	119
141	120
142	121
143	122
144	123
145	124
146	125
147	126
148	127
149	127
150	128
151	129
152	130
153	131
154	132
155	133
156	134
157	135
158	136
159	137
160	138
161	139
162	140
163	141
164	142
165	143
166	144
167	145
168	145
169	146
170	147
171	148
172	149
173	150
174	151
175	152
176	153
177	154
178	155
179	156
180	157
181	158
182	159
183	160
184	160
185	161
186	162
187	163
188	164
189	165
190	165
191	165
192	166
193	167
194	168
195	168
196	168
197	169
198	170
199	171
200	172
201	173
202	174
203	175
204	176
205	177
206	178
207	179
208	180
209	181
210	182
211	183
212	183
213	183
214	183
215	183
216	183
217	184
218	185
219	186
220	187
221	187
222	187
223	188
224	189
225	190
226	191
227	191
228	191
229	192
230	193
231	194
232	195
233	195
234	196
235	196
236	196
237	196
238	196
239	197
240	197
241	197
242	198
243	199
244	200
245	201
246	202
247	203
248	203
249	204
250	205
251	206
252	207
253	208
254	209
255	209
256	209
257	210
258	211
259	212
260	212
261	212
262	212
263	213
264	214
265	215
266	216
267	217
268	218
269	219
270	220
271	220
272	221
273	222
274	223
275	224
276	225
277	226
278	227
279	228
280	229
281	230
282	231
283	231
284	232
285	232
286	233
287	234
288	234
289	234
290	235
291	236
292	237
293	238
294	239
295	240
296	240
297	241
298	241
299	242
300	243
301	244
302	245
303	245
304	246
305	247
306	248
307	249
308	250
309	251
310	251
311	251
312	252
313	253
314	253
315	254
316	254
317	255
318	256
319	257
320	258
321	258
322	259
323	260
324	261
325	262
326	263
327	264
328	265
329	266
330	267
331	267
332	267
333	267
334	267
335	268
336	269
337	270
338	270
339	271
340	272
341	273
342	274
343	274
344	275
345	275
346	276
347	276
348	277
349	278
350	279
351	280
352	281
353	282
354	282
355	282
356	282
357	283
358	284
359	285
360	286
361	287
362	288
363	289
364	289
365	289
366	290
367	291
368	291
369	292
370	293
371	294
372	295
373	296
374	297
375	298
376	299
377	300
378	300
379	301
380	302
381	303
382	303
383	304
384	305
385	305
386	306
387	307
388	307
389	308
390	309
391	310
392	311
393	312
394	312
395	313
396	314
397	315
398	315
399	316
400	317
401	317
402	318
403	318
404	318
405	318
406	319
407	319
408	320
409	321
410	322
411	323
412	324
413	324
414	324
415	324
416	325
417	325
418	325
419	326
420	327
421	327
422	327
423	327
424	327
425	328
426	328
427	328
428	328
429	328
430	328
431	329
432	330
433	331
434	332
435	333
436	333
437	333
438	334
439	335
440	335
441	336
442	336
443	337
444	338
445	339
446	340
447	340
448	340
449	340
450	341
451	342
452	343
453	344
454	344
455	345
456	346
457	346
458	347
459	348
460	349
461	350
462	351
463	352
464	353
465	353
466	354
467	355
468	356
469	357
470	358
471	359
472	360
473	361
474	362
475	363
476	364
477	364
478	365
479	365
480	365
481	366
482	367
483	368
484	369
485	370
486	370
487	370
488	371
489	372
490	372
491	373
492	374
493	375
494	376
495	377
496	377
497	377
498	378
499	378
500	378
501	379
502	380
503	381
504	382
505	382
506	383
507	384
508	384
509	385
510	386
511	387
512	387
513	387
514	387
515	388
516	389
517	390
518	390
519	390
520	391
521	392
522	393
523	393
524	394
525	395
526	396
527	397
528	398
529	399
530	399
531	400
532	400
533	400
534	401
535	402
536	403
537	403
538	404
539	404
540	405
541	406
542	407
543	408
544	408
545	408
546	409
547	410
548	411
549	411
550	412
551	413
552	413
553	413
554	414
555	415
556	416
557	417
558	418
559	419
560	419
561	419
562	420
563	421
564	422
565	423
566	423
567	424
568	424
569	425
570	426
571	427
572	428
573	428
574	429
575	430
576	430
577	430
578	431
579	432
580	433
581	433
582	434
583	435
584	436
585	437
586	438
587	438
588	439
589	440
590	441
591	441
592	442
593	443
594	443
595	444
596	444
597	444
598	445
599	445
600	445
601	446
602	447
603	448
604	449
605	450
606	451
607	452
608	453
609	453
610	453
611	453
612	453
613	454
614	454
615	454
616	454
617	454
618	455
619	455
620	455
621	456
622	456
623	457
624	458
625	458
626	459
627	460
628	460
629	461
630	462
631	462
632	463
633	463
634	463
635	464
636	465
637	466
638	466
639	467
640	467
641	468
642	469
643	470
644	470
645	471
646	471
647	472
648	473
649	474
650	475
651	476
652	477
653	478
654	479
655	479
656	480
657	480
658	480
659	480
660	481
661	482
662	482
663	483
664	483
665	484
666	484
667	485
668	485
669	486
670	487
671	487
672	488
673	489
674	489
675	489
676	489
677	489
678	489
679	489
680	489
681	490
682	490
683	490
684	491
685	492
686	492
687	492
688	492
689	493
690	494
691	494
692	494
693	494
694	495
695	495
696	495
697	495
698	496
699	497
700	498
701	499
702	500
703	501
704	501
705	502
706	503
707	503
708	504
709	505
710	506
711	507
712	507
713	507
714	507
715	508
716	508
717	509
718	510
719	511
720	512
721	513
722	513
723	514
724	515
725	515
726	516
727	517
728	517
729	518
730	519
731	520
732	521
733	522
734	523
735	523
736	524
737	524
738	524
739	525
740	525
741	525
742	526
743	527
744	527
745	528
746	529
747	529
748	530
749	531
750	532
751	533
752	534
753	534
754	534
755	535
756	536
757	537
758	538
759	539
760	540
761	541
762	541
763	541
764	542
765	543
766	543
767	543
768	544
769	545
770	546
771	547
772	548
773	548
774	549
775	550
776	551
777	552
778	553
779	553
780	554
781	555
782	556
783	557
784	557
785	558
786	559
787	560
788	561
789	562
790	562
791	563
792	563
793	564
794	565
795	565
796	566
797	567
798	568
799	568
800	569
801	569
802	570
803	571
804	571
805	571
806	572
807	573
808	574
809	574
810	574
811	574
812	575
813	576
814	576
815	576
816	576
817	576
818	576
819	576
820	577
821	577
822	578
823	579
824	579
825	580
826	580
827	580
828	580
829	581
830	581
831	582
832	582
833	583
834	584
835	584
836	584
837	585
838	585
839	586
840	587
841	588
842	589
