N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	18
18	19
19	20
20	21
21	22
22	23
23	23
24	24
25	25
26	26
27	27
28	28
29	29
30	30
31	30
32	31
33	32
34	33
35	34
36	34
37	35
38	36
39	37
40	37
41	38
42	39
43	40
44	41
45	42
46	42
47	43
48	44
49	45
50	46
51	47
52	48
53	48
54	48
55	49
56	50
57	50
58	51
59	52
60	53
61	54
62	55
63	56
64	57
65	58
66	59
67	60
68	61
69	62
70	63
71	63
72	64
73	65
74	66
75	67
76	68
77	69
78	70
79	71
80	72
81	73
82	74
83	75
84	76
85	77
86	78
87	79
88	80
89	80
90	81
91	82
92	83
93	84
94	84
95	85
96	86
97	87
98	88
99	89
100	90
101	91
102	92
103	93
104	94
105	95
106	96
107	97
108	98
109	99
110	99
111	100
112	101
113	102
114	103
115	104
116	105
117	106
118	107
119	107
120	108
121	109
122	109
123	109
124	109
125	110
126	111
127	112
128	113
129	114
130	115
131	116
132	117
133	118
134	119
135	119
136	120
137	120
138	121
139	122
140	123
141	124
142	124
143	125
144	126
145	127
146	128
147	129
148	130
149	131
150	132
151	133
152	134
153	135
154	136
155	137
156	138
157	139
158	140
159	140
160	141
161	142
162	143
163	144
164	145
165	146
166	147
167	148
168	149
169	150
170	151
171	151
172	151
173	151
174	151
175	151
176	152
177	153
178	154
179	155
180	156
181	157
182	157
183	158
184	159
185	160
186	161
187	162
188	163
189	164
190	165
191	166
192	166
193	166
194	167
195	168
196	169
197	169
198	170
199	171
200	172
201	172
202	173
203	174
204	175
205	176
206	176
207	177
208	178
209	179
210	180
211	181
212	181
213	182
214	182
215	182
216	182
217	182
218	183
219	184
220	185
221	186
222	187
223	187
224	188
225	189
226	190
227	191
228	192
229	192
230	193
231	194
232	195
233	196
234	197
235	198
236	198
237	199
238	200
239	200
240	201
241	202
242	203
243	203
244	203
245	204
246	205
247	205
248	206
249	207
250	208
251	209
252	210
253	211
254	212
255	213
256	213
257	214
258	215
259	215
260	216
261	216
262	217
263	217
264	217
265	218
266	219
267	219
268	220
269	221
270	222
271	223
272	224
273	224
274	225
275	226
276	227
277	227
278	228
279	228
280	228
281	229
282	230
283	231
284	231
285	231
286	232
287	233
288	234
289	234
290	235
291	236
292	236
293	237
294	238
295	239
296	239
297	240
298	240
299	240
300	240
301	240
302	240
303	240
304	241
305	242
306	242
307	243
308	244
309	245
310	246
311	246
312	246
313	247
314	248
315	248
316	249
317	250
318	251
319	252
320	252
321	253
322	254
323	255
324	255
325	256
326	257
327	258
328	259
329	259
330	260
331	260
332	261
333	261
334	261
335	262
336	263
337	264
338	265
339	266
340	267
341	268
342	269
343	269
344	270
345	270
346	270
347	271
348	271
349	272
350	273
351	273
352	274
353	274
354	274
355	275
356	276
357	277
358	278
359	278
360	279
361	280
362	281
363	282
364	283
365	284
366	285
367	285
368	285
369	286
370	287
371	287
372	287
373	288
374	289
375	290
376	290
377	291
378	292
379	293
380	293
381	293
382	294
383	295
384	295
385	296
386	297
387	297
388	297
389	297
390	298
391	298
392	299
393	300
394	301
395	302
396	303
397	304
398	305
399	306
400	306
401	307
402	307
403	307
404	307
405	307
406	307
407	308
408	309
409	310
410	310
411	310
412	311
413	312
414	312
415	313
416	314
417	315
418	316
419	317
420	318
421	319
422	319
423	320
424	321
425	322
426	323
427	323
428	324
429	325
430	326
431	327
432	327
433	327
434	327
435	327
436	328
437	328
438	328
439	328
440	329
441	330
442	331
443	332
444	332
445	333
446	333
447	334
448	334
449	335
450	336
451	336
452	337
453	338
454	338
455	338
456	339
457	339
458	339
459	340
460	340
461	340
462	340
463	341
464	342
465	342
466	342
467	343
468	344
469	345
470	345
471	345
472	346
473	347
474	348
475	349
476	350
477	351
478	351
479	351
480	351
481	352
482	353
483	354
484	355
485	356
486	357
487	358
488	359
489	360
490	361
491	361
492	362
493	363
494	364
495	365
496	365
497	366
498	366
499	367
500	367
501	368
502	369
503	370
504	371
505	371
506	372
507	372
508	373
509	374
510	375
511	375
512	376
513	376
514	377
515	378
516	378
517	379
518	380
519	381
520	381
521	382
522	383
523	383
524	383
525	383
526	384
527	384
528	385
529	386
530	387
531	387
532	387
533	388
534	388
535	388
536	388
537	389
538	390
539	391
540	392
541	393
542	394
543	395
544	396
545	397
546	398
547	398
548	399
549	400
550	401
551	402
552	402
553	403
554	404
555	404
556	405
557	406
558	407
559	408
560	408
561	409
562	409
563	410
564	411
565	411
566	411
567	412
568	413
569	414
570	415
571	415
572	416
573	416
574	416
575	417
576	417
577	418
578	419
579	420
580	421
581	422
582	423
583	423
584	423
585	424
586	424
587	424
588	425
589	426
590	427
591	427
592	427
593	428
594	429
595	429
596	430
597	431
598	431
599	432
600	432
601	433
602	434
603	434
604	434
605	435
606	435
607	436
608	437
609	437
610	438
611	438
612	439
613	440
614	440
615	441
616	442
617	443
618	444
619	445
620	446
621	446
622	446
623	447
624	447
625	447
626	447
627	448
628	449
629	450
630	451
631	452
632	452
633	453
634	454
635	454
636	455
637	456
638	457
639	457
640	458
641	458
642	458
643	459
644	460
645	461
646	461
647	461
648	461
649	461
650	462
651	463
652	464
653	465
654	466
655	467
656	468
657	469
658	470
659	471
660	471
661	471
662	472
663	472
664	472
665	473
666	474
667	474
668	475
669	476
670	477
671	478
672	478
673	479
674	480
675	481
676	482
677	483
678	484
679	485
680	485
681	485
682	486
683	487
684	487
685	488
686	489
687	489
688	489
689	490
690	491
691	492
692	492
693	493
694	494
695	494
696	495
697	496
698	496
699	497
700	497
701	498
702	498
703	499
704	500
705	500
706	500
707	501
708	501
709	502
710	502
711	503
712	503
713	503
714	504
715	505
716	506
717	507
718	507
719	508
720	509
721	509
722	509
723	510
724	511
725	512
726	513
727	514
728	515
729	516
730	517
731	517
732	518
733	519
734	520
735	521
736	522
737	522
738	522
739	523
740	524
741	525
742	525
743	526
744	527
745	528
746	529
747	529
748	530
749	531
750	532
751	533
752	534
753	535
754	536
755	536
756	537
757	538
758	539
759	540
760	540
761	540
762	541
763	541
764	541
765	541
766	541
767	542
768	542
769	543
770	543
771	543
772	543
773	544
774	544
775	544
776	544
777	545
778	546
779	546
780	546
781	547
782	548
783	549
784	549
785	549
786	549
787	549
788	549
789	550
790	550
791	551
792	552
793	552
794	552
795	553
796	553
797	554
798	554
799	554
800	555
