N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	12
13	12
14	13
15	13
16	14
17	15
18	16
19	17
20	18
21	18
22	19
23	19
24	20
25	21
26	22
27	23
28	24
29	25
30	26
31	27
32	28
33	29
34	30
35	30
36	31
37	32
38	33
39	33
40	34
41	35
42	36
43	37
44	38
45	39
46	40
47	41
48	42
49	43
50	44
51	45
52	46
53	47
54	48
55	49
56	50
57	50
58	50
59	50
60	50
61	51
62	51
63	51
64	52
65	53
66	54
67	55
68	56
69	56
70	57
71	58
72	59
73	60
74	60
75	61
76	62
77	63
78	64
79	65
80	66
81	67
82	67
83	68
84	69
85	70
86	71
87	72
88	73
89	73
90	74
91	75
92	76
93	77
94	78
95	78
96	78
97	78
98	78
99	79
100	79
101	79
102	79
103	80
104	81
105	82
106	83
107	84
108	85
109	86
110	86
111	87
112	88
113	89
114	90
115	91
116	92
117	92
118	93
119	94
120	95
121	96
122	97
123	98
124	99
125	100
126	101
127	101
128	101
129	102
130	102
131	103
132	104
133	105
134	105
135	106
136	106
137	106
138	107
139	108
140	109
141	110
142	110
143	111
144	112
145	113
146	114
147	114
148	115
149	116
150	117
151	118
152	118
153	119
154	120
155	121
156	121
157	121
158	122
159	122
160	123
161	124
162	125
163	126
164	126
165	127
166	128
167	129
168	129
169	129
170	129
171	129
172	129
173	129
174	129
175	130
176	130
177	131
178	132
179	132
180	133
181	133
182	134
183	135
184	136
185	136
186	137
187	138
188	139
189	140
190	141
191	142
192	143
193	144
194	144
195	145
196	145
197	146
198	146
199	147
200	148
201	148
202	148
203	149
204	149
205	149
206	149
207	149
208	149
209	150
210	151
211	152
212	152
213	152
214	152
215	152
216	152
217	153
218	154
219	155
220	155
221	156
222	156
223	156
224	157
225	158
226	158
227	158
228	158
229	159
230	159
231	160
232	161
233	162
234	163
235	163
236	163
237	164
238	165
239	165
240	165
241	166
242	167
243	168
244	169
245	170
246	171
247	172
248	172
249	173
250	174
251	174
252	175
253	176
254	177
255	177
256	178
257	179
258	180
259	180
260	181
261	181
262	181
263	181
264	182
265	183
266	183
267	184
268	185
269	185
270	185
271	186
272	187
273	188
274	189
275	189
276	190
277	191
278	192
279	192
280	193
281	194
282	194
283	195
284	195
285	196
286	197
287	198
288	198
289	198
290	198
291	199
292	200
293	200
294	201
295	201
296	201
297	201
298	202
299	202
300	203
301	204
302	205
303	206
304	207
305	207
306	208
307	209
308	210
309	211
310	212
311	213
312	214
313	215
314	216
315	216
316	216
317	216
318	216
319	216
320	217
321	218
322	219
323	220
324	220
325	221
326	222
327	222
328	223
329	223
330	223
331	223
332	224
333	225
334	225
335	226
336	227
337	227
338	228
339	228
340	229
341	229
342	229
343	230
344	230
345	230
346	230
347	231
348	232
349	232
350	233
351	233
352	234
353	235
354	236
355	237
356	237
357	237
358	238
359	239
360	239
361	239
362	240
363	241
364	242
365	242
366	242
367	243
368	244
369	245
370	246
371	247
372	248
373	248
374	249
375	250
376	250
377	251
378	251
379	251
380	252
381	252
382	253
383	253
384	254
385	255
386	256
387	256
388	257
389	257
390	258
391	258
392	259
393	259
394	260
395	261
396	261
397	261
398	262
399	262
400	263
401	264
402	265
403	266
404	267
405	267
406	268
407	268
408	269
409	269
410	269
411	269
412	270
413	271
414	271
415	271
416	271
417	272
418	273
419	273
420	273
421	274
422	275
423	276
424	276
425	276
426	277
427	277
428	277
429	278
430	278
431	279
432	279
433	280
434	281
435	281
436	282
437	282
438	282
439	282
440	283
441	283
442	283
443	284
444	284
445	285
446	286
447	286
448	286
449	286
450	286
451	287
452	288
453	288
454	289
455	289
456	289
457	289
458	290
459	290
460	290
461	291
462	292
463	293
464	294
465	294
466	295
467	295
468	295
469	296
470	297
471	298
472	299
473	299
474	299
475	300
476	300
477	301
478	301
479	301
480	301
481	302
482	302
483	303
484	304
485	304
486	305
487	306
488	307
489	307
490	308
491	308
492	309
493	309
494	309
495	309
496	310
497	310
498	310
499	310
500	310
501	310
502	310
503	310
504	311
505	311
506	311
507	311
508	312
509	312
510	312
511	312
512	312
513	313
514	313
515	313
516	314
517	315
518	315
519	315
520	315
521	316
522	316
523	317
524	317
525	317
526	318
527	319
528	319
529	319
530	319
531	320
532	320
533	320
534	321
535	322
536	322
537	323
538	324
539	325
540	326
541	326
542	326
543	326
544	327
545	328
546	329
547	330
548	331
549	332
550	333
551	334
552	334
553	334
554	334
555	335
556	335
557	336
558	337
559	337
560	337
561	337
562	337
563	338
564	339
565	339
566	340
567	340
568	340
569	340
570	340
571	341
572	342
573	342
574	343
575	344
576	344
577	344
578	345
579	346
580	346
581	347
582	347
583	348
584	348
585	349
586	350
587	351
588	351
589	352
590	353
591	354
592	355
593	356
594	357
595	357
596	357
597	357
598	357
599	358
600	358
601	359
602	360
603	360
604	360
605	360
606	361
607	361
608	361
609	361
610	361
611	362
612	362
613	363
614	364
615	365
616	365
617	366
618	366
619	366
620	366
621	367
622	368
623	369
624	369
625	370
626	371
627	371
628	371
629	371
630	371
631	372
632	373
633	374
634	375
635	375
636	376
637	376
638	376
639	377
640	377
641	378
642	379
643	380
644	380
645	381
646	382
647	383
648	384
649	385
650	386
651	387
652	388
653	389
654	389
655	389
656	390
657	391
658	392
659	392
660	393
661	394
662	395
663	395
664	395
665	395
666	395
667	395
668	395
669	396
670	397
671	398
672	398
673	399
674	399
675	400
676	400
677	400
678	400
679	401
680	401
681	401
682	401
683	401
684	402
685	403
686	404
687	404
688	404
689	405
690	406
691	407
692	408
693	408
694	408
695	409
696	409
697	409
698	410
699	410
700	410
701	411
702	411
703	411
704	411
705	411
706	411
707	411
708	411
709	412
710	412
711	412
712	412
713	412
714	412
715	412
716	412
717	413
718	414
719	414
720	414
721	414
722	415
723	415
724	415
725	415
726	415
727	415
728	415
729	415
730	415
731	415
732	415
733	415
734	415
735	415
736	416
737	416
738	417
739	418
740	419
741	419
742	420
743	420
744	420
745	420
746	420
747	421
748	421
749	421
750	421
751	421
752	421
753	422
754	422
755	423
756	424
757	424
758	424
759	424
760	425
761	425
762	425
763	426
764	426
765	427
766	427
767	428
768	428
769	428
770	428
771	429
772	429
773	429
774	429
775	429
776	429
777	429
778	429
779	429
780	429
781	429
782	429
783	429
784	430
785	431
786	431
787	432
788	432
789	433
790	433
791	434
792	434
793	434
794	434
795	435
796	435
797	436
798	436
799	436
800	437
801	438
802	438
803	439
804	439
805	440
806	440
807	440
808	440
809	441
810	441
811	442
812	442
813	443
814	443
815	443
816	443
817	443
818	443
819	443
820	444
821	445
822	445
823	446
824	446
825	446
826	447
827	448
828	449
829	450
830	450
831	451
832	452
833	453
834	454
835	455
836	455
837	456
838	456
839	456
840	456
841	456
842	457
843	458
844	458
845	459
846	459
847	460
848	460
849	461
850	462
851	462
852	462
853	462
854	462
855	462
856	463
857	463
858	463
859	464
860	465
861	466
862	467
863	468
864	469
865	470
866	470
867	470
868	470
869	471
870	471
871	471
872	472
873	472
874	473
875	473
876	473
877	473
878	473
879	474
880	475
881	475
882	476
883	476
884	476
885	477
886	477
887	478
888	478
889	479
890	479
891	479
892	479
893	479
894	480
895	480
896	480
897	481
898	482
899	482
900	482
901	482
902	483
903	484
904	484
905	484
906	485
907	486
908	486
909	486
910	486
911	486
912	486
913	487
914	487
915	487
916	487
917	487
918	487
919	487
920	488
921	488
922	489
923	489
924	489
925	489
926	490
927	490
928	491
929	492
