N	V
0	1
1	2
2	3
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	15
17	16
18	17
19	18
20	18
21	18
22	19
23	20
24	21
25	22
26	23
27	24
28	25
29	26
30	27
31	27
32	28
33	28
34	28
35	29
36	30
37	30
38	30
39	31
40	32
41	32
42	33
43	34
44	35
45	36
46	37
47	37
48	37
49	38
50	39
51	40
52	41
53	41
54	42
55	43
56	44
57	45
58	45
59	46
60	47
61	47
62	48
63	49
64	50
65	51
66	52
67	53
68	54
69	54
70	54
71	54
72	55
73	56
74	56
75	57
76	58
77	59
78	59
79	59
80	60
81	61
82	62
83	63
84	64
85	65
86	66
87	67
88	68
89	69
90	70
91	71
92	71
93	71
94	72
95	73
96	73
97	73
98	73
99	74
100	75
101	76
102	77
103	78
104	79
105	79
106	79
107	80
108	81
109	82
110	83
111	84
112	85
113	85
114	86
115	87
116	87
117	88
118	88
119	89
120	89
121	90
122	91
123	92
124	93
125	94
126	95
127	95
128	96
129	97
130	98
131	99
132	100
133	101
134	102
135	102
136	103
137	104
138	104
139	105
140	106
141	107
142	107
143	107
144	108
145	108
146	108
147	108
148	109
149	110
150	110
151	111
152	112
153	112
154	112
155	113
156	114
157	114
158	115
159	115
160	116
161	117
162	118
163	119
164	119
165	119
166	120
167	121
168	121
169	122
170	123
171	123
172	123
173	124
174	125
175	125
176	126
177	127
178	128
179	128
180	129
181	130
182	131
183	131
184	132
185	133
186	133
187	133
188	134
189	135
190	136
191	136
192	137
193	138
194	138
195	138
196	139
197	139
198	140
199	140
200	141
201	141
202	142
203	143
204	144
205	144
206	145
207	145
208	146
209	146
210	147
211	148
212	149
213	149
214	150
215	150
216	150
217	150
218	150
219	151
220	151
221	152
222	152
223	152
224	152
225	152
226	152
227	152
228	152
229	152
230	152
231	152
232	153
233	154
234	154
235	154
236	154
237	154
238	154
239	154
240	154
241	154
242	154
243	154
244	154
245	154
246	154
247	154
248	154
249	154
250	154
251	154
252	155
253	156
254	156
255	157
256	158
257	159
258	159
259	159
260	160
261	160
262	160
263	161
264	161
265	161
266	161
267	161
268	162
269	163
270	164
271	165
272	166
273	166
274	166
275	167
276	167
277	168
278	169
279	169
280	169
281	169
282	170
283	170
284	170
285	170
286	171
287	172
288	172
289	173
290	173
291	174
292	175
293	176
294	176
295	176
296	177
297	178
298	178
299	179
300	180
301	180
302	181
303	182
304	183
305	183
306	184
307	185
308	185
309	185
310	185
311	185
312	186
313	186
314	187
315	187
316	187
317	187
318	187
319	188
320	189
321	189
322	190
323	190
324	190
325	190
326	190
327	190
328	191
329	191
330	191
331	191
332	191
333	191
334	192
335	193
336	194
337	194
338	194
339	194
340	194
341	195
342	196
343	196
344	196
345	196
346	196
347	197
348	198
349	198
350	198
351	198
352	199
353	200
354	200
355	201
356	201
357	201
358	201
359	202
360	202
361	203
362	204
363	205
364	206
365	206
366	207
367	207
368	208
369	208
370	208
371	209
372	209
373	210
374	211
375	212
376	212
377	212
378	212
379	213
380	213
381	213
382	214
383	214
384	214
385	215
386	215
387	216
388	216
389	216
390	217
391	218
392	219
393	220
394	220
395	221
396	222
397	223
398	223
399	223
400	224
401	224
402	224
403	225
404	226
405	226
406	226
407	227
408	228
409	229
410	230
411	231
412	231
413	231
414	231
415	232
416	233
417	233
418	234
419	234
420	234
421	235
422	235
423	235
424	236
425	236
426	236
427	237
428	238
429	238
430	238
431	239
432	240
433	240
434	240
435	240
436	240
437	241
438	242
439	243
440	243
441	243
442	243
443	244
444	244
445	245
446	246
447	247
448	247
449	248
450	249
451	249
452	249
453	249
454	250
455	250
456	251
457	252
458	252
459	252
460	252
461	253
462	253
463	254
464	255
465	256
466	256
467	256
468	256
469	257
470	258
471	258
472	258
473	258
474	258
475	259
476	259
477	260
478	261
479	262
480	262
481	262
482	262
483	262
484	262
485	263
486	263
487	263
488	263
489	263
490	263
491	263
492	264
493	264
494	265
495	266
496	266
497	266
498	266
499	266
500	266
501	266
502	267
503	267
504	267
505	268
506	269
507	270
508	271
509	272
510	273
511	274
512	274
513	275
514	276
515	276
516	276
517	277
518	277
519	277
520	277
521	277
522	277
523	277
524	277
525	277
526	277
527	277
528	277
529	278
530	279
531	280
532	280
533	280
534	281
535	282
536	282
537	282
538	283
539	284
540	284
541	284
542	285
543	285
544	285
545	286
546	287
547	287
548	288
549	288
550	289
551	289
552	289
553	289
554	289
555	289
556	289
557	289
558	289
559	289
560	289
561	290
562	290
563	290
564	290
565	291
566	291
567	291
568	291
569	291
570	292
571	292
572	293
573	293
574	293
575	293
576	293
577	293
578	293
579	294
580	295
581	295
582	296
583	296
584	297
585	297
586	297
587	298
588	298
589	299
590	300
591	300
592	300
593	300
594	300
595	301
596	301
597	301
598	301
599	301
600	301
601	301
602	302
603	302
604	302
605	303
606	303
607	303
608	303
609	304
610	304
611	304
612	304
613	305
614	305
615	306
616	307
617	308
618	308
619	309
620	310
621	311
622	312
623	312
624	312
625	312
626	312
627	312
628	312
629	312
630	312
631	313
632	314
633	314
634	315
635	316
636	316
637	316
638	317
639	318
640	318
641	319
642	319
643	319
644	319
645	319
646	319
647	319
648	320
649	321
650	322
651	322
652	322
653	322
654	322
655	322
656	322
657	322
658	322
659	323
660	324
661	324
662	325
663	325
664	325
665	326
666	327
667	327
668	328
669	328
670	329
671	329
672	329
673	329
674	329
675	329
676	329
677	329
678	329
679	329
680	330
681	331
682	331
683	332
684	332
685	332
686	332
687	332
688	333
689	333
690	334
691	334
692	334
693	334
694	334
695	334
696	335
697	335
698	335
699	335
700	336
701	337
702	337
703	337
704	337
705	338
706	339
707	340
708	340
709	340
710	340
711	340
712	341
713	342
714	343
715	344
716	345
717	346
718	346
719	346
720	347
721	348
722	349
723	349
724	350
725	350
726	351
727	351
728	351
729	352
730	352
731	353
732	353
733	353
734	354
735	354
736	355
737	355
738	356
739	356
740	356
741	357
742	358
743	359
744	359
745	359
746	360
747	361
748	362
749	363
750	364
751	364
752	364
753	364
754	364
755	364
756	364
757	364
758	364
759	365
760	366
761	367
762	367
763	367
764	368
765	369
766	369
767	369
768	370
769	370
770	371
771	371
772	372
773	372
774	373
775	373
776	373
777	373
778	373
779	373
780	373
781	374
782	374
783	375
784	376
785	377
786	377
787	377
788	378
789	378
790	379
791	380
792	380
793	381
794	382
795	383
796	383
797	383
798	384
799	385
800	386
801	386
802	387
803	387
804	387
805	388
806	388
807	389
808	389
809	389
810	390
811	390
812	390
813	391
814	392
815	392
816	392
817	392
818	392
819	392
820	393
821	393
822	393
823	393
824	394
825	394
826	394
827	394
828	395
829	395
830	395
831	396
832	396
833	396
834	396
835	396
836	397
837	397
838	397
839	397
840	397
841	398
842	398
843	398
844	399
845	399
846	400
847	400
848	401
849	402
850	402
851	403
852	404
853	404
854	404
855	404
856	404
857	404
858	404
859	404
860	404
861	404
862	405
863	405
864	405
865	405
866	405
867	406
868	406
869	406
870	406
871	406
872	406
873	406
874	406
875	407
876	408
877	408
878	409
879	410
880	410
881	410
882	411
883	411
884	411
885	411
886	411
887	412
888	412
889	413
890	413
891	413
892	413
893	413
894	413
895	413
896	413
897	413
898	413
899	413
900	413
901	414
902	414
903	414
904	414
905	414
906	415
907	415
908	415
909	416
910	417
911	417
912	418
913	418
914	419
915	419
916	420
917	420
918	420
919	420
920	420
921	420
922	420
923	420
924	421
925	421
926	422
927	422
928	423
929	424
930	424
931	424
932	425
933	426
934	426
935	426
936	426
937	426
938	426
939	427
940	428
941	428
942	429
943	429
944	430
945	430
946	430
947	431
948	431
949	431
950	432
951	432
952	432
953	433
954	434
955	434
956	435
957	435
958	436
959	436
960	436
961	436
962	436
963	436
