N	V
0	1
1	2
2	3
3	4
4	5
5	5
6	6
7	7
8	7
9	8
10	9
11	10
12	11
13	12
14	13
15	14
16	15
17	16
18	17
19	17
20	17
21	18
22	19
23	20
24	21
25	22
26	23
27	23
28	23
29	24
30	25
31	25
32	26
33	26
34	26
35	27
36	28
37	29
38	30
39	30
40	31
41	32
42	33
43	34
44	35
45	36
46	37
47	38
48	39
49	40
50	41
51	41
52	41
53	41
54	42
55	43
56	44
57	45
58	46
59	47
60	48
61	49
62	50
63	50
64	51
65	52
66	53
67	53
68	54
69	55
70	56
71	57
72	58
73	58
74	59
75	60
76	61
77	62
78	62
79	63
80	63
81	63
82	64
83	65
84	66
85	67
86	68
87	69
88	70
89	71
90	72
91	73
92	74
93	74
94	75
95	76
96	77
97	78
98	79
99	79
100	80
101	80
102	80
103	80
104	81
105	82
106	82
107	83
108	83
109	84
110	85
111	86
112	87
113	88
114	88
115	89
116	90
117	91
118	92
119	92
120	92
121	93
122	94
123	94
124	95
125	96
126	97
127	97
128	98
129	98
130	98
131	99
132	100
133	101
134	101
135	102
136	102
137	102
138	103
139	104
140	105
141	105
142	106
143	107
144	107
145	108
146	108
147	108
148	108
149	108
150	109
151	110
152	111
153	112
154	112
155	113
156	114
157	115
158	116
159	117
160	118
161	119
162	120
163	121
164	121
165	122
166	122
167	123
168	124
169	125
170	126
171	126
172	127
173	128
174	128
175	129
176	130
177	131
178	132
179	133
180	134
181	135
182	136
183	137
184	138
185	138
186	139
187	139
188	140
189	141
190	141
191	141
192	142
193	143
194	143
195	143
196	144
197	145
198	146
199	146
200	147
201	148
202	149
203	150
204	150
205	151
206	151
207	152
208	153
209	154
210	154
211	155
212	156
213	157
214	158
215	159
216	159
217	159
218	159
219	159
220	160
221	161
222	162
223	163
224	164
225	165
226	165
227	166
228	166
229	167
230	167
231	167
232	168
233	169
234	169
235	169
236	169
237	169
238	169
239	170
240	171
241	171
242	172
243	173
244	173
245	173
246	174
247	175
248	175
249	175
250	175
251	175
252	175
253	175
254	175
255	175
256	175
257	176
258	176
259	176
260	177
261	177
262	178
263	178
264	178
265	179
266	180
267	181
268	182
269	182
270	183
271	184
272	185
273	185
274	185
275	185
276	185
277	186
278	186
279	187
280	188
281	189
282	190
283	190
284	190
285	190
286	190
287	191
288	191
289	191
290	192
291	193
292	194
293	194
294	195
295	195
296	195
297	196
298	196
299	197
300	198
301	199
302	199
303	200
304	201
305	202
306	203
307	204
308	205
309	206
310	206
311	207
312	208
313	208
314	209
315	210
316	211
317	211
318	211
319	211
320	211
321	212
322	213
323	213
324	214
325	215
326	216
327	217
328	218
329	219
330	220
331	221
332	222
333	223
334	224
335	225
336	226
337	227
338	228
339	229
340	229
341	229
342	230
343	231
344	231
345	231
346	231
347	231
348	231
349	231
350	231
351	231
352	232
353	233
354	234
355	235
356	235
357	236
358	237
359	237
360	238
361	238
362	238
363	238
364	239
365	240
366	240
367	241
368	242
369	243
370	243
371	243
372	244
373	244
374	244
375	245
376	245
377	245
378	245
379	246
380	246
381	247
382	247
383	247
384	247
385	247
386	247
387	247
388	247
389	247
390	248
391	249
392	250
393	251
394	252
395	252
396	253
397	253
398	254
399	254
400	255
401	256
402	257
403	257
404	257
405	258
406	258
407	259
408	259
409	259
410	260
411	261
412	261
413	261
414	261
415	262
416	262
417	263
418	263
419	263
420	263
421	264
422	264
423	264
424	264
425	265
426	265
427	265
428	265
429	265
430	266
431	267
432	267
433	268
434	268
435	269
436	269
437	270
438	271
439	271
440	272
441	272
442	272
443	273
444	274
445	275
446	275
447	275
448	276
449	277
450	278
451	278
452	279
453	279
454	280
455	280
456	281
457	282
458	282
459	282
460	282
461	282
462	283
463	283
464	283
465	284
466	285
467	286
468	286
469	287
470	287
471	287
472	288
473	289
474	289
475	289
476	290
477	290
478	290
479	290
480	291
481	291
482	292
483	293
484	293
485	294
486	294
487	294
488	294
489	294
490	294
491	294
492	294
493	294
494	294
495	294
496	294
497	294
498	294
499	294
500	294
501	295
502	296
503	297
504	297
505	298
506	299
507	299
508	300
509	300
510	300
511	301
512	302
513	303
514	303
515	304
516	304
517	304
518	304
519	304
520	304
521	305
522	305
523	305
524	306
525	306
526	306
527	307
528	308
529	309
530	309
531	309
532	309
533	309
534	309
535	310
536	311
537	312
538	312
539	313
540	313
541	313
542	313
543	313
544	313
545	313
546	314
547	315
548	316
549	317
550	317
551	317
552	317
553	317
554	318
555	319
556	319
557	319
558	319
559	320
560	320
561	321
562	321
563	322
564	322
565	323
566	323
567	323
568	324
569	325
570	326
571	326
572	326
573	327
574	328
575	328
576	329
577	330
578	330
579	330
580	331
581	331
582	331
583	332
584	332
585	332
586	333
587	334
588	335
589	335
590	336
591	336
592	337
593	338
594	339
595	340
596	340
597	341
598	341
599	341
600	341
601	341
602	341
603	341
604	341
605	341
606	342
607	343
608	343
609	344
610	344
611	345
612	346
613	347
614	348
615	349
616	349
617	349
618	350
619	351
620	352
621	353
622	354
623	355
624	356
625	356
626	356
627	356
628	356
629	356
630	357
631	358
632	359
633	360
634	360
635	361
636	362
637	363
638	363
639	364
640	364
641	364
642	365
643	366
644	366
645	366
646	366
647	366
648	366
649	367
650	368
651	369
652	369
653	370
654	370
655	370
656	371
657	371
658	372
659	373
660	374
661	374
662	374
663	375
664	375
665	376
666	376
667	376
668	376
669	376
670	376
671	376
672	377
673	377
674	377
675	377
676	377
677	378
678	378
679	378
680	378
681	379
682	380
683	380
684	380
685	380
686	380
687	380
688	381
689	381
690	381
691	381
692	382
693	382
694	382
695	382
696	383
697	384
698	385
699	385
700	385
701	385
702	385
703	386
704	387
705	387
706	387
707	387
708	387
709	387
710	387
711	387
712	388
713	388
714	388
715	388
716	388
717	388
718	388
719	388
720	388
721	389
722	389
723	390
724	390
725	390
726	390
727	391
728	392
729	392
730	392
731	393
732	394
733	394
734	395
735	396
736	397
737	398
738	398
739	399
740	399
741	399
742	399
743	400
744	401
745	402
746	402
747	402
748	402
749	403
750	403
751	403
752	404
753	404
754	404
755	404
756	404
757	404
758	404
759	404
760	404
761	404
762	405
763	405
764	405
765	405
766	405
767	405
768	405
769	405
770	405
771	405
772	405
773	406
774	406
775	406
776	407
777	407
778	408
779	409
780	409
781	409
782	410
783	410
784	411
785	412
786	413
787	413
788	413
789	414
790	414
791	415
792	416
793	416
794	417
795	418
796	418
797	418
798	418
799	419
800	420
801	420
802	421
803	421
804	421
805	421
806	422
807	422
808	423
809	423
810	423
811	424
812	425
813	425
814	425
815	425
816	426
817	426
818	426
819	427
820	427
821	427
822	427
823	428
824	429
825	429
826	429
827	429
828	429
829	429
830	430
831	431
832	431
833	431
834	431
835	431
836	432
837	432
838	432
839	432
840	433
841	434
842	435
843	435
844	435
845	435
846	435
847	436
848	437
849	437
850	438
851	438
852	438
853	438
854	438
855	438
856	438
857	438
858	439
859	440
860	440
861	440
862	440
863	440
864	441
865	441
866	441
867	442
868	443
869	444
870	444
871	445
872	446
873	446
874	447
875	447
876	447
877	447
878	447
879	447
880	448
881	448
882	448
883	448
884	449
885	450
886	450
887	450
888	451
889	451
890	451
891	452
892	452
893	452
894	452
895	453
896	454
897	454
898	455
899	455
900	455
901	455
902	456
903	456
904	457
905	457
906	458
907	458
908	459
909	460
910	460
911	460
912	460
913	461
914	461
915	462
916	462
917	462
918	462
919	462
920	462
921	463
922	463
923	464
924	464
925	464
926	464
927	464
928	464
929	464
930	464
931	465
932	465
933	466
934	466
935	467
936	467
937	467
938	467
939	467
940	467
941	467
942	468
943	469
944	469
945	470
946	470
947	470
948	471
949	472
950	473
951	473
952	474
953	475
954	476
955	476
956	476
957	477
958	477
959	477
960	478
961	478
962	478
963	478
