N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	12
14	12
15	13
16	13
17	14
18	15
19	16
20	17
21	17
22	17
23	18
24	19
25	20
26	21
27	22
28	23
29	24
30	25
31	26
32	27
33	28
34	29
35	30
36	31
37	32
38	33
39	33
40	34
41	35
42	36
43	36
44	37
45	38
46	39
47	39
48	39
49	39
50	40
51	40
52	41
53	42
54	43
55	44
56	45
57	45
58	46
59	47
60	48
61	49
62	50
63	51
64	52
65	53
66	54
67	55
68	56
69	57
70	58
71	59
72	60
73	61
74	62
75	63
76	64
77	65
78	66
79	67
80	67
81	67
82	68
83	69
84	70
85	71
86	72
87	73
88	74
89	75
90	76
91	76
92	77
93	78
94	79
95	80
96	81
97	82
98	83
99	84
100	84
101	85
102	85
103	86
104	87
105	88
106	89
107	90
108	91
109	92
110	92
111	93
112	94
113	95
114	96
115	97
116	97
117	98
118	99
119	100
120	101
121	102
122	103
123	104
124	105
125	106
126	107
127	108
128	108
129	109
130	110
131	111
132	111
133	111
134	112
135	112
136	113
137	114
138	115
139	116
140	117
141	118
142	118
143	119
144	120
145	120
146	121
147	121
148	122
149	123
150	124
151	125
152	126
153	127
154	128
155	129
156	130
157	131
158	132
159	133
160	133
161	134
162	135
163	136
164	137
165	138
166	138
167	138
168	139
169	140
170	141
171	142
172	143
173	143
174	144
175	145
176	146
177	147
178	148
179	148
180	148
181	149
182	150
183	151
184	151
185	152
186	153
187	154
188	154
189	155
190	156
191	157
192	158
193	159
194	160
195	160
196	160
197	160
198	160
199	160
200	160
201	161
202	162
203	163
204	164
205	165
206	166
207	166
208	166
209	167
210	168
211	169
212	169
213	170
214	171
215	172
216	173
217	174
218	175
219	175
220	176
221	177
222	178
223	178
224	178
225	179
226	179
227	180
228	181
229	182
230	183
231	184
232	185
233	186
234	186
235	187
236	188
237	189
238	190
239	191
240	192
241	192
242	193
243	194
244	195
245	196
246	196
247	196
248	196
249	197
250	198
251	199
252	200
253	201
254	202
255	203
256	204
257	205
258	206
259	207
260	208
261	209
262	209
263	210
264	211
265	212
266	213
267	214
268	215
269	215
270	215
271	216
272	217
273	218
274	218
275	219
276	220
277	220
278	221
279	222
280	223
281	224
282	225
283	226
284	227
285	228
286	228
287	228
288	229
289	230
290	231
291	231
292	231
293	232
294	233
295	234
296	235
297	236
298	236
299	236
300	237
301	238
302	238
303	239
304	239
305	240
306	241
307	242
308	243
309	244
310	245
311	246
312	247
313	248
314	248
315	249
316	250
317	250
318	250
319	251
320	252
321	253
322	254
323	254
324	255
325	256
326	257
327	258
328	259
329	259
330	259
331	259
332	260
333	261
334	261
335	262
336	263
337	264
338	264
339	265
340	266
341	267
342	268
343	269
344	270
345	271
346	272
347	272
348	273
349	273
350	274
351	275
352	276
353	277
354	278
355	278
356	279
357	280
358	280
359	281
360	282
361	283
362	283
363	283
364	284
365	285
366	286
367	287
368	287
369	288
370	289
371	289
372	290
373	291
374	292
375	293
376	293
377	293
378	294
379	294
380	295
381	295
382	295
383	295
384	295
385	296
386	297
387	298
388	299
389	300
390	301
391	302
392	302
393	302
394	302
395	302
396	302
397	303
398	304
399	305
400	305
401	306
402	307
403	307
404	307
405	308
406	309
407	310
408	311
409	312
410	312
411	313
412	314
413	315
414	316
415	317
416	318
417	319
418	320
419	321
420	322
421	323
422	323
423	324
424	325
425	325
426	326
427	327
428	328
429	329
430	330
431	331
432	332
433	332
434	333
435	334
436	335
437	336
438	336
439	337
440	338
441	338
442	339
443	339
444	339
445	340
446	340
447	340
448	341
449	342
450	343
451	344
452	345
453	345
454	345
455	346
456	346
457	347
458	348
459	349
460	350
461	350
462	350
463	351
464	352
465	353
466	353
467	353
468	354
469	355
470	356
471	356
472	357
473	358
474	359
475	360
476	360
477	360
478	361
479	361
480	362
481	363
482	364
483	364
484	365
485	365
486	366
487	367
488	368
489	368
490	368
491	369
492	370
493	371
494	371
495	372
496	373
497	374
498	375
499	376
500	376
501	377
502	378
503	379
504	380
505	380
506	381
507	382
508	383
509	383
510	384
511	385
512	386
513	386
514	387
515	387
516	387
517	388
518	389
519	390
520	391
521	392
522	393
523	394
524	395
525	396
526	397
527	398
528	399
529	400
530	401
531	401
532	402
533	403
534	404
535	405
536	405
537	406
538	407
539	407
540	408
541	408
542	409
543	409
544	410
545	411
546	411
547	412
548	412
549	413
550	414
551	414
552	414
553	414
554	415
555	415
556	416
557	417
558	417
559	418
560	418
561	419
562	420
563	421
564	422
565	423
566	424
567	425
568	426
569	426
570	426
571	426
572	426
573	427
574	428
575	428
576	428
577	428
578	429
579	429
580	429
581	430
582	430
583	430
584	430
585	430
586	431
587	432
588	432
589	433
590	434
591	434
592	435
593	435
594	436
595	437
596	438
597	438
598	438
599	438
600	439
601	439
602	440
603	441
604	442
605	442
606	443
607	443
608	444
609	445
610	445
611	446
612	447
613	448
614	448
615	448
616	449
617	449
618	450
619	451
620	452
621	453
622	453
623	454
624	454
625	455
626	456
627	456
628	457
629	458
630	459
631	459
632	459
633	460
634	461
635	461
636	462
637	462
638	462
639	463
640	464
641	464
642	465
643	465
644	465
645	465
646	465
647	466
648	466
649	466
650	466
651	467
652	467
653	467
654	467
655	468
656	469
657	470
658	470
659	471
660	472
661	473
662	474
663	475
664	475
665	476
666	477
667	477
668	478
669	479
670	480
671	480
672	481
673	481
674	482
675	483
676	483
677	484
678	485
679	485
680	486
681	487
682	488
683	489
684	490
685	491
686	492
687	492
688	493
689	494
690	494
691	494
692	495
693	496
694	496
695	497
696	498
697	498
698	498
699	499
700	500
701	501
702	502
703	503
704	503
705	504
706	505
707	506
708	507
709	508
710	509
711	510
712	511
713	511
714	512
715	512
716	513
717	513
718	514
719	515
720	516
721	517
722	518
723	518
724	519
725	520
726	521
727	522
728	523
729	524
730	525
731	526
732	527
733	527
734	527
735	528
736	529
737	530
738	530
739	530
740	531
741	531
742	532
743	533
744	534
745	535
746	535
747	536
748	537
749	537
750	538
751	539
752	540
753	541
754	541
755	542
756	543
757	543
758	544
759	544
760	545
761	546
762	547
763	548
764	549
765	549
766	550
767	550
768	550
769	550
770	551
771	552
772	552
773	552
774	553
775	553
776	554
777	555
778	555
779	556
780	556
781	556
782	556
783	556
784	557
785	557
786	558
787	559
788	559
789	559
790	560
791	561
792	561
793	562
794	562
795	563
