N	V
0	1
1	2
2	3
3	3
4	4
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	11
13	12
14	13
15	14
16	15
17	16
18	17
19	18
20	19
21	20
22	20
23	21
24	21
25	22
26	22
27	23
28	24
29	25
30	25
31	26
32	26
33	26
34	27
35	28
36	28
37	28
38	28
39	29
40	30
41	31
42	32
43	32
44	32
45	33
46	33
47	34
48	35
49	35
50	35
51	36
52	37
53	38
54	39
55	40
56	40
57	41
58	41
59	41
60	42
61	43
62	44
63	45
64	46
65	47
66	48
67	49
68	50
69	50
70	50
71	50
72	51
73	51
74	51
75	52
76	53
77	54
78	55
79	56
80	57
81	58
82	59
83	60
84	60
85	61
86	61
87	62
88	62
89	62
90	62
91	63
92	63
93	64
94	65
95	66
96	66
97	67
98	67
99	68
100	69
101	70
102	71
103	71
104	71
105	72
106	73
107	74
108	75
109	76
110	76
111	77
112	78
113	79
114	80
115	81
116	81
117	82
118	83
119	84
120	85
121	86
122	87
123	88
124	89
125	89
126	90
127	90
128	91
129	92
130	93
131	94
132	95
133	95
134	96
135	96
136	97
137	98
138	98
139	99
140	100
141	101
142	101
143	102
144	102
145	103
146	104
147	104
148	104
149	105
150	106
151	106
152	106
153	107
154	108
155	108
156	108
157	108
158	108
159	109
160	109
161	109
162	109
163	110
164	110
165	110
166	110
167	111
168	111
169	112
170	113
171	114
172	114
173	114
174	115
175	116
176	117
177	118
178	118
179	119
180	120
181	120
182	120
183	121
184	122
185	122
186	122
187	123
188	124
189	125
190	125
191	125
192	125
193	126
194	127
195	127
196	127
197	128
198	128
199	128
200	128
201	128
202	129
203	129
204	130
205	130
206	131
207	131
208	132
209	132
210	132
211	133
212	134
213	135
214	136
215	137
216	138
217	139
218	139
219	139
220	139
221	139
222	139
223	139
224	140
225	140
226	141
227	141
228	141
229	141
230	142
231	142
232	142
233	142
234	143
235	143
236	143
237	143
238	143
239	144
240	144
241	145
242	146
243	146
244	146
245	146
246	147
247	148
248	148
249	148
250	149
251	150
252	151
253	151
254	152
255	152
256	152
257	153
258	154
259	154
260	155
261	156
262	157
263	157
264	158
265	159
266	159
267	159
268	159
269	159
270	160
271	161
272	161
273	161
274	161
275	162
276	163
277	163
278	164
279	164
280	164
281	164
282	164
283	165
284	165
285	166
286	166
287	166
288	167
289	168
290	169
291	170
292	171
293	172
294	173
295	174
296	175
297	175
298	176
299	176
300	177
301	177
302	177
303	177
304	178
305	179
306	179
307	180
308	180
309	181
310	181
311	181
312	182
313	183
314	183
315	184
316	184
317	184
318	185
319	186
320	186
321	187
322	188
323	189
324	189
325	190
326	190
327	191
328	192
329	192
330	193
331	194
332	195
333	196
334	197
335	198
336	198
337	198
338	198
339	199
340	199
341	200
342	201
343	202
344	202
345	202
346	202
347	202
348	203
349	204
350	205
351	206
352	206
353	206
354	207
355	208
356	208
357	208
358	209
359	209
360	210
361	210
362	211
363	211
364	211
365	212
366	213
367	213
368	213
369	213
370	213
371	214
372	215
373	216
374	216
375	217
376	218
377	219
378	220
379	220
380	221
381	221
382	221
383	221
384	221
385	222
386	223
387	224
388	224
389	224
390	225
391	226
392	227
393	227
394	227
395	227
396	227
397	228
398	229
399	230
400	231
401	231
402	231
403	231
404	232
405	232
406	233
407	234
408	234
409	234
410	235
411	236
412	236
413	236
414	236
415	237
416	237
417	237
418	238
419	239
420	239
421	239
422	240
423	241
424	242
425	242
426	242
427	243
428	243
429	243
430	243
431	244
432	244
433	245
434	245
435	245
436	246
437	246
438	247
439	247
440	247
441	248
442	248
443	248
444	248
445	249
446	249
447	249
448	249
449	249
450	250
451	251
452	252
453	252
454	253
455	254
456	255
457	255
458	256
459	256
460	256
461	257
462	257
463	258
464	258
465	258
466	259
467	260
468	261
469	261
470	262
471	262
472	263
473	263
474	263
475	264
476	265
477	266
478	267
479	267
480	268
481	269
482	270
483	270
484	271
485	272
486	273
487	274
488	274
489	275
490	275
491	275
492	276
493	276
494	277
495	277
496	278
497	278
498	278
499	278
500	279
501	280
502	280
503	281
504	281
505	281
506	281
507	281
508	281
509	282
510	283
511	283
512	284
513	285
514	285
515	286
516	287
517	288
518	288
519	288
520	289
521	290
522	290
523	290
524	291
525	292
526	293
527	293
528	293
529	293
530	293
531	293
532	293
533	293
534	293
535	294
536	295
537	295
538	296
539	296
540	297
541	297
542	297
543	297
544	298
545	299
546	300
547	300
548	301
549	301
550	302
551	303
552	304
553	304
554	304
555	304
556	304
557	304
558	305
559	305
560	305
561	305
562	305
563	305
564	305
565	306
566	307
567	308
568	309
569	309
570	309
571	310
572	310
573	311
574	312
575	313
576	314
577	314
578	314
579	315
580	316
581	316
582	316
583	317
584	318
585	318
586	319
587	320
588	320
589	320
590	320
591	320
592	320
593	320
594	320
595	321
596	322
597	323
598	324
599	325
600	325
601	326
602	326
603	327
604	328
605	329
606	330
607	330
608	331
609	331
610	332
611	332
612	333
613	334
614	334
615	334
616	334
617	334
618	335
619	336
620	336
621	337
622	337
623	337
624	337
625	338
626	338
627	338
628	339
629	339
630	339
631	340
632	340
633	340
634	340
635	341
636	341
637	342
638	342
639	342
640	343
641	343
642	344
643	344
644	344
645	345
646	345
647	346
648	347
649	347
650	348
651	348
652	348
653	348
654	348
655	348
656	349
657	349
658	349
659	349
660	350
661	351
662	352
663	353
664	353
665	354
666	354
667	355
668	355
669	356
670	357
671	357
672	358
673	359
674	360
675	361
676	362
677	363
678	364
679	364
680	365
681	365
682	366
683	367
684	367
685	368
686	369
687	369
688	369
689	369
690	369
691	369
692	369
693	370
694	370
695	370
696	370
697	370
698	370
699	371
700	372
701	373
702	374
703	374
704	374
705	374
706	374
707	374
708	374
709	374
710	375
711	375
712	375
713	375
714	376
715	376
716	377
717	378
718	379
719	380
720	381
721	381
722	381
723	381
724	381
725	381
726	381
727	382
728	383
729	383
730	383
731	384
732	385
733	385
734	385
735	385
736	386
737	387
738	387
739	387
740	387
741	387
742	387
743	388
744	389
745	390
746	390
747	390
748	391
749	391
750	391
751	391
752	392
753	392
754	392
755	393
756	394
757	395
758	396
759	396
760	397
761	398
762	399
763	399
764	400
765	400
766	401
767	402
768	403
769	403
770	403
771	404
772	405
773	405
774	405
775	405
776	405
777	406
778	406
779	407
780	408
781	408
782	408
783	409
784	410
785	410
786	411
787	412
788	412
789	413
790	414
791	415
792	415
793	415
794	416
795	416
796	416
797	416
798	416
799	416
800	416
801	416
802	416
803	416
804	417
805	417
806	418
807	419
808	420
809	421
810	421
811	422
812	422
813	423
814	423
815	423
816	423
817	424
818	424
819	424
820	424
821	424
822	424
823	424
824	424
825	425
826	426
827	426
828	427
829	427
830	427
831	428
832	428
833	429
834	430
835	431
836	431
837	432
838	432
839	432
840	432
841	433
842	434
843	434
844	434
845	434
846	434
847	434
848	434
849	435
850	436
851	437
852	437
853	437
854	438
855	439
856	439
857	439
858	439
859	439
860	439
861	439
862	440
863	440
864	440
865	441
866	442
867	442
868	442
869	443
870	443
871	443
872	444
873	444
874	444
875	444
876	444
877	445
878	445
879	445
880	446
881	447
882	447
883	448
884	449
885	450
886	450
887	451
888	451
889	452
890	453
891	454
892	454
893	454
894	454
895	454
896	455
897	456
898	456
899	456
900	456
901	456
902	456
903	457
904	458
905	459
906	460
907	461
908	461
909	462
910	462
911	462
912	462
913	462
914	463
915	463
916	463
917	463
918	463
919	463
920	463
921	464
922	465
923	466
924	466
925	466
926	466
927	466
928	467
929	468
930	468
931	468
932	469
933	470
934	470
935	471
936	471
937	471
938	471
939	471
940	471
941	471
942	471
943	471
944	471
945	471
946	471
947	472
948	472
949	472
950	472
951	472
952	472
953	473
954	473
955	473
956	473
957	473
958	473
959	474
960	474
961	474
962	475
963	475
