N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	13
14	14
15	15
16	16
17	17
18	18
19	19
20	20
21	21
22	21
23	22
24	23
25	24
26	25
27	26
28	27
29	28
30	29
31	29
32	29
33	30
34	31
35	32
36	33
37	33
38	33
39	34
40	35
41	36
42	37
43	38
44	39
45	40
46	41
47	41
48	42
49	42
50	43
51	44
52	45
53	46
54	47
55	47
56	48
57	49
58	50
59	51
60	52
61	53
62	54
63	54
64	55
65	55
66	56
67	57
68	58
69	59
70	59
71	60
72	61
73	61
74	62
75	63
76	64
77	64
78	65
79	66
80	67
81	68
82	69
83	69
84	70
85	71
86	72
87	72
88	73
89	74
90	75
91	76
92	76
93	76
94	77
95	77
96	78
97	79
98	80
99	81
100	82
101	83
102	84
103	84
104	85
105	86
106	87
107	88
108	89
109	90
110	91
111	91
112	92
113	93
114	94
115	95
116	96
117	96
118	96
119	97
120	98
121	99
122	100
123	101
124	102
125	103
126	104
127	105
128	106
129	107
130	108
131	109
132	110
133	111
134	112
135	112
136	113
137	113
138	114
139	115
140	116
141	117
142	118
143	118
144	119
145	119
146	120
147	121
148	122
149	123
150	124
151	125
152	126
153	126
154	127
155	127
156	128
157	128
158	129
159	129
160	130
161	131
162	132
163	133
164	134
165	134
166	135
167	136
168	137
169	138
170	139
171	140
172	141
173	142
174	143
175	144
176	144
177	145
178	145
179	146
180	147
181	148
182	149
183	150
184	151
185	152
186	152
187	153
188	153
189	154
190	155
191	155
192	156
193	157
194	158
195	159
196	159
197	160
198	161
199	162
200	163
201	164
202	165
203	166
204	166
205	166
206	167
207	168
208	169
209	170
210	171
211	172
212	173
213	173
214	173
215	174
216	175
217	175
218	176
219	177
220	177
221	178
222	179
223	179
224	179
225	180
226	180
227	181
228	181
229	181
230	181
231	182
232	183
233	183
234	183
235	183
236	183
237	184
238	184
239	184
240	184
241	184
242	184
243	185
244	185
245	186
246	187
247	188
248	189
249	189
250	190
251	190
252	190
253	190
254	190
255	191
256	192
257	193
258	194
259	194
260	195
261	196
262	197
263	198
264	199
265	200
266	201
267	202
268	203
269	203
270	204
271	204
272	204
273	205
274	205
275	205
276	206
277	206
278	206
279	206
280	207
281	207
282	208
283	209
284	210
285	211
286	212
287	213
288	214
289	215
290	216
291	216
292	217
293	217
294	218
295	218
296	218
297	218
298	219
299	219
300	220
301	221
302	221
303	221
304	222
305	222
306	222
307	223
308	224
309	224
310	225
311	225
312	225
313	225
314	226
315	226
316	227
317	228
318	229
319	229
320	229
321	230
322	231
323	232
324	232
325	233
326	234
327	234
328	235
329	236
330	237
331	238
332	239
333	240
334	241
335	241
336	242
337	243
338	243
339	244
340	244
341	245
342	246
343	247
344	247
345	247
346	247
347	248
348	248
349	248
350	248
351	248
352	249
353	249
354	250
355	251
356	252
357	252
358	253
359	254
360	255
361	256
362	256
363	257
364	258
365	259
366	260
367	260
368	261
369	262
370	263
371	263
372	264
373	265
374	266
375	267
376	268
377	269
378	270
379	270
380	270
381	270
382	271
383	272
384	273
385	274
386	275
387	276
388	277
389	278
390	279
391	280
392	281
393	281
394	282
395	282
396	282
397	282
398	282
399	283
400	284
401	284
402	284
403	285
404	285
405	285
406	286
407	287
408	287
409	288
410	289
411	289
412	290
413	290
414	291
415	291
416	292
417	292
418	293
419	294
420	295
421	296
422	297
423	298
424	298
425	299
426	299
427	300
428	301
429	301
430	301
431	301
432	302
433	303
434	304
435	304
436	304
437	305
438	306
439	306
440	306
441	306
442	307
443	307
444	308
445	309
446	309
447	310
448	310
449	311
450	312
451	313
452	314
453	315
454	315
455	316
456	316
457	317
458	317
459	318
460	319
461	319
462	319
463	319
464	319
465	319
466	319
467	320
468	321
469	321
470	321
471	321
472	322
473	323
474	324
475	324
476	324
477	324
478	325
479	326
480	327
481	327
482	327
483	327
484	327
485	327
486	327
487	328
488	329
489	329
490	330
491	331
492	332
493	332
494	332
495	333
496	334
497	335
498	335
499	335
500	335
501	336
502	336
503	337
504	337
505	338
506	338
507	339
508	339
509	340
510	340
511	340
512	340
513	341
514	342
515	343
516	344
517	345
518	346
519	346
520	347
521	348
522	349
523	349
524	349
525	350
526	351
527	352
528	352
529	353
530	353
531	353
532	353
533	354
534	355
535	356
536	356
537	356
538	357
539	357
540	358
541	358
542	359
543	359
544	359
545	359
546	360
547	360
548	361
549	362
550	363
551	363
552	363
553	363
554	364
555	364
556	365
557	365
558	366
559	366
560	367
561	368
562	369
563	370
564	371
565	372
566	373
567	374
568	375
569	376
570	377
571	378
572	378
573	378
574	378
575	379
576	380
577	381
578	381
579	381
580	382
581	383
582	383
583	384
584	385
585	386
586	386
587	386
588	387
589	388
590	388
591	389
592	390
593	391
594	391
595	391
596	391
597	392
598	393
599	394
600	395
601	395
602	396
603	397
604	397
605	397
606	397
607	398
608	398
609	398
610	398
611	398
612	399
613	399
614	399
615	399
616	399
617	399
618	400
619	401
620	402
621	402
622	402
623	402
624	402
625	403
626	404
627	404
628	404
629	405
630	406
631	406
632	407
633	407
634	408
635	408
636	409
637	409
638	410
639	410
640	411
641	411
642	412
643	413
644	413
645	414
646	414
647	414
648	414
649	415
650	415
651	415
652	415
653	415
654	415
655	416
656	416
657	416
658	416
659	416
660	416
661	417
662	418
663	418
664	418
665	418
666	419
667	420
668	420
669	421
670	421
671	422
672	422
673	423
674	423
675	423
676	423
677	423
678	424
679	424
680	425
681	425
682	425
683	425
684	426
685	426
686	426
687	427
688	428
689	429
690	430
691	430
692	431
693	431
694	432
695	433
696	433
697	434
698	435
699	436
700	437
701	437
702	437
703	437
704	438
705	439
706	440
707	441
708	442
709	443
710	443
711	443
712	444
713	445
714	445
715	445
716	445
717	445
718	446
719	447
720	448
721	448
722	448
723	449
724	450
725	450
726	450
727	450
728	450
729	450
730	450
731	450
732	451
733	452
734	453
735	454
736	455
737	455
738	456
739	457
740	458
741	459
742	460
743	460
744	461
745	462
746	463
747	464
748	464
749	464
750	464
751	465
752	465
753	466
754	467
755	467
756	468
757	468
758	468
759	469
760	469
761	470
762	471
763	472
764	473
765	474
766	475
767	475
768	475
769	476
770	477
771	478
772	479
773	480
774	481
775	481
776	481
777	481
778	481
779	482
780	483
781	483
782	483
783	484
784	485
785	486
786	486
787	486
788	487
789	487
790	488
791	488
792	488
793	489
794	490
795	490
796	490
797	490
798	491
799	492
800	493
801	493
802	493
803	494
804	494
805	495
806	496
807	496
808	497
809	498
810	498
811	499
812	499
813	500
814	500
815	501
816	502
817	502
818	502
819	502
820	502
821	502
822	503
823	503
824	504
825	504
826	504
827	504
828	505
829	506
830	506
831	507
832	508
833	508
834	509
835	509
836	510
837	510
838	510
839	510
840	511
841	511
842	511
843	511
844	512
845	512
846	512
847	513
848	513
849	513
850	513
851	513
852	514
853	515
854	515
855	515
856	516
857	516
858	517
859	518
860	518
861	519
862	520
863	520
864	521
865	522
866	522
867	522
868	522
869	522
870	522
871	522
872	522
873	522
874	523
875	524
876	524
877	524
878	524
879	524
880	525
881	525
882	525
883	525
884	525
885	526
886	527
887	527
888	527
889	527
890	528
891	529
892	530
893	531
894	531
895	532
896	532
897	532
898	533
899	533
900	533
901	533
902	533
903	533
904	533
905	534
906	535
907	536
908	537
909	537
910	538
911	539
912	539
913	539
914	539
915	540
916	541
917	542
918	542
919	542
920	542
921	543
922	543
923	543
924	543
925	543
926	544
927	544
928	545
929	546
930	546
931	547
932	547
933	548
934	548
935	548
936	549
937	549
938	550
939	551
940	551
941	552
942	552
943	553
944	554
945	554
946	555
947	556
948	557
949	558
950	558
951	558
952	558
953	558
954	559
955	559
956	559
957	560
958	561
959	561
960	562
961	562
962	562
963	563
