N	V
0	1
1	2
2	3
3	4
4	5
5	5
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	13
14	14
15	15
16	16
17	17
18	18
19	18
20	19
21	20
22	21
23	22
24	23
25	23
26	24
27	25
28	26
29	26
30	26
31	26
32	27
33	27
34	28
35	29
36	30
37	31
38	32
39	33
40	33
41	34
42	34
43	34
44	34
45	34
46	35
47	36
48	37
49	38
50	39
51	40
52	41
53	42
54	42
55	43
56	43
57	44
58	45
59	45
60	46
61	47
62	47
63	47
64	47
65	47
66	47
67	47
68	47
69	48
70	49
71	50
72	51
73	52
74	52
75	52
76	53
77	54
78	55
79	55
80	55
81	55
82	55
83	56
84	57
85	57
86	58
87	59
88	60
89	60
90	61
91	61
92	61
93	62
94	62
95	62
96	63
97	63
98	63
99	63
100	64
101	64
102	65
103	66
104	67
105	68
106	68
107	69
108	69
109	70
110	70
111	70
112	70
113	71
114	72
115	72
116	73
117	73
118	74
119	74
120	75
121	75
122	76
123	76
124	76
125	77
126	77
127	77
128	77
129	77
130	78
131	78
132	79
133	80
134	81
135	82
136	82
137	82
138	82
139	82
140	83
141	84
142	85
143	86
144	87
145	88
146	88
147	89
148	90
149	90
150	90
151	91
152	91
153	91
154	91
155	91
156	92
157	92
158	92
159	93
160	94
161	94
162	95
163	95
164	95
165	96
166	96
167	97
168	97
169	97
170	98
171	98
172	98
173	98
174	99
175	100
176	100
177	100
178	100
179	100
180	100
181	100
182	100
183	101
184	102
185	102
186	102
187	102
188	102
189	103
190	103
191	104
192	105
193	105
194	105
195	105
196	105
197	105
198	105
199	105
200	106
201	106
202	106
203	106
204	106
205	106
206	107
207	107
208	107
209	108
210	109
211	110
212	111
213	111
214	111
215	112
216	112
217	112
218	113
219	113
220	113
221	114
222	114
223	115
224	115
225	115
226	116
227	116
228	116
229	116
230	116
231	116
232	116
233	116
234	116
235	116
236	117
237	117
238	117
239	117
240	118
241	119
242	120
243	121
244	121
245	121
246	121
247	121
248	121
249	121
250	122
251	123
252	123
253	123
254	123
255	123
256	124
257	125
258	126
259	127
260	128
261	129
262	130
263	130
264	130
265	130
266	130
267	130
268	130
269	130
270	131
271	132
272	132
273	132
274	132
275	132
276	132
277	133
278	133
279	133
280	133
281	133
282	133
283	133
284	133
285	133
286	133
287	133
288	133
289	133
290	133
291	133
292	133
293	134
294	135
295	135
296	135
297	135
298	135
299	136
300	136
301	136
302	136
303	137
304	138
305	139
306	139
307	139
308	139
309	139
310	139
311	139
312	139
313	139
314	139
315	140
316	141
317	141
318	142
319	142
320	142
321	142
322	142
323	143
324	143
325	143
326	143
327	143
328	143
329	143
330	143
331	143
332	143
333	143
334	143
335	143
336	143
337	143
338	143
339	143
340	143
341	143
342	143
343	143
344	144
345	144
346	144
347	145
348	145
349	146
350	146
351	146
352	146
353	147
354	147
355	147
356	148
357	148
358	148
359	149
360	149
361	149
362	150
363	150
364	150
365	150
366	150
367	150
368	151
369	151
370	152
371	153
372	153
373	153
374	153
375	153
376	154
377	154
378	155
379	155
380	156
381	156
382	156
383	157
384	158
385	159
386	159
387	159
388	160
389	161
390	162
391	162
392	162
393	162
394	162
395	162
396	163
397	164
398	164
399	164
400	165
401	165
402	165
403	166
404	167
405	168
406	168
407	168
408	168
409	169
410	170
411	170
412	170
413	170
414	170
415	170
416	171
417	172
418	173
419	173
420	173
421	173
422	173
423	174
424	175
425	175
426	176
427	176
428	177
429	177
430	177
431	178
432	179
433	179
434	179
435	179
436	179
437	179
438	179
439	179
440	179
441	179
442	179
443	179
444	180
445	180
446	180
447	180
448	180
449	180
450	181
451	182
452	182
453	183
454	183
455	183
456	183
457	183
458	184
459	185
460	185
461	185
462	186
463	186
464	186
465	186
466	186
467	186
468	186
469	187
470	187
471	187
472	187
473	188
474	188
475	188
476	188
477	188
478	188
479	188
480	188
481	188
482	189
483	189
484	190
485	190
486	190
487	190
488	190
489	191
490	191
491	191
492	191
493	191
494	192
495	192
496	192
497	192
498	192
499	192
500	192
501	192
502	192
503	192
504	192
505	192
506	192
507	192
508	192
509	192
510	193
511	194
512	195
513	195
514	195
515	196
516	196
517	196
518	197
519	197
520	197
521	197
522	197
523	197
524	198
525	199
526	200
527	200
528	200
529	201
530	202
531	202
532	202
533	202
534	203
535	203
536	203
537	203
538	203
539	203
540	203
541	203
542	203
543	203
544	203
545	203
546	203
547	203
548	203
549	203
550	203
551	203
552	203
553	203
554	203
555	204
556	204
557	204
558	204
559	204
560	205
561	205
562	205
563	205
564	205
565	205
566	205
567	205
568	206
569	206
570	206
571	206
572	206
573	206
574	207
575	207
576	207
577	207
578	207
579	207
580	207
581	207
582	207
583	207
584	207
585	207
586	207
587	207
588	207
589	207
590	207
591	207
592	207
593	208
594	208
595	208
596	208
597	208
598	208
599	208
600	208
601	208
602	208
603	208
604	208
605	208
606	208
607	208
608	208
609	208
610	209
611	209
612	209
613	209
614	210
615	210
616	210
617	210
618	210
619	211
620	212
621	212
622	212
623	212
624	212
625	212
626	212
627	212
628	212
629	212
630	213
631	213
632	213
633	214
634	214
635	214
636	214
637	214
638	214
639	214
640	214
641	214
642	214
643	214
644	214
645	214
646	214
647	215
648	215
649	216
650	217
651	217
652	217
653	218
654	219
655	219
656	220
657	220
658	221
659	221
660	221
661	221
662	221
663	221
664	221
665	221
666	221
667	221
668	221
669	221
670	221
671	221
672	222
673	223
674	223
675	224
676	224
677	224
678	224
679	225
680	225
681	226
682	226
683	226
684	226
685	227
686	228
687	229
688	229
689	229
690	229
691	229
692	229
693	229
694	229
695	229
696	229
697	229
698	229
699	229
700	230
701	230
702	231
703	231
704	231
705	231
706	231
707	231
708	231
709	231
710	231
711	232
712	232
713	232
714	232
715	232
716	233
717	233
718	233
719	233
720	234
721	235
722	235
723	235
724	235
725	235
726	236
727	236
728	237
729	237
730	237
731	238
732	238
733	238
734	238
735	238
736	238
737	238
738	238
739	239
740	240
741	240
742	240
743	240
744	240
745	240
746	240
747	240
748	240
749	240
750	240
751	240
752	240
753	240
754	240
755	241
756	241
757	241
758	241
759	241
760	241
761	242
762	242
763	242
764	242
765	243
766	243
767	243
768	243
769	244
770	244
771	244
772	245
773	245
774	245
775	246
776	246
777	247
778	247
779	247
780	247
781	247
782	247
783	247
784	247
785	247
786	247
787	247
788	247
789	247
790	247
791	248
792	248
793	248
794	248
795	248
796	248
797	249
798	249
799	250
800	250
801	251
802	252
803	253
804	253
805	253
806	253
807	253
808	254
809	254
810	254
811	254
812	254
813	254
814	254
815	254
816	254
817	254
818	254
819	254
820	254
821	254
822	254
823	254
824	254
825	254
826	254
827	254
828	254
829	254
830	254
831	254
832	254
833	255
834	255
835	255
836	255
837	255
838	256
839	257
840	257
841	258
842	258
843	258
844	259
845	260
846	260
847	260
848	261
849	261
850	262
851	262
852	263
853	264
854	264
855	264
856	264
857	264
858	264
859	264
860	264
861	264
862	264
863	265
864	266
865	266
866	266
867	266
868	267
869	267
870	267
871	267
872	267
873	267
874	267
875	267
876	267
877	267
878	267
879	267
880	267
881	267
882	267
883	267
884	267
885	267
886	267
887	267
888	267
889	267
890	268
891	268
892	268
893	268
894	268
895	269
896	270
897	270
898	270
899	270
900	270
901	270
902	270
903	270
904	270
905	270
906	270
907	270
908	270
909	270
910	271
911	271
912	272
913	272
914	272
915	272
916	272
917	272
918	272
919	272
920	272
921	272
922	273
923	273
924	273
925	273
926	274
927	275
928	276
929	276
930	276
931	277
932	277
933	277
934	277
935	277
936	277
937	277
938	277
939	277
940	277
941	278
942	278
943	279
944	279
945	279
946	279
947	280
948	280
949	280
950	280
951	280
952	280
953	280
954	280
955	280
956	280
957	280
958	281
959	282
960	282
961	282
962	282
963	282
