N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	7
8	8
9	9
10	10
11	10
12	11
13	12
14	13
15	14
16	15
17	16
18	17
19	18
20	19
21	20
22	20
23	21
24	22
25	23
26	24
27	25
28	26
29	27
30	28
31	29
32	30
33	31
34	32
35	33
36	34
37	35
38	36
39	37
40	37
41	38
42	39
43	39
44	39
45	40
46	41
47	42
48	43
49	44
50	44
51	44
52	44
53	45
54	45
55	46
56	46
57	47
58	48
59	48
60	49
61	50
62	51
63	52
64	53
65	53
66	54
67	55
68	55
69	56
70	57
71	58
72	59
73	60
74	61
75	62
76	62
77	63
78	63
79	63
80	63
81	64
82	64
83	65
84	65
85	66
86	66
87	66
88	67
89	68
90	69
91	70
92	70
93	71
94	72
95	72
96	73
97	73
98	74
99	75
100	76
101	77
102	77
103	78
104	79
105	79
106	80
107	81
108	81
109	81
110	81
111	81
112	81
113	81
114	81
115	82
116	82
117	83
118	84
119	84
120	84
121	84
122	84
123	84
124	85
125	85
126	85
127	85
128	86
129	87
130	87
131	87
132	87
133	88
134	88
135	88
136	89
137	90
138	91
139	92
140	92
141	93
142	94
143	94
144	95
145	95
146	96
147	96
148	96
149	96
150	97
151	97
152	97
153	98
154	99
155	99
156	100
157	101
158	102
159	103
160	104
161	105
162	106
163	106
164	107
165	107
166	107
167	107
168	107
169	108
170	109
171	109
172	110
173	111
174	112
175	112
176	112
177	112
178	112
179	113
180	113
181	114
182	115
183	116
184	116
185	116
186	117
187	117
188	117
189	118
190	119
191	119
192	120
193	121
194	122
195	122
196	122
197	122
198	122
199	122
200	122
201	123
202	123
203	124
204	125
205	126
206	126
207	127
208	127
209	128
210	128
211	129
212	129
213	129
214	130
215	130
216	130
217	130
218	130
219	130
220	130
221	131
222	132
223	132
224	132
225	132
226	133
227	134
228	135
229	136
230	137
231	137
232	137
233	137
234	137
235	138
236	138
237	138
238	138
239	138
240	139
241	139
242	140
243	140
244	141
245	141
246	141
247	141
248	142
249	142
250	142
251	142
252	142
253	142
254	142
255	142
256	142
257	142
258	143
259	144
260	144
261	144
262	145
263	145
264	145
265	145
266	145
267	146
268	147
269	147
270	147
271	148
272	149
273	149
274	149
275	149
276	150
277	150
278	150
279	151
280	151
281	151
282	152
283	153
284	154
285	154
286	154
287	154
288	154
289	155
290	155
291	156
292	156
293	156
294	157
295	157
296	157
297	158
298	158
299	158
300	158
301	158
302	158
303	158
304	158
305	159
306	159
307	160
308	161
309	161
310	162
311	162
312	162
313	162
314	163
315	163
316	163
317	163
318	163
319	163
320	164
321	165
322	166
323	166
324	167
325	167
326	167
327	167
328	168
329	168
330	168
331	169
332	170
333	170
334	170
335	170
336	170
337	171
338	171
339	171
340	171
341	171
342	171
343	171
344	172
345	172
346	172
347	172
348	173
349	174
350	174
351	174
352	174
353	174
354	175
355	175
356	175
357	175
358	175
359	175
360	175
361	176
362	176
363	177
364	178
365	179
366	180
367	181
368	182
369	182
370	183
371	183
372	183
373	184
374	184
375	184
376	184
377	185
378	186
379	187
380	187
381	187
382	187
383	188
384	188
385	188
386	188
387	188
388	188
389	188
390	189
391	189
392	190
393	190
394	190
395	190
396	190
397	190
398	190
399	191
400	192
401	192
402	193
403	194
404	194
405	194
406	195
407	196
408	196
409	196
410	197
411	197
412	198
413	199
414	200
415	200
416	200
417	201
418	201
419	201
420	201
421	201
422	202
423	203
424	203
425	203
426	203
427	204
428	205
429	205
430	205
431	206
432	206
433	206
434	207
435	207
436	207
437	207
438	208
439	209
440	209
441	210
442	210
443	210
444	210
445	211
446	212
447	213
448	214
449	215
450	215
451	215
452	216
453	217
454	218
455	218
456	218
457	218
458	219
459	220
460	221
461	221
462	222
463	223
464	223
465	223
466	223
467	223
468	223
469	223
470	223
471	223
472	223
473	223
474	223
475	223
476	223
477	223
478	223
479	223
480	223
481	224
482	224
483	224
484	224
485	224
486	225
487	225
488	226
489	226
490	226
491	226
492	226
493	227
494	227
495	227
496	227
497	227
498	228
499	228
500	228
501	228
502	228
503	228
504	228
505	229
506	229
507	229
508	230
509	230
510	230
511	230
512	230
513	231
514	231
515	231
516	231
517	231
518	232
519	232
520	232
521	232
522	232
523	232
524	232
525	232
526	232
527	232
528	233
529	233
530	233
531	234
532	234
533	234
534	234
535	235
536	235
537	235
538	235
539	235
540	235
541	236
542	237
543	238
544	238
545	238
546	238
547	238
548	238
549	238
550	238
551	238
552	239
553	239
554	239
555	240
556	241
557	241
558	242
559	243
560	244
561	245
562	245
563	245
564	245
565	245
566	245
567	245
568	245
569	246
570	246
571	246
572	247
573	247
574	247
575	247
576	247
577	248
578	248
579	249
580	249
581	249
582	249
583	249
584	249
585	249
586	249
587	250
588	251
589	251
590	252
591	252
592	252
593	253
594	254
595	254
596	254
597	254
598	254
599	254
600	255
601	255
602	256
603	256
604	256
605	256
606	256
607	256
608	256
609	256
610	256
611	256
612	256
613	256
614	256
615	257
616	257
617	257
618	257
619	257
620	257
621	258
622	258
623	259
624	259
625	259
626	259
627	259
628	259
629	259
630	259
631	260
632	260
633	260
634	260
635	260
636	260
637	260
638	260
639	260
640	261
641	261
642	261
643	261
644	261
645	261
646	261
647	261
648	261
649	261
650	262
651	263
652	264
653	264
654	264
655	265
656	265
657	265
658	265
659	265
660	266
661	266
662	266
663	266
664	266
665	266
666	266
667	266
668	266
669	266
670	266
671	266
672	266
673	266
674	266
675	267
676	267
677	268
678	268
679	268
680	268
681	268
682	268
683	268
684	268
685	268
686	269
687	270
688	270
689	271
690	272
691	272
692	272
693	272
694	272
695	272
696	272
697	273
698	273
699	274
700	275
701	276
702	277
703	277
704	278
705	278
706	278
707	279
708	279
709	279
710	279
711	280
712	280
713	280
714	281
715	281
716	281
717	281
718	282
719	283
720	283
721	284
722	285
723	285
724	285
725	286
726	286
727	287
728	287
729	287
730	287
731	287
732	288
733	288
734	288
735	288
736	288
737	288
738	288
739	288
740	288
741	288
742	288
743	288
744	288
745	289
746	290
747	290
748	291
749	291
750	291
751	291
752	292
753	293
754	293
755	293
756	294
757	295
758	295
759	295
760	295
761	296
762	296
763	297
764	298
765	298
766	298
767	298
768	298
769	298
770	298
771	298
772	298
773	298
774	298
775	298
776	298
777	298
778	298
779	299
780	300
781	301
782	301
783	301
784	301
785	302
786	303
787	303
788	303
789	303
790	303
791	303
792	304
793	305
794	305
795	305
796	306
797	307
798	308
799	308
800	309
801	310
802	310
803	311
804	311
805	311
806	312
807	312
808	312
809	312
810	313
811	314
812	315
813	316
814	316
815	316
816	316
817	316
818	317
819	317
820	317
821	318
822	319
823	319
824	319
825	320
826	321
827	322
828	323
829	324
830	324
831	324
832	324
833	324
834	324
835	324
836	324
837	325
838	326
839	326
840	326
841	326
842	326
843	326
844	326
845	326
846	327
847	328
848	328
849	328
850	328
851	328
852	329
853	329
854	329
855	329
856	330
857	331
858	331
859	331
860	331
861	331
862	331
863	331
864	331
865	331
866	332
867	332
868	332
869	333
870	333
871	333
872	333
873	333
874	333
875	334
876	334
877	334
878	334
879	334
880	335
881	335
882	335
883	336
884	337
885	337
886	337
887	337
888	337
889	337
890	337
891	337
892	337
893	337
894	337
895	337
896	338
897	339
898	339
899	339
900	340
901	340
902	340
903	340
904	340
905	340
906	341
907	342
908	342
909	342
910	343
911	343
912	343
913	343
914	343
915	343
916	343
917	343
918	344
919	344
920	345
921	345
922	345
923	345
924	345
925	346
926	347
927	348
928	348
929	348
930	348
931	349
932	349
933	349
934	349
935	349
936	349
937	349
938	349
939	350
940	350
941	350
942	350
943	350
944	350
945	350
946	351
947	351
948	351
949	351
950	352
951	352
952	352
953	352
954	352
955	352
956	352
957	353
958	353
959	353
960	353
961	353
962	353
963	353
