N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	6
7	7
8	8
9	9
10	10
11	11
12	12
13	12
14	13
15	13
16	14
17	15
18	16
19	17
20	18
21	19
22	20
23	21
24	22
25	23
26	23
27	24
28	25
29	26
30	27
31	28
32	29
33	30
34	31
35	32
36	33
37	34
38	35
39	35
40	36
41	37
42	38
43	39
44	40
45	41
46	42
47	43
48	44
49	45
50	46
51	46
52	46
53	46
54	47
55	48
56	49
57	49
58	49
59	50
60	51
61	51
62	52
63	53
64	54
65	54
66	55
67	55
68	56
69	56
70	56
71	57
72	58
73	59
74	59
75	59
76	59
77	60
78	61
79	62
80	62
81	63
82	64
83	64
84	65
85	65
86	66
87	67
88	67
89	68
90	69
91	70
92	71
93	72
94	73
95	74
96	74
97	75
98	76
99	77
100	78
101	78
102	79
103	79
104	80
105	81
106	81
107	81
108	81
109	82
110	83
111	84
112	84
113	84
114	84
115	85
116	86
117	87
118	87
119	87
120	88
121	89
122	89
123	90
124	90
125	90
126	90
127	91
128	92
129	93
130	94
131	95
132	95
133	95
134	95
135	95
136	95
137	96
138	97
139	98
140	99
141	99
142	100
143	100
144	100
145	101
146	102
147	102
148	103
149	103
150	104
151	105
152	106
153	107
154	108
155	109
156	110
157	111
158	112
159	112
160	113
161	113
162	114
163	115
164	116
165	117
166	117
167	117
168	118
169	119
170	120
171	120
172	120
173	121
174	122
175	122
176	122
177	122
178	123
179	124
180	125
181	125
182	126
183	127
184	128
185	129
186	130
187	131
188	131
189	132
190	132
191	132
192	132
193	132
194	133
195	133
196	134
197	135
198	136
199	136
200	137
201	137
202	138
203	139
204	139
205	139
206	139
207	140
208	141
209	142
210	143
211	144
212	144
213	144
214	145
215	145
216	146
217	146
218	146
219	147
220	148
221	148
222	148
223	149
224	149
225	149
226	150
227	151
228	151
229	152
230	153
231	153
232	153
233	153
234	153
235	154
236	154
237	155
238	156
239	156
240	157
241	158
242	159
243	160
244	161
245	161
246	161
247	161
248	161
249	162
250	162
251	162
252	162
253	162
254	163
255	163
256	164
257	165
258	166
259	166
260	166
261	166
262	167
263	167
264	167
265	167
266	167
267	167
268	167
269	167
270	167
271	168
272	168
273	168
274	168
275	168
276	169
277	170
278	171
279	172
280	173
281	174
282	175
283	176
284	177
285	177
286	177
287	177
288	177
289	178
290	179
291	179
292	179
293	180
294	181
295	182
296	182
297	183
298	183
299	183
300	184
301	185
302	186
303	186
304	187
305	188
306	189
307	189
308	190
309	191
310	192
311	192
312	193
313	193
314	193
315	193
316	193
317	193
318	194
319	195
320	195
321	196
322	197
323	198
324	198
325	198
326	198
327	199
328	200
329	201
330	202
331	203
332	203
333	204
334	205
335	206
336	207
337	207
338	207
339	207
340	207
341	208
342	208
343	208
344	208
345	209
346	210
347	211
348	211
349	211
350	212
351	213
352	213
353	214
354	215
355	215
356	215
357	216
358	216
359	217
360	217
361	218
362	219
363	219
364	219
365	220
366	221
367	222
368	222
369	222
370	222
371	222
372	222
373	223
374	224
375	224
376	225
377	226
378	226
379	226
380	227
381	227
382	227
383	228
384	229
385	229
386	230
387	231
388	231
389	232
390	233
391	233
392	234
393	234
394	234
395	234
396	234
397	234
398	235
399	235
400	235
401	235
402	235
403	236
404	237
405	237
406	238
407	238
408	238
409	238
410	239
411	240
412	240
413	240
414	241
415	241
416	242
417	243
418	243
419	243
420	243
421	243
422	243
423	243
424	243
425	243
426	244
427	244
428	244
429	245
430	245
431	246
432	246
433	246
434	246
435	246
436	246
437	247
438	248
439	249
440	250
441	250
442	250
443	251
444	251
445	251
446	252
447	252
448	253
449	254
450	254
451	254
452	255
453	255
454	255
455	255
456	255
457	255
458	256
459	256
460	256
461	257
462	258
463	259
464	260
465	260
466	260
467	260
468	260
469	260
470	261
471	261
472	262
473	263
474	263
475	264
476	264
477	264
478	264
479	265
480	265
481	266
482	267
483	268
484	268
485	268
486	269
487	269
488	269
489	270
490	271
491	272
492	272
493	273
494	274
495	274
496	275
497	275
498	275
499	275
500	276
501	276
502	277
503	277
504	277
505	277
506	278
507	279
508	279
509	280
510	280
511	280
512	280
513	280
514	280
515	281
516	282
517	283
518	283
519	284
520	284
521	285
522	285
523	285
524	285
525	286
526	286
527	287
528	288
529	288
530	288
531	288
532	288
533	289
534	289
535	290
536	291
537	291
538	292
539	292
540	292
541	292
542	292
543	292
544	292
545	292
546	293
547	293
548	293
549	293
550	293
551	293
552	293
553	294
554	294
555	294
556	295
557	295
558	296
559	296
560	297
561	298
562	298
563	298
564	299
565	299
566	299
567	299
568	299
569	299
570	300
571	301
572	301
573	302
574	302
575	302
576	302
577	302
578	303
579	303
580	304
581	304
582	304
583	305
584	305
585	306
586	307
587	308
588	308
589	308
590	308
591	309
592	310
593	310
594	310
595	310
596	310
597	311
598	311
599	311
600	312
601	312
602	312
603	312
604	312
605	312
606	312
607	312
608	312
609	313
610	314
611	315
612	315
613	316
614	317
615	317
616	317
617	317
618	317
619	317
620	317
621	318
622	319
623	319
624	320
625	321
626	321
627	321
628	322
629	322
630	322
631	323
632	323
633	323
634	323
635	324
636	325
637	325
638	325
639	325
640	326
641	326
642	326
643	326
644	326
645	326
646	326
647	327
648	327
649	327
650	327
651	328
652	328
653	328
654	328
655	328
656	329
657	329
658	329
659	329
660	330
661	331
662	331
663	331
664	331
665	332
666	332
667	332
668	332
669	332
670	332
671	332
672	332
673	332
674	333
675	334
676	335
677	336
678	336
679	337
680	337
681	337
682	337
683	337
684	337
685	337
686	338
687	339
688	339
689	340
690	340
691	340
692	341
693	342
694	342
695	342
696	343
697	344
698	344
699	344
700	344
701	344
702	344
703	344
704	344
705	344
706	345
707	345
708	345
709	346
710	346
711	346
712	346
713	347
714	348
715	348
716	349
717	349
718	350
719	350
720	350
721	350
722	350
723	350
724	350
725	351
726	351
727	351
728	352
729	353
730	353
731	353
732	354
733	355
734	355
735	355
736	356
737	356
738	356
739	356
740	357
741	357
742	358
743	359
744	359
745	359
746	359
747	359
748	359
749	360
750	360
751	360
752	361
753	361
754	361
755	361
756	361
757	361
758	361
759	362
760	362
761	362
762	362
763	362
764	363
765	363
766	364
767	364
768	365
769	365
770	365
771	365
772	366
773	367
774	368
775	368
776	368
777	369
778	370
779	370
780	370
781	371
782	371
783	371
784	372
785	372
786	373
787	374
788	374
789	374
790	375
791	375
792	376
793	377
794	377
795	377
796	378
797	379
798	380
799	380
800	380
801	380
802	381
803	381
804	381
805	381
806	381
807	381
808	381
809	381
810	381
811	381
812	381
813	382
814	383
815	383
816	384
817	384
818	384
819	384
820	384
821	384
822	384
823	385
824	385
825	385
826	385
827	386
828	386
829	386
830	386
831	386
832	386
833	387
834	388
835	389
836	389
837	390
838	391
839	391
840	392
841	392
842	393
843	394
844	395
845	396
846	396
847	396
848	396
849	397
850	398
851	399
852	400
853	401
854	401
855	401
856	401
857	401
858	401
859	402
860	403
861	403
862	404
863	404
864	405
865	406
866	406
867	407
868	407
869	407
870	407
871	407
872	407
873	407
874	407
875	408
876	408
877	408
878	409
879	410
880	410
881	410
882	410
883	410
884	410
885	410
886	410
887	410
888	410
889	410
890	411
891	412
892	412
893	412
894	412
895	413
896	413
897	413
898	413
899	413
900	413
901	413
902	414
903	414
904	415
905	415
906	415
907	415
908	416
909	417
910	418
911	418
912	419
913	419
914	420
915	421
916	422
917	423
918	424
919	424
920	424
921	424
922	424
923	425
924	425
925	425
926	425
927	426
928	426
929	426
930	426
931	426
932	426
933	427
934	427
935	427
936	427
937	427
938	427
939	427
940	428
941	428
942	429
943	429
944	429
945	429
946	430
947	430
948	430
949	430
950	431
951	431
952	432
953	432
954	432
955	432
956	432
957	432
958	432
959	432
960	432
961	432
962	433
963	433
