N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	18
18	19
19	20
20	21
21	22
22	23
23	24
24	25
25	25
26	25
27	26
28	26
29	27
30	28
31	29
32	29
33	29
34	30
35	31
36	31
37	31
38	32
39	33
40	34
41	35
42	36
43	37
44	38
45	39
46	40
47	41
48	42
49	43
50	44
51	45
52	45
53	46
54	47
55	48
56	49
57	50
58	51
59	52
60	53
61	53
62	53
63	54
64	55
65	56
66	57
67	58
68	58
69	59
70	60
71	61
72	62
73	63
74	64
75	65
76	66
77	67
78	67
79	67
80	67
81	68
82	69
83	70
84	70
85	71
86	72
87	73
88	73
89	74
90	75
91	76
92	77
93	78
94	79
95	80
96	81
97	82
98	83
99	84
100	85
101	86
102	87
103	88
104	89
105	89
106	89
107	90
108	91
109	92
110	92
111	93
112	94
113	94
114	95
115	96
116	97
117	98
118	99
119	100
120	101
121	102
122	103
123	103
124	103
125	104
126	105
127	106
128	107
129	108
130	109
131	110
132	110
133	111
134	111
135	111
136	112
137	113
138	114
139	115
140	115
141	115
142	116
143	117
144	118
145	119
146	120
147	121
148	121
149	121
150	121
151	122
152	123
153	124
154	125
155	126
156	127
157	127
158	128
159	129
160	130
161	131
162	131
163	131
164	132
165	133
166	134
167	135
168	135
169	135
170	136
171	136
172	137
173	138
174	139
175	140
176	141
177	141
178	142
179	143
180	143
181	144
182	145
183	146
184	147
185	148
186	149
187	150
188	151
189	152
190	152
191	153
192	154
193	155
194	156
195	156
196	157
197	157
198	158
199	159
200	160
201	160
202	160
203	161
204	162
205	162
206	163
207	164
208	165
209	166
210	166
211	167
212	168
213	169
214	170
215	171
216	172
217	173
218	173
219	173
220	173
221	174
222	175
223	175
224	176
225	176
226	177
227	178
228	179
229	179
230	180
231	180
232	180
233	180
234	180
235	180
236	181
237	181
238	181
239	181
240	182
241	182
242	182
243	182
244	183
245	184
246	184
247	184
248	185
249	186
250	186
251	187
252	187
253	188
254	189
255	190
256	191
257	192
258	192
259	192
260	193
261	194
262	195
263	195
264	196
265	196
266	196
267	197
268	198
269	198
270	198
271	199
272	200
273	201
274	202
275	203
276	204
277	204
278	205
279	205
280	206
281	207
282	207
283	208
284	209
285	209
286	210
287	210
288	211
289	212
290	213
291	213
292	214
293	215
294	216
295	217
296	218
297	219
298	219
299	220
300	221
301	221
302	221
303	222
304	222
305	222
306	222
307	223
308	224
309	225
310	226
311	227
312	228
313	229
314	229
315	230
316	231
317	232
318	233
319	233
320	234
321	235
322	235
323	236
324	237
325	237
326	238
327	238
328	239
329	239
330	239
331	240
332	241
333	242
334	243
335	243
336	244
337	244
338	245
339	245
340	245
341	245
342	246
343	246
344	246
345	247
346	247
347	248
348	248
349	248
350	249
351	250
352	251
353	252
354	253
355	253
356	253
357	254
358	254
359	255
360	256
361	257
362	258
363	259
364	259
365	260
366	261
367	262
368	263
369	264
370	265
371	265
372	266
373	267
374	267
375	268
376	269
377	269
378	270
379	271
380	271
381	271
382	272
383	273
384	273
385	274
386	274
387	274
388	275
389	276
390	277
391	277
392	278
393	278
394	278
395	278
396	278
397	279
398	279
399	280
400	280
401	280
402	280
403	281
404	282
405	283
406	284
407	284
408	284
409	285
410	285
411	286
412	287
413	288
414	289
415	289
416	289
417	290
418	291
419	292
420	292
421	293
422	294
423	294
424	295
425	296
426	296
427	297
428	298
429	299
430	299
431	300
432	300
433	301
434	302
435	303
436	303
437	304
438	305
439	305
440	306
441	306
442	307
443	308
444	309
445	309
446	309
447	310
448	311
449	312
450	313
451	313
452	313
453	314
454	314
455	315
456	315
457	315
458	316
459	317
460	317
461	318
462	318
463	318
464	319
465	320
466	321
467	321
468	321
469	321
470	322
471	322
472	323
473	323
474	323
475	323
476	324
477	325
478	326
479	327
480	328
481	328
482	328
483	328
484	329
485	329
486	330
487	331
488	332
489	332
490	332
491	333
492	334
493	335
494	336
495	336
496	337
497	338
498	339
499	339
500	339
501	340
502	340
503	341
504	342
505	342
506	342
507	343
508	343
509	344
510	345
511	345
512	346
513	346
514	346
515	347
516	348
517	348
518	348
519	349
520	349
521	349
522	349
523	350
524	351
525	351
526	352
527	352
528	353
529	354
530	355
531	355
532	355
533	355
534	355
535	355
536	356
537	357
538	358
539	358
540	359
541	359
542	360
543	361
544	362
545	362
546	363
547	364
548	365
549	365
550	366
551	366
552	366
553	367
554	368
555	369
556	369
557	370
558	371
559	372
560	372
561	372
562	373
563	373
564	374
565	374
566	374
567	375
568	376
569	376
570	376
571	377
572	377
573	378
574	378
575	378
576	379
577	380
578	380
579	380
580	380
581	381
582	381
583	382
584	382
585	382
586	382
587	383
588	383
589	384
590	385
591	386
592	386
593	386
594	387
595	388
596	388
597	388
598	388
599	389
600	390
601	391
602	392
603	393
604	394
605	395
606	396
607	397
608	398
609	398
610	398
611	399
612	399
613	399
614	400
615	401
616	402
617	402
618	403
619	404
620	404
621	405
622	406
623	406
624	407
625	408
626	408
627	409
628	409
629	410
630	410
631	411
632	411
633	411
634	412
635	413
636	414
637	414
638	415
639	416
640	417
641	418
642	419
643	420
644	421
645	421
646	421
647	421
648	421
649	422
650	422
651	423
652	423
653	424
654	425
655	425
656	425
657	426
658	426
659	427
660	427
661	428
662	428
663	428
664	428
665	429
666	429
667	430
668	430
669	430
670	430
671	431
672	432
673	433
674	434
675	435
676	436
677	437
678	438
679	439
680	440
681	440
682	441
683	442
684	443
685	444
686	445
687	445
688	446
689	447
690	448
691	448
692	449
693	450
694	451
695	451
696	451
697	451
698	452
699	452
700	452
701	453
702	453
703	453
704	454
705	454
706	455
707	456
708	456
709	457
710	458
711	459
712	459
713	460
714	460
715	461
716	462
717	462
718	463
719	463
720	464
721	464
722	465
723	466
724	466
725	467
726	467
727	468
728	468
729	468
730	468
731	469
732	470
733	470
734	470
735	470
736	470
737	471
738	472
739	472
740	473
741	474
742	474
743	474
744	474
745	474
746	475
747	475
748	476
749	476
750	477
751	477
752	478
753	478
754	479
755	479
756	479
757	479
758	479
759	479
760	480
761	480
762	480
763	481
764	481
765	482
766	483
767	484
768	484
769	484
770	485
771	485
772	486
773	486
774	486
775	487
776	488
777	489
778	490
779	490
780	490
781	491
782	491
783	491
784	491
785	491
786	492
787	492
788	492
789	493
790	494
791	495
792	495
793	496
794	496
795	496
796	497
797	498
798	499
799	499
800	499
801	499
802	499
803	500
804	501
805	502
806	503
807	503
808	503
809	504
810	505
811	505
812	506
813	506
814	506
815	507
816	507
817	507
818	508
819	509
820	510
821	510
822	511
823	512
824	512
825	513
826	514
827	514
828	515
829	515
830	515
831	515
832	515
833	515
834	515
835	515
836	515
837	515
838	515
839	515
840	515
841	516
842	516
843	517
844	518
845	519
846	520
847	520
848	520
849	520
850	520
851	520
852	521
853	521
854	522
855	522
856	522
857	522
858	523
859	523
860	524
861	524
862	525
863	525
864	526
865	527
866	527
867	528
868	528
869	528
870	529
871	530
872	530
873	530
874	530
875	531
876	531
877	532
878	532
879	533
880	534
881	535
882	536
883	536
884	536
885	537
886	538
887	539
888	540
889	540
890	540
891	541
892	542
893	543
894	543
895	544
896	544
897	544
898	544
899	544
900	544
901	545
902	545
903	546
904	546
905	546
906	546
907	547
908	548
909	548
910	548
911	549
912	549
913	550
914	551
915	552
916	553
917	553
918	553
919	554
920	554
921	554
922	555
923	556
924	556
925	557
926	558
927	558
928	558
929	558
930	558
931	559
932	560
933	561
934	561
935	562
936	562
937	563
938	563
939	564
940	565
941	565
942	565
943	566
944	567
945	568
946	569
947	570
948	570
949	570
950	571
951	572
952	572
953	573
954	573
955	573
956	573
957	573
958	573
959	573
960	574
961	574
962	574
963	574
