N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	7
7	8
8	9
9	10
10	11
11	12
12	13
13	14
14	15
15	16
16	17
17	18
18	19
19	20
20	21
21	22
22	22
23	23
24	23
25	24
26	25
27	26
28	27
29	27
30	28
31	28
32	29
33	30
34	31
35	32
36	33
37	34
38	34
39	35
40	36
41	36
42	37
43	38
44	39
45	40
46	40
47	41
48	42
49	42
50	42
51	42
52	42
53	42
54	43
55	43
56	43
57	44
58	44
59	45
60	46
61	47
62	47
63	48
64	49
65	50
66	51
67	52
68	52
69	53
70	53
71	53
72	53
73	53
74	53
75	53
76	54
77	54
78	55
79	56
80	57
81	58
82	59
83	60
84	60
85	61
86	61
87	61
88	61
89	62
90	62
91	63
92	64
93	64
94	64
95	64
96	65
97	66
98	66
99	67
100	68
101	69
102	70
103	70
104	71
105	72
106	72
107	72
108	73
109	74
110	74
111	74
112	75
113	75
114	75
115	76
116	76
117	76
118	77
119	78
120	78
121	78
122	78
123	78
124	78
125	78
126	79
127	79
128	80
129	80
130	81
131	82
132	82
133	82
134	83
135	84
136	85
137	85
138	86
139	86
140	87
141	87
142	88
143	89
144	89
145	90
146	91
147	92
148	93
149	94
150	95
151	95
152	95
153	95
154	95
155	96
156	96
157	97
158	98
159	99
160	100
161	100
162	101
163	102
164	103
165	103
166	103
167	104
168	105
169	105
170	106
171	106
172	107
173	107
174	107
175	107
176	107
177	107
178	108
179	108
180	108
181	108
182	108
183	108
184	108
185	108
186	109
187	110
188	110
189	111
190	112
191	113
192	114
193	114
194	115
195	115
196	116
197	117
198	118
199	119
200	120
201	121
202	121
203	122
204	122
205	122
206	123
207	123
208	123
209	124
210	124
211	125
212	126
213	126
214	126
215	126
216	126
217	126
218	127
219	127
220	127
221	127
222	128
223	128
224	128
225	129
226	129
227	130
228	131
229	132
230	132
231	132
232	133
233	133
234	133
235	134
236	134
237	134
238	134
239	134
240	135
241	135
242	136
243	137
244	138
245	138
246	138
247	138
248	139
249	139
250	139
251	139
252	139
253	139
254	139
255	139
256	139
257	139
258	140
259	141
260	142
261	143
262	144
263	144
264	145
265	146
266	147
267	147
268	147
269	148
270	148
271	149
272	150
273	151
274	152
275	152
276	152
277	153
278	154
279	155
280	155
281	155
282	156
283	157
284	158
285	159
286	160
287	161
288	162
289	162
290	162
291	162
292	163
293	164
294	165
295	165
296	166
297	166
298	166
299	166
300	166
301	167
302	168
303	169
304	169
305	169
306	169
307	170
308	170
309	170
310	170
311	171
312	172
313	173
314	174
315	174
316	175
317	175
318	175
319	176
320	177
321	178
322	178
323	179
324	180
325	180
326	180
327	181
328	181
329	181
330	182
331	183
332	184
333	185
334	186
335	187
336	188
337	188
338	189
339	189
340	189
341	190
342	191
343	192
344	192
345	192
346	192
347	193
348	193
349	194
350	194
351	194
352	194
353	194
354	194
355	194
356	195
357	195
358	196
359	197
360	197
361	197
362	197
363	197
364	198
365	199
366	200
367	201
368	202
369	202
370	202
371	202
372	202
373	202
374	202
375	202
376	202
377	203
378	204
379	205
380	206
381	207
382	208
383	209
384	209
385	209
386	210
387	210
388	211
389	212
390	212
391	212
392	212
393	212
394	213
395	213
396	213
397	214
398	214
399	214
400	214
401	214
402	214
403	214
404	215
405	215
406	215
407	215
408	215
409	216
410	216
411	216
412	216
413	217
414	217
415	217
416	217
417	217
418	217
419	218
420	218
421	219
422	219
423	219
424	220
425	221
426	221
427	221
428	221
429	221
430	222
431	223
432	223
433	224
434	224
435	224
436	225
437	225
438	225
439	225
440	225
441	226
442	226
443	226
444	227
445	227
446	227
447	227
448	227
449	227
450	227
451	227
452	227
453	227
454	228
455	228
456	228
457	229
458	229
459	230
460	231
461	231
462	231
463	231
464	231
465	231
466	231
467	231
468	231
469	231
470	232
471	232
472	233
473	234
474	234
475	234
476	234
477	234
478	235
479	235
480	236
481	236
482	236
483	237
484	237
485	237
486	238
487	238
488	238
489	239
490	239
491	240
492	241
493	242
494	243
495	243
496	243
497	244
498	245
499	245
500	245
501	245
502	246
503	246
504	246
505	246
506	246
507	247
508	248
509	248
510	248
511	248
512	248
513	248
514	249
515	249
516	249
517	249
518	250
519	250
520	250
521	250
522	250
523	251
524	252
525	252
526	252
527	253
528	254
529	254
530	255
531	255
532	256
533	256
534	256
535	256
536	256
537	256
538	256
539	256
540	257
541	258
542	258
543	259
544	259
545	260
546	260
547	260
548	260
549	260
550	261
551	261
552	261
553	262
554	262
555	262
556	262
557	262
558	262
559	262
560	263
561	263
562	263
563	263
564	263
565	263
566	263
567	264
568	265
569	265
570	266
571	266
572	266
573	266
574	266
575	266
576	266
577	267
578	267
579	268
580	268
581	268
582	268
583	268
584	268
585	269
586	269
587	270
588	270
589	271
590	271
591	272
592	273
593	273
594	273
595	274
596	275
597	275
598	275
599	275
600	275
601	275
602	275
603	275
604	275
605	275
606	275
607	275
608	275
609	276
610	277
611	277
612	278
613	278
614	278
615	279
616	279
617	279
618	279
619	280
620	281
621	281
622	281
623	281
624	281
625	281
626	282
627	282
628	282
629	283
630	283
631	283
632	283
633	283
634	283
635	283
636	283
637	283
638	284
639	285
640	285
641	286
642	286
643	286
644	286
645	286
646	287
647	287
648	288
649	288
650	288
651	288
652	288
653	289
654	289
655	289
656	289
657	289
658	289
659	289
660	289
661	289
662	289
663	290
664	290
665	290
666	290
667	291
668	291
669	292
670	292
671	292
672	292
673	293
674	294
675	294
676	294
677	295
678	295
679	295
680	295
681	295
682	295
683	295
684	296
685	297
686	297
687	297
688	298
689	299
690	299
691	300
692	300
693	300
694	301
695	301
696	301
697	301
698	302
699	302
700	302
701	302
702	303
703	304
704	304
705	304
706	304
707	304
708	304
709	304
710	304
711	304
712	304
713	304
714	305
715	305
716	305
717	306
718	306
719	306
720	307
721	307
722	307
723	307
724	307
725	307
726	307
727	307
728	307
729	307
730	308
731	308
732	308
733	308
734	308
735	309
736	309
737	309
738	310
739	310
740	310
741	311
742	311
743	311
744	311
745	311
746	311
747	312
748	312
749	312
750	312
751	312
752	312
753	313
754	313
755	313
756	313
757	313
758	313
759	314
760	315
761	316
762	316
763	316
764	316
765	316
766	316
767	316
768	316
769	317
770	318
771	319
772	320
773	320
774	320
775	320
776	321
777	321
778	321
779	321
780	321
781	321
782	321
783	321
784	322
785	322
786	322
787	323
788	324
789	324
790	324
791	324
792	324
793	324
794	324
795	324
796	324
797	324
798	324
799	325
800	326
801	326
802	326
803	326
804	327
805	327
806	328
807	329
808	329
809	329
810	330
811	330
812	330
813	331
814	331
815	331
816	331
817	331
818	331
819	331
820	331
821	331
822	331
823	332
824	332
825	332
826	333
827	334
828	334
829	334
830	335
831	335
832	335
833	335
834	336
835	337
836	338
837	338
838	339
839	339
840	339
841	339
842	340
843	341
844	342
845	342
846	342
847	342
848	342
849	342
850	342
851	342
852	343
853	344
854	345
855	346
856	347
857	347
858	347
859	348
860	349
861	350
862	350
863	351
864	351
865	351
866	351
867	351
868	352
869	353
870	354
871	354
872	355
873	356
874	356
875	357
876	357
877	357
878	357
879	357
880	357
881	358
882	359
883	360
884	361
885	361
886	361
887	362
888	362
889	362
890	362
891	362
892	363
893	363
894	363
895	364
896	364
897	364
898	365
899	366
900	366
901	366
902	366
903	366
904	366
905	366
906	366
907	366
908	366
909	366
910	366
911	366
912	366
913	366
914	366
915	367
916	368
917	368
918	368
919	368
920	368
921	368
922	368
923	369
924	369
925	370
926	370
927	370
928	370
929	370
930	370
931	370
932	370
933	370
934	370
935	370
936	370
937	370
938	370
939	370
940	370
941	370
942	370
943	370
944	371
945	371
946	371
947	372
948	372
949	372
950	372
951	373
952	374
953	375
954	375
955	375
956	375
957	375
958	376
959	376
960	376
961	376
962	376
963	376
