N	V
0	1
1	2
2	3
3	3
4	4
5	5
6	5
7	5
8	5
9	6
10	7
11	8
12	9
13	10
14	11
15	12
16	13
17	14
18	15
19	16
20	17
21	18
22	19
23	20
24	21
25	22
26	23
27	24
28	25
29	26
30	27
31	28
32	29
33	30
34	31
35	32
36	33
37	34
38	35
39	35
40	36
41	37
42	38
43	39
44	40
45	41
46	42
47	42
48	42
49	43
50	44
51	45
52	46
53	47
54	48
55	49
56	49
57	50
58	51
59	52
60	53
61	53
62	53
63	54
64	55
65	56
66	56
67	56
68	57
69	57
70	57
71	58
72	59
73	60
74	61
75	61
76	62
77	62
78	63
79	64
80	65
81	66
82	66
83	66
84	67
85	68
86	69
87	70
88	71
89	72
90	72
91	72
92	72
93	73
94	73
95	74
96	75
97	75
98	76
99	77
100	77
101	77
102	78
103	79
104	80
105	80
106	81
107	81
108	82
109	83
110	84
111	84
112	84
113	85
114	86
115	87
116	87
117	88
118	88
119	89
120	90
121	91
122	91
123	91
124	92
125	93
126	93
127	93
128	94
129	95
130	96
131	96
132	97
133	98
134	98
135	99
136	100
137	101
138	102
139	102
140	102
141	103
142	104
143	104
144	104
145	105
146	106
147	106
148	107
149	108
150	108
151	109
152	109
153	110
154	111
155	111
156	112
157	113
158	114
159	114
160	115
161	116
162	116
163	117
164	118
165	118
166	119
167	119
168	119
169	120
170	120
171	120
172	121
173	121
174	122
175	123
176	124
177	124
178	125
179	126
180	127
181	128
182	128
183	128
184	129
185	129
186	129
187	130
188	131
189	132
190	132
191	133
192	134
193	135
194	136
195	137
196	138
197	138
198	138
199	139
200	139
201	139
202	140
203	141
204	142
205	142
206	143
207	143
208	143
209	143
210	143
211	144
212	144
213	145
214	145
215	145
216	145
217	146
218	146
219	146
220	147
221	147
222	147
223	147
224	148
225	149
226	149
227	149
228	149
229	149
230	149
231	149
232	149
233	149
234	150
235	151
236	152
237	153
238	154
239	154
240	154
241	155
242	155
243	155
244	155
245	155
246	155
247	155
248	155
249	155
250	155
251	155
252	155
253	156
254	157
255	158
256	158
257	159
258	160
259	160
260	161
261	162
262	162
263	162
264	162
265	163
266	163
267	163
268	164
269	164
270	164
271	164
272	164
273	164
274	164
275	164
276	164
277	165
278	165
279	166
280	166
281	166
282	167
283	167
284	167
285	168
286	168
287	169
288	170
289	170
290	170
291	171
292	171
293	171
294	171
295	172
296	173
297	173
298	174
299	174
300	175
301	175
302	176
303	177
304	178
305	179
306	180
307	181
308	181
309	181
310	182
311	182
312	183
313	183
314	183
315	184
316	184
317	184
318	184
319	185
320	186
321	186
322	186
323	186
324	186
325	186
326	187
327	187
328	188
329	188
330	188
331	188
332	189
333	189
334	190
335	190
336	191
337	192
338	193
339	193
340	193
341	193
342	193
343	193
344	194
345	195
346	195
347	196
348	196
349	197
350	198
351	199
352	200
353	201
354	201
355	202
356	203
357	204
358	204
359	205
360	206
361	206
362	207
363	207
364	207
365	208
366	208
367	208
368	209
369	209
370	210
371	210
372	210
373	210
374	211
375	212
376	213
377	213
378	213
379	213
380	214
381	214
382	214
383	215
384	216
385	216
386	216
387	217
388	218
389	218
390	219
391	219
392	219
393	220
394	220
395	221
396	221
397	221
398	221
399	221
400	222
401	223
402	223
403	224
404	225
405	226
406	226
407	227
408	228
409	228
410	229
411	229
412	230
413	231
414	231
415	231
416	232
417	232
418	232
419	232
420	232
421	232
422	232
423	233
424	233
425	233
426	234
427	235
428	236
429	237
430	238
431	239
432	239
433	240
434	241
435	241
436	241
437	241
438	241
439	242
440	242
441	242
442	242
443	243
444	244
445	245
446	246
447	246
448	246
449	247
450	247
451	248
452	248
453	248
454	249
455	249
456	250
457	250
458	250
459	250
460	250
461	250
462	251
463	251
464	252
465	253
466	254
467	255
468	255
469	255
470	255
471	256
472	256
473	257
474	257
475	257
476	258
477	259
478	260
479	260
480	261
481	262
482	263
483	263
484	263
485	263
486	264
487	265
488	265
489	265
490	266
491	266
492	267
493	268
494	268
495	269
496	269
497	269
498	269
499	269
500	270
501	270
502	271
503	271
504	272
505	273
506	274
507	274
508	275
509	275
510	275
511	276
512	276
513	276
514	276
515	277
516	278
517	279
518	280
519	281
520	282
521	283
522	283
523	283
524	283
525	283
526	283
527	283
528	283
529	284
530	284
531	284
532	284
533	285
534	286
535	286
536	287
537	287
538	288
539	288
540	288
541	289
542	289
543	290
544	291
545	291
546	291
547	291
548	291
549	292
550	292
551	292
552	292
553	292
554	292
555	293
556	294
557	295
558	296
559	296
560	296
561	296
562	297
563	297
564	298
565	298
566	298
567	298
568	298
569	298
570	298
571	298
572	299
573	299
574	299
575	299
576	300
577	301
578	302
579	303
580	304
581	304
582	304
583	305
584	305
585	305
586	306
587	306
588	306
589	306
590	307
591	307
592	308
593	308
594	309
595	309
596	309
597	309
598	309
599	310
600	310
601	310
602	311
603	311
604	311
605	312
606	313
607	313
608	314
609	315
610	316
611	316
612	316
613	316
614	317
615	318
616	319
617	319
618	320
619	321
620	322
621	322
622	322
623	323
624	323
625	323
626	324
627	324
628	324
629	325
630	326
631	327
632	327
633	328
634	328
635	329
636	329
637	329
638	329
639	330
640	330
641	330
642	331
643	331
644	332
645	333
646	333
647	334
648	334
649	334
650	335
651	335
652	335
653	336
654	337
655	338
656	338
657	338
658	339
659	340
660	341
661	341
662	342
663	343
664	343
665	343
666	344
667	344
668	345
669	345
670	345
671	346
672	346
673	346
674	347
675	347
676	348
677	348
678	348
679	348
680	348
681	348
682	348
683	348
684	349
685	349
686	349
687	349
688	350
689	351
690	351
691	351
692	352
693	352
694	352
695	352
696	353
697	353
698	354
699	354
700	355
701	355
702	355
703	355
704	356
705	356
706	357
707	358
708	358
709	358
710	359
711	359
712	359
713	359
714	359
715	359
716	359
717	359
718	359
719	359
720	359
721	359
722	359
723	359
724	359
725	360
726	361
727	362
728	363
729	363
730	364
731	364
732	364
733	364
734	365
735	365
736	365
737	365
738	366
739	367
740	368
741	368
742	368
743	369
744	370
745	370
746	371
747	371
748	371
749	371
750	371
751	371
752	372
753	372
754	372
755	372
756	373
757	374
758	375
759	375
760	375
761	375
762	375
763	375
764	375
765	375
766	375
767	375
768	375
769	376
770	377
771	378
772	379
773	380
774	380
775	380
776	381
777	381
778	381
779	381
780	381
781	381
782	381
783	381
784	381
785	381
786	382
787	382
788	383
789	383
790	383
791	383
792	383
793	384
794	384
795	384
796	384
797	384
798	384
799	384
800	384
801	384
802	384
803	384
804	384
805	384
806	384
807	384
808	384
809	384
810	385
811	385
812	386
813	386
814	386
815	386
816	386
817	386
818	387
819	387
820	387
821	387
822	388
823	388
824	389
825	389
826	389
827	389
828	389
829	390
830	390
831	390
832	390
833	390
834	390
835	390
836	390
837	390
838	390
839	391
840	392
841	392
842	392
843	392
844	392
845	392
846	392
847	392
848	393
849	393
850	393
851	394
852	394
853	394
854	394
855	394
856	394
857	395
858	395
859	395
860	395
861	395
862	396
863	396
864	396
865	396
866	396
867	396
868	397
869	398
870	399
871	399
872	399
873	399
874	399
875	399
876	400
877	401
878	401
879	401
880	402
881	402
882	402
883	402
884	402
885	402
886	403
887	403
888	403
889	403
890	403
891	403
892	403
893	403
894	403
895	404
896	404
897	404
898	405
899	406
900	407
901	407
902	407
903	407
904	407
905	407
906	407
907	407
908	407
909	407
910	407
911	407
912	407
913	407
914	407
915	407
916	407
917	407
918	407
919	407
920	407
921	408
922	408
923	409
924	410
925	410
926	411
927	412
928	412
929	412
930	412
931	413
932	413
933	413
934	413
935	414
936	414
937	414
938	414
939	414
940	415
941	415
942	415
943	415
944	415
945	415
946	415
947	415
948	415
949	415
950	415
951	415
952	415
953	415
954	415
955	415
956	416
957	416
958	416
959	416
960	416
961	416
962	416
963	416
