N	V
0	1
1	2
2	3
3	4
4	5
5	6
6	6
7	6
8	7
9	8
10	8
11	9
12	10
13	11
14	11
15	12
16	13
17	14
18	15
19	16
20	17
21	18
22	18
23	19
24	20
25	21
26	22
27	23
28	23
29	23
30	24
31	25
32	26
33	26
34	27
35	28
36	29
37	30
38	30
39	30
40	31
41	32
42	33
43	33
44	33
45	33
46	34
47	35
48	36
49	37
50	38
51	39
52	39
53	40
54	40
55	41
56	42
57	42
58	43
59	44
60	45
61	46
62	47
63	48
64	49
65	49
66	50
67	50
68	50
69	51
70	51
71	52
72	53
73	54
74	55
75	55
76	55
77	55
78	56
79	57
80	58
81	59
82	60
83	60
84	61
85	62
86	62
87	62
88	63
89	63
90	63
91	64
92	64
93	64
94	64
95	65
96	66
97	67
98	67
99	68
100	68
101	68
102	69
103	69
104	69
105	70
106	71
107	71
108	71
109	72
110	73
111	74
112	75
113	76
114	77
115	78
116	79
117	80
118	81
119	82
120	83
121	83
122	83
123	84
124	85
125	85
126	85
127	85
128	85
129	86
130	87
131	87
132	88
133	89
134	89
135	90
136	91
137	92
138	92
139	93
140	94
141	95
142	96
143	96
144	97
145	97
146	97
147	98
148	99
149	99
150	100
151	101
152	102
153	102
154	102
155	103
156	104
157	104
158	105
159	106
160	106
161	107
162	108
163	108
164	108
165	109
166	110
167	110
168	111
169	112
170	112
171	112
172	113
173	113
174	114
175	114
176	115
177	116
178	116
179	116
180	116
181	117
182	117
183	118
184	118
185	119
186	119
187	119
188	120
189	120
190	120
191	121
192	122
193	123
194	124
195	125
196	126
197	126
198	126
199	126
200	127
201	128
202	129
203	129
204	129
205	130
206	130
207	131
208	131
209	132
210	132
211	132
212	133
213	133
214	134
215	135
216	136
217	136
218	137
219	137
220	137
221	138
222	138
223	138
224	139
225	140
226	140
227	141
228	141
229	141
230	142
231	143
232	144
233	144
234	144
235	144
236	145
237	145
238	145
239	145
240	146
241	146
242	147
243	148
244	149
245	150
246	150
247	150
248	150
249	151
250	151
251	152
252	152
253	153
254	154
255	155
256	155
257	156
258	156
259	156
260	157
261	157
262	157
263	157
264	157
265	157
266	158
267	158
268	159
269	159
270	159
271	159
272	159
273	159
274	159
275	160
276	160
277	160
278	161
279	162
280	162
281	162
282	162
283	163
284	164
285	164
286	164
287	164
288	165
289	165
290	165
291	166
292	166
293	167
294	167
295	167
296	167
297	167
298	167
299	167
300	167
301	168
302	168
303	168
304	168
305	168
306	168
307	168
308	168
309	168
310	169
311	169
312	170
313	171
314	172
315	172
316	172
317	172
318	173
319	173
320	174
321	175
322	175
323	176
324	176
325	176
326	176
327	177
328	178
329	178
330	179
331	179
332	180
333	181
334	181
335	181
336	182
337	182
338	183
339	183
340	183
341	183
342	183
343	183
344	183
345	183
346	183
347	183
348	184
349	184
350	184
351	184
352	185
353	185
354	186
355	187
356	187
357	188
358	189
359	189
360	190
361	190
362	190
363	191
364	191
365	191
366	191
367	191
368	191
369	192
370	193
371	194
372	194
373	195
374	195
375	195
376	196
377	196
378	197
379	197
380	198
381	199
382	199
383	200
384	200
385	200
386	200
387	200
388	200
389	201
390	201
391	201
392	202
393	203
394	203
395	203
396	204
397	204
398	205
399	205
400	206
401	206
402	206
403	206
404	206
405	206
406	206
407	206
408	207
409	208
410	208
411	209
412	210
413	211
414	212
415	212
416	213
417	213
418	213
419	213
420	214
421	214
422	214
423	215
424	215
425	216
426	216
427	216
428	216
429	216
430	216
431	216
432	217
433	217
434	217
435	217
436	217
437	217
438	218
439	218
440	218
441	218
442	219
443	220
444	221
445	221
446	221
447	222
448	223
449	223
450	223
451	223
452	223
453	224
454	224
455	224
456	224
457	224
458	224
459	225
460	225
461	225
462	225
463	226
464	227
465	228
466	229
467	229
468	229
469	229
470	229
471	229
472	229
473	229
474	229
475	229
476	229
477	229
478	229
479	229
480	229
481	229
482	229
483	229
484	229
485	229
486	229
487	230
488	230
489	230
490	230
491	230
492	231
493	232
494	232
495	232
496	233
497	233
498	233
499	234
500	234
501	234
502	234
503	234
504	234
505	234
506	235
507	236
508	236
509	236
510	236
511	236
512	237
513	237
514	238
515	239
516	240
517	240
518	240
519	240
520	240
521	241
522	241
523	241
524	242
525	242
526	242
527	243
528	243
529	244
530	245
531	246
532	247
533	247
534	247
535	247
536	247
537	248
538	249
539	249
540	249
541	249
542	250
543	250
544	251
545	251
546	252
547	252
548	252
549	252
550	253
551	253
552	253
553	253
554	253
555	253
556	253
557	253
558	253
559	253
560	253
561	253
562	253
563	253
564	253
565	253
566	253
567	253
568	254
569	254
570	254
571	255
572	256
573	256
574	257
575	257
576	258
577	258
578	258
579	258
580	258
581	258
582	258
583	259
584	260
585	260
586	260
587	260
588	260
589	260
590	260
591	260
592	260
593	260
594	260
595	260
596	260
597	261
598	262
599	262
600	262
601	262
602	263
603	263
604	263
605	263
606	263
607	263
608	264
609	265
610	265
611	265
612	265
613	266
614	267
615	268
616	269
617	269
618	269
619	270
620	270
621	270
622	270
623	271
624	271
625	271
626	271
627	271
628	271
629	271
630	271
631	271
632	271
633	271
634	271
635	271
636	271
637	272
638	273
639	273
640	273
641	273
642	273
643	273
644	274
645	274
646	275
647	275
648	276
649	276
650	276
651	276
652	276
653	276
654	276
655	276
656	277
657	277
658	277
659	277
660	277
661	278
662	278
663	278
664	279
665	279
666	279
667	279
668	280
669	280
670	281
671	281
672	281
673	282
674	283
675	283
676	284
677	284
678	285
679	286
680	286
681	286
682	286
683	287
684	287
685	287
686	288
687	288
688	288
689	289
690	290
691	290
692	290
693	290
694	290
695	290
696	290
697	290
698	290
699	290
700	290
701	290
702	290
703	290
704	291
705	291
706	292
707	293
708	294
709	294
710	294
711	294
712	294
713	295
714	295
715	295
716	296
717	297
718	297
719	297
720	298
721	299
722	299
723	299
724	299
725	299
726	299
727	299
728	299
729	299
730	299
731	299
732	299
733	299
734	299
735	299
736	299
737	300
738	300
739	300
740	301
741	301
742	301
743	302
744	302
745	302
746	303
747	303
748	303
749	303
750	303
751	303
752	304
753	304
754	304
755	304
756	304
757	304
758	305
759	305
760	305
761	306
762	306
763	307
764	307
765	307
766	307
767	307
768	308
769	309
770	309
771	309
772	309
773	310
774	311
775	312
776	312
777	312
778	312
779	312
780	312
781	312
782	312
783	312
784	313
785	313
786	313
787	314
788	314
789	315
790	315
791	315
792	315
793	315
794	315
795	315
796	315
797	316
798	316
799	316
800	317
801	317
802	317
803	317
804	317
805	317
806	318
807	319
808	320
809	321
810	322
811	322
812	322
813	322
814	322
815	322
816	322
817	322
818	322
819	323
820	323
821	323
822	323
823	323
824	323
825	323
826	323
827	324
828	324
829	325
830	326
831	326
832	326
833	326
834	327
835	327
836	327
837	327
838	327
839	327
840	327
841	328
842	328
843	328
844	328
845	329
846	330
847	330
848	330
849	330
850	330
851	330
852	331
853	332
854	333
855	333
856	333
857	333
858	333
859	334
860	334
861	335
862	336
863	337
864	337
865	338
866	338
867	338
868	338
869	339
870	340
871	340
872	341
873	342
874	343
875	343
876	344
877	344
878	345
879	345
880	345
881	345
882	345
883	345
884	345
885	345
886	345
887	345
888	345
889	345
890	346
891	346
892	346
893	346
894	346
895	346
896	346
897	346
898	347
899	348
900	348
901	348
902	348
903	348
904	349
905	349
906	349
907	349
908	350
909	351
910	351
911	351
912	351
913	351
914	351
915	351
916	351
917	351
918	351
919	351
920	351
921	351
922	351
923	351
924	351
925	351
926	351
927	351
928	351
929	351
930	351
931	351
932	352
933	352
934	352
935	352
936	352
937	352
938	352
939	352
940	353
941	353
942	353
943	354
944	355
945	355
946	355
947	355
948	356
949	356
950	356
951	356
952	357
953	358
954	358
955	358
956	359
957	360
958	361
959	362
960	362
961	362
962	363
963	363
