N	V
0	1
1	2
2	3
3	4
4	4
5	5
6	6
7	6
8	7
9	8
10	9
11	10
12	10
13	11
14	12
15	12
16	13
17	14
18	15
19	16
20	17
21	17
22	17
23	18
24	19
25	20
26	21
27	22
28	23
29	24
30	25
31	25
32	26
33	27
34	27
35	28
36	29
37	30
38	30
39	31
40	32
41	33
42	34
43	35
44	36
45	37
46	38
47	39
48	40
49	41
50	42
51	43
52	44
53	45
54	45
55	45
56	45
57	46
58	46
59	47
60	48
61	49
62	50
63	51
64	52
65	53
66	53
67	54
68	54
69	55
70	56
71	57
72	57
73	58
74	59
75	60
76	61
77	62
78	63
79	63
80	63
81	63
82	64
83	65
84	66
85	67
86	68
87	69
88	70
89	71
90	72
91	73
92	74
93	74
94	75
95	76
96	77
97	78
98	79
99	80
100	81
101	82
102	83
103	84
104	85
105	86
106	87
107	88
108	89
109	90
110	91
111	92
112	93
113	93
114	93
115	94
116	95
117	96
118	97
119	98
120	99
121	100
122	101
123	102
124	103
125	104
126	105
127	106
128	107
129	107
130	108
131	109
132	110
133	111
134	112
135	113
136	114
137	115
138	115
139	116
140	117
141	118
142	119
143	119
144	120
145	121
146	122
147	123
148	124
149	125
150	126
151	126
152	127
153	128
154	129
155	130
156	130
157	131
158	132
159	133
160	134
161	135
162	136
163	137
164	138
165	139
166	140
167	141
168	142
169	143
170	144
171	145
172	146
173	147
174	148
175	149
176	150
177	151
178	152
179	152
180	152
181	153
182	154
183	155
184	156
185	157
186	158
187	159
188	160
189	161
190	162
191	163
192	163
193	163
194	163
195	164
196	165
197	165
198	165
199	165
200	166
201	167
202	168
203	169
204	169
205	170
206	170
207	170
208	170
209	170
210	170
211	170
212	171
213	172
214	172
215	172
216	173
217	173
218	173
219	174
220	174
221	174
222	174
223	174
224	174
225	174
226	174
227	174
228	174
229	174
230	174
231	174
232	175
233	175
234	176
235	177
236	177
237	177
238	178
239	179
240	180
241	180
242	181
243	182
244	183
245	183
246	184
247	185
248	186
249	187
250	188
251	189
252	189
253	189
254	189
255	189
256	189
257	190
258	190
259	191
260	192
261	193
262	194
263	194
264	195
265	196
266	197
267	197
268	198
269	199
270	200
271	201
272	202
273	203
274	204
275	204
276	205
277	206
278	207
279	208
280	208
281	209
282	209
283	210
284	211
285	211
286	211
287	212
288	213
289	214
290	214
291	215
292	216
293	216
294	216
295	216
296	216
297	216
298	217
299	217
300	218
301	219
302	220
303	221
304	222
305	223
306	224
307	225
308	225
309	226
310	226
311	226
312	226
313	227
314	227
315	227
316	227
317	227
318	228
319	229
320	230
321	231
322	231
323	231
324	231
325	231
326	232
327	233
328	234
329	235
330	236
331	237
332	238
333	239
334	239
335	240
336	241
337	242
338	242
339	243
340	244
341	245
342	246
343	247
344	248
345	249
346	250
347	251
348	252
349	253
350	253
351	254
352	255
353	256
354	257
355	258
356	258
357	259
358	260
359	261
360	261
361	262
362	262
363	263
364	263
365	263
366	263
367	263
368	263
369	263
370	264
371	265
372	266
373	267
374	268
375	269
376	270
377	271
378	272
379	273
380	273
381	274
382	275
383	276
384	277
385	277
386	278
387	278
388	279
389	279
390	280
391	280
392	281
393	281
394	282
395	283
396	283
397	284
398	285
399	286
400	286
401	286
402	286
403	286
404	287
405	288
406	289
407	290
408	291
409	292
410	293
411	294
412	294
413	295
414	296
415	297
416	298
417	299
418	300
419	301
420	302
421	303
422	304
423	304
424	305
425	306
426	307
427	308
428	309
429	310
430	311
431	312
432	313
433	314
434	315
435	316
436	317
437	318
438	319
439	320
440	321
441	322
442	323
443	323
444	324
445	324
446	324
447	325
448	325
449	326
450	326
451	327
452	328
453	328
454	329
455	330
456	331
457	332
458	332
459	332
460	333
461	333
462	334
463	335
464	335
465	335
466	335
467	336
468	337
469	337
470	338
471	339
472	340
473	340
474	340
475	340
476	341
477	341
478	341
479	342
480	343
481	344
482	345
483	345
484	345
485	345
486	345
487	345
488	345
489	346
490	347
491	347
492	348
493	348
494	348
495	349
496	350
497	350
498	351
499	351
500	352
501	352
502	352
503	353
504	353
505	353
506	353
507	354
508	355
509	355
510	355
511	355
512	355
513	355
514	355
515	355
516	356
517	357
518	358
519	358
520	359
521	360
522	361
523	362
524	363
525	363
526	363
527	364
528	365
529	365
530	366
531	366
532	367
533	368
534	369
535	370
536	371
537	372
538	373
539	373
540	374
541	375
542	376
543	377
544	377
545	378
546	378
547	378
548	379
549	380
550	381
551	381
552	382
553	383
554	384
555	385
556	386
557	386
558	387
559	388
560	389
561	389
562	389
563	390
564	391
565	391
566	392
567	393
568	393
569	393
570	394
571	395
572	395
573	396
574	396
575	397
576	398
577	399
578	400
579	400
580	400
581	401
582	402
583	403
584	404
585	405
586	405
587	405
588	406
589	407
590	408
591	408
592	409
593	409
594	410
595	410
596	410
597	411
598	412
599	413
600	413
601	414
602	414
603	415
604	416
605	417
606	417
607	418
608	419
609	419
610	419
611	419
612	420
613	420
614	421
615	421
616	422
617	423
618	424
619	425
620	426
621	426
622	426
623	427
624	428
625	429
626	430
627	430
628	430
629	430
630	430
631	430
632	431
633	432
634	432
635	432
636	432
637	433
638	434
639	434
640	434
641	434
642	435
643	436
644	436
645	437
646	437
647	437
648	438
649	438
650	439
651	440
652	441
653	442
654	443
655	444
656	445
657	446
658	446
659	447
660	447
661	447
662	447
663	448
664	449
665	450
666	450
667	450
668	451
669	452
670	452
671	452
672	452
673	453
674	453
675	453
676	453
677	454
678	454
679	455
680	455
681	455
682	456
683	457
684	457
685	458
686	458
687	458
688	459
689	460
690	461
691	462
692	463
693	464
694	464
695	465
696	466
697	467
698	468
699	469
700	469
701	470
702	471
703	472
704	472
705	472
706	472
707	472
708	473
709	473
710	474
711	474
712	474
713	475
714	476
715	476
716	477
717	478
718	479
719	479
720	479
721	479
722	479
723	479
724	480
725	481
726	481
727	481
728	482
729	483
730	484
731	485
732	485
733	486
734	487
735	488
736	488
737	489
738	490
739	491
740	492
741	492
742	492
743	493
744	494
745	495
746	496
747	497
748	498
749	499
750	500
751	501
752	501
753	502
754	503
755	504
756	504
757	505
758	506
759	506
760	506
761	507
762	507
763	508
764	508
765	509
766	510
767	511
768	511
769	511
770	512
771	513
772	513
773	513
774	514
775	515
776	516
777	517
778	518
779	519
780	520
781	521
782	522
783	522
784	522
785	523
786	523
787	524
788	524
789	525
790	525
791	525
792	525
793	525
794	526
795	526
796	527
797	527
798	528
799	528
800	528
801	529
802	529
803	529
804	529
805	529
806	530
807	531
808	531
809	532
810	532
811	533
812	533
813	533
814	533
815	534
816	535
817	535
818	536
819	536
820	536
821	536
822	536
823	537
824	538
825	538
826	539
827	539
828	539
829	540
830	540
831	541
832	541
833	541
834	542
835	543
836	544
837	545
838	545
839	545
840	545
841	545
842	545
843	546
844	546
845	547
846	548
847	549
848	550
849	551
850	551
851	551
852	551
853	552
854	553
855	553
856	554
857	554
858	555
859	555
860	555
861	556
862	557
863	557
864	557
865	558
866	559
867	560
868	560
869	561
870	562
871	563
872	564
873	565
874	566
875	567
876	568
877	569
878	570
879	570
880	571
881	571
882	571
883	571
884	572
885	572
886	573
887	574
888	575
889	575
890	576
891	577
892	578
893	579
894	580
895	581
896	582
897	583
898	584
899	585
900	586
901	587
902	588
903	589
904	590
905	591
906	592
907	592
908	593
909	594
910	595
911	595
912	595
913	595
914	596
915	597
916	598
917	598
918	599
919	599
920	599
921	600
922	601
923	602
924	603
925	604
926	605
927	605
928	605
929	605
930	606
931	607
932	608
933	609
934	610
935	611
936	611
937	612
938	612
939	613
940	614
941	614
942	615
943	616
944	617
945	617
946	618
947	618
948	619
949	619
950	620
951	621
952	622
953	623
954	623
955	624
956	625
957	625
958	626
959	627
960	627
961	627
962	627
963	627
